name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
TotalRevenue,"747,596,000","-150,711,000","375,487,000","310,205,000","212,615,000","95,082,000","88,592,000","70,893,000","59,012,000","39,351,000","36,016,000","32,795,000","30,553,000","27,192,000","30,411,000","23,854,000","22,112,000","-17,291,000","38,031,000","27,891,000","26,120,000","22,397,000","22,285,000","22,832,000","24,039,000","23,032,000","24,089,000","20,734,000","18,686,000","10,229,000","7,006,000","5,462,000","5,554,000","5,283,000","7,033,000","6,996,000","5,092,000","1,773,000","2,049,000","912,000","1,290,000","1,442,000","1,957,000","1,938,000","1,893,000","2,203,000","2,048,000","2,077,000","2,858,000","-15,838,000","9,651,000","10,141,000","10,083,000","9,902,000","11,005,000","5,003,000","5,347,000",,,,,,,,,,,,,"874,000","990,000","1,053,000","833,000","946,000","823,000","1,213,000","1,031,000"
	OperatingRevenue,"747,596,000","-150,711,000","375,487,000","310,205,000","212,615,000","95,082,000","88,592,000","70,893,000","59,012,000","39,351,000","36,016,000","32,795,000","30,553,000","27,192,000","30,411,000","23,854,000","22,112,000","-17,291,000","38,031,000","27,891,000","26,120,000","22,397,000","22,285,000","22,832,000","24,039,000","23,032,000","24,089,000","20,734,000","18,686,000","10,229,000","7,006,000","5,462,000","5,554,000","5,283,000","7,033,000","6,996,000","5,092,000","1,773,000","2,049,000","912,000","1,290,000","1,442,000","1,957,000","1,938,000","1,893,000","2,203,000","2,048,000","2,077,000","2,858,000","-15,838,000","9,651,000","10,141,000","10,083,000","9,902,000","11,005,000","5,003,000","5,347,000",,,,,,,,,,,,,"874,000","990,000","1,053,000","833,000","946,000","823,000","1,213,000","1,031,000"
CostOfRevenue,"400,486,000","-230,225,000","272,847,000","216,983,000","140,881,000","56,060,000","50,893,000","41,194,000","32,860,000","24,023,000","21,976,000","20,490,000","18,553,000","16,238,000","19,733,000","16,310,000","15,723,000","-18,706,000","28,370,000","20,528,000","19,504,000","18,490,000","18,917,000","19,679,000","21,104,000","19,380,000","20,273,000","20,657,000","16,412,000","9,297,000","5,023,000","3,661,000","4,140,000","3,842,000","4,979,000","4,469,000","3,268,000","636,000","927,000","376,000","672,000","816,000","790,000","718,000","550,000","204,000","1,258,000","1,085,000","662,000","-5,595,000","2,922,000","3,006,000","2,855,000","3,078,000","3,934,000","1,887,000","2,252,000",,,,,,,,,,,,,"57,000","184,000","167,000","176,000","385,000","156,000","300,000","300,000"
GrossProfit,"347,110,000","79,514,000","102,640,000","93,222,000","71,734,000","39,022,000","37,699,000","29,699,000","26,152,000","15,328,000","14,040,000","12,305,000","12,000,000","10,954,000","10,678,000","7,544,000","6,389,000","1,415,000","9,661,000","7,363,000","6,616,000","3,907,000","3,368,000","3,153,000","2,935,000","3,652,000","3,816,000","77,000","2,274,000","932,000","1,983,000","1,801,000","1,414,000","1,441,000","2,054,000","2,527,000","1,824,000","1,137,000","1,122,000","536,000","618,000","626,000","1,167,000","1,220,000","1,343,000","1,999,000","790,000","992,000","2,196,000","-10,243,000","6,729,000","7,135,000","7,228,000","6,824,000","7,071,000","3,116,000","3,095,000",,,,,,,,,,,,,"817,000","806,000","886,000","657,000","561,000","667,000","913,000","731,000"
OperatingExpense,"254,869,000","52,089,000","73,501,000","76,690,000","52,579,000","23,068,000","17,182,000","17,583,000","15,530,000","12,403,000","9,908,000","9,190,000","8,960,000","9,020,000","8,222,000","7,229,000","7,649,000","3,854,000","10,257,000","8,613,000","8,140,000","7,761,000","8,778,000","9,460,000","9,384,000","9,028,000","9,081,000","8,221,000","9,425,000","9,955,000","7,374,000","6,446,000","6,094,000","4,578,000","6,242,000","6,419,000","5,977,000","3,334,000","4,701,000","3,771,000","2,870,000","5,038,000","7,282,000","1,906,000","1,814,000","2,392,000","2,862,000","2,652,000","3,515,000","-6,608,000","6,623,000","7,515,000","7,368,000","7,531,000","8,156,000","5,500,000","5,996,000","1,278,023","544,123","367,006","264,138","286,217","222,357","29,245","15,667","86,784","47,831","12,581","23,862","738,000","323,000","726,000","665,000","413,000","740,000","696,000","960,000"
	SellingGeneralAndAdministration,"202,146,000","50,537,000","55,781,000","58,786,000","37,032,000","16,776,000","11,980,000","13,366,000","11,122,000","8,697,000","7,125,000","6,455,000","6,166,000","6,318,000","5,794,000","4,592,000","4,540,000","3,419,000","6,634,000","5,776,000","5,382,000","4,791,000","5,665,000","6,343,000","6,549,000","5,943,000","6,343,000","5,815,000","6,671,000","7,882,000","5,656,000","4,291,000","4,135,000","3,008,000","4,122,000","3,906,000","4,311,000","2,930,000","4,124,000","3,406,000","2,504,000","4,462,000","6,852,000","1,422,000","1,150,000","1,927,000","1,915,000","1,573,000","2,424,000","-6,854,000","5,262,000","5,980,000","5,769,000","5,503,000","6,416,000","3,563,000","4,093,000","1,278,023","544,123","367,006","264,138","286,217","222,357","29,245","15,667","86,784","47,831","12,581","23,862","689,000","737,000","599,000","523,000","80,000","593,000","530,000","548,000"
		GeneralAndAdministrativeExpense,"138,837,000","34,300,000","39,924,000","41,307,000","23,296,000","11,844,000","6,761,000","8,531,000","6,804,000","4,987,000","4,310,000","4,014,000","3,888,000","3,817,000","3,832,000","2,679,000","2,704,000","2,620,000","4,592,000","4,088,000","3,824,000","2,909,000","3,982,000","4,815,000","5,105,000","4,302,000","4,667,000","4,347,000","5,389,000","6,938,000","5,171,000","3,548,000","3,374,000","2,662,000","3,567,000","3,325,000","3,878,000","2,606,000","3,795,000","3,191,000","2,401,000","4,249,000","6,648,000","1,200,000","915,000","1,432,000","1,318,000","1,120,000","1,828,000","-601,000","2,986,000","2,956,000","2,388,000","2,793,000","2,173,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"138,837,000","34,300,000","39,924,000","41,307,000","23,296,000","11,844,000","6,761,000","8,531,000","6,804,000","4,987,000","4,310,000","4,014,000","3,888,000","3,817,000","3,832,000","2,679,000","2,704,000","2,620,000","4,592,000","4,088,000","3,824,000","2,909,000","3,982,000","4,815,000","5,105,000","4,302,000","4,667,000","4,347,000","5,389,000","6,938,000","5,171,000","3,548,000","3,374,000","2,662,000","3,567,000","3,325,000","3,878,000","2,606,000","3,795,000","3,191,000","2,401,000","4,249,000","6,648,000","1,200,000","915,000","1,432,000","1,318,000","1,120,000","1,828,000","-601,000","2,986,000","2,956,000","2,388,000","2,793,000","2,173,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"63,309,000","16,237,000","15,857,000","17,479,000","13,736,000","4,932,000","5,219,000","4,835,000","4,318,000","3,710,000","2,815,000","2,441,000","2,278,000","2,501,000","1,962,000","1,913,000","1,836,000","799,000","2,042,000","1,688,000","1,558,000","1,882,000","1,683,000","1,528,000","1,444,000","1,641,000","1,676,000","1,468,000","1,282,000","944,000","485,000","743,000","761,000","346,000","555,000","581,000","433,000","324,000","329,000","215,000","103,000","213,000","204,000","222,000","235,000","495,000","597,000","453,000","596,000","-6,253,000","2,276,000","3,024,000","3,381,000","2,710,000","4,243,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"52,723,000","1,552,000","17,720,000","17,904,000","15,547,000","6,292,000","5,202,000","4,217,000","4,408,000","3,706,000","2,783,000","2,735,000","2,794,000","2,702,000","2,428,000","2,637,000","3,109,000","435,000","3,623,000","2,837,000","2,758,000","2,970,000","3,113,000","3,117,000","2,835,000","3,085,000","2,738,000","2,406,000","2,754,000","2,073,000","1,718,000","2,155,000","1,959,000","1,570,000","2,120,000","2,513,000","1,666,000","404,000","577,000","365,000","366,000","576,000","430,000","484,000","664,000","465,000","929,000","1,060,000","1,074,000","230,000","1,184,000","1,358,000","1,422,000","1,851,000","1,563,000","1,800,000","1,766,000",,,,,,,,,,,,,,,,,,,"54,000","128,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","18,000","19,000","17,000","16,000","177,000","177,000","177,000","177,000","177,000","137,000","137,000",,,,,,,,,,,,,"76,000","60,000","127,000","142,000","342,000","147,000","112,000","284,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","18,000","19,000","17,000","16,000","177,000","177,000","177,000","177,000","177,000","137,000","137,000",,,,,,,,,,,,,"76,000","60,000","127,000","142,000","342,000","147,000","112,000","284,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000","42,000"
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","18,000","19,000","17,000","16,000","177,000","177,000","177,000","177,000","177,000","137,000","137,000",,,,,,,,,,,,,"76,000","60,000","127,000","142,000","342,000","147,000","82,000","242,000"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","18,000","19,000","17,000","16,000","177,000","177,000","177,000","177,000","177,000","137,000","137,000",,,,,,,,,,,,,"76,000","60,000","127,000","142,000","342,000","147,000","82,000","242,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-27,000","-474,000",,,"-9,000",,,
