name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,09/30/2017,06/30/2017,12/31/2016
TotalAssets,"5,187,049,000","4,515,726,000","3,824,982,000","3,438,916,000","3,251,953,000","3,208,970,000","2,850,787,000","2,829,363,000","2,899,627,000","2,566,561,000","1,637,162,000","1,233,265,000","1,125,952,000","979,743,000","808,995,000","740,698,000","736,224,000","650,524,000","650,141,000","155,667,000"
	CurrentAssets,"4,038,579,000","3,364,795,000","2,650,438,000","2,260,536,000","2,108,437,000","2,072,750,000","1,760,873,000","1,737,377,000","1,818,027,000","1,486,770,000","624,913,000","294,045,000","188,541,000","47,563,000","35,883,000","47,461,000","90,889,000","96,725,000","108,878,000","11,905,000"
		CashCashEquivalentsAndShortTermInvestments,"30,561,000","29,619,000","43,870,000","33,949,000","25,034,000","56,948,000","65,222,000","96,700,000","257,739,000","22,704,000","13,539,000","73,004,000","9,040,000","16,418,000","19,248,000","35,805,000","83,177,000","91,327,000","107,579,000","0"
			CashAndCashEquivalents,"30,561,000","29,619,000","43,870,000","33,949,000","25,034,000","56,948,000","65,222,000","96,700,000","257,739,000","22,704,000","13,539,000","73,004,000","9,040,000","16,418,000","19,248,000","35,805,000","83,177,000","91,327,000","107,579,000","0"
		Receivables,"3,882,310,000","3,326,279,000","2,602,737,000","2,222,803,000","2,075,188,000","1,976,283,000","1,653,153,000","1,598,304,000","1,518,279,000","1,439,988,000","588,125,000","200,566,000","164,066,000","23,138,000","15,878,000","10,699,000","6,755,000","2,422,000","1,299,000","11,905,000"
			AccountsReceivable,"125,226,000","117,311,000","109,373,000","110,676,000","102,002,000","93,307,000","84,585,000","75,841,000","67,082,000","58,303,000","49,498,000","40,719,000","35,528,000","23,138,000","15,878,000","10,699,000","6,755,000","2,422,000","1,299,000","11,905,000"
			OtherReceivables,"3,757,084,000","3,208,968,000","2,493,364,000","2,112,127,000","1,973,186,000","1,882,976,000","1,568,568,000","1,522,463,000","1,451,197,000","1,381,685,000","538,627,000","159,847,000","128,538,000",,,,,,,
		RestrictedCash,"125,708,000","8,897,000","3,831,000","3,784,000","8,215,000","39,519,000","42,498,000","42,373,000","42,009,000","24,078,000","23,249,000","20,475,000","15,435,000","8,007,000","757,000","957,000","957,000","2,976,000",,
	TotalNonCurrentAssets,"1,148,470,000","1,150,931,000","1,174,544,000","1,178,380,000","1,143,516,000","1,136,220,000","1,089,914,000","1,091,986,000","1,081,600,000","1,079,791,000","1,012,249,000","939,220,000","937,411,000","932,180,000","773,112,000","693,237,000","645,335,000","553,799,000","541,263,000","143,762,000"
		NetPPE,"27,155,000","27,435,000","27,714,000","27,993,000","28,272,000","28,550,000","28,828,000","29,105,000","29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
			GrossPPE,"27,155,000","27,435,000","27,714,000","27,993,000","28,272,000","28,550,000","28,828,000","29,105,000","29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
				Properties,,"0","0","0",,"0","0","0","0","0","0","0","0",,,,,,,
				OtherProperties,"27,155,000","27,435,000","27,714,000","27,993,000","28,272,000","28,550,000","28,828,000","29,105,000","29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
				Leases,,"27,435,000","27,714,000","27,993,000",,"28,550,000","28,828,000","29,105,000","29,382,000","29,659,000","29,935,000","30,211,000","30,486,000",,,,,,,
		GoodwillAndOtherIntangibleAssets,"222,504,000","224,182,000","222,606,000","239,661,000","240,642,000","242,166,000","239,172,000","240,845,000","241,171,000","242,837,000","244,503,000","235,457,000","236,919,000","262,531,000","221,090,000","197,665,000","183,606,000","140,069,000","131,696,000","135,000"
			OtherIntangibleAssets,"222,504,000","224,182,000","222,606,000","239,661,000","240,642,000","242,166,000","239,172,000","240,845,000","241,171,000","242,837,000","244,503,000","235,457,000","236,919,000","262,531,000","221,090,000","197,665,000","183,606,000","140,069,000","131,696,000","135,000"
		InvestmentProperties,"711,121,000","712,628,000","714,136,000","727,092,000","728,599,000","730,106,000","686,730,000","688,081,000","670,109,000","671,616,000","673,123,000","663,232,000","661,098,000","659,666,000","526,562,000","477,203,000","450,722,000","410,393,000","405,593,000","104,478,000"
		InvestmentsAndAdvances,"175,119,000","173,374,000","171,532,000","169,799,000","130,011,000","129,614,000","129,261,000","128,736,000","128,123,000","127,524,000","21,410,000","159,847,000","128,538,000",,,,,,,
			LongTermEquityInvestment,"175,119,000","173,374,000","171,532,000","169,799,000","130,011,000","129,614,000","129,261,000","128,736,000","128,123,000","127,524,000","21,410,000",,,,,,,,,
			OtherInvestments,,,,,,,"1,088,687,000","1,045,003,000","1,028,980,000","984,598,000","465,289,000","159,847,000","128,538,000",,,,,,,
		FinancialAssets,,,,,,"0","0","0","0","7,000","312,000","32,000","961,000","2,991,000","9,127,000","6,395,000","4,363,000",,,
		NonCurrentAccountsReceivable,,,,,"1,973,186,000","1,882,976,000","1,568,568,000","1,522,463,000","1,451,197,000","1,381,685,000","538,627,000","159,847,000","128,538,000",,,,,,,
		NonCurrentDeferredAssets,"7,492,000","8,331,000","7,716,000","8,421,000","9,108,000","3,819,000","4,007,000","4,419,000","4,745,000","5,141,000","2,134,000","2,122,000","2,774,000","2,776,000","3,197,000","2,487,000","2,459,000","2,656,000","2,840,000","33,308,000"
		NonCurrentPrepaidAssets,"2,083,000","2,083,000","27,617,000","3,667,000","4,667,000","0","500,000","0","400,000","1,575,000","32,497,000","5,000,000","500,000","1,800,000","11,900,000","8,000,000","3,710,000",,,
		OtherNonCurrentAssets,"2,996,000","2,898,000","3,223,000","1,747,000","2,217,000","1,965,000","1,416,000","800,000","7,670,000","1,432,000","8,335,000","3,166,000","4,673,000","2,416,000","1,236,000","1,487,000","475,000","681,000","1,134,000","5,841,000"
TotalLiabilitiesNetMinorityInterest,"3,155,722,000","2,830,524,000","2,156,325,000","2,019,923,000","1,844,081,000","1,827,667,000","1,601,604,000","1,590,946,000","1,668,389,000","1,473,263,000","792,036,000","640,201,000","524,542,000","622,385,000","438,398,000","372,326,000","372,567,000","292,293,000","291,619,000","1,576,000"
	CurrentLiabilities,"57,734,000","46,989,000","47,421,000","40,908,000","35,132,000","31,490,000","27,438,000","26,079,000","21,266,000","18,509,000","13,911,000","9,990,000","9,137,000","8,920,000","7,581,000","5,930,000","6,016,000","5,433,000","5,146,000","1,576,000"
		PayablesAndAccruedExpenses,"57,734,000","46,989,000","47,421,000","40,908,000","35,132,000","31,490,000","27,438,000","26,079,000","21,266,000","18,509,000","13,911,000","9,990,000","9,137,000","8,920,000","7,581,000","5,930,000","6,016,000","5,433,000","5,146,000","1,576,000"
			Payables,"15,005,000","13,961,000","13,272,000","12,642,000","12,160,000","12,075,000","11,571,000","11,512,000","10,843,000","9,962,000","8,242,000","6,373,000","6,139,000","3,661,000","3,654,000","2,979,000","4,075,000","4,415,000","3,743,000",
				AccountsPayable,,,,,,,,,,,,,,"0","0","244,000","1,347,000","1,567,000","3,743,000",
				DividendsPayable,"10,548,000","9,690,000","9,674,000","9,118,000","8,688,000","8,673,000","8,337,000","8,322,000","7,985,000","7,472,000","6,322,000","4,834,000","4,627,000","2,741,000","2,735,000","2,735,000","2,728,000","2,848,000",,
				OtherPayable,"4,457,000","4,271,000","3,598,000","3,524,000","3,472,000","3,402,000","3,234,000","3,190,000","2,858,000","2,490,000","1,920,000","1,539,000","1,512,000","920,000","919,000",,,,,
			CurrentAccruedExpenses,"42,729,000","33,028,000","34,149,000","28,266,000","22,972,000","19,415,000","15,867,000","14,567,000","10,423,000","8,547,000","5,669,000","3,617,000","2,998,000","5,259,000","3,927,000","2,951,000","1,941,000","1,018,000","1,403,000",
				InterestPayable,"40,289,000","31,601,000","31,206,000","25,443,000","20,585,000","17,890,000","14,869,000","11,942,000","8,736,000","5,801,000","3,260,000","1,750,000","1,524,000","1,663,000","1,162,000","1,069,000","993,000","574,000",,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,097,988,000","2,783,535,000","2,108,904,000","1,979,015,000","1,808,949,000","1,796,177,000","1,574,166,000","1,564,867,000","1,647,123,000","1,454,754,000","778,125,000","630,211,000","515,405,000","613,465,000","430,817,000","366,396,000","366,551,000","286,860,000","286,473,000","0"
		LongTermDebtAndCapitalLeaseObligation,"2,919,053,000","2,703,108,000","2,033,832,000","1,903,623,000","1,730,585,000","1,690,458,000","1,475,332,000","1,465,907,000","1,548,218,000","1,378,774,000","697,448,000","550,854,000","442,637,000","543,965,000","371,375,000","307,276,000","307,178,000","227,396,000","227,406,000",
			LongTermDebt,"2,913,481,000","2,697,503,000","2,028,195,000","1,897,954,000","1,724,884,000","1,684,726,000","1,469,570,000","1,460,114,000","1,542,396,000","1,372,922,000","691,567,000","544,945,000","436,699,000","543,965,000","371,375,000","307,276,000","307,178,000","227,396,000","227,406,000",
			LongTermCapitalLeaseObligation,"5,572,000","5,605,000","5,637,000","5,669,000","5,701,000","5,732,000","5,762,000","5,793,000","5,822,000","5,852,000","5,881,000","5,909,000","5,938,000",,,,,,,
