name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000
TotalAssets,"31,085,377,000","34,731,738,000","36,404,320,000","35,228,542,000","40,054,433,000","37,726,096,000","38,432,872,000","36,613,127,000","35,879,416,000","32,548,069,000","33,526,437,000","29,970,384,000","28,383,111,000","28,257,767,000","27,127,107,000","27,781,910,000","24,449,147,000","25,075,645,000","24,400,998,000","23,119,713,000","20,864,874,000","21,697,134,000","22,216,388,000","21,080,994,000","20,210,893,000","18,909,139,000","18,665,995,000","17,817,338,000","17,325,458,000","15,899,946,000","14,266,502,000","13,532,826,000","12,143,588,000","11,714,691,000","10,797,744,000","10,978,288,000","10,020,866,000","10,540,844,000","9,881,666,000","9,144,748,000","8,560,307,000","8,137,618,000","7,705,767,000","6,709,734,000","6,061,534,000","6,446,169,000","6,345,496,000","5,962,054,000","5,500,182,000","5,698,904,000","5,318,440,000","5,304,378,000","5,010,522,000","5,140,212,000","4,742,691,000","4,663,236,000","4,352,244,000","4,287,449,000","4,078,153,000","3,944,782,000","3,819,757,000","3,675,349,000","3,494,013,000","3,412,480,000","3,192,932,000","3,042,225,000","2,932,662,000","2,818,039,000","2,636,920,000","2,611,163,000","2,487,371,000","2,399,603,000","2,233,135,000","2,192,875,000","2,150,508,000","2,003,198,000","1,948,177,000","1,793,282,000","1,617,469,000","1,260,774,000","1,232,454,000","1,164,779,000","1,056,667,000","1,016,701,000","938,196,000","908,428,000","835,965,000","699,570,000"
TotalLiabilitiesNetMinorityInterest,"27,995,339,000","31,522,122,000","33,256,568,000","32,113,585,000","36,894,951,000","34,854,872,000","35,632,468,000","33,878,372,000","33,075,883,000","29,715,811,000","30,769,004,000","27,301,932,000","25,801,169,000","25,757,373,000","24,700,665,000","25,438,380,000","22,175,718,000","22,872,924,000","22,242,635,000","21,019,160,000","18,814,432,000","19,687,577,000","20,490,606,000","19,396,259,000","18,563,805,000","17,285,606,000","17,075,944,000","16,262,809,000","15,807,500,000","14,415,756,000","12,968,580,000","12,270,010,000","10,913,457,000","10,618,341,000","9,731,115,000","9,943,333,000","9,007,671,000","9,704,602,000","9,079,260,000","8,464,043,000","7,912,966,000","7,521,287,000","7,117,823,000","6,145,810,000","5,516,609,000","5,917,850,000","5,829,878,000","5,447,976,000","5,000,186,000","5,217,544,000","4,844,396,000","4,840,352,000","4,538,532,000","4,753,139,000","4,361,833,000","4,348,319,000","4,040,228,000","3,992,311,000","3,793,944,000","3,674,685,000","3,556,141,000","3,421,834,000","3,254,221,000","3,187,787,000","2,971,166,000","2,826,702,000","2,720,344,000","2,612,159,000","2,442,409,000","2,415,888,000","2,297,057,000","2,225,276,000","2,050,548,000","2,021,119,000","1,985,428,000","1,871,030,000","1,820,415,000","1,668,306,000","1,496,641,000","1,142,731,000","1,120,429,000","1,058,420,000","962,568,000","927,298,000","849,620,000","822,231,000","745,997,000","608,364,000"
TotalEquityGrossMinorityInterest,"3,090,038,000","3,209,616,000","3,147,752,000","3,114,957,000","3,159,482,000","2,871,224,000","2,800,404,000","2,734,755,000","2,803,533,000","2,832,258,000","2,757,433,000","2,668,452,000","2,581,942,000","2,500,394,000","2,426,442,000","2,343,530,000","2,273,429,000","2,202,721,000","2,158,363,000","2,100,553,000","2,050,442,000","2,009,557,000","1,725,782,000","1,684,735,000","1,647,088,000","1,623,533,000","1,590,051,000","1,554,529,000","1,517,958,000","1,484,190,000","1,297,922,000","1,262,816,000","1,230,131,000","1,096,350,000","1,066,629,000","1,034,955,000","1,013,195,000","836,242,000","802,406,000","680,705,000","647,341,000","616,331,000","587,944,000","563,924,000","544,925,000","528,319,000","515,618,000","514,078,000","499,996,000","481,360,000","474,044,000","464,026,000","471,990,000","387,073,000","380,858,000","314,917,000","312,016,000","295,138,000","284,209,000","270,097,000","263,616,000","253,515,000","239,792,000","224,693,000","221,766,000","215,523,000","212,318,000","205,880,000","194,511,000","195,275,000","190,314,000","174,327,000","182,587,000","171,756,000","165,080,000","132,168,000","127,762,000","124,976,000","120,828,000","118,043,000","112,025,000","106,359,000","94,099,000","89,403,000","88,576,000","86,197,000","89,968,000","91,206,000"
	StockholdersEquity,"3,090,038,000","3,209,616,000","3,147,752,000","3,114,957,000","3,159,482,000","2,871,224,000","2,800,404,000","2,734,755,000","2,803,533,000","2,832,258,000","2,757,433,000","2,668,452,000","2,581,942,000","2,500,394,000","2,426,442,000","2,343,530,000","2,273,429,000","2,202,721,000","2,158,363,000","2,100,553,000","2,050,442,000","2,009,557,000","1,725,782,000","1,684,735,000","1,647,088,000","1,623,533,000","1,590,051,000","1,554,529,000","1,517,958,000","1,484,190,000","1,297,922,000","1,262,816,000","1,230,131,000","1,096,350,000","1,066,629,000","1,034,955,000","1,013,195,000","836,242,000","802,406,000","680,705,000","647,341,000","616,331,000","587,944,000","563,924,000","544,925,000","528,319,000","515,618,000","514,078,000","499,996,000","481,360,000","474,044,000","464,026,000","471,990,000","387,073,000","380,858,000","314,917,000","312,016,000","295,138,000","284,209,000","270,097,000","263,616,000","253,515,000","239,792,000","224,693,000","221,766,000","215,523,000","212,318,000","205,880,000","194,511,000","195,275,000","190,314,000","174,327,000","182,587,000","171,756,000","165,080,000","132,168,000","127,762,000","124,976,000","120,828,000","118,043,000","112,025,000","106,359,000","94,099,000","89,403,000","88,576,000","86,197,000","89,968,000","91,206,000"
		CapitalStock,"300,507,000","300,506,000","300,506,000","300,506,000","450,505,000","150,504,000","150,504,000","150,504,000","150,504,000","150,503,000","150,503,000","150,503,000","150,503,000","150,502,000","150,502,000","150,502,000","150,497,000","150,496,000","150,496,000","150,496,000","150,496,000","150,495,000","150,460,000","150,460,000","150,459,000","150,459,000","150,458,000","150,458,000","150,457,000","150,457,000","150,432,000","150,431,000","150,430,000","150,410,000","150,409,000","150,408,000","150,408,000","407,000","406,000","381,000","379,000","376,000","374,000","373,000","372,000","369,000","368,000","368,000","365,000","359,000","358,000","357,000","71,294,000","310,000","308,000","268,000","266,000","264,000","263,000","262,000","261,000","261,000","261,000","259,000","259,000","258,000","257,000","256,000","256,000","255,000","253,000","253,000","251,000","250,000","248,000","203,000","203,000","203,000","202,000","202,000","107,000","104,000","96,000","96,000","96,000","96,000","95,000","95,000"
			PreferredStock,"300,000,000","300,000,000","300,000,000","300,000,000","450,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","0","0","0","0","0","0","0",,"0","0","0","0",,,,"70,984,000",,,,,,,,,,,,,,,,,,,,,,,"11,000","11,000","11,000","11,000","11,000","11,000","8,000",,,,,,
			CommonStock,"507,000","506,000","506,000","506,000","505,000","504,000","504,000","504,000","504,000","503,000","503,000","503,000","503,000","502,000","502,000","502,000","497,000","496,000","496,000","496,000","496,000","495,000","460,000","460,000","459,000","459,000","458,000","458,000","457,000","457,000","432,000","431,000","430,000","410,000","409,000","408,000","408,000","407,000","406,000","381,000","379,000","376,000","374,000","373,000","372,000","369,000","368,000","368,000","365,000","359,000","358,000","357,000","310,000","310,000","308,000","268,000","266,000","264,000","263,000","262,000","261,000","261,000","261,000","259,000","259,000","258,000","257,000","256,000","256,000","255,000","253,000","253,000","251,000","250,000","248,000","192,000","192,000","192,000","191,000","191,000","96,000","96,000","96,000","96,000","96,000","96,000","95,000","95,000"
		AdditionalPaidInCapital,"1,011,353,000","1,008,559,000","1,000,509,000","992,469,000","984,207,000","991,898,000","987,754,000","983,144,000","979,939,000","978,205,000","974,799,000","972,219,000","969,079,000","967,890,000","965,286,000","963,732,000","962,553,000","961,305,000","959,251,000","957,721,000","956,246,000","955,468,000","717,452,000","716,652,000","715,435,000","714,546,000","713,209,000","712,222,000","710,943,000","709,738,000","558,822,000","557,919,000","556,247,000","448,208,000","446,249,000","445,270,000","444,477,000","450,116,000","447,104,000","357,713,000","353,567,000","349,458,000","346,405,000","343,997,000","341,680,000","336,796,000","335,057,000","342,724,000","337,124,000","326,224,000","324,724,000","321,987,000","260,647,000","255,051,000","253,599,000","196,710,000","193,917,000","190,175,000","188,265,000","186,319,000","184,038,000","182,321,000","179,017,000","178,204,000","177,014,000","176,131,000","174,904,000","174,183,000","173,397,000","172,380,000","170,650,000","170,147,000","169,074,000","167,751,000","165,972,000","131,801,000","131,707,000","131,881,000","132,004,000","132,195,000","132,462,000","127,473,000","114,240,000","114,143,000","113,998,000","113,971,000","113,780,000","113,716,000"
		RetainedEarnings,"1,983,611,000","1,948,274,000","1,887,457,000","1,848,379,000","1,781,215,000","1,713,056,000","1,655,317,000","1,600,639,000","1,668,329,000","1,694,608,000","1,623,128,000","1,537,425,000","1,461,893,000","1,381,492,000","1,312,038,000","1,228,924,000","1,159,925,000","1,090,500,000","1,048,195,000","991,949,000","943,291,000","903,187,000","857,238,000","816,951,000","780,508,000","757,818,000","725,502,000","690,826,000","655,326,000","622,714,000","587,317,000","552,923,000","521,939,000","496,112,000","468,191,000","437,152,000","415,517,000","382,455,000","351,026,000","318,490,000","288,868,000","261,783,000","236,043,000","214,340,000","197,686,000","185,807,000","173,753,000","164,227,000","156,165,000","148,620,000","142,248,000","136,936,000","134,951,000","129,851,000","126,464,000","119,151,000","113,467,000","105,585,000","100,232,000","91,990,000","83,785,000","76,163,000","68,093,000","60,223,000","53,882,000","47,239,000","39,494,000","31,910,000","25,323,000","20,047,000","14,020,000","8,784,000","4,424,000","487,000","-3,127,000","-6,459,000","-10,316,000","-13,347,000","-15,219,000","-17,313,000","-19,132,000","-20,690,000","-22,784,000","-24,831,000","-25,997,000","-26,534,000","-20,574,000","-17,574,000"
		TreasuryStock,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","581,000","581,000","581,000","581,000","581,000","581,000","581,000","581,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","573,000","668,000","668,000","668,000","668,000","667,000","650,000","573,000","594,000","631,000","1,035,000","1,333,000","1,427,000","1,363,000","1,299,000"
		GainsLossesNotAffectingRetainedEarnings,"-205,425,000","-47,715,000","-40,712,000","-26,389,000","-56,437,000","15,774,000","6,837,000","476,000","4,769,000","8,950,000","9,011,000","8,313,000","475,000","518,000","-1,376,000","380,000","462,000","428,000","429,000","395,000","417,000","415,000","640,000","680,000","694,000","718,000","890,000","1,031,000","1,240,000","1,289,000","1,359,000","1,551,000","1,523,000","1,628,000","1,788,000","2,133,000","2,801,000","3,272,000","3,878,000","4,129,000","4,535,000","4,722,000","5,130,000","5,222,000","5,195,000","5,355,000","6,448,000","6,767,000","6,350,000","6,165,000","6,722,000","4,754,000","5,106,000","2,442,000","1,068,000","-631,000","4,947,000","-305,000","-3,970,000","-7,893,000","-3,887,000","-4,657,000","-7,006,000","-13,420,000","-8,816,000","-7,532,000","-1,764,000","104,000","-3,892,000","3,166,000","5,964,000","-4,284,000","9,411,000","3,841,000","2,655,000","7,291,000","6,836,000","6,907,000","4,508,000","3,609,000","-839,000","66,000","2,605,000","1,030,000","1,812,000","91,000","-1,970,000","-3,732,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"573,000",,,,,
TotalCapitalization,"4,019,452,000","6,338,354,000","6,275,814,000","6,042,343,000","6,224,450,000","6,267,120,000","5,896,210,000","5,830,470,000","8,099,158,000","5,627,793,000","5,652,877,000","6,163,806,000","6,577,206,000","6,795,567,000","6,021,525,000","6,738,522,000","4,968,331,000","5,397,533,000","5,053,084,000","5,195,184,000","3,944,982,000","4,404,007,000","3,790,142,000","4,098,467,000","3,645,267,000","3,522,939,000","3,239,457,000","3,353,935,000","2,917,364,000","2,983,601,000","2,147,339,000","2,362,238,000","2,134,558,000","2,175,782,000","1,541,066,000","2,559,397,000","1,687,642,000","2,710,694,000","2,553,524,000","2,109,167,000","2,010,808,000","729,737,000","1,690,849,000","1,020,629,000","661,740,000","641,725,000","518,612,000","567,190,000","617,650,000",,,,"585,396,000","427,073,000","1,046,852,000","428,323,000","425,422,000","840,434,000","397,615,000","383,503,000","377,022,000","366,921,000","353,198,000","296,861,000","268,160,000","261,917,000","232,938,000","226,500,000","215,131,000","215,895,000","239,179,000","194,947,000","203,207,000","192,376,000","185,080,000","152,168,000","137,762,000","134,976,000","409,216,000","220,485,000","204,729,000","193,258,000","95,078,000","90,584,000","89,956,000","88,258,000","91,675,000","93,105,000"
PreferredStockEquity,"300,000,000","300,000,000","300,000,000","300,000,000","450,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000","150,000,000",,,,,,,,,,,,,,,,"70,984,000",,,,,,,,,,,,,,,,,,,,,,,"11,000","11,000","11,000","11,000","11,000","11,000","8,000",,,,,,
CommonStockEquity,"2,790,038,000","2,909,616,000","2,847,752,000","2,814,957,000","2,709,482,000","2,721,224,000","2,650,404,000","2,584,755,000","2,653,533,000","2,682,258,000","2,607,433,000","2,518,452,000","2,431,942,000","2,350,394,000","2,276,442,000","2,193,530,000","2,123,429,000","2,052,721,000","2,008,363,000","1,950,553,000","1,900,442,000","1,859,557,000","1,575,782,000","1,534,735,000","1,497,088,000","1,473,533,000","1,440,051,000","1,404,529,000","1,367,958,000","1,334,190,000","1,147,922,000","1,112,816,000","1,080,131,000","946,350,000","916,629,000","884,955,000","863,195,000","836,242,000","802,406,000","680,705,000","647,341,000","616,331,000","587,944,000","563,924,000","544,925,000","528,319,000","515,618,000","514,078,000","499,996,000","481,360,000","474,044,000","464,026,000","401,006,000","387,073,000","380,858,000","314,917,000","312,016,000","295,138,000","284,209,000","270,097,000","263,616,000","253,515,000","239,792,000","224,693,000","221,766,000","215,523,000","212,318,000","205,880,000","194,511,000","195,275,000","190,314,000","174,327,000","182,587,000","171,756,000","165,080,000","132,157,000","127,751,000","124,965,000","120,817,000","118,032,000","112,014,000","106,351,000","94,099,000","89,403,000","88,576,000","86,197,000","89,968,000","91,206,000"
NetTangibleAssets,"3,072,877,000","3,192,354,000","3,129,231,000","3,096,177,000","3,020,820,000","2,748,133,000","2,687,313,000","2,641,435,000","2,714,932,000","2,749,255,000","2,690,091,000","2,602,333,000","2,519,402,000","2,439,350,000","2,321,396,000","2,241,949,000","2,177,946,000","2,098,354,000","2,061,576,000","2,018,253,000","1,985,521,000","1,961,509,000","1,690,690,000","1,656,444,000","1,622,964,000","1,603,150,000","1,569,956,000","1,534,292,000","1,497,546,000","1,463,602,000","1,277,159,000","1,241,878,000","1,209,016,000","1,075,064,000","1,045,166,000","1,013,316,000","993,461,000","816,359,000","782,374,000","660,524,000","627,011,000","595,851,000","567,298,000","543,132,000","535,523,000","518,836,000","506,054,000","504,434,000","490,271,000","471,554,000","466,477,000","456,418,000","464,342,000","379,384,000","373,129,000","307,147,000","304,206,000","287,287,000","276,318,000","262,164,000","255,643,000","240,526,000","226,670,000","212,285,000","209,361,000","203,011,000","204,100,000","199,463,000","193,015,000","193,779,000","188,818,000","172,831,000","181,091,000","170,260,000","163,584,000","130,672,000","126,266,000","123,480,000","119,332,000","116,547,000","110,529,000","104,863,000","92,572,000","87,844,000","86,986,000","84,576,000","88,316,000","89,523,000"
InvestedCapital,"5,144,452,000","6,038,354,000","5,975,814,000","5,742,343,000","5,774,450,000","6,117,120,000","5,746,210,000","5,680,470,000","7,949,158,000","5,477,793,000","5,502,877,000","6,013,806,000","6,427,206,000","6,645,567,000","5,871,525,000","6,588,522,000","4,818,331,000","5,247,533,000","4,903,084,000","5,045,184,000","3,794,982,000","4,254,007,000","3,640,142,000","3,948,467,000","3,495,267,000","3,372,939,000","3,089,457,000","3,203,935,000","2,767,364,000","2,833,601,000","1,997,339,000","2,212,238,000","1,984,558,000","2,025,782,000","1,391,066,000","2,409,397,000","1,537,642,000","2,710,694,000","2,553,524,000","2,109,167,000","2,010,808,000","2,061,803,000","1,690,849,000","1,020,629,000","661,740,000","644,911,000","518,612,000","567,190,000","617,650,000","832,800,000","582,785,000","828,837,000","1,386,925,000","1,239,793,000","1,088,884,000","631,860,000","855,728,000","847,582,000","531,561,000","634,049,000","377,022,000","369,166,000","454,375,000","299,974,000","343,322,000","315,784,000","234,498,000","353,333,000","216,165,000","219,204,000","239,179,000","198,693,000","205,215,000","226,914,000","190,362,000","205,658,000","140,536,000","198,713,000","488,904,000","272,561,000","290,087,000","269,949,000","205,425,000","185,549,000","166,912,000","104,783,000","109,125,000","115,655,000"
TangibleBookValue,"2,772,877,000","2,892,354,000","2,829,231,000","2,796,177,000","2,570,820,000","2,598,133,000","2,537,313,000","2,491,435,000","2,564,932,000","2,599,255,000","2,540,091,000","2,452,333,000","2,369,402,000","2,289,350,000","2,171,396,000","2,091,949,000","2,027,946,000","1,948,354,000","1,911,576,000","1,868,253,000","1,835,521,000","1,811,509,000","1,540,690,000","1,506,444,000","1,472,964,000","1,453,150,000","1,419,956,000","1,384,292,000","1,347,546,000","1,313,602,000","1,127,159,000","1,091,878,000","1,059,016,000","925,064,000","895,166,000","863,316,000","843,461,000","816,359,000","782,374,000","660,524,000","627,011,000","595,851,000","567,298,000","543,132,000","535,523,000","518,836,000","506,054,000","504,434,000","490,271,000","471,554,000","466,477,000","456,418,000","393,358,000","379,384,000","373,129,000","307,147,000","304,206,000","287,287,000","276,318,000","262,164,000","255,643,000","240,526,000","226,670,000","212,285,000","209,361,000","203,011,000","204,100,000","199,463,000","193,015,000","193,779,000","188,818,000","172,831,000","181,091,000","170,260,000","163,584,000","130,661,000","126,255,000","123,469,000","119,321,000","116,536,000","110,518,000","104,855,000","92,572,000","87,844,000","86,986,000","84,576,000","88,316,000","89,523,000"
