name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994
TotalAssets,"3,642,310,000","3,791,347,000","3,890,606,000","3,742,888,000","3,579,607,000","3,546,345,000","3,530,675,000","3,425,278,000","3,356,204,000","3,315,633,000","3,320,593,000","3,138,045,000","3,251,820,000","2,160,515,000","2,197,042,000","2,158,535,000","2,051,215,000","1,952,780,000","1,953,447,000","1,922,601,000","1,928,075,000","1,902,637,000","1,885,191,000","1,874,096,000","1,814,894,000","1,833,301,000","1,876,535,000","1,907,333,000","1,917,356,000","1,888,741,000","1,988,765,000","1,904,146,000","1,945,265,000","2,221,214,000","2,118,312,000","1,993,695,000","1,869,403,000","1,797,211,000","1,755,595,000","1,594,582,000","1,555,344,000","1,483,708,000","1,478,105,000","1,705,424,000","1,694,259,000","1,794,321,000","1,721,971,000","1,727,067,000","1,708,178,000","1,636,093,000","1,541,147,000","1,445,221,000","1,391,061,000","1,329,009,000","1,328,426,000","1,268,389,000","1,205,285,000","1,142,791,000","1,066,202,000","981,006,000","937,286,000","899,251,000","865,204,000","839,053,000","798,935,000","769,205,000","710,453,000","637,833,000","588,222,000","556,684,000","464,122,000","433,158,000","401,495,000","359,595,000","333,002,000","306,837,000","287,138,000","277,996,000","272,181,000","257,839,000","245,587,000","195,102,000","184,665,000","181,676,000","173,294,000","168,716,000","162,591,000","160,527,000","155,600,000","153,501,000","156,800,000","141,100,000","135,300,000","133,400,000","129,500,000","125,300,000","116,500,000","107,400,000","105,000,000","99,100,000","94,100,000","89,700,000","91,300,000","83,800,000","79,200,000","71,100,000","68,200,000","61,800,000","59,800,000","56,800,000","55,000,000","49,200,000","46,600,000","43,400,000"
	CurrentAssets,"1,208,119,000","1,285,747,000","1,369,253,000","1,395,413,000","1,281,029,000","1,223,332,000","1,371,561,000","1,270,966,000","1,176,928,000","1,053,396,000","1,113,013,000","1,000,397,000","1,139,297,000","1,202,756,000","1,248,799,000","1,201,768,000","1,097,138,000","978,757,000","967,309,000","937,677,000","924,850,000","881,397,000","890,019,000","859,210,000","809,531,000","834,361,000","847,226,000","839,463,000","844,921,000","809,117,000","898,065,000","791,964,000","853,030,000","994,980,000","976,781,000","997,538,000","954,570,000","872,284,000","866,265,000","704,028,000","675,888,000","596,992,000","608,330,000","698,568,000","701,290,000","803,977,000","899,606,000","962,613,000","920,530,000","806,213,000","737,495,000","583,854,000","563,098,000","624,402,000","546,358,000","528,731,000","482,239,000","433,610,000","466,637,000","412,251,000","388,774,000","366,405,000","358,934,000","360,777,000","377,542,000","385,183,000","372,251,000","345,926,000","305,856,000","287,868,000","239,449,000","222,343,000","198,877,000","175,835,000","152,402,000","142,739,000","139,131,000","144,584,000","127,033,000","143,488,000","132,139,000","82,149,000","74,957,000","72,496,000","67,830,000","64,973,000","66,702,000","70,476,000","64,793,000","66,078,000","72,600,000","63,100,000","62,300,000","71,600,000","75,500,000","74,100,000","69,300,000","65,800,000","65,400,000","61,100,000","55,300,000","50,900,000","53,700,000","50,100,000","54,800,000","46,600,000","46,800,000","41,700,000","38,500,000","35,600,000","42,000,000","38,000,000","36,700,000","35,200,000"
		CashCashEquivalentsAndShortTermInvestments,"259,203,000","445,995,000","424,729,000","621,793,000","528,677,000","570,330,000","624,947,000","663,361,000","653,861,000","433,292,000","337,767,000","333,416,000","520,362,000","637,492,000","566,412,000","603,893,000","480,080,000","447,345,000","327,954,000","386,954,000","370,977,000","359,207,000","259,530,000","302,347,000","287,708,000","326,337,000","219,142,000","266,367,000","273,557,000","258,804,000","243,196,000","251,994,000","341,621,000","523,871,000","422,476,000","524,345,000","488,402,000","473,813,000","362,713,000","271,371,000","247,518,000","235,127,000","130,019,000","285,728,000","312,627,000","456,677,000","503,624,000","591,061,000","583,258,000","501,536,000","418,395,000","288,760,000","297,625,000","365,983,000","196,149,000","237,296,000","219,131,000","185,398,000","190,803,000","173,135,000","164,679,000","159,278,000","126,592,000","152,531,000","174,831,000","191,795,000","156,340,000","165,038,000","156,805,000","155,684,000","86,915,000","102,286,000","96,073,000","87,173,000","58,940,000","59,953,000","64,632,000","79,506,000","55,310,000","78,770,000","78,679,000","28,283,000","7,573,000","10,972,000","10,127,000","16,600,000","8,759,000","15,165,000","19,058,000","23,952,000","15,700,000","19,100,000","14,100,000","25,200,000","24,000,000","23,000,000","23,900,000","26,700,000","19,700,000","18,900,000","15,000,000","14,600,000","13,500,000","13,800,000","20,800,000","20,100,000","12,400,000","8,600,000","6,500,000","9,100,000","12,000,000","7,900,000","11,200,000","15,500,000"
			CashAndCashEquivalents,"71,640,000","206,575,000","236,354,000","464,811,000","364,247,000","395,635,000","624,945,000","662,860,000","588,740,000","221,839,000","167,070,000","162,018,000","291,199,000","358,260,000","329,021,000","405,727,000","313,713,000","282,220,000","234,726,000","276,759,000","252,484,000","248,140,000","234,886,000","243,116,000","228,144,000","265,276,000","149,597,000","194,441,000","176,931,000","154,558,000","128,191,000","145,273,000","191,825,000","242,058,000","194,929,000","298,546,000","273,464,000","245,327,000","216,648,000","135,481,000","130,462,000","145,273,000","83,370,000","226,381,000","243,939,000","340,257,000","253,546,000","244,954,000","259,348,000","159,024,000","202,316,000","152,885,000","224,732,000","316,035,000","71,714,000","160,391,000","164,030,000","105,271,000","36,393,000","42,387,000","31,171,000","27,267,000","30,544,000","59,722,000","28,106,000","49,912,000","20,067,000","21,776,000","22,124,000","29,731,000","5,413,000","64,213,000","72,547,000","67,194,000","37,396,000","50,452,000","57,632,000","72,127,000","51,555,000","68,195,000","74,647,000","28,251,000","7,531,000","10,633,000","9,795,000","16,286,000","7,157,000","6,846,000","8,474,000","12,727,000","7,300,000","8,900,000","14,100,000","25,200,000","24,000,000","23,000,000","23,900,000","26,700,000","19,700,000","18,900,000","15,000,000","14,600,000","13,500,000","13,800,000","20,800,000","20,100,000","12,400,000","8,600,000","6,500,000","9,100,000","12,000,000","7,900,000","11,200,000","15,500,000"
			OtherShortTermInvestments,"187,563,000","239,420,000","188,375,000","156,982,000","164,430,000","174,695,000","2,000","501,000","65,121,000","211,453,000","170,697,000","171,398,000","229,163,000","279,232,000","237,391,000","198,166,000","166,367,000","165,125,000","93,228,000","110,195,000","118,493,000","111,067,000","24,644,000","59,231,000","59,564,000","61,061,000","69,545,000","71,926,000","96,626,000","104,246,000","115,005,000","106,721,000","149,796,000","281,813,000","227,547,000","225,799,000","214,938,000","228,486,000","146,065,000","135,890,000","117,056,000","89,854,000","46,649,000","59,347,000","68,688,000","116,420,000","250,078,000","346,107,000","323,910,000","342,512,000","216,079,000","135,875,000","72,893,000","49,948,000","124,435,000","76,905,000","55,101,000","80,127,000","154,410,000","130,748,000","133,508,000","132,011,000","96,048,000","92,809,000","146,725,000","141,883,000","136,273,000","143,262,000","134,681,000","125,953,000","81,502,000","38,073,000","23,526,000","19,979,000","21,544,000","9,501,000","7,000,000","7,379,000","3,755,000","10,575,000","4,032,000","32,000","42,000","339,000","332,000","314,000","1,602,000","8,319,000","10,584,000","11,225,000","8,400,000","10,200,000",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"97,058,000","63,760,000","114,208,000","94,402,000","85,307,000","89,952,000","87,187,000","60,441,000","55,910,000","88,288,000","99,971,000","95,131,000","88,390,000","80,461,000","90,954,000","90,646,000","88,936,000","76,962,000","78,348,000","75,530,000","83,949,000","54,505,000","68,896,000","95,003,000","72,165,000","75,723,000","68,332,000","70,014,000","54,283,000","70,458,000","70,803,000","72,813,000","59,267,000","55,161,000","54,717,000","53,807,000","48,868,000","39,519,000","43,913,000","48,222,000","43,882,000","36,673,000","46,830,000","52,560,000","46,539,000","36,502,000","47,653,000","42,474,000","35,448,000","38,405,000","37,592,000","32,039,000","30,079,000","36,390,000","33,822,000","32,468,000","25,593,000","26,365,000","24,879,000","24,516,000","22,037,000","20,871,000","19,553,000","22,299,000","23,686,000","14,324,000","18,509,000","19,195,000","13,754,000","8,364,000","13,635,000","10,420,000","7,446,000","6,711,000","6,478,000","6,402,000","5,538,000","3,262,000","6,265,000","5,333,000","4,678,000","4,129,000","5,352,000","5,526,000","5,558,000","3,444,000","4,777,000","5,922,000","6,369,000","4,825,000","8,900,000","6,200,000","5,100,000","4,800,000","6,900,000","4,700,000","4,400,000","4,500,000","6,700,000","4,800,000","5,200,000","2,800,000","5,900,000","3,900,000","3,300,000","1,600,000","4,200,000","3,800,000","3,500,000","1,200,000","3,500,000","3,100,000","3,400,000","700,000"
			AccountsReceivable,"97,058,000","63,760,000","114,208,000","94,402,000","85,307,000","89,952,000","87,187,000","60,441,000","55,910,000","88,288,000","99,971,000","95,131,000","88,390,000","80,461,000","90,954,000","90,646,000","88,936,000","76,962,000","78,348,000","75,530,000","83,949,000","54,505,000","68,896,000","95,003,000","72,165,000","75,723,000","68,332,000","70,014,000","54,283,000","70,458,000","70,803,000","72,813,000","59,267,000","55,161,000","54,717,000","53,807,000","48,868,000","39,519,000","43,913,000","48,222,000","43,882,000","36,673,000","46,830,000","52,560,000","46,539,000","36,502,000","47,653,000","42,474,000","35,448,000","38,405,000","37,592,000","32,039,000","30,079,000","36,390,000","33,822,000","32,468,000","25,593,000","26,365,000","24,879,000","24,516,000","22,037,000","20,871,000","19,553,000","22,299,000","23,686,000","14,324,000","18,509,000","19,195,000","13,754,000","8,364,000","13,635,000","10,420,000","7,446,000","6,711,000","6,478,000","6,402,000","5,538,000","3,262,000","6,265,000","5,333,000","4,678,000","4,129,000","5,352,000","5,526,000","5,558,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"98,211,000","65,108,000","115,521,000","95,704,000","87,462,000","93,980,000","90,285,000","64,564,000","62,214,000","89,168,000","101,055,000","96,070,000","89,282,000","81,960,000","92,526,000","92,259,000","90,831,000","78,288,000","79,058,000","76,122,000","84,527,000","55,093,000","69,464,000","95,879,000","73,228,000","76,387,000","69,007,000","70,827,000","55,050,000","71,308,000","71,807,000","73,851,000","61,253,000","56,872,000","56,088,000","55,133,000","50,142,000","41,200,000","45,239,000","49,772,000","45,681,000","38,287,000","47,876,000","53,554,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,153,000","-1,348,000","-1,313,000","-1,302,000","-2,155,000","-4,028,000","-3,098,000","-4,123,000","-6,304,000","-880,000","-1,084,000","-939,000","-892,000","-1,499,000","-1,572,000","-1,613,000","-1,895,000","-1,326,000","-710,000","-592,000","-578,000","-588,000","-568,000","-876,000","-1,063,000","-664,000","-675,000","-813,000","-767,000","-850,000","-1,004,000","-1,038,000","-1,986,000","-1,711,000","-1,371,000","-1,326,000","-1,274,000","-1,681,000","-1,326,000","-1,550,000","-1,799,000","-1,614,000","-1,046,000","-994,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"629,953,000","569,699,000","627,103,000","483,148,000","477,777,000","389,618,000","489,234,000","351,771,000","335,640,000","409,534,000","531,565,000","440,087,000","408,362,000","370,507,000","451,659,000","375,657,000","404,617,000","351,395,000","449,957,000","365,176,000","359,493,000","338,590,000","453,826,000","367,197,000","359,865,000","330,223,000","441,550,000","384,404,000","397,998,000","358,237,000","467,097,000","362,028,000","349,045,000","311,207,000","406,712,000","347,064,000","325,471,000","282,411,000","395,406,000","322,823,000","299,750,000","250,073,000","367,407,000","303,159,000","264,278,000","229,561,000","289,256,000","243,203,000","221,984,000","186,130,000","234,521,000","217,050,000","189,881,000","169,698,000","252,308,000","211,205,000","191,287,000","171,925,000","212,696,000","185,619,000","168,131,000","154,387,000","179,592,000","148,528,000","140,726,000","140,377,000","170,232,000","132,596,000","113,477,000","98,996,000","112,893,000","90,930,000","78,399,000","63,247,000","72,213,000","61,467,000","53,739,000","48,825,000","56,518,000","51,687,000","42,143,000","41,086,000","54,258,000","47,446,000","41,903,000","34,786,000","44,986,000","41,548,000","33,023,000","26,868,000","32,500,000","31,100,000","25,300,000","21,900,000","26,500,000","27,100,000","21,100,000","17,100,000","22,400,000","20,300,000","18,600,000","17,000,000","18,700,000","16,300,000","12,000,000","10,500,000","15,100,000","13,700,000","11,600,000","10,400,000","11,100,000","8,500,000","7,100,000","6,900,000"
