name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
OperatingCashFlow,"27,092,000","-114,233,000","108,264,000","-69,733,000","102,794,000","52,327,000","-109,703,000","-98,072,000","61,710,000","-57,131,000","105,835,000","-62,479,000","-34,892,000","10,279,000","20,378,000","-10,298,000","-6,680,000","26,003,000","22,644,000","-34,321,000","95,060,000","-88,428,000","19,454,000","-35,867,000","24,836,000","-50,293,000","23,796,000","-54,495,000","6,908,000","69,474,000","-85,921,000","5,634,000","21,656,000","-39,163,000","12,116,000","-11,354,000","-46,131,000","7,501,000","40,869,000","-3,445,000"
	CashFlowFromContinuingOperatingActivities,"27,092,000","-114,233,000","108,264,000","-69,733,000","102,794,000","52,327,000","-109,703,000","-98,072,000","61,710,000","-57,131,000","105,835,000","-62,479,000","-34,892,000","10,279,000","20,378,000","-10,298,000","-6,680,000","26,003,000","22,644,000","-34,321,000","95,060,000","-88,428,000","19,454,000","-35,867,000","24,836,000","-50,293,000","23,796,000","-54,495,000","6,908,000","69,474,000","-85,921,000","5,634,000","21,656,000","-39,163,000","12,116,000","-11,354,000","-46,131,000","7,501,000","40,869,000","-3,445,000"
		NetIncomeFromContinuingOperations,"146,680,000","37,546,000","31,939,000","26,124,000","51,071,000","76,933,000","9,214,000","23,706,000","18,325,000","11,608,000","1,255,000","303,000","-835,000","961,000","702,000","1,434,000","-3,128,000","-677,000","-58,000","444,000","1,080,000","1,305,000","2,740,000","1,939,000","1,068,000","1,508,000","1,331,000","5,364,000","2,566,000","1,685,000","1,662,000","1,138,000","1,549,000","2,096,000","2,248,000","2,366,000","5,733,000","2,610,000","2,486,000","1,685,000"
		OperatingGainsLosses,"-5,966,000","-1,608,000","-1,220,000","-1,489,000","-1,650,000","-33,715,000","-2,362,000","-4,126,000","-4,486,000","-278,000","-103,000","-11,000","-226,000","-375,000","-304,000","-248,000","-143,000","-99,000","-122,000","-57,000","157,000","6,000","-93,000","14,000","-88,000",,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-5,966,000","-1,608,000","-1,220,000","-1,489,000","-1,650,000","-33,715,000","-2,362,000","-4,126,000","-4,486,000","-278,000","-103,000","-11,000","-264,000","-375,000","-311,000","-248,000","-143,000","-99,000","-122,000","-57,000","-21,000","6,000","-93,000","14,000","-88,000",,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"32,371,000","7,548,000","8,258,000","8,271,000","8,294,000","1,488,000","505,000","501,000","683,000","883,000","666,000","668,000","719,000","690,000","701,000","697,000","632,000","682,000","783,000","529,000","401,000","413,000","386,000","321,000","305,000","305,000","303,000","303,000","217,000","223,000","227,000","228,000","253,000","238,000","223,000","220,000","218,000","210,000","200,000","198,000"
			DepreciationAndAmortization,"32,371,000","7,548,000","8,258,000","8,271,000","8,294,000","1,488,000","505,000","501,000","683,000","883,000","666,000","668,000","719,000","690,000","701,000","697,000","632,000","682,000","783,000","529,000","401,000","413,000","386,000","321,000","305,000","305,000","303,000","303,000","217,000","223,000","227,000","228,000","253,000","238,000","223,000","220,000","218,000","210,000","200,000","198,000"
		DeferredTax,"-5,036,000","-1,380,000","-1,760,000","-1,423,000","-473,000","-1,561,000","0","0","987,000","1,764,000","382,000","92,000","-268,000","316,000","206,000","453,000","328,000","-28,000","-4,898,000","4,687,000","-5,121,000","-2,318,000","-5,209,000","1,868,000","2,155,000","2,985,000","111,000","1,444,000","-617,000","5,216,000",,,,,,"0",,,,"0"
			DeferredIncomeTax,"-5,036,000","-1,380,000","-1,760,000","-1,423,000","-473,000","-1,561,000","0","0","987,000","1,764,000","382,000","92,000","-268,000","316,000","206,000","453,000","328,000","-28,000","-4,898,000","4,687,000","-5,121,000","-2,318,000","-5,209,000","1,868,000","2,155,000","2,985,000","111,000","1,444,000","-617,000","5,216,000",,,,,,"0",,,,"0"
		ProvisionandWriteOffofAssets,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,"0","0","0","72,000","-72,000","0","0","316,000","-1,016,000"
