name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,11/30/1995
MarketCap,"7,515,024,000","10,772,370,180","11,067,596,640","11,990,591,360","12,720,418,750","11,857,609,790","12,906,134,200","9,745,369,801","9,653,840,192","9,264,479,172","9,441,989,260","7,641,037,468","9,361,664,000","9,033,856,000","8,562,290,818","11,955,047,000","12,117,280,000","12,001,080,000","13,243,425,000","11,355,368,000","12,382,127,348","13,226,698,276","12,673,080,000","13,265,431,134","15,997,846,275","15,145,101,902","14,621,968,558","15,262,323,861","17,123,088,503","17,479,960,407","16,332,646,916","15,716,196,960","15,531,377,461","14,737,006,236","13,508,155,025","12,101,025,420","12,780,640,000","12,511,245,000","11,660,757,494","9,801,506,000","9,231,740,000","8,448,929,000","7,088,235,000","5,856,059,210","8,096,390,362","8,242,768,259","6,671,146,667","6,994,834,681","6,405,853,284","6,580,489,197","6,053,902,880","5,847,104,319","6,670,288,517","4,579,590,000","5,145,366,000","5,973,937,427","5,537,300,993","5,000,472,000","6,036,782,656","6,741,306,000","5,695,116,000","5,614,596,000","5,951,730,263","6,015,737,367","5,148,920,000","6,219,693,000","5,162,001,414","4,681,775,019","4,591,141,100","4,184,304,034","3,896,351,296","3,043,624,696","3,041,381,371","3,148,810,672","2,515,608,576","2,044,859,878","1,649,765,269","1,264,013,076","1,503,729,644","1,462,928,576","1,602,156,547","2,084,186,169","2,070,748,256","1,721,143,781","1,710,430,228","1,410,044,888","1,406,613,800","612,919,590","489,390,000","254,328,051","543,059,454","603,924,376","1,263,394,875","892,642,423","2,395,530,405","1,942,728,000","2,788,221,000","2,711,762,073","1,226,202,705","1,334,696,880","1,071,460,351","808,440,538","959,173,912","1,038,152,928","1,093,305,852","695,538,870","598,663,902"
EnterpriseValue,"19,062,470,000","22,263,410,180","22,037,661,640","23,002,621,360","23,935,157,750","22,706,521,790","23,282,332,200","19,533,552,801","19,941,557,192","19,326,481,172","19,280,275,260","16,091,189,468","22,355,280,000","18,810,099,000","18,334,083,818","21,505,342,000","21,217,825,000","20,785,561,000","21,358,482,000","19,525,072,000","19,685,725,348","21,115,681,276","20,224,872,000","20,689,289,134","23,677,772,275","22,368,246,902","21,848,414,558","22,596,294,861","24,187,681,503","24,680,754,407","23,165,922,916","23,030,953,960","22,779,070,461","22,199,884,236","20,971,869,025","19,952,941,420","20,579,305,000","20,524,684,000","19,674,196,494","14,017,902,000","13,265,345,000","12,542,747,000","11,022,333,000","9,790,157,210","11,629,600,362","11,530,489,259","10,096,768,667","9,826,416,681","9,192,324,284","9,439,545,197","9,150,839,880","8,933,254,319","9,812,085,517","7,866,667,000","8,394,099,000","9,241,913,427","8,868,489,993","8,180,732,000","9,256,776,656","10,030,424,000","9,088,423,000","9,055,645,000","9,516,203,263","9,620,473,367","8,753,656,000","9,985,117,000","6,189,819,414","5,709,593,019","5,644,247,100","5,234,777,034","5,020,204,296","4,204,646,696","3,984,795,371","4,150,956,672","3,621,510,576","3,095,622,878","2,791,160,269","2,423,512,076","2,726,484,644","2,669,580,576","2,370,763,547","2,867,699,169","2,854,261,256","2,586,551,781","2,632,592,228","2,354,519,888","2,450,581,800","1,731,618,590","1,608,089,000","132,882,051","467,359,454","1,991,124,376","2,671,394,875","2,196,942,423","3,601,630,405","3,060,128,000","3,837,821,000","3,584,062,073","1,579,402,705","1,573,096,880","1,257,560,351","903,840,538","1,043,973,912","1,111,752,928","1,190,505,852","721,238,870","580,463,902"
PeRatio,"9.435","12.709","13.001","15.158","18.055","16.865","18.202","13.927","13.909","16.535","19.59","17.19","17.1","14.997","14.619","18.557","19.84","14","27.06","9.123","10.599","15.844","18.555","38.637","34.518","58.704","31.401","34.942","40.546","24.408","22.475","23.146","19.76","23.824","23.868","20.505","28.969","21.68","20.207","18.941","17.889","18.07","18.267","15.101","22.496","22.153","17.637","16.129","14.867","15.167","14.468","14.376","13.119","12.041","14.042","16.867","15.813","13.157","15.873","18.26","18.579","19.531","22.047","26.546","22.798","29.515","23.775","21.629","20.673","19.023","18.301","14.181","15.442","17.427","15.663","13.43","10.755","9.966","12.648","15.128","15.258","16.755","16.225","20.978","44.195","106.251",,,,,,"29.751","29.354","9.162","155.598","92.409","1,165.501",,"33.536","39.894","35.358","29.783","39.41","74.963","79.179","58.33","42.413"
ForwardPeRatio,"10.111","14.205","13.514","11.962","14.728","13.228","14.368","11.793","13.28","12.346","13.85","10.87","13.717","12.69",,"14.306","16.722","16.835","20.284","15.748","17.825","18.727","15.314","15.798","19.418","16.475","17.182","16.367","18.116","19.121","19.084","17.668","15.291","14.286","14.837","13.021","13.569","13.106","14.793","13.298","12.516","13.316","12.24","10.256","14.793","15.267","15.674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"0.985","1.302","1.035","0.8","0.963","0.866","0.963","1.13","1.332","1.24","0.9","0.706","0.876","0.809",,"0.869","1.156","1.163","2.317","1.439","1.91","2.005","1.458","1.201","1.427","1.211","1.554","1.479","1.635","1.729","2.253","2.085","1.811","1.693","1.404","1.139","1.187","1.209","1.42","1.278","1.001","1.065","0.974","0.807","1.199","1.272","1.307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.729","1.07","1.107","1.168","1.247","1.144","1.284","0.99","0.991","1.027","1.08","0.846","0.84","0.82","0.801","1.162","1.177","1.16","0.923","0.784","0.879","0.945","0.921","0.973","1.18","1.151","1.117","1.183","1.318","1.378","1.308","1.285","1.3","1.257","1.206","1.165","1.328","1.419","1.323","1.309","1.292","1.282","1.091","0.902","1.306","1.336","1.111","1.13","1.036","1.063","1.002","0.985","0.88","0.801","0.928","1.097","1.052","0.966","1.15","1.319","1.145","1.156","1.265","1.465","1.258","1.77","2.05","1.865","1.894","1.815","1.769","1.419","1.478","1.649","1.445","1.417","1.231","0.963","1.209","1.289","1.412","1.586","1.535","1.161","1.165","0.951","1.042","0.364","0.291","0.17","0.376","0.434","1.049","0.699","2.005","2.208","2.734","2.963","2.843","3.637","3.081","2.576","3.427","10.581","11.176","8.233","1.305"
PbRatio,"8.906","14.258","9.629","9.384","10.192","8.57","8.196","4.524","4.956","4.343","4.072","1.887","2.388","2.439","2.239","2.778","2.59","2.509","2.755","2.21","2.409","2.846","2.543","2.795","3.401","3.109","2.93","2.965","3.444","3.381","3.283","3.284","3.333","3.325","3.165","2.934","3.378","3.331","3.099","4.153","4.08","3.958","3.551","2.929","4.305","3.974","3.372","3.013","2.784","2.91","2.835","2.815","2.572","2.454","2.635","3.133","3.111","2.781","3.485","4.492","4.206","4.506","5.19","5.769","4.937","6.462","6.682","6.06","6.685","6.766","7.448","6.729","6.454","8.057","8.198","8.157","10.397","11.331","21.401","30.033","3.224","4.138","4.112","4.025","4.406","4.036","4.254","1.915","1.529","0.768","1.664","1.254","2.635","1.744","4.972","4.305","6.65","6.676","4.48","5.1","4.281","3.359","4.152","5.079","12.552","8.4","7.076"
EnterprisesValueRevenueRatio,"1.641","7.902","7.486","7.828","8.207","8.052","8.014","6.68","6.924","6.802","6.652","5.541","7.864","6.857","6.499","7.553","7.35","7.295","7.68","4.977","5.077","5.711","7.492","5.546","6.369","6.246","6.183","6.409","7.042","7.506","6.961","7.082","7.18","7.296","6.846","6.652","7.166","7.254","8.107","7.141","6.874","6.719","5.919","5.415","6.795","7.18","6.121","5.957","5.793","6.053","5.835","5.676","6.459","5.434","5.745","6.386","6.302","6.084","6.832","7.608","6.923","7.085","7.478","7.777","7.248","8.584","5.963","8.436","8.696","8.582","8.15","7.06","7.224","7.753","6.207","6.031","5.698","5.271","5.419","5.548","5.356","6.705","6.643","5.957","6.571","6.096","6.574","4.776","4.244","0.357","1.253","5.425","7.568","6.238","10.618","9.605","13.312","13.854","12.084","13.836","12","10.156","12.326","15.167","18.429","14.367","14.733"
EnterprisesValueEBITDARatio,"7.995","43.7","39.228","36.068","35.441","37.256","42.383","38.012","34.57","31.54","30.481","31.047","36.792","37.925","33.791","48.982","36.13","37.246","62.86","1,290.487","33.731","19.503","36.614","20.632","46.186","41.637","52.915","33.53","40.745","277.001","38.233","39.336","42.63","37.916","33.442","38.956","31.599","69.962","40.379","33.197","40.625","31.536","27.291","25.276","37.266","38.637","40.992","31.097","30.916","31.364","30.888","29.501","33.215","28.248","31.34","35.16","34.315","32.784","37.529","38.336","29.482","37.873","40.716","36.779","41.007","48.955","34.51","41.162","41.448","40.008","39.103","31.399","33.944","35.447","25.653","27.025","27.712","25.042","19.891","20.923","24.54","3.562","28.154","21.004","27.124","23.171","30.988","22.537","24.028","1.953","-1,180.201","29.942","69.749","22.672","51.525","33.408","47.557","51.421","48.898","55.784","50.102","42.434","53.537","63.894","78.323","60.103","55.814"
