name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993
TotalAssets,"739,984,000","761,160,000","741,017,000","710,898,000","694,706,000","719,257,000","701,778,000","679,689,000","697,913,000","847,308,000","867,055,000","840,631,000","828,661,000","759,701,000","763,916,000","627,248,000","612,132,000","645,380,000","659,566,000","634,073,000","595,041,000","607,802,000","624,478,000","598,736,000","594,062,000","585,170,000","613,118,000","590,011,000","584,537,000","583,023,000","601,769,000","591,443,000","574,884,000","578,610,000","594,991,000","543,641,000","515,379,000","526,362,000","562,371,000","479,474,000","493,040,000","506,043,000","498,973,000","495,973,000","460,017,000","442,108,000","466,423,000","445,019,000","450,479,000","469,377,000","516,228,000","526,352,000","554,941,000","563,990,000","606,393,000","598,062,000","629,652,000","646,216,000","642,956,000","592,387,000","581,032,000","577,618,000","580,764,000","549,110,000","537,822,000","549,892,000","528,170,000","486,096,000","480,246,000","476,950,000","498,647,000","422,976,000","424,574,000","390,967,000","394,874,000","361,779,000","350,429,000","345,154,000","362,677,000","348,724,000","310,166,000","290,676,000","332,277,000","302,739,000","288,105,000","290,405,000","301,272,000","283,284,000","270,955,000","267,186,000","312,800,000","315,300,000","327,300,000","296,400,000","320,800,000","280,100,000","252,800,000","249,100,000","276,000,000","246,300,000","221,300,000","208,400,000","253,300,000","227,600,000","207,200,000","200,400,000","234,000,000","211,400,000","200,200,000","186,900,000","200,100,000","173,800,000","162,800,000","157,000,000","204,900,000","152,300,000","146,000,000","144,100,000"
	CurrentAssets,"524,982,000","553,884,000","536,151,000","504,466,000","483,454,000","501,651,000","471,593,000","433,553,000","442,476,000","464,554,000","484,198,000","461,655,000","447,106,000","468,146,000","483,903,000","468,670,000","452,169,000","481,600,000","484,652,000","452,722,000","492,982,000","504,780,000","527,332,000","499,429,000","494,540,000","489,035,000","520,555,000","495,307,000","487,164,000","485,278,000","507,165,000","497,212,000","480,956,000","485,310,000","497,332,000","447,227,000","419,866,000","434,099,000","475,958,000","409,100,000","420,962,000","432,632,000","433,842,000","427,525,000","390,973,000","372,897,000","388,686,000","366,718,000","366,172,000","380,291,000","419,424,000","413,910,000","437,466,000","440,078,000","482,520,000","467,963,000","499,804,000","519,325,000","509,622,000","466,067,000","459,138,000","472,879,000","480,367,000","456,715,000","447,045,000","461,048,000","443,612,000","399,466,000","392,163,000","387,052,000","406,901,000","335,881,000","342,712,000","320,493,000","326,694,000","296,368,000","285,795,000","281,185,000","298,917,000","284,303,000","247,965,000","227,041,000","278,132,000","251,610,000","238,115,000","241,220,000","257,312,000","240,100,000","230,017,000","226,826,000","272,200,000","275,500,000","289,600,000","262,400,000","285,800,000","245,900,000","220,000,000","219,600,000","248,300,000","219,600,000","195,500,000","184,700,000","230,600,000","205,800,000","185,900,000","180,800,000","213,900,000","191,600,000","180,200,000","167,700,000","181,400,000","155,900,000","146,500,000","140,800,000","189,600,000","137,700,000","130,700,000","129,100,000"
		CashCashEquivalentsAndShortTermInvestments,"225,256,000","277,128,000","201,814,000","199,721,000","186,950,000","223,811,000","163,218,000","170,195,000","187,830,000","185,872,000","116,025,000","134,890,000","150,712,000","189,911,000","142,668,000","175,583,000","176,959,000","214,811,000","155,484,000","162,417,000","233,594,000","256,279,000","199,758,000","205,795,000","203,909,000","228,188,000","181,180,000","188,012,000","185,828,000","199,852,000","157,937,000","169,649,000","171,890,000","190,758,000","163,146,000","151,516,000","141,484,000","167,889,000","164,813,000","156,338,000","158,750,000","182,201,000","138,028,000","128,781,000","109,256,000","103,016,000","63,243,000","54,326,000","62,020,000","70,975,000","49,478,000","47,474,000","74,568,000","86,621,000","85,077,000","84,503,000","127,475,000","169,551,000","111,060,000","112,456,000","101,769,000","133,011,000","79,908,000","78,126,000","82,560,000","123,625,000","56,064,000","50,323,000","49,641,000","63,782,000","35,870,000","27,438,000","35,948,000","82,083,000","60,957,000","47,737,000","34,548,000","38,365,000","36,930,000","29,355,000","21,407,000","16,971,000","20,259,000","13,636,000","12,042,000","23,059,000","11,161,000","8,191,000","20,122,000","26,615,000","15,300,000","32,600,000","37,600,000","5,600,000","5,500,000","4,800,000","2,400,000","10,900,000","2,900,000","1,500,000","5,300,000","4,900,000","4,000,000","1,600,000","3,300,000","3,800,000","5,800,000","2,000,000","1,800,000","4,900,000","1,400,000","900,000","1,600,000","3,200,000","36,300,000","700,000","1,500,000","2,600,000"
			CashAndCashEquivalents,"225,256,000","277,128,000","201,814,000","199,721,000","186,950,000","223,811,000","163,218,000","170,195,000","187,830,000","185,872,000","116,025,000","134,890,000","150,712,000","189,911,000","142,668,000","175,583,000","176,959,000","214,811,000","155,484,000","162,417,000","233,594,000","256,279,000","199,758,000","205,795,000","203,909,000","228,188,000","181,180,000","188,012,000","185,828,000","199,852,000","157,937,000","169,649,000","137,827,000","157,659,000","163,146,000","151,516,000","141,484,000","167,889,000","164,813,000","156,338,000","158,750,000","182,201,000","138,028,000","128,781,000","109,256,000","103,016,000","63,243,000","54,326,000","62,020,000","70,975,000","49,478,000","47,474,000","74,568,000","86,621,000","85,077,000","84,503,000","127,475,000","169,551,000","111,060,000","112,456,000","101,769,000","133,011,000","79,908,000","78,126,000","82,560,000","123,625,000","56,064,000","50,323,000","49,641,000","63,782,000","35,870,000","27,438,000","35,948,000","82,083,000","60,957,000","47,737,000","34,548,000","38,365,000","36,930,000","29,355,000","21,407,000","16,971,000","20,259,000","13,636,000","12,042,000","23,059,000","11,161,000","8,191,000","20,122,000","26,615,000","15,300,000","32,600,000","37,600,000","5,600,000","5,500,000","4,800,000","2,400,000","10,900,000","2,900,000","1,500,000","5,300,000","4,900,000","4,000,000","1,600,000","3,300,000","3,800,000","5,800,000","2,000,000","1,800,000","4,900,000","1,400,000","900,000","1,600,000","3,200,000","36,300,000","700,000","1,500,000","2,600,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","34,063,000","33,099,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"96,165,000","99,499,000","143,472,000","98,312,000","102,889,000","101,781,000","103,506,000","60,128,000","49,765,000","78,388,000","136,272,000","93,699,000","85,715,000","84,026,000","126,106,000","83,818,000","79,965,000","83,098,000","132,941,000","81,513,000","66,457,000","66,847,000","130,076,000","72,737,000","75,771,000","71,030,000","124,438,000","80,818,000","73,472,000","74,106,000","128,638,000","91,214,000","77,395,000","68,683,000","123,215,000","77,346,000","69,545,000","64,300,000","107,138,000","59,714,000","62,262,000","61,235,000","94,309,000","69,672,000","60,610,000","59,768,000","91,594,000","60,420,000","58,666,000","67,206,000","105,469,000","76,689,000","66,110,000","76,710,000","118,464,000","96,372,000","89,510,000","94,328,000","150,996,000","100,611,000","105,753,000","111,417,000","159,010,000","128,416,000","116,523,000","109,852,000","144,484,000","105,533,000","99,925,000","102,622,000","137,861,000","95,841,000","99,546,000","88,800,000","120,706,000","99,192,000","97,362,000","94,438,000","124,295,000","102,120,000","94,223,000","92,014,000","127,671,000","105,362,000","96,414,000","98,797,000","138,531,000","109,928,000","100,256,000","103,795,000","130,000,000","104,600,000","109,400,000","109,100,000","138,100,000","98,800,000","82,600,000","92,400,000","125,700,000","89,500,000","76,100,000","75,700,000","112,700,000","79,300,000","70,600,000","75,300,000","99,600,000","70,100,000","65,700,000","66,700,000","82,600,000","58,000,000","53,300,000","56,600,000","67,100,000","50,200,000","43,400,000","49,500,000"
			AccountsReceivable,"92,744,000","91,558,000","136,373,000","89,710,000","78,584,000","76,931,000","103,506,000","60,128,000","49,765,000","78,388,000","136,272,000","93,699,000","85,715,000","84,026,000","126,106,000","83,818,000","79,965,000","83,098,000","132,941,000","81,513,000","66,457,000","66,847,000","130,076,000","72,737,000","75,771,000","71,030,000","124,438,000","80,818,000","73,472,000","74,106,000","128,638,000","91,214,000","77,395,000","68,683,000","123,215,000","77,346,000","69,545,000","64,300,000","107,138,000","59,714,000","62,262,000","61,235,000","94,309,000","69,672,000","60,610,000","59,768,000","91,594,000","60,420,000","58,666,000","67,206,000","105,469,000","76,689,000","66,110,000","76,710,000","118,464,000","96,372,000","89,510,000","94,328,000","150,996,000","100,611,000","105,753,000","111,417,000","159,010,000","128,416,000","116,523,000","109,852,000","144,484,000","105,533,000","99,925,000","102,622,000","137,861,000","95,841,000","99,546,000","88,800,000","120,706,000","99,192,000","97,362,000","94,438,000","124,295,000","102,120,000","94,223,000","92,014,000","127,671,000","105,362,000","96,414,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,"103,888,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-25,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,421,000","7,941,000","7,099,000","8,602,000","24,305,000","24,850,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
