name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,953,000","3,891,000","2,197,000","1,592,000","1,349,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,"2,735,000",,,,"7,243,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,"468,000","1,045,000","186,000","717,000","28,467,000","21,301,000","23,860,000","21,343,000","28,148,000","27,926,000","21,832,000","15,727,000","17,388,000","16,858,000","17,654,000","20,002,000","17,024,000","15,995,000","17,782,000","20,148,000","22,121,000","19,755,000","19,323,000","40,735,000","1,230,000","1,046,000","1,404,000","3,295,000","4,143,000","3,915,000","4,582,000","8,292,000","8,943,000","4,123,000","4,226,000","3,942,000","1,274,000","725,000","1,121,000","542,000","2,303,000","4,262,000","1,872,000","2,286,000","4,071,000","3,807,000","3,216,000",,,,,,"761,000",,"1,203,000","7,104,000",,"2,836,000","2,781,000","3,402,000","4,432,000","3,564,000","3,168,000",,"6,310,000","4,661,000","18,727,000","13,214,000","13,214,000","13,214,000","13,214,000","13,214,000","13,214,000","13,214,000","13,214,000","13,214,000","22,525,000","25,683,000",,"27,197,000","34,469,000","36,218,000","35,720,000",,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,673,000","34,434,000","34,015,000","29,246,000","27,759,000","30,564,000","29,513,000","28,826,000","26,577,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"16,213,000","13,138,000","7,523,000","10,784,000","11,472,000","9,643,000","8,872,000","9,707,000","12,801,000","11,787,000","9,058,000","10,595,000","10,840,000","7,169,000","5,571,000","6,754,000","7,534,000","6,972,000","4,777,000","7,041,000","6,800,000","5,990,000","4,059,000","5,192,000","7,320,000","9,893,000","10,768,000","12,529,000","10,896,000","8,676,000","8,967,000","8,656,000","10,364,000","4,370,000","6,928,000","7,185,000","7,842,000","5,268,000","4,514,000","3,050,000","5,125,000","1,958,000","1,314,000","1,577,000","2,955,000","3,178,000","2,888,000","3,263,000","2,553,000","2,526,000","2,193,000","2,590,000","2,015,000","1,767,000","2,047,000","1,788,000","1,717,000","1,902,000","14,408,000","11,763,000","10,899,000","14,753,000","10,686,000","10,397,000","10,162,000","12,639,000","6,871,000","6,484,000","5,443,000","3,623,000","4,680,000","5,849,000","6,131,000","3,564,000","4,390,000","4,344,000","6,105,000","2,921,000","5,169,000","7,715,000","9,600,000","8,239,000","9,354,000","14,582,000","8,684,000",,,,,,,,,,
		RestrictedCash,,"0","536,000","591,000","2,241,000","637,000","203,000","1,266,000","1,170,000","5,630,000","1,284,000","146,000","1,527,000","842,000","317,000","1,117,000","1,314,000","1,371,000","313,000","799,000","1,872,000","2,355,000","630,000","2,025,000","3,686,000","3,557,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,"0","70,432,000","157,251,000","197,275,000","211,663,000",,,,,,,,,,,,,,,,"0","0","0",,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"5,482,000","5,338,000","3,596,000","3,188,000","543,000","678,000","556,000","530,000","586,000","562,000",,,,"586,000",,,,"393,000",,,,"331,000",,,,"169,000",,,,"4,801,000",,,,"5,404,000",,,,"5,643,000",,,,,,,,,,,,,,,,,,"25,000","236,000","4,730,000","87,561,000",,,,,,,,,"1,011,000",,,,,,,,,,,,,,,,,,"14,491,522","26,556,234","10,496,287","15,142,541","10,100,000","7,500,000","69,500,000","40,300,000","75,800,000","3,500,000"
	TotalNonCurrentAssets,"868,534,000","871,664,000","863,543,000","863,426,000","862,503,000","863,524,000","862,296,000","743,682,000","738,974,000","998,429,000","1,001,869,000","1,066,974,000","864,643,000","866,657,000","878,104,000","884,935,000","893,808,000","902,274,000","898,045,000","905,765,000","914,512,000","924,812,000","934,313,000","943,094,000","951,695,000","958,873,000","475,303,000","478,145,000","486,829,000","494,410,000","566,005,000","574,282,000","541,513,000","549,352,000","549,768,000","372,055,000","378,520,000","373,220,000","399,277,000","405,041,000","408,548,000","74,069,000","56,530,000","68,825,000","82,995,000","82,989,000","83,881,000","85,179,000","59,912,000","61,874,000","71,600,000","72,986,000","74,195,000","81,066,000","88,821,000","98,824,000","96,439,000","103,262,000","186,592,000","270,489,000","269,373,000","266,993,000","237,495,000","270,269,000","270,699,000","279,734,000","255,368,000","264,033,000","273,375,000","261,233,000","278,170,000","266,241,000","121,001,000","143,960,000","120,715,000","126,351,000","150,722,000","162,225,000","226,421,000","306,043,000","332,230,000","586,384,000","648,024,000","836,141,000","899,214,000","831,268,866","953,486,402","473,674,837","508,424,488","167,100,000","104,000,000","98,500,000","22,100,000","8,500,000","8,000,000"
		NetPPE,"93,800,000","94,104,000","89,768,000","86,249,000","87,046,000","81,955,000","77,968,000","71,446,000","61,031,000","28,857,000","27,429,000","26,428,000","18,264,000","12,389,000","11,111,000","9,308,000","8,769,000","9,831,000","9,552,000","8,677,000","8,990,000","10,836,000","10,711,000","10,923,000","11,093,000","11,308,000","15,089,000","15,595,000","16,011,000","15,942,000","16,347,000","16,330,000","16,110,000","16,108,000","15,165,000","8,565,000","9,269,000","7,533,000","6,587,000","6,456,000","5,878,000","5,277,000","6,055,000","6,814,000","7,521,000","7,470,000","8,432,000","9,595,000","10,602,000","12,315,000","13,650,000","14,821,000","16,427,000","18,078,000","20,118,000","18,239,000","12,659,000","10,945,000","33,458,000","39,993,000","38,208,000","33,212,000","32,383,000","28,512,000","26,935,000","26,889,000","22,823,000","20,841,000","19,689,000","16,782,000","15,085,000","14,278,000","13,245,000","15,416,000","15,789,000","18,488,000","23,595,000","26,252,000","29,830,000","35,044,000","38,742,000","39,443,000","43,417,000","52,946,000","54,118,000","51,137,383","47,569,408","27,402,689","18,861,989","4,500,000","3,000,000","2,000,000","1,500,000","1,200,000","900,000"
			GrossPPE,"93,800,000","125,246,000","89,768,000","86,249,000","87,046,000","105,667,000","77,968,000","71,446,000","61,031,000","48,029,000","27,429,000","26,428,000","18,264,000","26,113,000",,,,"21,912,000",,,,"23,105,000",,,,"18,223,000",,,,"37,221,000",,,,"34,093,000",,,,"30,169,000",,,,"24,538,000",,,,"26,026,000",,,,"27,368,000",,,,"34,119,000","58,782,000","56,903,000","51,323,000","49,609,000","100,478,000","107,013,000","105,228,000","100,232,000","85,280,000","81,409,000","79,832,000","79,786,000","69,931,000","67,949,000","66,797,000","63,890,000","63,570,000","62,763,000","61,730,000","63,901,000","56,639,000","59,338,000","64,445,000","67,102,000","62,291,000",,"71,203,000","71,904,000","60,803,000","70,332,000","71,504,000","68,523,049","48,869,408","28,702,689","23,501,053","5,800,000","3,900,000","2,700,000","2,000,000","1,600,000","1,200,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,355,000",,,,"7,943,000",,,,"6,170,000",,,,"5,122,000",,,,"5,299,000",,,,"7,351,000",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"69,016,000",,,,"50,512,000",,,,"27,983,000",,,,"20,666,000",,,,"15,407,000",,,,"16,059,000",,,,"11,613,000",,,,"32,197,000",,,,"29,537,000",,,,"25,369,000",,,,"21,405,000",,,,"22,432,000",,,,"24,186,000",,,,"30,618,000",,,,"33,062,000",,,,"59,349,000",,,,"47,722,000",,,,"38,807,000",,,,"58,494,000",,,,"41,726,000",,,,,,,,,,,,,,,,,
				OtherProperties,"93,800,000","21,438,000","89,768,000","86,249,000","87,046,000","23,455,000","77,968,000","71,446,000","61,031,000","10,151,000","27,429,000","26,428,000","18,264,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,598,000",,,,"29,393,000",,,,"25,686,000",,,,"18,907,000",,,,,,,,"17,789,000",,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"17,839,000",,,,"14,053,000",,,,"5,271,000",,,,"2,134,000",,,,"3,261,000",,,,"800,000",,,,"479,000",,,,"902,000",,,,"1,003,000",,,,"1,400,000",,,,"0",,,,"461,000",,,,"48,000",,,,"410,000",,,,"594,000",,,,"3,547,000",,,,"208,000",,,,"1,054,000",,,,"108,000",,,,"236,000",,,,,,,,,,,,,,,,,
				Leases,,"16,953,000",,,,"17,647,000",,,,"4,624,000",,,,"3,313,000",,,,"3,244,000",,,,"6,246,000",,,,"6,131,000",,,,"4,122,000",,,,"3,553,000",,,,"3,400,000",,,,"3,133,000",,,,"3,133,000",,,,"3,134,000",,,,"3,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-31,142,000",,,,"-23,712,000",,,,"-19,172,000",,,,"-13,724,000",,,,"-12,081,000",,,,"-12,269,000",,,,"-6,915,000",,,,"-21,279,000",,,,"-17,985,000",,,,"-22,636,000",,,,"-19,261,000",,,,"-18,556,000",,,,"-15,053,000",,,,"-16,041,000","-38,664,000","-38,664,000","-38,664,000","-38,664,000","-67,020,000","-67,020,000","-67,020,000","-67,020,000","-52,897,000","-52,897,000","-52,897,000","-52,897,000","-47,108,000","-47,108,000","-47,108,000","-47,108,000","-48,485,000","-48,485,000","-48,485,000","-48,485,000","-40,850,000","-40,850,000","-40,850,000","-40,850,000","-32,461,000",,"-32,461,000","-32,461,000","-17,386,000","-17,386,000","-17,386,000","-17,385,666","-1,300,000","-1,300,000","-4,639,064","-1,300,000","-900,000","-700,000","-500,000","-400,000","-300,000"
