name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008
MarketCap,"663,092,847","1,085,798,392","561,870,229","405,534,999","418,037,831","425,417,694","315,153,153","109,774,243","128,760,627","103,714,800","351,090,012","422,386,815","440,303,740","496,669,797","334,663,134","470,673,771","537,475,109","475,066,410","622,470,436","567,824,207","285,971,563","216,711,967","159,318,848","85,699,188","109,207,843","84,181,045","223,322,965","419,392,958","903,865,761","874,012,524","1,048,449,951","1,166,911,153","1,265,853,134","1,167,339,611","1,194,421,694","1,182,183,721","1,443,217,903","1,417,384,035","1,603,409,512","1,615,921,497","1,713,433,341","1,829,799,204","1,701,858,373","1,870,314,526","2,444,067,600","2,616,875,511","2,800,884,342","1,957,959,455","1,469,717,567","2,276,402,681","2,188,685,773","1,770,006,767","2,106,900,806","1,383,473,619","1,554,569,489","2,255,771,636","4,923,180,433"
EnterpriseValue,"604,910,847","1,051,225,392","537,396,229","383,514,999","438,622,831","462,781,694","363,290,153","147,918,243","167,564,627","158,893,800","410,983,012","482,342,815","459,707,740","513,089,797","356,986,134","503,943,771","592,360,109","537,335,410","680,180,436","626,942,207","353,218,563","345,681,967","278,132,848","185,956,188","203,843,843","174,351,045","292,410,965","465,886,958","952,769,761","945,989,524","1,124,597,951","1,281,829,153","1,406,033,134","1,301,731,611","1,293,320,694","1,246,967,721","1,435,605,903","1,359,637,035","1,545,662,512","1,451,155,497","1,550,245,341","1,659,185,204","1,560,821,373","1,729,277,526","2,320,712,600","2,508,976,511","2,679,194,342","1,858,263,455","1,353,858,567","2,162,511,681","2,087,738,773","1,677,255,767","1,987,476,806","1,281,014,619","1,437,996,489","2,116,953,636","4,833,363,433"
PeRatio,"2.342","4.402","22.489","38.148",,,,,,"8","18.067","19.235","25.846","42.111","130",,,,,,,,,,,,,"69.25","53.136","88.846",,"772.5","175.876","51.533","28.286","16","17.477","16.172","18.353","17.9","16.985","16.779","16.64","18.287","27.778","42.463","62.15","57.933","45.512","53.211","39.419","24.832","18.846","2.25","15.855","27.4","211.323"
ForwardPeRatio,"5.152","8.299","12.579","11.561","38.314","36.63",,,,"769.231","23.148","16.502","19.531","24.155","17.794","30.675","42.194","96.154",,"1,428.571",,,,,,,,"29.586","26.667","24.272","31.056","29.674","32.895","28.736","27.778","25.707","14.793","13.774","13.405","14.144","13.85","14.663","12.887","12.361","16.892","18.018","25.907",,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.899","1.149","1.098","1.216","1.06",,,"1.817","1.116","1.449","1.53","1.49","0.326",,"0.495","0.676","1.127","2.044",,,,,,,,,,
PsRatio,"2.162","4.069","2.296","1.803","2.038","2.148","1.592","0.523","0.571","0.476","1.574","1.985","2.111","2.384","1.982","2.756","3.234","2.672","2.937","2.204","0.94","0.618","0.746","0.386","0.448","0.292","0.651","1.072","2.109","2.129","2.718","3.292","3.763","3.466","3.198","2.735","3.275","3.132","3.554","3.765","3.806","4.135","3.92","4.308","5.934","7.335","7.8","5.825","4.723","7.11","7.253","5.741","5.427","5.638","5.091","8.03","23.064"
PbRatio,"0.956","1.637","1.279","0.933","1.009","1.034","0.767","0.261","0.301","0.239","0.813","0.98","1.023","1.17","0.817","1.137","1.299","1.155","1.506","1.376","0.701","0.596","0.416","0.216","0.267","0.197","0.237","0.441","0.948","0.923","1.115","1.24","1.355","1.25","1.272","1.264","1.559","1.561","1.77","1.772","1.92","2.102","2.012","2.211","2.984","3.323","3.696","2.651","2.024","3.153","3.086","2.523","3.048","2.046","2.386","3.636","8.461"
EnterprisesValueRevenueRatio,"1.995","10.069","7.482","6.483","6.461","6.476","7.499","3.885","3.607","2.483","8.413","9.428","7.354","8.915","5.286","13.796","11.612","10.101","20.423","19.555","8.044","7.152","6.593","4.261","3.932","2.379","6.829","8.677","12.936","8.084","11.442","12.533","12.673","13.165","17.523","17.67","15.49","13.698","13.933","11.219","15.693","14.782","14.921","15.169","19.441","23.9","27.863","20.315","21.049","20.143","28.575","25.241","27.08","14.409","18.089","14.474","60.295"
EnterprisesValueEBITDARatio,"5.25","21.232","21.769","30.547","15.408","37.418","39.604","-153.921","-891.301","54.174","34.735","53.25","31.875","33.24","23.072","41.115","76.79","47.201","119.33","83.237","82.201","-223.887","-43.323","-30.271","-366.626","-95.378","-0.873","78.077","60.64","29.089","36.784","62.528","49.104","72.739","104.082","71.316","43.444","35.807","37.246","25.79","36.123","37.078","34.503","33.876","38.772","44.983","71.873","68.48","102.124","81.294","143.754","80.556","62.177","29.4","34.376","25.577","114.662"
