name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"1,907,534,000","652,969,000","429,368,000","402,039,000","393,060,000","355,459,000","258,125,000","271,059,000","166,352,000","387,798,000","342,917,000","482,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OperatingRevenue,"1,907,534,000","652,969,000","429,368,000","402,039,000","393,060,000","355,459,000","258,125,000","271,059,000","166,352,000","387,798,000","342,917,000","482,743,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfRevenue,"1,042,423,000","337,743,000","323,206,000","184,077,000","219,005,000","183,549,000","144,730,000","157,687,000","135,337,000","405,532,000","518,417,000","420,038,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"865,111,000","315,226,000","106,162,000","217,962,000","174,055,000","171,910,000","113,395,000","113,372,000","31,015,000","-17,734,000","-175,500,000","62,705,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"87,489,000","24,877,000","21,051,000","19,777,000","21,460,000","21,160,000","41,337,000","49,976,000","38,873,000","32,342,000","34,639,000","33,512,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"84,642,000","24,367,000","20,227,000","19,514,000","20,210,000","20,737,000","41,650,000","49,251,000","37,443,000","31,174,000","30,350,000","32,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"84,642,000","24,367,000","20,227,000","19,514,000","20,210,000","20,737,000","41,650,000","49,251,000","37,443,000","31,174,000","30,350,000","32,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,"29,353,000",,,"58,399,000","50,313,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"84,642,000","24,367,000","20,227,000","19,514,000","20,210,000","20,737,000","41,650,000","49,251,000","37,443,000","31,174,000","30,350,000","32,860,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,"13,039,000",,,"26,371,000","28,461,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,"2,847,000","510,000","824,000","263,000","1,250,000","423,000","-313,000","725,000","1,430,000","1,168,000","4,289,000","652,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"777,622,000","290,349,000","85,111,000","198,185,000","152,595,000","150,750,000","72,058,000","63,396,000","-7,858,000","-50,076,000","-210,139,000","29,193,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetNonOperatingInterestIncomeExpense,"-33,157,000","-7,216,000","18,615,000","-18,153,000","-22,571,000","-8,697,000","-7,118,000","-37,389,000","-44,388,000","-95,757,000","-27,736,000","-43,897,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"20,942,000","6,361,000","-17,665,000","16,937,000","12,581,000","5,226,000","6,601,000","35,946,000","39,940,000","94,058,000","25,304,000","42,036,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"12,215,000","855,000","-950,000","1,216,000","9,990,000","3,471,000","517,000","1,443,000","4,448,000","1,699,000","2,432,000","1,861,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-491,413,000","-304,510,000","-45,115,000","-96,700,000","-45,061,000","-180,972,000","631,294,000","-78,248,000","-39,716,000","-4,443,180,000","-77,692,000","27,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"-776,048,000","-367,922,000","-39,299,000","-101,790,000","-267,037,000","-181,515,000","-94,114,000","-5,071,000","-37,187,000","285,322,000","-71,374,000","47,922,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,"60,137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
