name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,12/31/2017
TotalAssets,"7,365,808,000","6,876,492,000","6,665,087,000","6,392,075,000","1,832,111,000","1,908,091,000","1,399,813,000","1,421,513,000","1,489,116,000","1,123,814,000","1,147,783,000","1,056,877,000","1,116,619,000","699,402,000","485,097,000","381,190,000"
	CurrentAssets,"606,325,000","584,866,000","615,721,000","475,954,000","548,207,000","762,010,000","280,525,000","345,157,000","414,614,000","211,120,000","316,828,000","319,424,000","431,502,000","153,780,000","96,797,000","154,953,000"
		CashCashEquivalentsAndShortTermInvestments,"156,173,000","187,509,000","224,383,000","143,138,000","360,130,000","601,522,000","112,723,000","167,316,000","232,698,000","27,098,000","178,187,000","200,306,000","359,450,000","78,301,000","51,903,000","84,708,000"
			CashAndCashEquivalents,"156,173,000","187,509,000","224,383,000","143,138,000","360,130,000","601,522,000","112,723,000","167,316,000","232,698,000","27,098,000","178,187,000","200,306,000","359,450,000","78,301,000","51,903,000","84,708,000"
		Receivables,"277,202,000","243,586,000","163,927,000","124,759,000","97,641,000","78,425,000","94,558,000","66,529,000","47,444,000","52,549,000","38,293,000","45,012,000","33,700,000","30,363,000","20,358,000","20,595,000"
			AccountsReceivable,"238,614,000","208,499,000","161,008,000","121,962,000","95,729,000","76,544,000","93,000,000","65,069,000","45,976,000","49,890,000","37,248,000","43,987,000","31,647,000","28,530,000","19,166,000","19,417,000"
				GrossAccountsReceivable,"238,778,000","208,663,000","161,138,000","122,052,000","95,932,000","76,642,000","93,183,000","65,069,000","45,976,000","49,890,000","37,248,000","43,987,000","32,374,000","28,787,000",,
				AllowanceForDoubtfulAccountsReceivable,"-164,000","-164,000","-130,000","-90,000","-203,000","-98,000","-183,000","0","0","0","0","0","-727,000","-257,000",,
			TaxesReceivable,"35,352,000","31,788,000",,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"3,236,000","3,299,000","2,919,000","2,797,000","1,912,000","1,881,000","1,558,000","1,460,000","1,468,000","1,577,000",,,"1,060,000","890,000",,
			OtherReceivables,,,,,,,,,,"1,082,000","1,045,000","1,025,000","993,000","943,000","1,192,000","1,178,000"
		Inventory,"54,273,000","37,182,000","82,390,000","61,491,000","28,031,000","22,860,000","19,399,000","50,885,000","28,602,000","63,432,000","28,625,000","19,623,000","27,002,000","15,959,000","19,154,000","11,152,000"
			RawMaterials,"18,293,000","15,578,000","11,071,000","9,103,000","5,355,000","4,888,000","4,447,000","3,940,000","3,155,000","1,250,000","746,000","613,000","348,000","348,000","692,000","559,000"
			FinishedGoods,"35,980,000","21,604,000","71,319,000","52,388,000","22,676,000","17,972,000","14,952,000","46,945,000","25,447,000","62,182,000","27,879,000","19,010,000","26,654,000","15,611,000","18,462,000","10,593,000"
			OtherInventories,,,,,,,,,,,,,"26,654,000","15,611,000","18,462,000","10,593,000"
		PrepaidAssets,"22,435,000","19,951,000","16,853,000","31,836,000","27,411,000","16,928,000","11,042,000","9,660,000","52,240,000","14,555,000","49,712,000","35,231,000","6,053,000","19,961,000","2,640,000","24,749,000"
		RestrictedCash,"74,873,000","68,561,000","72,338,000","57,353,000","4,072,000","12,814,000","25,714,000","32,946,000","32,512,000","30,966,000","22,011,000","19,252,000","30,000","30,000","30,000","13,623,000"
		OtherCurrentAssets,"21,369,000","28,077,000","55,830,000","57,377,000","30,922,000","29,461,000","17,089,000","17,821,000","21,118,000","22,520,000",,,"5,267,000","9,166,000","2,712,000","126,000"
	TotalNonCurrentAssets,"6,759,483,000","6,291,626,000","6,049,366,000","5,916,121,000","1,283,904,000","1,146,081,000","1,119,288,000","1,076,356,000","1,074,502,000","912,694,000","830,955,000","737,453,000","685,117,000","545,622,000","388,300,000","226,237,000"
		NetPPE,"4,420,110,000","4,096,557,000","3,779,506,000","3,507,168,000","1,114,498,000","1,025,143,000","998,869,000","954,700,000","953,687,000","772,245,000","695,985,000","618,720,000","548,535,000","451,757,000","338,803,000","198,840,000"
			GrossPPE,"4,588,514,000","4,238,472,000","3,896,298,000","3,600,303,000","1,186,727,000","1,087,618,000","1,051,523,000","998,080,000","989,623,000","789,156,000","710,774,000","631,690,000","559,502,000","461,148,000","347,069,000","204,432,000"
				Properties,"627,864,000","619,480,000","555,258,000","555,207,000","551,917,000","551,575,000","552,850,000","420,561,000","419,502,000","130,746,000","131,034,000","156,637,000","67,924,000","65,631,000","68,217,000","66,203,000"
				LandAndImprovements,"54,347,000","55,008,000","16,714,000","16,734,000","16,582,000","16,246,000","15,683,000","15,637,000","15,618,000","15,401,000","16,537,000","16,588,000","16,588,000","12,779,000","9,841,000","0"
				MachineryFurnitureEquipment,"1,498,582,000","1,461,211,000","1,441,211,000","1,435,623,000",,,,,"288,931,000","66,273,000","2,209,000","2,175,000","1,992,000","1,919,000","1,882,000","840,000"
				OtherProperties,"1,160,031,000","1,047,113,000","869,644,000","860,420,000","241,086,000","248,528,000","243,289,000","181,979,000","188,123,000","146,106,000","141,979,000","112,438,000","110,331,000","108,080,000","101,459,000","101,976,000"
				ConstructionInProgress,"1,238,313,000","1,046,283,000","1,004,215,000","723,186,000","368,419,000","262,546,000","231,379,000","371,594,000","358,085,000","488,849,000","410,961,000","335,798,000","354,613,000","265,510,000","160,043,000","35,413,000"
				Leases,"9,377,000","9,377,000","9,256,000","9,133,000","8,723,000","8,723,000","8,322,000","8,309,000","8,295,000","8,054,000","8,054,000","8,054,000","8,054,000","7,229,000","5,627,000","0"
			AccumulatedDepreciation,"-168,404,000","-141,915,000","-116,792,000","-93,135,000","-72,229,000","-62,475,000","-52,654,000","-43,380,000","-35,936,000","-16,911,000","-14,789,000","-12,970,000","-10,967,000","-9,391,000","-8,266,000","-5,592,000"
		GoodwillAndOtherIntangibleAssets,"895,785,000","903,079,000","907,096,000","974,270,000","65,934,000","46,102,000","44,381,000","42,931,000","42,276,000","61,302,000","40,693,000","42,008,000","42,297,000","43,057,000",,
			Goodwill,"760,135,000","760,135,000","740,132,000","748,602,000",,,,,,,,,,,,
			OtherIntangibleAssets,"135,650,000","142,944,000","166,964,000","225,668,000","65,934,000","46,102,000","44,381,000","42,931,000","42,276,000","61,302,000","40,693,000","42,008,000","42,297,000","43,057,000",,
		InvestmentsAndAdvances,"1,346,125,000","1,200,886,000","1,227,991,000","1,312,072,000",,,"164,000","323,000","140,000","2,540,000","1,529,000","2,854,000","4,552,000","3,656,000","6,776,000","6,333,000"
			LongTermEquityInvestment,"1,327,444,000","1,182,013,000","1,227,991,000","1,312,072,000",,,,,,,"1,529,000","2,854,000","4,552,000",,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,,"1,529,000","2,854,000","4,552,000",,,
