name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,12/31/2006
TotalAssets,"3,780,983,000","3,690,290,000","3,243,772,000","3,090,155,000","2,912,705,000","2,769,364,000","2,657,468,000","2,545,795,000","2,475,487,000","2,711,549,000","2,665,378,000","2,629,778,000","2,594,899,000","2,553,426,000","2,524,463,000","2,461,345,000","2,401,175,000","2,265,395,000","2,269,682,000","2,164,718,000","2,076,489,000","2,080,279,000","2,007,510,000","1,985,036,000","1,901,150,000","1,878,928,000","1,955,367,000","1,889,706,000","1,830,969,000","1,693,785,000","1,579,343,000","1,548,751,000","1,376,572,000","1,360,175,000","1,239,324,000","1,228,449,000","1,028,256,000","1,036,225,000","871,798,000","843,011,000","779,443,000","737,691,831","665,955,625","617,253,379","529,815,967","448,924,302","334,490,286","307,108,269","196,450,462","191,630,272","182,792,314","164,989,542","170,629,277","172,387,034","173,585,682","199,087,141","174,848,022","98,785,830","89,443,432"
	CurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,440,000","48,224,000","111,199,000","169,644,363","168,965,882","141,809,410","137,289,512","97,569,583","25,575,730","64,101,637","52,916,893","50,410,117","52,164,032","37,122,973","41,987,224","47,637,096","42,062,429","74,999,779","67,527,473",,"14,398,777"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,622,000","40,125,000","103,300,000","163,105,680","159,854,151","134,431,986","127,815,343","91,087,198","19,630,393","58,808,215","48,690,885","48,128,931","50,196,245","34,761,054","39,764,621","46,842,547","40,858,475","73,954,307","65,952,585","9,564,003","13,768,719"
			CashAndCashEquivalents,"17,952,000","32,629,000","59,569,000","58,796,000","65,001,000","31,919,000","27,121,000","68,539,000","54,188,000","55,246,000","52,281,000","70,548,000","47,368,000","54,181,000","50,303,000","40,484,000","29,090,000","51,528,000","30,144,000","21,799,000","33,605,000","24,480,000","31,782,000","18,694,000","17,223,000","20,331,000","35,295,000","41,592,000","22,015,000","60,432,000","24,324,000","30,495,000","24,362,000","34,701,000","17,574,000","41,220,000","26,221,000","63,517,000","19,584,000","31,976,000","88,955,000","42,650,081","25,126,457","14,132,738","29,064,271","22,334,340","4,730,165","32,665,182","30,619,998","8,216,699","34,412,887","18,862,802","35,374,826","46,842,547","40,858,475","73,954,307","41,889,324","9,564,003","13,768,719"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,038,000","8,149,000","14,345,000","120,455,599","134,727,694","120,299,248","98,751,072","68,752,858","14,900,228","26,143,033","18,070,887","39,912,232","15,783,358","15,898,252","4,389,795",,,"0","24,063,261",,"0"
		Receivables,"68,320,000","91,613,000","62,639,000","54,386,000","45,012,000","49,761,000","42,758,000","54,515,000","45,135,000","50,458,000","52,145,000","46,810,000","46,714,000","40,875,000","42,702,000","52,038,000","54,470,000","38,725,000","65,464,000","58,748,000","46,164,000","37,123,000","34,003,000","56,847,000","43,244,000","37,638,000","35,276,000","35,495,000","47,758,000","46,406,000","47,151,000","64,648,000","21,673,000","16,054,000","40,068,000","43,381,000","11,409,000","14,580,000","11,818,000","8,099,000","7,899,000","6,538,683","5,322,673","7,377,424","5,180,003","4,523,792","3,311,579",,,,,,,,,,,"596,538",
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,818,000","8,099,000","7,899,000","6,538,683","5,322,673","7,377,424","5,180,003","4,523,792","3,311,579",,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,766,000",,"3,945,000","0","3,789,058","0","808,186","1,958,593","2,633,758","2,331,581","2,716,400","1,186,108","378,005","793,961","1,121,681",,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","808,186","1,958,593","2,633,758","2,331,581","2,716,400","1,186,108","378,005","793,961","1,121,681",,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,485,980",,,"2,961,841","1,509,608","1,095,078","1,589,782","1,567,958","1,100,922","794,549","1,203,954","1,045,472","1,574,888",,"630,058"
	TotalNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"838,358,000","794,787,000","668,244,000","568,047,468","496,989,743","475,443,969","392,526,455","351,354,719","308,914,556","243,006,632","143,533,569","141,220,155","130,628,282","127,866,569","128,642,053","124,749,938","131,523,253","124,087,362","107,320,549",,"75,044,655"
		InvestmentsAndAdvances,"3,690,738,000","3,561,831,000","3,117,104,000","2,972,270,000","2,800,131,000","2,684,866,000","2,584,645,000","2,419,553,000","2,372,746,000","2,602,324,000","2,557,196,000","2,508,429,000","2,496,591,000","2,453,909,000","2,426,873,000","2,364,131,000","2,314,034,000","2,171,305,000","2,169,981,000","2,076,946,000","1,979,378,000","1,996,906,000","1,920,267,000","1,889,721,000","1,819,590,000","1,803,689,000","1,872,017,000","1,799,202,000","1,747,271,000","1,572,397,000","1,497,241,000","1,443,373,000","1,320,137,000","1,299,489,000","1,172,370,000","1,135,854,000","985,491,000","952,966,000","834,592,000","790,794,000","664,299,000","684,335,052","496,989,743","471,728,697","392,526,455","417,563,932","307,488,606","241,482,502","159,992,948","139,799,429","129,084,675","126,321,430","131,396,610","123,277,629","129,975,304","122,448,772","129,713,675","88,294,469","73,711,001"
			LongTermEquityInvestment,,,,,,"1,113,725,000","1,020,713,000","1,008,139,000","978,368,000","1,032,721,000","1,024,566,000","1,040,692,000","1,009,757,000","1,004,993,000","967,128,000","913,963,000","846,797,000","750,706,000","715,873,000","671,713,000","658,239,000","594,282,000","547,651,000","570,409,000","520,099,000","555,011,000","568,025,000","500,035,000","489,328,000","469,846,000","413,587,000","395,985,000","364,559,000","356,973,000","349,581,000","302,558,000","272,698,000","278,475,000",,"426,128,000","664,299,000","238,923,711",,,,"174,596,394","64,211,930",,"66,400,667",,,,"65,542,608",,,,"49,161,952",,"42,429,000"
				InvestmentsinSubsidiariesatCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"220,048,000",,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"444,251,000",,,,,,,,,,,,,,,,,,
