name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,06/30/2014,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalAssets,"11,979,600,000","11,956,400,000","11,581,700,000","7,845,700,000","7,449,800,000","7,493,700,000","7,739,900,000","7,719,700,000","7,870,800,000","6,111,100,000","6,163,000,000","4,653,500,000","4,222,800,000","4,166,500,000","4,086,900,000","4,000,900,000","3,932,500,000","3,882,600,000","3,883,300,000","3,804,100,000","3,746,300,000","3,632,900,000","3,528,100,000","3,455,400,000","3,440,100,000","3,412,300,000","3,404,700,000","3,390,900,000","3,377,275,000","3,239,787,000","1,475,179,000","1,452,040,000","1,432,928,000","1,386,508,000","1,394,587,000","1,359,775,000","1,321,508,000","1,293,226,000","1,299,443,000","1,312,290,000","1,337,569,000","1,792,100,000","1,861,988,000","1,827,765,000","1,833,160,000","1,793,629,000","1,774,937,000","1,736,468,000","1,665,010,000","1,672,787,000","1,646,041,000","1,617,717,000","1,550,786,000","1,388,843,000","1,337,374,000","1,277,791,000","824,634,000","782,173,000","697,465,000","709,696,000","529,226,000","502,140,000","487,628,000"
	CurrentAssets,"5,568,400,000","5,511,000,000","5,348,800,000","3,580,400,000","3,179,100,000","3,221,200,000","3,468,900,000","3,453,900,000","3,585,900,000","3,732,600,000","3,769,700,000","2,670,600,000","2,325,200,000","2,293,500,000","2,263,100,000","2,203,500,000","2,183,600,000","2,140,000,000","2,132,800,000","2,084,900,000","2,080,500,000","2,019,700,000","2,002,100,000","1,938,900,000","1,945,100,000","1,935,700,000","1,918,400,000","1,900,300,000","1,895,908,000","1,727,321,000","731,837,000","707,348,000","702,430,000","679,537,000","696,080,000","645,465,000","619,177,000","601,031,000","613,632,000","632,318,000","673,443,000","1,142,665,000","1,226,295,000","645,919,000","657,209,000","622,152,000","613,452,000","581,875,000","542,102,000","551,762,000","543,605,000","529,146,000","501,218,000","453,583,000","469,636,000","417,789,000","298,678,000","330,049,000","312,253,000","324,256,000","290,640,000","273,695,000","259,953,000"
		CashCashEquivalentsAndShortTermInvestments,"13,700,000","9,600,000","35,100,000","11,100,000","101,500,000","416,700,000","417,200,000","420,700,000","372,100,000","12,700,000","16,000,000","14,700,000","7,700,000","7,500,000","8,600,000","7,500,000","7,500,000","10,100,000","6,900,000","8,100,000","7,600,000","11,700,000","8,900,000","10,900,000","10,700,000","9,000,000","11,500,000","9,200,000","6,758,000","5,310,000","95,087,000","87,711,000","97,524,000","115,488,000","125,728,000","75,087,000","76,028,000","98,658,000","84,265,000","99,461,000","149,491,000","647,058,000","49,710,000","52,322,000","49,033,000","55,123,000","51,514,000","38,916,000","36,099,000","44,355,000","39,190,000","33,660,000","30,771,000","30,003,000","90,916,000","68,274,000","16,041,000","9,791,000","13,123,000","18,530,000","9,607,000","6,028,000","1,870,000"
			CashAndCashEquivalents,"13,700,000","9,600,000","35,100,000","11,100,000","101,500,000","416,700,000","417,200,000","420,700,000","372,100,000","12,700,000","16,000,000","14,700,000","7,700,000","7,500,000","8,600,000","7,500,000","7,500,000","10,100,000","6,900,000","8,100,000","7,600,000","11,700,000","8,900,000","10,900,000","10,700,000","9,000,000","11,500,000","9,200,000","6,758,000","5,310,000","95,087,000","87,711,000","97,524,000","115,488,000","125,728,000","75,087,000","76,028,000","98,658,000","84,265,000","99,461,000","149,491,000","647,058,000","49,710,000","52,322,000","49,033,000","55,123,000","51,514,000","38,916,000","36,099,000","44,355,000","39,190,000","33,660,000","30,771,000","30,003,000","90,916,000","68,274,000","16,041,000","9,791,000","13,123,000","18,530,000","9,607,000","6,028,000","1,870,000"
				CashFinancial,"13,700,000","9,600,000","35,100,000","11,100,000","101,500,000","416,700,000","417,200,000","420,700,000","372,100,000","12,700,000","16,000,000","14,700,000","7,700,000","7,500,000","8,600,000","7,500,000","7,500,000","10,100,000","6,900,000","8,100,000","7,600,000","11,700,000","8,900,000","10,900,000","10,700,000","9,000,000","11,500,000","9,200,000","6,758,000","5,310,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"16,041,000","9,791,000","13,123,000","18,530,000","9,607,000","6,028,000","1,870,000"
		Receivables,"2,243,300,000","2,105,300,000","2,238,000,000","1,629,600,000","1,432,800,000","1,237,400,000","1,448,200,000","1,415,100,000","1,304,400,000","1,230,100,000","1,226,900,000","1,227,300,000","1,128,500,000","1,093,200,000","1,068,800,000","1,065,600,000","1,070,300,000","1,034,900,000","1,058,600,000","1,028,500,000","1,038,000,000","990,100,000","1,005,800,000","968,200,000","979,100,000","963,900,000","942,600,000","964,600,000","953,718,000","834,769,000","253,100,000","256,306,000","224,840,000","211,909,000","215,516,000","226,058,000","197,384,000","186,830,000","201,894,000","196,929,000","198,092,000","179,921,000","197,498,000","247,809,000","263,904,000","250,040,000","247,872,000","251,654,000","222,565,000","237,196,000","228,461,000","220,676,000","204,339,000","172,668,000",,"153,032,000","102,215,000","161,459,000","158,958,000","167,444,000","150,687,000","133,989,000","127,713,000"
			AccountsReceivable,"2,185,700,000","2,032,700,000","2,164,900,000","1,580,000,000","1,391,100,000","1,208,300,000","1,284,200,000","1,258,600,000","1,304,400,000","1,230,100,000","1,226,900,000","1,227,300,000","1,128,500,000","1,093,200,000","1,068,800,000","1,065,600,000","1,070,300,000","1,034,900,000","1,058,600,000","1,028,500,000","1,038,000,000","990,100,000","1,005,800,000","968,200,000","979,100,000","963,900,000","942,600,000","964,600,000","953,718,000","834,769,000","253,100,000","256,306,000","224,840,000","211,909,000","215,516,000","226,058,000","197,384,000","186,830,000","201,894,000","190,481,000","198,092,000","179,921,000","197,498,000","245,755,000","263,904,000","250,040,000","247,872,000","242,340,000","222,565,000","237,196,000","228,461,000","220,676,000",,,,,,,,,,,
				GrossAccountsReceivable,"4,371,400,000","2,086,000,000","2,213,700,000","1,622,600,000","1,458,300,000","1,284,500,000","1,364,300,000","1,345,300,000","1,353,800,000","1,259,800,000","1,254,300,000","1,249,300,000","1,153,700,000","1,117,100,000","1,090,800,000","1,084,900,000","1,094,500,000","1,056,900,000","1,077,500,000","1,045,500,000","1,059,300,000","1,011,200,000","1,024,500,000","984,500,000","999,700,000","984,200,000","961,100,000","980,600,000","971,973,000","849,518,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,185,700,000","-53,300,000","-48,800,000","-42,600,000","-67,200,000","-76,200,000","-80,100,000","-86,700,000","-49,400,000","-29,700,000","-27,400,000","-22,000,000","-25,200,000","-23,900,000","-22,000,000","-19,300,000","-24,200,000","-22,000,000","-18,900,000","-17,000,000","-21,300,000","-21,100,000","-18,700,000","-16,300,000","-20,600,000","-20,300,000","-18,500,000","-16,000,000","-18,255,000","-14,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"57,600,000","72,600,000","73,100,000","49,600,000","41,700,000","29,100,000","164,000,000","156,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,448,000",,,,"2,054,000",,,,"9,314,000",,,,,,,,,,,,,,,
		Inventory,"3,085,300,000","3,190,900,000","2,864,000,000","1,839,400,000","1,541,800,000","1,477,700,000","1,523,900,000","1,549,400,000","1,803,100,000","1,349,400,000","1,411,200,000","1,356,900,000","1,128,300,000","1,140,900,000","1,115,500,000","1,051,900,000","1,054,400,000","1,043,400,000","1,034,000,000","1,013,300,000","1,000,200,000","985,100,000","952,800,000","919,700,000","899,100,000","911,600,000","916,300,000","882,600,000","881,392,000","848,995,000","348,817,000","329,686,000","343,468,000","314,130,000","317,716,000","308,901,000","309,638,000","283,881,000","296,114,000","303,073,000","291,342,000","280,822,000","287,097,000","314,835,000","304,155,000","285,521,000","280,556,000","257,198,000","246,684,000","237,679,000","241,568,000","239,846,000","214,887,000","196,385,000","181,368,000","176,245,000","159,625,000","143,732,000","126,130,000","123,586,000","120,751,000","124,063,000","120,528,000"
