name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010
MarketCap,"732,711,553","1,346,568,480","2,035,958,430","1,508,015,580","1,464,357,180","1,476,130,320","1,403,297,890","695,383,680","674,025,000","658,629,720","941,443,230","800,763,990","1,061,378,336","1,111,876,407","902,885,500","917,736,819","766,661,328","532,771,184","403,696,322","321,357,306","263,365,800","200,836,800","189,612,763","183,007,920","165,919,130","126,850,680","170,650,890","136,617,000","156,588,060","181,798,080","99,698,760","92,058,300","56,735,600","78,868,440","53,691,400","67,036,001","84,038,237","90,843,154","83,299,320","112,285,049","133,984,932","131,761,740","190,524,680","164,086,462","342,568,018","414,635,517","369,187,400","328,307,145","298,571,941"
EnterpriseValue,"685,732,553","1,277,425,480","1,939,769,430","1,400,884,580","1,347,861,180","1,350,964,320","1,357,336,890","645,881,680","612,841,000","594,249,720","875,869,230","734,355,990","1,041,522,336","1,059,323,407","849,207,500","864,723,819","743,029,328","502,279,184","380,230,322","292,959,306","249,697,800","182,021,800","166,764,763","160,159,920","143,071,130","104,002,680","153,687,890","120,019,000","134,429,060","155,311,080","78,176,760","71,968,300","32,570,600","53,733,440","23,771,400","29,132,001","39,863,237","45,316,154","10,903,320","39,889,049","61,588,932","59,365,740","118,128,680","91,690,462","270,172,018","342,239,517","296,791,400","233,065,145","203,631,941"
PeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"236.4",,"2.051","3.728"
ForwardPeRatio,,,,,,,,,,,,"136.986",,,"416.667","107.527",,,,,,,,,,,,,,"35.088",,,,,,,,,,,,,,,,"163.934",,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.339",,,,,,,,,,,,,,,,"6.567",,,
PsRatio,"5.954","12.71","19.592","17.415","18.997","19.676","19.285","9.82","9.739","9.215","13.438","12.2","15.914","17.688","12.795","14.289","12.325","10.165","9.693","6.567","4.569","3.993","3.675","3.356","3.726","2.934","3.731","3.816","4.25","4.935","3.148","3.282","2.037","2.443","1.751","1.257","1.198","0.995","0.92","0.904","1.075","1.051","1.558","1.343","2.952","3.437","2.434","3.863","3.051"
PbRatio,"4.619","8.191","12.043","9.265","8.943","8.678","15.455","7.336","6.804","6.242","9.184","8.114","20.852","19.886","16.484","17.609","51.136","21.924","18.28","10.493","22.548","10.516","8.31","9.299","10.297","5.544","7.322","7.989","7.244","6.91","3.955","3.139","1.551","1.901","1.055","1.127","1.188","1.158","1.062","1.214","1.392","1.283","1.792","1.541","3.208","3.839","3.439","3.153","2.863"
EnterprisesValueRevenueRatio,"5.618","36.147","79.171","38.1","52.955","74.92","64.534","35.131","40.946","40.508","46.963","33.523","84.546","67.979","52.851","51.028","54.885","35.77","17.504","29.343","24.132","22.836","16.728","10.771","8.941","13.007","13.265","6.897","22.338","22.847","5.509","9.632","4.957","7.596","2.496","7.388","5.716","3.947","1.378","1.514","2.688","1.907","3.527","2.755","10.369","11.028","9.956","8.596","8.318"
EnterprisesValueEBITDARatio,"-46.103","-213.938","-226.582","505.917","-433.396","-172.163","-495.921","-130.931","-122.544","-88.734","3,355.821","513.895","-188.613","-254.584","-2,748.244","-481.204","-207.957","-112.392","337.383","-29.909","-40.874","-25.458","-36.253","59.253","40.29","-18.336","-166.329","17.089","-31.024","-37.633","40.59","-25.611","-4.649","-11.846","-3.127","-4.411","-4.041","-6.485","-0.846","40.662","-29.985","-14.637","-64.906","155.408","-111.503","-743.999","127.543","-530.9","-156.279"
