name,ttm,03/31/2022,12/31/2021,09/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"84,748,000","40,703,000","27,478,000","5,287,000","18,192,000","15,737,000","10,670,000"
	OperatingRevenue,"84,748,000","40,703,000","27,478,000","5,287,000","18,192,000","15,737,000","10,670,000"
CostOfRevenue,"84,317,000","36,968,000","20,793,000","17,738,000","16,781,000","19,791,000","12,555,000"
GrossProfit,"431,000","3,735,000","6,685,000","-12,451,000","1,411,000","-4,054,000","-1,885,000"
OperatingExpense,"123,013,000","36,555,000","31,016,000","39,844,000","13,702,000","14,748,000","10,960,000"
	SellingGeneralAndAdministration,"74,849,000","23,078,000","19,048,000","25,655,000","6,624,000","6,615,000","6,057,000"
	ResearchAndDevelopment,"48,164,000","13,477,000","11,968,000","14,189,000","7,078,000","8,133,000","4,903,000"
OperatingIncome,"-122,582,000","-32,820,000","-24,331,000","-52,295,000","-12,291,000","-18,802,000","-12,845,000"
NetNonOperatingInterestIncomeExpense,"-8,990,000","-2,989,000","-2,751,000","-2,977,000","-127,000","11,000","-29,000"
	TotalOtherFinanceCost,"8,990,000","2,989,000","2,751,000","2,977,000","127,000","-11,000","29,000"
OtherIncomeExpense,"29,000","13,488,000","23,737,000","-34,381,000","-3,200,000","562,000","-731,000"
	GainOnSaleOfSecurity,"910,000","13,462,000","23,952,000","-33,931,000","-3,309,000","992,000","-691,000"
	OtherNonOperatingIncomeExpenses,"-881,000","26,000","-215,000","-450,000","109,000","-430,000","-40,000"
PretaxIncome,"-131,543,000","-22,321,000","-3,345,000","-89,653,000","-15,618,000","-18,229,000","-13,605,000"
TaxProvision,"-3,396,000","4,388,000","-6,541,000","-1,684,000","264,000","718,000","-1,000,000"
NetIncomeCommonStockholders,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
	NetIncome,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
		NetIncomeIncludingNoncontrollingInterests,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
			NetIncomeContinuousOperations,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
DilutedNIAvailtoComStockholders,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
BasicEPS,,"-0.06",,"-0.39","-0.035",,"-0.028"
DilutedEPS,,"-0.06",,"-0.39","-0.035",,"-0.028"
BasicAverageShares,,"456,495,288",,"228,266,647","447,919,591",,"447,919,591"
DilutedAverageShares,,"456,495,288",,"228,266,647","447,919,591",,"447,919,591"
TotalOperatingIncomeAsReported,"-122,582,000","-32,820,000","-24,331,000","-52,295,000","-12,291,000","-18,802,000","-12,845,000"
TotalExpenses,"207,330,000","73,523,000","51,809,000","57,582,000","30,483,000","34,539,000","23,515,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
NormalizedIncome,"-129,033,506.846","-34,786,200","-14,288,960","-54,682,689","-13,466,430","-19,671,160","-11,965,134"
NetInterestIncome,"-8,990,000","-2,989,000","-2,751,000","-2,977,000","-127,000","11,000","-29,000"
EBIT,"-122,582,000","-32,820,000","-24,331,000","-52,295,000","-12,291,000","-18,802,000","-12,845,000"
EBITDA,"-108,040,000"
ReconciledCostOfRevenue,"84,317,000","36,968,000","20,793,000","17,738,000","16,781,000","19,791,000","12,555,000"
ReconciledDepreciation,"14,542,000","6,088,000","3,441,000",,"2,397,000","2,939,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"-128,147,000","-26,709,000","3,196,000","-87,969,000","-15,882,000","-18,947,000","-12,605,000"
TotalUnusualItemsExcludingGoodwill,"910,000","13,462,000","23,952,000","-33,931,000","-3,309,000","992,000","-691,000"
TotalUnusualItems,"910,000","13,462,000","23,952,000","-33,931,000","-3,309,000","992,000","-691,000"
NormalizedEBITDA,"-108,950,000","-40,194,000","-44,842,000","-18,364,000","-6,585,000","-16,855,000","-12,154,000"
TaxRateForCalcs,"0.026","0.4","0.27","0.019","0.27","0.27","0.074"
TaxEffectOfUnusualItems,"23,493.154","5,384,800","6,467,040","-644,689","-893,430","267,840","-51,134"
