name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,03/31/1990,03/31/1989,03/31/1988,03/31/1987
			Payables,"37,277,000","32,739,000","28,460,000","33,433,000","40,756,000","37,218,000","32,973,000","50,076,000","54,415,000","53,339,000","46,562,000","42,743,000","44,447,000","33,491,000","28,874,000","30,514,000","28,127,000","26,603,000","20,842,000","15,896,000","23,800,000","17,656,000","16,741,000","10,808,000","11,908,000","10,160,000","10,037,000","10,349,000","11,895,000","9,281,000","8,616,000","7,974,000","9,191,000","7,738,000","7,928,000","7,879,000","9,803,000","8,177,000","6,624,000","7,402,000","7,858,000","5,206,000","4,457,000","4,964,000","6,283,000","3,556,000","3,706,000","4,274,000","3,764,000","4,826,000","5,239,000","4,916,000","5,550,000","3,947,000","5,539,000","6,790,000","9,024,000","7,413,000","5,312,000","3,555,000","5,185,000","4,636,000","3,512,000","2,375,000","3,070,000","1,803,000","1,633,000","2,230,000","1,132,000","1,066,000","971,000","1,309,000","1,368,000","1,020,000","788,000","918,000","1,050,000","810,000","1,048,000","1,251,000","1,975,000","2,635,000","2,034,000","2,236,000","2,129,000","1,660,000","1,459,000","1,396,000","1,553,000","1,945,154","1,728,964","810,027","874,648","1,166,157","1,244,410","1,538,844","2,057,473","1,440,512","1,132,730","1,216,225","1,289,024","834,230","926,875","608,306","777,943","952,844","702,335","473,890","200,000","1,100,000","800,000","1,000,000","400,000","300,000","200,000","300,000","500,000","300,000","300,000","300,000","400,000","200,000","300,000","300,000","300,000",,,,
				AccountsPayable,"35,346,000","32,066,000","27,621,000","29,807,000","34,842,000","23,594,000","21,734,000","27,747,000","32,774,000","31,566,000","31,736,000","29,688,000","32,185,000","26,179,000","21,884,000","25,673,000","23,565,000","21,991,000","16,667,000","12,784,000","20,620,000","14,558,000","14,066,000","8,372,000","9,381,000","8,836,000","8,788,000","8,617,000","10,389,000","8,249,000","7,616,000","6,759,000","7,746,000","6,066,000","6,182,000","6,270,000","7,696,000","6,306,000","5,211,000","6,294,000","6,910,000","5,206,000","4,457,000","4,964,000","6,283,000","3,556,000","3,706,000","4,274,000","3,764,000","4,826,000","5,239,000","4,916,000","5,550,000","3,947,000","5,539,000","6,790,000","9,024,000","7,413,000","5,312,000","3,555,000","5,185,000","4,636,000","3,512,000","2,375,000","3,070,000","1,803,000","1,633,000","2,230,000","1,132,000","1,066,000","971,000","1,309,000","1,368,000","1,020,000","788,000","918,000","1,050,000","810,000","1,048,000","1,251,000","1,975,000","2,635,000","2,034,000","2,236,000","2,129,000","1,660,000","1,459,000","1,396,000","1,553,000","1,945,154","1,728,964","810,027","874,648","1,166,157","1,244,410","1,538,844","2,057,473","1,440,512","1,132,730","1,216,225","1,289,024","834,230","926,875","608,306","777,943","952,844","702,335","473,890","200,000","1,100,000","800,000","1,000,000","400,000","300,000","200,000","300,000","500,000","300,000","300,000","300,000","400,000","200,000","300,000","300,000","300,000",,,,
				TotalTaxPayable,"1,931,000","673,000","839,000","3,626,000","5,914,000","13,624,000","11,239,000","22,329,000","21,641,000","21,773,000","14,826,000","13,055,000","12,262,000","7,312,000","6,990,000","4,841,000","4,562,000","4,612,000","4,175,000","3,112,000","3,180,000","3,098,000","2,675,000","2,436,000","2,527,000","1,324,000","1,249,000","1,732,000","1,506,000","1,032,000","1,000,000","1,215,000","1,445,000","1,672,000","1,746,000","1,609,000","2,107,000","1,871,000","1,413,000","1,108,000","948,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,413,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"18,114,000","20,712,000","20,025,000","18,395,000","19,178,000","21,281,000","16,907,000","13,558,000","21,193,000","15,952,000","14,835,000","11,999,000","12,232,000","12,479,000","10,601,000","9,822,000","11,255,000","10,876,000","9,438,000","10,237,000","11,233,000","11,394,000","8,019,000","7,986,000","7,496,000","6,113,000","6,269,000","6,010,000","4,410,000","4,066,000","3,679,000","4,002,000","4,487,000","3,678,000","3,703,000","4,265,000","3,391,000","3,647,000","3,079,000","3,165,000","2,260,000","3,326,000","9,158,000","8,700,000","14,078,000","13,351,000","11,938,000","10,232,000","13,011,000","10,891,000","9,654,000","10,112,000","10,818,000","8,456,000","7,748,000","7,821,000","9,290,000","8,476,000","6,582,000","5,870,000","7,017,000","5,786,000","5,374,000","4,062,000","5,185,000","4,213,000","4,354,000","4,969,000","3,623,000","3,366,000","3,266,000","3,515,000","3,267,000","2,525,000","2,608,000","2,689,000","4,152,000","3,841,000","3,949,000","3,953,000","5,564,000","5,735,000","5,021,000","5,700,000","5,600,000","5,978,000","5,471,000","5,515,000","6,360,000","5,189,995","4,438,945","4,480,296",,"3,496,562","2,948,064","2,840,217","2,872,288","2,700,018","2,567,027",,"2,032,506",,"1,234,546","1,256,328",,"1,498,808","1,229,556","1,244,584",,,,,,,,,,,,,,,,,,,,,
		CurrentProvisions,"1,935,000",,"1,941,000","2,013,000","2,053,000","2,075,000","1,739,000","1,626,000","1,818,000","1,698,000","1,545,000","1,528,000","1,272,000","1,300,000","1,160,000","1,086,000","1,081,000","1,010,000","954,000","853,000","717,000","698,000","802,000","966,000","998,000","639,000","697,000","883,000","1,103,000","884,000","775,000","813,000","794,000","732,000","682,000","667,000","708,000","920,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"50,649,000","45,283,000","35,880,000","34,441,000","40,954,000","36,756,000","29,081,000","22,544,000","32,273,000","34,151,000","28,246,000","26,887,000","32,926,000","31,930,000","28,508,000","24,267,000","30,330,000","26,077,000","21,643,000","22,346,000","23,290,000","20,047,000","17,319,000","15,835,000","18,359,000","14,484,000","11,343,000","12,056,000","15,978,000","11,463,000","9,083,000","11,798,000","11,967,000","10,665,000","8,273,000","6,955,000","9,664,000","8,365,000","7,104,000","5,861,000","9,272,000","7,442,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,,,,,,,,,,,"851,000","829,000","799,000","770,000","740,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,000","34,000","54,000","73,000","78,000","77,000","242,000","240,000","239,000","237,000","236,000","132,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,000","34,000","54,000","73,000","78,000","77,000","242,000","240,000","239,000","237,000","236,000","132,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
