name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
OperatingCashFlow,"42,880,000","4,839,000","8,455,000","19,926,000","9,660,000","3,257,000","7,919,000","3,363,000","54,017,000","-4,258,000","7,676,000","-4,180,000","17,012,000","-8,229,000","8,978,000","6,080,000","25,273,000","-2,349,000","-576,000","443,000","-6,694,000","1,400,000","1,817,000","16,633,000","845,000","26,767,000","-11,085,000","1,847,000","-23,714,000","20,856,000","-19,601,000","-13,117,000","-28,759,000","-14,528,000","-2,269,000","4,557,000","9,950,000","-16,932,000","-836,000","-12,669,000","8,828,000","-15,079,000","-13,195,000","-7,908,000","-11,000","9,897,000","-15,831,352","15,826,234","-3,064,234","-966,648","2,875,063","4,814,298","3,923,928","1,657,623","-9,911,253","20,747,809","-7,217,713","-5,694,746","-1,533,477","-8,143,244","-776,632","17,554,459"
	CashFlowFromContinuingOperatingActivities,"42,880,000","4,839,000","8,455,000","19,926,000","9,660,000","3,257,000","7,919,000","3,363,000","54,017,000","-4,258,000","7,676,000","-4,180,000","17,012,000","-8,229,000","8,978,000","6,080,000","25,273,000","-2,349,000","-576,000","443,000","-6,694,000","1,400,000","1,817,000","16,633,000","845,000","26,767,000","-11,085,000","1,847,000","-23,714,000","20,856,000","-19,601,000","-13,117,000","-28,759,000","-14,528,000","-2,269,000","4,557,000","9,950,000","-16,932,000","-836,000","-12,669,000","8,828,000","-15,079,000","-13,195,000","-7,908,000","-11,000","9,897,000","-15,831,352","15,826,234","-3,064,234","-966,648","2,875,063","4,814,298","3,923,928","1,657,623","-9,911,253","20,747,809","-7,217,713","-5,694,746","-1,533,477","-8,143,244","-776,632","17,554,459"
		NetIncomeFromContinuingOperations,"-111,284,000","-24,576,000","-2,601,000","-4,158,000","-79,949,000","-7,447,000","-2,852,000","-2,539,000","-7,037,000","899,000","39,223,000","-6,045,000","-7,094,000","-12,825,000","5,704,000","-12,199,000","-13,161,000","10,473,000","-28,688,000","-94,888,000","-18,539,000","60,724,000","-4,137,000","-13,019,000","903,000","2,529,000","-50,395,000","-23,181,000","-30,355,000","-31,527,000","608,000","-30,231,000","-32,572,000","-28,664,000","-32,281,000","-18,795,000","-12,008,000","-3,835,000","-41,675,000","-16,209,000","-11,210,000","-31,768,000","-20,813,000","-11,427,000",,,"13,555,872","-1,923,997","9,977,792","-24,382,667","-1,925,431","-18,380,875","-6,501,532","-6,879,961","-22,378,099","-10,637,146","-2,412,730","-5,428,699","-2,916,311","-1,544,970","-3,562,902","-870,179"
		OperatingGainsLosses,"3,871,000","4,949,000","-3,157,000","1,585,000","494,000","2,517,000","1,774,000","-855,000","-760,000","-5,562,000","-5,051,000","-1,801,000","-1,846,000","4,371,000","-13,242,000","1,764,000","1,880,000","1,468,000","5,693,000","0","762,000","-73,843,000","-8,995,000","668,000","-10,120,000","-15,923,000","-1,032,000","-1,327,000","582,000","-574,000","-12,322,000","-3,255,000","2,286,000","-4,455,000","1,306,000","-1,366,000","-15,596,000","-3,011,000","603,000","300,000",,,"-274,000","-1,854,000","-3,304,000","2,604,000","-10,272,223","-1,809,719","-16,576,891","18,561,833","-424,346","15,572,978","2,423,690","216,953","61,587","42,721","0","-38,356","59,109","-503","56,309","122,868"
			GainLossOnSaleOfBusiness,,,,"0","0","0","-887,000","0","0","-176,000",,,,,"-4,782,000",,,,"-772,000","0","762,000","-70,648,000",,,,,"0",,,,"-11,998,000","0",,,"1,383,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"1,287,000","-32,000","-306,000","1,497,000","128,000","46,000","439,000","-1,016,000","-2,284,000","-14,000","1,507,000","-76,000","-1,287,000","-2,680,000","1,344,000","162,000",,,,,,,,,,,,,"-63,000","105,000",,,,"0",,,,"137,000",,,,,,,,,,,"38,600","-42,965",,"150,668","214,094","40,186",,,,,,,,
			GainLossOnInvestmentSecurities,"2,481,000","1,036,000","1,250,000","-267,000","462,000","2,045,000","1,880,000","150,000","1,022,000","-5,227,000","901,000","-1,348,000","-592,000","6,584,000",,,,,,,,,,,,,"-329,000","-502,000","300,000","-883,000","-324,000","-3,255,000","2,286,000","-4,455,000","-77,000","-1,366,000","39,000","466,000",,,,,,,,,,,"-16,615,491","18,604,798",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"1,681,000","1,677,000","-230,000","355,000","-121,000","426,000","-907,000","11,000","502,000","-145,000","-4,000","-377,000","33,000","467,000","-16,000","1,705,000","729,000","1,468,000",,,,,,,,,,"154,000","345,000","204,000","0","0","0","0","0","0","0","-3,614,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"44,839,000","11,390,000","10,976,000","11,092,000","11,381,000","11,735,000","11,964,000","11,744,000","11,374,000","12,600,000","12,931,000","14,844,000","12,605,000","12,479,000","12,354,000","13,363,000","13,332,000","12,801,000","12,857,000","14,104,000","14,336,000","15,317,000","14,580,000","14,801,000","14,920,000","14,961,000","14,931,000","14,000,000","13,402,000","12,886,000","13,610,000","12,325,000","11,608,000","11,515,000","10,459,000","10,924,000","10,777,000","10,158,000","10,163,000","9,047,000","8,907,000","8,144,000","8,010,000","7,554,000","7,632,000","7,210,000","6,919,477","5,507,032","5,069,940","4,990,551","4,735,092","4,516,513","4,123,037","3,617,053","3,065,705","2,310,527","2,184,019","2,063,421","2,017,546","1,814,176","1,700,163","1,576,057"
			DepreciationAndAmortization,"44,839,000","11,390,000","10,976,000","11,092,000","11,381,000","11,735,000","11,964,000","11,744,000","11,374,000","12,600,000","12,931,000","14,844,000","12,605,000","12,479,000","12,354,000","13,363,000","13,332,000","12,801,000","12,857,000","14,104,000","14,336,000","15,317,000","14,580,000","14,801,000","14,920,000","14,961,000","14,931,000","14,000,000","13,402,000","12,886,000","13,610,000","12,325,000","11,608,000","11,515,000","10,459,000","10,924,000","10,777,000","10,158,000","10,163,000","9,047,000","8,907,000","8,144,000","8,010,000","7,554,000","7,632,000","7,210,000","6,919,477","5,507,032","5,069,940","4,990,551","4,735,092","4,516,513","4,123,037","3,617,053","3,065,705","2,310,527","2,184,019","2,063,421","2,017,546","1,814,176","1,700,163","1,576,057"
				Depreciation,,,,,,,,,,"12,600,000","12,931,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"57,000","21,000","-22,000","30,000","28,000","33,000","30,000","30,000","30,000","30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"57,000","21,000","-22,000","30,000","28,000","33,000","30,000","30,000","30,000","30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,"204,000",,,,,,,,,,,,,,,"997,000",,,,,"122,000","117,000","113,000","101,000","124,000",,,,,,,,,,,,,,,,,,
