name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015
TotalRevenue,"4,850,358,000","1,171,022,000","1,286,936,000","1,146,585,000","1,245,815,000","1,092,383,000","1,151,278,000","1,112,866,000","992,346,000","979,187,000","1,068,561,000","1,091,953,000","1,118,987,000","1,010,906,000","1,091,078,000","1,136,949,000","1,172,497,000","946,179,000","976,003,000","991,408,000","948,736,000","847,787,000","973,169,000","932,475,000","964,608,000","796,547,000","890,948,000","874,331,000","878,799,000","736,982,000"
	OperatingRevenue,"4,850,358,000","1,171,022,000","1,286,936,000","1,146,585,000","1,245,815,000","1,092,383,000","1,151,278,000","1,112,866,000","992,346,000","979,187,000","1,068,561,000","1,091,953,000","1,118,987,000","1,010,906,000","1,091,078,000","1,136,949,000","1,172,497,000","946,179,000","976,003,000","991,408,000","948,736,000","847,787,000","973,169,000","932,475,000","964,608,000","796,547,000","890,948,000","874,331,000","878,799,000","736,982,000"
CostOfRevenue,"3,907,732,000","967,724,000","1,067,597,000","918,513,000","953,898,000","856,444,000","907,305,000","867,972,000","773,675,000","784,818,000","868,155,000","868,168,000","878,768,000","802,458,000","863,793,000","895,160,000","923,690,000","740,326,000","770,311,000","763,196,000","712,998,000","661,816,000","754,620,000","721,887,000","751,874,000","638,424,000","720,157,000","690,800,000","695,428,000","608,740,000"
GrossProfit,"942,626,000","203,298,000","219,339,000","228,072,000","291,917,000","235,939,000","243,973,000","244,894,000","218,671,000","194,369,000","200,406,000","223,785,000","240,219,000","208,448,000","227,285,000","241,789,000","248,807,000","205,853,000","205,692,000","228,212,000","235,738,000","185,971,000","218,549,000","210,588,000","212,734,000","158,123,000","170,791,000","183,531,000","183,371,000","128,242,000"
OperatingExpense,"704,920,000","192,931,000","150,586,000","172,946,000","188,456,000","191,289,000","181,838,000","180,470,000","160,446,000","172,584,000","158,465,000","161,424,000","176,585,000","163,378,000","163,553,000","230,285,000","175,196,000","164,714,000","151,331,000","142,615,000","151,464,000","147,079,000","181,047,000","135,910,000","140,858,000","131,592,000","142,105,000","130,380,000","121,670,000","117,971,000"
	SellingGeneralAndAdministration,"706,334,000","192,996,000","150,873,000","173,774,000","188,691,000","191,554,000","181,841,000","181,963,000","166,327,000","172,584,000","158,465,000","161,424,000","176,585,000","163,378,000","163,553,000","230,285,000","175,196,000","164,714,000","151,331,000","142,615,000","151,464,000","147,079,000","181,047,000","135,910,000","140,858,000","131,592,000","142,105,000","130,380,000","121,670,000","117,971,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"230,285,000","175,196,000","164,714,000",,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,"230,285,000","175,196,000","164,714,000",,,,,,,,,,,,
	OtherOperatingExpenses,"-1,414,000","-65,000","-287,000","-828,000","-235,000","-265,000","-3,000","-1,493,000","-5,881,000",,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"237,706,000","10,367,000","68,753,000","55,126,000","103,461,000","44,650,000","62,135,000","64,424,000","58,225,000","21,785,000","41,941,000","62,361,000","63,634,000","45,070,000","63,732,000","11,504,000","73,611,000","41,139,000","54,361,000","85,597,000","84,274,000","38,892,000","37,502,000","74,678,000","71,876,000","26,531,000","28,686,000","53,151,000","61,701,000","10,271,000"
NetNonOperatingInterestIncomeExpense,"-77,465,000","-18,354,000","-20,874,000","-19,377,000","-18,860,000","-18,455,000","-20,336,000","-18,784,000","-19,076,000","-16,604,000","-18,059,000","-17,571,000","-18,492,000","-17,656,000","-18,986,000","-18,341,000","-17,830,000","-15,661,000","-17,395,000","-17,200,000","-17,547,000","-26,892,000","-23,865,000","-18,547,000","-18,167,000","-17,011,000","-20,083,000","-17,917,000","-11,476,000","-11,156,000"
	InterestExpenseNonOperating,"77,465,000","18,354,000","20,874,000","19,377,000","18,860,000","18,455,000","20,336,000","18,784,000","19,076,000","16,604,000","18,059,000","17,571,000","18,492,000","17,656,000","18,986,000","18,341,000","17,830,000","15,661,000","17,395,000","17,200,000","17,547,000","26,892,000","24,691,000","18,547,000","18,167,000","17,011,000","21,736,000","17,917,000","11,476,000","11,156,000"
	TotalOtherFinanceCost,,,,,,,,,,"16,600,000","18,059,000","17,571,000","18,492,000","17,656,000","18,986,000","18,341,000","17,830,000","15,661,000","17,395,000","17,200,000","17,547,000","26,892,000","23,900,000","18,547,000","18,167,000","17,011,000",,"17,917,000","11,476,000","11,156,000"
OtherIncomeExpense,"7,561,000","7,271,000","-26,000","1,847,000","-1,532,000","9,649,000","-1,040,000","-4,191,000","-5,649,000","-4,214,000","-4,042,000","-5,248,000","-10,600,000","-524,000","-597,000","4,116,000","2,860,000","10,030,000","-26,060,000","-5,155,000","-3,319,000","-3,801,000","-937,000","3,786,000","-1,614,000","-2,257,000","-1,644,000","7,507,000","-7,194,000","-5,891,000"
	GainOnSaleOfSecurity,"-1,058,000","-1,711,000","-2,245,000","3,195,000","-297,000","9,233,000","-3,468,000","-4,316,000","-6,324,000","2,250,000","2,166,000","5,374,000","-5,475,000","5,034,000","4,811,000","2,811,000","7,560,000","-4,986,000","3,471,000","-5,148,000","-3,096,000","-5,653,000","2,362,000","-1,051,000","-1,621,000","-3,270,000",,"9,411,000","-4,761,000","3,696,000"
	EarningsFromEquityInterest,,,,,,,,,,,"0","0","0","0","0","0",,"20,767,000",,,,,,,,,,,,
	SpecialIncomeCharges,"-4,806,000","-135,000","261,000","-2,479,000","-2,453,000","19,000","1,217,000","225,000","-1,929,000","-4,472,000","-4,163,000","-7,935,000","-2,920,000","-2,472,000","-7,749,000","3,367,000","-2,513,000","-2,974,000","-31,099,000","-948,000","-598,000","-1,250,000","-4,860,000","4,079,000","-911,000","572,000","-5,734,000","-2,721,000","-2,894,000","-10,035,000"
		RestructuringAndMergernAcquisition,,,,,"225,000",,,,"1,445,000","2,291,000",,,,"2,085,000",,,"2,433,000",,,,,,,,,,,,,
		WriteOff,"1,150,000","1,000","-572,000","576,000","920,000","927,000","-4,593,000","1,319,000","821,000","4,254,000","-10,763,000","7,935,000","5,734,000","1,634,000","-8,148,000","3,891,000","80,000","2,974,000","9,038,000","2,262,000","554,000","1,202,000","4,802,000","3,945,000","2,119,000","2,981,000","5,785,000","2,316,000","3,272,000","9,969,000"
		OtherSpecialCharges,,,"-1,619,000","1,342,000",,"-265,000","-131,000","-1,257,000","-5,881,000",,"0",,,"-1,247,000","-201,000","-7,258,000",,,"22,138,000","-1,301,000","-14,000",,"-25,000","-8,186,000","-1,545,000",,,,"-251,000",
		GainOnSaleOfBusiness,"-3,059,000","-134,000","-1,056,000","-561,000","-1,308,000","946,000","1,425,000","287,000","337,000","2,073,000","0","0","2,814,000",,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,"77,000","13,000","-58,000","-48,000","-83,000","-162,000","-337,000","3,553,000",,"-405,000","127,000","-66,000"
	OtherNonOperatingIncomeExpenses,"13,425,000","9,117,000","1,958,000","1,131,000","1,218,000","397,000","1,211,000","-100,000","2,604,000","-1,992,000","-2,045,000","-2,687,000","-2,205,000","-3,086,000","2,341,000","-2,062,000","-2,187,000","-2,777,000","1,568,000","941,000","375,000","3,102,000","1,561,000","758,000","918,000","441,000","12,436,000","817,000","461,000","448,000"
PretaxIncome,"167,802,000","-716,000","47,853,000","37,596,000","83,069,000","35,844,000","40,759,000","41,449,000","33,500,000","967,000","19,840,000","39,542,000","34,542,000","26,890,000","44,149,000","-2,721,000","58,641,000","35,508,000","10,906,000","63,242,000","63,408,000","8,199,000","12,700,000","59,917,000","52,095,000","7,263,000","6,959,000","42,741,000","43,031,000","-6,776,000"
TaxProvision,"24,993,000","-188,000","5,768,000","-2,946,000","22,359,000","10,359,000","-2,480,000","15,969,000","10,403,000","1,197,000","12,044,000","22,500,000","12,181,000","10,337,000","4,484,000","-31,606,000","23,189,000","-4,025,000","105,606,000","13,042,000","17,703,000","2,252,000","-219,963,000","14,358,000","-22,197,000","2,206,000","-13,010,000","1,160,000","12,564,000","-6,149,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"0","0","0","0","0","0",,"738,000","1,010,000","1,075,000","1,073,000","481,000","814,000","1,198,000","487,000","765,000","1,151,000","640,000","586,000","7,000"
NetIncomeCommonStockholders,"142,809,000","-528,000","42,085,000","40,542,000","60,710,000","25,485,000","43,239,000","25,480,000","23,097,000","-230,000","7,796,000","17,042,000","22,356,000","16,569,000","39,705,000","28,879,000","35,511,000","40,265,000","-93,690,000","51,275,000","46,778,000","-4,034,000","-55,434,000","13,909,000","22,459,000","-20,070,000","372,345,000","-310,385,000","2,914,000","-26,322,000"
	NetIncome,"142,809,000","-528,000","42,085,000","40,542,000","60,710,000","25,485,000","43,239,000","25,480,000","23,097,000","-230,000","7,796,000","17,042,000","22,356,000","16,569,000","39,705,000","28,879,000","35,511,000","40,265,000","-93,690,000","51,275,000","46,778,000","6,428,000","232,998,000","44,016,000","74,161,000","6,336,000","20,309,000","41,651,000","29,746,000","-788,000"
		NetIncomeIncludingNoncontrollingInterests,"142,809,000","-528,000","42,085,000","40,542,000","60,710,000","25,485,000","43,239,000","25,480,000","23,097,000","-230,000","7,796,000","17,042,000","22,361,000","16,553,000","39,665,000","28,885,000","35,452,000","40,271,000","-93,690,000","51,275,000","46,778,000","6,428,000","232,998,000","44,016,000","74,161,000","6,336,000","20,309,000","41,651,000","29,746,000","-788,000"
			NetIncomeContinuousOperations,"142,809,000","-528,000","42,085,000","40,542,000","60,710,000","25,485,000","43,239,000","25,480,000","23,097,000","-230,000","7,796,000","17,042,000","22,361,000","16,553,000","39,665,000","28,885,000","35,452,000","40,271,000","-93,690,000","51,275,000","46,778,000","6,428,000","233,477,000","46,757,000","74,779,000","5,822,000","21,120,000","42,221,000","31,053,000","-620,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,"0","0","0","-479,000","-2,741,000","-618,000","514,000","-811,000","-570,000","-1,307,000","-168,000"
		MinorityInterests,,,,,,,,,,,,,"-5,000","16,000","40,000","-6,000","59,000","-6,000",,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,"0",,,"10,462,000","288,432,000","30,107,000","51,702,000","26,406,000",,"352,036,000","26,832,000","25,534,000"
DilutedNIAvailtoComStockholders,"142,809,000","-528,000","42,085,000","40,542,000","60,710,000","25,485,000","43,239,000","25,480,000","23,097,000","-230,000","7,796,000","17,042,000","22,356,000","16,569,000","39,705,000","28,879,000","35,511,000","40,265,000","-93,690,000","51,275,000","46,778,000","-4,034,000","-55,434,000","13,909,000","22,459,000","-20,070,000","372,345,000","-310,385,000","2,914,000","-26,322,000"
BasicEPS,,"-0.006","0.467","0.442","0.612","0.25","0.429","0.253","0.23","-0.002","0.077","0.17","0.22","0.165",,"0.279","0.34","0.379","-0.884","0.47","0.45","0.061","2.222","0.41","0.208","-0.186",,"-2.878","0.027","-0.244"
DilutedEPS,,"-0.01","0.45","0.442","0.6","0.25","0.42","0.253","0.23","-0.002","0.077","0.17","0.22","0.16",,"0.27","0.33","0.37","-0.89","0.47","0.43","0.061","2.222","0.39","0.201","-0.186",,"-2.878","0.026","-0.244"
BasicAverageShares,,"89,136,454","90,193,550","91,621,565","99,131,782","100,494,883","100,806,068","100,662,383","100,553,258","100,487,485","100,668,003","100,572,016","100,630,119","100,664,822",,"103,420,959","105,620,267","106,220,558","105,990,483","109,148,936","104,794,294","104,744,087","104,881,700","107,835,607","107,835,607","107,835,607",,"107,835,607","107,835,607","107,835,607"
DilutedAverageShares,,"91,372,991","92,830,899","91,621,565","101,670,624","102,642,440","102,426,124","101,440,963","100,934,273","100,487,485","101,628,811","101,381,976","101,473,530","101,461,293",,"105,937,429","107,653,009","108,867,800","109,209,218","109,148,936","109,086,129","104,744,087","104,881,700","111,492,467","111,492,467","111,492,467",,"111,492,467","111,492,467","111,492,467"
TotalOperatingIncomeAsReported,"234,268,000","10,301,000","68,164,000","53,722,000","102,081,000","43,458,000","61,793,000","61,612,000","50,078,000","15,240,000","37,778,000","54,426,000","57,900,000","41,351,000","55,782,000","7,613,000","71,098,000","-38,165,000",,"83,335,000","83,720,000","37,690,000","32,700,000","70,733,000","69,757,000","23,550,000","22,901,000","50,835,000","58,429,000","302,000"
TotalExpenses,"4,612,652,000","1,160,655,000","1,218,183,000","1,091,459,000","1,142,354,000","1,047,733,000","1,089,143,000","1,048,442,000","934,121,000","957,402,000","1,026,620,000","1,029,592,000","1,055,353,000","965,836,000","1,027,346,000","1,125,445,000","1,098,886,000","905,040,000","921,642,000","905,811,000","864,462,000","808,895,000","935,667,000","857,797,000","892,732,000","770,016,000","862,262,000","821,180,000","817,098,000","726,711,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"142,809,000","-528,000","42,085,000","40,542,000","60,710,000","25,485,000","43,239,000","25,480,000","23,097,000","-230,000","7,796,000","17,042,000","22,356,000","16,569,000","39,705,000","28,879,000","35,511,000","40,265,000","-93,690,000","51,275,000","46,778,000","6,428,000","232,998,000","44,016,000","74,161,000","6,336,000","20,309,000","41,651,000","29,746,000","-788,000"
