name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
OperatingCashFlow,"2,598,800,000","799,100,000","668,300,000","631,600,000","499,800,000","602,700,000","660,300,000","311,400,000","986,800,000","757,100,000","719,700,000","810,200,000","473,700,000","669,200,000","510,400,000","582,600,000","522,800,000","825,000,000","510,200,000","507,200,000","304,300,000","518,700,000","510,400,000","462,400,000","223,500,000","519,700,000","374,100,000","463,500,000","258,800,000","418,900,000","502,500,000","234,200,000","171,700,000","383,000,000","381,900,000","129,800,000","372,800,000","396,000,000","319,600,000","239,400,000","262,200,000","395,600,000","346,500,000","423,700,000","214,000,000","362,100,000","393,400,000","313,900,000","293,400,000","355,700,000","345,300,000","299,400,000","183,700,000","254,700,000","334,485,000","357,978,000","127,830,000","376,904,000","242,812,000","310,770,000","83,035,000","177,757,000","127,938,000","148,730,000","79,209,000","115,819,000","118,042,000","99,501,000","89,555,000","84,495,000","101,411,000","119,528,000","68,445,000","39,422,000","52,515,000","48,147,000","52,557,000","37,930,000","39,572,000","54,666,000","27,916,000","18,984,000","43,142,000","35,856,000"
	CashFlowFromContinuingOperatingActivities,"2,598,800,000","799,100,000","668,300,000","631,600,000","499,800,000","602,700,000","660,300,000","311,400,000","986,800,000","757,100,000","719,700,000","810,200,000","473,700,000","669,200,000","510,400,000","582,600,000","522,800,000","825,000,000","510,200,000","507,200,000","304,300,000","518,700,000","510,400,000","462,400,000","223,500,000","519,700,000","374,100,000","463,500,000","258,800,000","418,900,000","502,500,000","234,200,000","171,700,000","383,000,000","381,900,000","129,800,000","372,800,000","396,000,000","319,600,000","239,400,000","262,200,000","395,600,000","346,500,000","423,700,000","214,000,000","362,100,000","393,400,000","313,900,000","293,400,000","355,700,000","345,300,000","299,400,000","183,700,000","254,700,000","334,485,000","357,978,000","127,830,000","376,904,000","242,812,000","310,770,000","83,035,000","177,757,000","127,938,000","148,730,000","79,209,000","115,819,000","118,042,000","99,501,000","89,555,000","84,495,000","101,411,000","119,528,000","68,445,000","39,422,000","52,515,000","48,147,000","52,557,000","37,930,000","39,572,000","54,666,000","27,916,000","18,984,000","43,142,000","35,856,000"
		NetIncomeFromContinuingOperations,"2,773,100,000","711,000,000","625,200,000","926,300,000","510,600,000","574,800,000","424,800,000","411,500,000","503,300,000","766,800,000","469,000,000","636,300,000","514,600,000","495,900,000","387,000,000","411,800,000","566,100,000","598,800,000","2,939,200,000","308,600,000","415,800,000","399,800,000","373,400,000","472,800,000","320,100,000","367,800,000","291,700,000","359,900,000","265,000,000","330,400,000","306,500,000","290,000,000","263,800,000","266,600,000","193,100,000","236,300,000","311,300,000","237,400,000","168,100,000","218,900,000","253,400,000","266,300,000","746,700,000","315,000,000","295,600,000","457,100,000","196,400,000","244,300,000","271,200,000","240,200,000","202,600,000","202,300,000","221,800,000","199,100,000","62,065,000","168,691,000","201,182,000","283,548,000","201,058,000","201,572,000","125,875,000","130,028,000","102,602,000","103,800,000","109,533,000","91,413,000","76,280,000","77,466,000","82,226,000","70,885,000","56,784,000","59,428,000","57,283,000","46,060,000","29,601,000","31,397,000","35,013,000","26,121,000","33,049,000","19,354,000","24,555,000","17,109,000","13,821,000","20,261,000"
		OperatingGainsLosses,"-576,400,000","8,400,000","-103,100,000","-450,600,000","-31,100,000","12,300,000","28,900,000","4,700,000","-6,400,000","-4,600,000","-21,300,000","24,000,000","39,100,000","-4,800,000","-3,100,000","15,700,000","-66,900,000","10,900,000","6,100,000","-22,800,000","-8,100,000","-90,800,000","-15,000,000","-32,400,000","-7,500,000","31,300,000","22,000,000","-7,400,000","-14,500,000","3,300,000","30,600,000","-20,000,000","-8,200,000","-11,000,000","83,200,000","-20,400,000","-20,200,000","-17,500,000","-14,800,000","-11,200,000","-64,300,000","800,000","1,200,000","900,000","-8,700,000","1,100,000","8,100,000","3,900,000","1,500,000","1,500,000","2,300,000","1,600,000","1,700,000","1,200,000","-6,909,000","16,456,000","14,330,000","7,679,000","3,941,000","3,663,000","3,371,000","3,020,000","4,805,000","1,502,000","-2,947,000","3,555,000","21,507,000","14,894,000","11,526,000","11,121,000","13,349,000","5,093,000","44,965,000","2,071,000","337,000","2,294,000","2,830,000","1,942,000","-991,000","4,786,000","-4,125,000","4,366,000",,
			GainLossOnSaleOfBusiness,,,"-57,200,000",,,,,,,,,,,,"0",,,,"-300,000",,,,,,,,,,,,,,,,"0","0",,,"-78,800,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","27,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-119,700,000","-3,500,000","-5,000,000","-91,300,000","-19,900,000","-800,000","600,000","3,900,000","3,900,000","-4,400,000","-18,800,000","-5,600,000","26,100,000","17,800,000","-600,000","16,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-25,600,000","11,900,000","-10,500,000","-15,800,000","-11,200,000","13,100,000","2,000,000","800,000","-10,300,000","-200,000","-2,500,000","-9,900,000","-8,600,000","-22,600,000","-2,500,000","-1,100,000","-15,600,000","10,900,000","6,400,000","-20,800,000","-8,100,000","-4,300,000","27,000,000","-26,000,000","-7,500,000","4,200,000","10,100,000","-9,900,000","-8,600,000","3,300,000","30,600,000","-20,000,000","-8,200,000","-11,000,000","56,100,000","-20,400,000","-20,200,000","-17,500,000","-15,900,000","-16,500,000","900,000","800,000","1,200,000","900,000","1,100,000","1,100,000","-500,000","3,900,000","1,500,000","1,500,000","2,300,000","1,600,000","1,700,000","1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"379,100,000","91,900,000","94,500,000","96,200,000","96,500,000","98,200,000","120,500,000","118,000,000","113,300,000","112,600,000","116,100,000","121,200,000","122,400,000","113,600,000","91,900,000","53,900,000","51,100,000","51,800,000","51,600,000","50,700,000","52,800,000","53,400,000","57,800,000","55,200,000","54,400,000","57,900,000","56,300,000","57,300,000","58,300,000","56,700,000","56,400,000","58,000,000","59,500,000","59,300,000","59,900,000","60,600,000","59,100,000","58,500,000","59,800,000","60,700,000","64,900,000","67,700,000","66,200,000","65,400,000","64,700,000","64,200,000","64,400,000","65,500,000","65,100,000","63,000,000","66,100,000","63,000,000","60,200,000","62,100,000","72,344,000","62,007,000","53,092,000","50,928,000","52,829,000","48,308,000","20,976,000","20,582,000","20,020,000","19,164,000","18,184,000","17,955,000","17,729,000","18,002,000","16,894,000","15,596,000","14,995,000","14,152,000","14,949,000","12,832,000","13,153,000","13,331,000","13,321,000","13,211,000","13,005,000","12,353,000","12,337,000","10,814,000","10,360,000","9,245,000"
			DepreciationAndAmortization,"379,100,000","91,900,000","94,500,000","96,200,000","96,500,000","98,200,000","120,500,000","118,000,000","113,300,000","112,600,000","116,100,000","121,200,000","122,400,000","113,600,000","91,900,000","53,900,000","51,100,000","51,800,000","51,600,000","50,700,000","52,800,000","53,400,000","57,800,000","55,200,000","54,400,000","57,900,000","56,300,000","57,300,000","58,300,000","56,700,000","56,400,000","58,000,000","59,500,000","59,300,000","59,900,000","60,600,000","59,100,000","58,500,000","59,800,000","60,700,000","64,900,000","67,700,000","66,200,000","65,400,000","64,700,000","64,200,000","64,400,000","65,500,000","65,100,000","63,000,000","66,100,000","63,000,000","60,200,000","62,100,000","72,344,000","62,007,000","53,092,000","50,928,000","52,829,000","48,308,000","20,976,000","20,582,000","20,020,000","19,164,000","18,184,000","17,955,000","17,729,000","18,002,000","16,894,000","15,596,000","14,995,000","14,152,000","14,949,000","12,832,000","13,153,000","13,331,000","13,321,000","13,211,000","13,005,000","12,353,000","12,337,000","10,814,000","10,360,000","9,245,000"
