name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"949,878,000","1,008,443,000","671,615,000","714,401,000","771,346,000","799,829,000","751,681,000","348,035,000","370,274,000","393,068,000"
	CurrentAssets,"915,787,000","976,242,000","639,259,000","681,276,000","742,434,000","770,100,000","721,850,000","315,865,000","338,662,000","360,536,000"
		CashCashEquivalentsAndShortTermInvestments,"898,178,000","958,073,000","616,508,000","671,220,000","726,075,000","678,061,000","713,466,000","312,206,000","334,203,000","355,816,000"
			CashAndCashEquivalents,"119,445,000","280,119,000","228,559,000","260,069,000","262,720,000","447,646,000","559,282,000","137,053,000","70,342,000","41,954,000"
			OtherShortTermInvestments,"778,733,000","677,954,000","387,949,000","411,151,000","463,355,000","230,415,000","154,184,000","175,153,000","263,861,000","313,862,000"
		Receivables,"4,946,000","4,940,000","5,055,000","4,472,000","8,606,000","82,654,000",,,,
			AccountsReceivable,"269,000","403,000","804,000","279,000","0","75,000,000",,,,
			OtherReceivables,"4,677,000","4,537,000","4,251,000","4,193,000","8,606,000","7,654,000",,,,
		PrepaidAssets,"12,663,000","13,229,000","17,696,000","5,584,000","7,753,000","9,385,000","8,384,000","3,659,000","4,459,000","4,720,000"
	TotalNonCurrentAssets,"34,091,000","32,201,000","32,356,000","33,125,000","28,912,000","29,729,000","29,831,000","32,170,000","31,612,000","32,532,000"
		NetPPE,"29,213,000","27,323,000","27,478,000","28,247,000","28,034,000","28,829,000","28,953,000","30,169,000","30,734,000","31,654,000"
			GrossPPE,"29,213,000","41,690,000","27,478,000","28,247,000","28,034,000","39,359,000","28,953,000","30,169,000","38,575,000","38,635,000"
				Properties,,"0",,,,"0",,,"0","0"
				MachineryFurnitureEquipment,,"2,082,000",,,,"1,783,000",,,"1,722,000","1,722,000"
				OtherProperties,"29,213,000","36,577,000","27,478,000","28,247,000","28,034,000","36,113,000","28,953,000","30,169,000","35,816,000","35,563,000"
				ConstructionInProgress,,"134,000",,,,"577,000",,,"151,000","490,000"
				Leases,,"2,897,000",,,,"886,000",,,"886,000","860,000"
			AccumulatedDepreciation,,"-14,367,000",,,,"-10,530,000",,,"-7,841,000","-6,981,000"
		GoodwillAndOtherIntangibleAssets,"2,300,000","2,300,000","2,300,000","2,300,000",,,,,,
		NonCurrentDeferredAssets,,,,,,,,"1,123,000",,
