name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
	CashFlowFromContinuingFinancingActivities,"-15,632,000","-9,385,000","-4,447,000","1,560,000","-3,360,000","-7,828,000","-5,565,000","3,907,000","-1,060,000","1,222,000","-2,782,000","555,049,000","-8,020,000","19,599,000","-1,467,000","5,424,000","207,383,000","4,640,000","658,000","403,000","17,617,000","117,185,000","1,392,000","-33,000","-539,000","3,000"
		NetIssuancePaymentsOfDebt,,,,,,,"0","-11,000",,,"-625,000","638,705,000","0",,"-544,000","-147,000","224,693,000","-83,000","-81,000","-83,000","-82,000","-82,000","2,128,000","-55,000","-83,000","-27,000"
			NetLongTermDebtIssuance,,,,,,,"0","-11,000",,,"-625,000","638,705,000","0",,"-544,000","-147,000","224,693,000","-83,000","-81,000","-83,000","-82,000","-82,000","2,128,000","-55,000","-83,000","-27,000"
				LongTermDebtIssuance,,,,,,,"0","0",,,"-625,000","783,946,000","0",,"-462,000","-67,000",,,"0",,,,,,,
				LongTermDebtPayments,,,,,,,"0","-11,000",,,"0","-145,241,000",,,"-82,000","-80,000","-82,000","-83,000","-81,000","-83,000","-82,000","-82,000","-109,000","-55,000","-83,000","-27,000"
		NetCommonStockIssuance,,,,,,,,,,,,,,,"0",,,"0","0","0","17,577,000","117,180,000","0","-6,000","-250,000","0"
			CommonStockIssuance,,,,,,,,,,,,,,,"0",,,"0","0","0","17,577,000","117,180,000","0","0","0","0"
			CommonStockPayments,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","-6,000",,
		ProceedsFromStockOptionExercised,"9,898,000","4,741,000","134,000","4,502,000","521,000","5,243,000","2,623,000","5,726,000","3,176,000","11,600,000","2,091,000","4,838,000","-5,198,000","18,425,000","1,658,000","5,672,000","1,851,000","4,973,000","1,780,000","1,556,000","122,000","884,000","143,000","96,000","144,000","30,000"
		NetOtherFinancingCharges,"-25,530,000","-14,126,000","-4,581,000","-2,942,000","-3,881,000","-13,071,000","-8,188,000","-1,808,000","-4,236,000","-10,378,000","-4,248,000","-88,494,000","-2,822,000","1,174,000","-2,581,000","-101,000","-19,161,000","-250,000","-1,041,000","-1,070,000","0","-797,000","-529,000","-68,000",,
EndCashPosition,"151,104,000","149,386,000","154,623,000","186,822,000","286,175,000","256,209,000","173,665,000","97,429,000","129,652,000","229,497,000","411,424,000","643,809,000","109,360,000","128,393,000","90,961,000","85,324,000","98,571,000","59,077,000","119,716,000","95,776,000","98,415,000","141,586,000","31,306,000","17,306,000","20,374,000","21,053,000"
	ChangesInCash,"-105,105,000","-4,553,000","-31,960,000","-98,577,000","29,985,000","82,751,000","75,124,000","-32,375,000","-100,610,000","-180,699,000","-232,264,000","534,815,000","-19,181,000","37,537,000","5,497,000","-13,197,000","39,719,000","-60,808,000","23,923,000","-2,650,000","-43,193,000","110,305,000","14,000,000","-3,068,000","-679,000","-3,726,000"
	EffectOfExchangeRateChanges,"-1,718,000","-684,000","-239,000","-776,000","-19,000","-207,000","1,112,000","152,000","765,000","-1,228,000","-121,000","-366,000","148,000","-105,000","-60,000","-50,000","-225,000","169,000","17,000","11,000","22,000","-25,000",,"0","0","0"
	BeginningCashPosition,"256,209,000","154,623,000","186,822,000","286,175,000","256,209,000","173,665,000","97,429,000","129,652,000","229,497,000","411,424,000","643,809,000","109,360,000","128,393,000","90,961,000","85,324,000","98,571,000","59,077,000","119,716,000","95,776,000","98,415,000","141,586,000","31,306,000","17,306,000","20,374,000","21,053,000","24,779,000"
IncomeTaxPaidSupplementalData,"2,542,000","1,110,000","438,000","407,000","587,000","716,000","410,000","557,000","702,000","529,000","350,000","451,000",,,,,,,,,,,,,,
InterestPaidSupplementalData,"6,424,000","3,000,000","212,000","3,000,000","212,000","3,000,000","211,000","3,000,000","212,000","2,817,000","212,000","143,000",,,,,,,,,,,,,,
CapitalExpenditure,"-36,426,000","-9,301,000","-12,141,000","-9,215,000","-5,769,000","-5,643,000","-12,101,000","-3,868,000","-5,413,000","-4,976,000","-5,293,000","-2,610,000","-2,022,000","-1,528,000","-799,000","-2,424,000","-2,089,000","-1,416,000","-1,366,000","-1,094,000","-701,000","-508,000","-853,000","-1,136,000","-917,000","-1,401,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,"0",,,"0","0","0","17,577,000","117,180,000","0","0","0","0"
IssuanceOfDebt,,,,,,,"0","0",,,"-625,000","783,946,000","0",,"-462,000","-67,000",,,"0",,,,,,,
RepaymentOfDebt,,,,,,,"0","-11,000",,,"0","-145,241,000",,,"-82,000","-80,000","-82,000","-83,000","-81,000","-83,000","-82,000","-82,000","-109,000","-55,000","-83,000","-27,000"
RepurchaseOfCapitalStock,,,,,,,,,,,,,,,,,,,"0","0","0",,"-350,000","-6,000",,
FreeCashFlow,"9,583,000","-483,000","26,675,000","-710,000","-15,899,000","20,325,000","46,388,000","5,811,000","-18,774,000","14,999,000","15,413,000","4,203,000","-11,387,000","14,510,000","13,625,000","2,868,000","-7,817,000","10,685,000","11,137,000","-346,000","-32,000","4,515,000","2,242,000","-6,308,000","-7,876,000","1,604,000"
