name,ttm,03/31/2022,12/31/2021
MarketCap,"575,164,233","1,210,300,451","2,002,646,954"
EnterpriseValue,"328,930,233","948,964,451","1,999,284,954"
PsRatio,"12.387","16.963",
PbRatio,"2.88","19.366",
EnterprisesValueRevenueRatio,"13.074","140.796","84.23"
EnterprisesValueEBITDARatio,"-3.447","-27.284","-30.004"
