name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991
TotalAssets,"20,159,178,000","20,423,405,000","14,533,311,000","14,194,207,000","13,773,914,000","13,204,301,000","13,173,665,000","13,022,500,000","11,980,240,000","11,395,165,000","11,538,639,000","11,603,199,000","8,997,457,000","8,851,592,000","8,375,497,000","8,381,002,000","8,090,410,000","8,082,029,000","8,052,919,000","8,017,293,000","7,738,114,000","7,709,375,000","7,502,009,000","7,418,866,000","7,189,268,000","7,210,038,000","7,135,489,000","7,195,921,000","6,911,085,000","6,364,912,000","6,384,428,000","6,348,318,000","6,225,920,000","6,099,234,000","5,895,464,000","5,852,595,000","5,721,120,000","5,756,985,000","5,192,094,000","5,124,564,000","4,985,739,000","4,970,240,000","4,899,766,000","4,842,943,000","4,645,783,000","4,695,738,000","4,703,791,000","4,740,975,000","4,547,207,000","4,482,021,000","4,434,003,000","4,455,059,000","3,766,439,000","3,628,469,000","3,477,235,000","3,387,458,000","3,330,231,000","2,768,413,000","2,675,623,000","2,658,498,000","2,739,946,000","2,828,919,000","2,934,328,000","2,921,927,000","2,923,983,000","3,041,685,000","2,983,623,000","2,990,384,000","2,998,513,000","2,943,926,000","2,898,932,000","2,679,105,000","2,541,915,000","2,436,755,000","2,431,034,000","2,428,069,000","2,350,632,000","2,285,372,000","2,301,184,000","2,260,140,000","2,197,370,000","2,199,188,000","2,144,319,000","2,058,578,000","1,971,138,000","1,949,976,000","1,870,713,000","1,652,330,000","1,619,475,000","1,590,056,000","1,565,400,000","1,546,400,000","1,563,900,000","1,575,100,000","1,514,700,000","1,469,400,000","1,358,600,000","1,370,000,000","1,347,400,000","1,260,800,000","1,118,800,000","1,092,800,000","1,058,200,000","1,046,800,000","998,900,000","987,600,000","958,700,000","955,700,000","935,000,000","929,200,000","885,100,000","861,500,000","843,400,000","829,700,000","804,900,000","795,500,000","779,200,000","807,100,000","790,500,000","806,100,000","805,400,000","846,300,000","889,500,000"
TotalLiabilitiesNetMinorityInterest,"17,193,739,000","17,404,956,000","12,777,357,000","12,452,585,000","12,058,543,000","11,501,616,000","11,483,941,000","11,350,808,000","10,300,584,000","9,687,022,000","9,856,315,000","9,967,196,000","7,892,919,000","7,778,102,000","7,377,192,000","7,403,937,000","7,134,351,000","7,138,220,000","7,121,695,000","7,102,709,000","6,860,634,000","6,844,685,000","6,683,767,000","6,614,969,000","6,401,121,000","6,438,575,000","6,376,286,000","6,452,604,000","6,178,199,000","5,724,385,000","5,757,246,000","5,731,829,000","5,623,364,000","5,507,694,000","5,339,720,000","5,308,990,000","5,183,545,000","5,227,665,000","4,699,129,000","4,640,972,000","4,506,876,000","4,501,183,000","4,438,700,000","4,387,241,000","4,197,798,000","4,259,266,000","4,278,130,000","4,318,913,000","4,128,983,000","4,069,372,000","4,027,428,000","4,057,499,000","3,372,916,000","3,323,195,000","3,172,495,000","3,087,456,000","3,029,574,000","2,547,948,000","2,461,429,000","2,446,436,000","2,518,450,000","2,599,136,000","2,711,984,000","2,705,692,000","2,696,976,000","2,813,533,000","2,760,318,000","2,769,856,000","2,787,924,000","2,733,183,000","2,695,264,000","2,503,737,000","2,361,148,000","2,217,051,000","2,214,477,000","2,215,554,000","2,141,484,000","2,076,356,000","2,099,789,000","2,067,836,000","2,009,325,000","1,990,598,000","1,957,749,000","1,881,405,000","1,798,218,000","1,783,946,000","1,712,203,000","1,498,348,000","1,466,913,000","1,463,177,000","1,442,500,000","1,423,900,000","1,441,600,000","1,450,500,000","1,389,600,000","1,343,400,000","1,234,900,000","1,248,700,000","1,229,400,000","1,146,000,000","1,035,900,000","1,011,700,000","979,700,000","970,900,000","924,800,000","915,000,000","888,200,000","887,300,000","868,800,000","865,000,000","822,700,000","800,600,000","784,500,000","772,300,000","749,100,000","741,000,000","725,800,000","754,400,000","759,600,000","775,500,000","775,000,000","815,000,000","849,200,000"
TotalEquityGrossMinorityInterest,"2,965,439,000","3,018,449,000","1,755,954,000","1,741,622,000","1,715,371,000","1,702,685,000","1,689,724,000","1,671,692,000","1,679,656,000","1,708,143,000","1,682,324,000","1,636,003,000","1,104,538,000","1,073,490,000","998,305,000","977,065,000","956,059,000","943,809,000","931,224,000","914,584,000","877,480,000","864,690,000","818,242,000","803,897,000","788,147,000","771,463,000","759,203,000","743,317,000","732,886,000","640,527,000","627,182,000","616,489,000","602,556,000","591,540,000","555,744,000","543,605,000","537,575,000","529,320,000","492,965,000","483,592,000","478,863,000","469,057,000","461,066,000","455,702,000","447,985,000","436,472,000","425,661,000","422,062,000","418,224,000","412,649,000","406,575,000","397,560,000","393,523,000","305,274,000","304,740,000","300,002,000","300,657,000","220,465,000","214,194,000","212,062,000","221,496,000","229,783,000","222,344,000","216,235,000","227,007,000","228,152,000","223,305,000","220,528,000","210,589,000","210,743,000","203,668,000","175,368,000","180,767,000","219,704,000","216,557,000","212,515,000","209,148,000","209,016,000","201,395,000","192,304,000","188,045,000","208,590,000","186,570,000","177,173,000","172,920,000","166,030,000","158,510,000","153,982,000","152,562,000","126,879,000","122,900,000","122,500,000","122,300,000","124,600,000","125,100,000","126,000,000","123,700,000","121,300,000","118,000,000","114,800,000","82,900,000","81,100,000","78,500,000","75,900,000","74,100,000","72,600,000","70,500,000","68,400,000","66,200,000","64,200,000","62,400,000","60,900,000","58,900,000","57,400,000","55,800,000","54,500,000","53,400,000","52,700,000","30,900,000","30,600,000","30,400,000","31,300,000","40,300,000"
	StockholdersEquity,"2,965,439,000","3,018,449,000","1,755,954,000","1,741,622,000","1,715,371,000","1,702,685,000","1,689,724,000","1,671,692,000","1,679,656,000","1,708,143,000","1,682,324,000","1,636,003,000","1,104,538,000","1,073,490,000","998,305,000","977,065,000","956,059,000","943,809,000","931,224,000","914,584,000","877,480,000","864,690,000","818,242,000","803,897,000","788,147,000","771,463,000","759,203,000","743,317,000","732,886,000","640,527,000","627,182,000","616,489,000","602,556,000","591,540,000","555,744,000","543,605,000","537,575,000","529,320,000","492,965,000","483,592,000","478,863,000","469,057,000","461,066,000","455,702,000","447,985,000","436,472,000","425,661,000","422,062,000","418,224,000","412,649,000","406,575,000","397,560,000","393,523,000","305,274,000","304,740,000","300,002,000","300,657,000","220,465,000","214,194,000","212,062,000","221,496,000","229,783,000","222,344,000","216,235,000","227,007,000","228,152,000","223,305,000","220,528,000","210,589,000","210,743,000","203,668,000","175,368,000","180,767,000","171,847,000","168,722,000","164,698,000","161,351,000","161,242,000","153,649,000","144,506,000","136,670,000","133,261,000","135,198,000","125,808,000","121,574,000","114,712,000","107,227,000","102,727,000","101,237,000","98,129,000","94,100,000","93,700,000","93,500,000","95,800,000","96,300,000","97,200,000","94,900,000","92,500,000","89,200,000","86,000,000","82,900,000","81,100,000","78,500,000","75,900,000","74,100,000","72,600,000","70,500,000","68,400,000","66,200,000","64,200,000","62,400,000","60,900,000","58,900,000","57,400,000","55,800,000","54,500,000","53,400,000","52,700,000","30,900,000","30,600,000","30,400,000","31,300,000","40,300,000"
		CapitalStock,"472,000","472,000","329,000","329,000","329,000","328,000","328,000","328,000","331,000","342,000","342,000","342,000","280,000","279,000","274,000","274,000","273,000","273,000","273,000","272,000","269,000","268,000","261,000","261,000","261,000","260,000","260,000","259,000","259,000","237,000","237,000","236,000","236,000","235,000","227,000","226,000","226,000","225,000","214,000","214,000","213,000","213,000","212,000","212,000","212,000","210,000","210,000","210,000","209,000","209,000","209,000","209,000","163,000","163,000","163,000","163,000","163,000","137,000","137,000","139,000","143,000","147,000","147,000","148,000","153,000","154,000","155,000","155,000","155,000","155,000","155,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0",,"0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"472,000","472,000","329,000","329,000","329,000","328,000","328,000","328,000","331,000","342,000","342,000","342,000","280,000","279,000","274,000","274,000","273,000","273,000","273,000","272,000","269,000","268,000","261,000","261,000","261,000","260,000","260,000","259,000","259,000","237,000","237,000","236,000","236,000","235,000","227,000","226,000","226,000","225,000","214,000","214,000","213,000","213,000","212,000","212,000","212,000","210,000","210,000","210,000","209,000","209,000","209,000","209,000","163,000","163,000","163,000","163,000","163,000","137,000","137,000","139,000","143,000","147,000","147,000","148,000","153,000","154,000","155,000","155,000","155,000","155,000","155,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000","149,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"2,247,518,000","2,249,078,000","949,316,000","948,130,000","946,002,000","945,638,000","944,218,000","942,685,000","962,513,000","1,035,450,000","1,033,949,000","1,029,594,000","527,795,000","527,648,000","483,222,000","481,979,000","479,715,000","479,430,000","477,877,000","476,684,000","452,048,000","451,664,000","409,731,000","408,155,000","406,921,000","405,486,000","404,089,000","401,437,000","399,936,000","311,978,000","308,723,000","307,720,000","306,156,000","305,179,000","274,369,000","272,165,000","270,927,000","269,950,000","237,859,000","236,279,000","235,381,000","233,878,000","232,845,000","231,987,000","230,581,000","226,708,000","226,255,000","225,792,000","225,373,000","225,088,000","224,848,000","224,594,000","142,140,000","137,488,000","137,347,000","137,201,000","137,054,000","60,632,000","60,533,000","60,411,000","60,258,000","60,181,000","60,045,000","60,004,000","59,856,000","59,700,000","59,648,000","59,575,000","59,469,000","59,470,000","59,343,000","42,371,000","42,206,000","42,292,000","42,061,000","42,070,000","42,093,000","41,994,000","42,043,000","42,012,000","42,804,000","43,633,000","43,595,000","43,879,000","43,937,000","44,078,000","44,115,000","44,151,000","44,387,000","44,950,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"795,651,000","766,716,000","787,742,000","763,596,000","741,883,000","716,024,000","696,546,000","676,834,000","667,084,000","654,182,000","621,831,000","585,111,000","569,582,000","546,736,000","527,473,000","504,926,000","484,266,000","465,937,000","452,658,000","437,587,000","425,802,000","414,095,000","404,750,000","391,898,000","379,153,000","368,169,000","355,537,000","343,757,000","333,104,000","330,444,000","320,226,000","310,226,000","301,218,000","293,560,000","288,208,000","278,611,000","270,891,000","263,671,000","258,481,000","251,429,000","247,097,000","239,452,000","232,369,000","224,488,000","217,443,000","210,320,000","201,950,000","194,587,000","190,064,000","184,599,000","179,245,000","176,012,000","184,387,000","177,493,000","177,338,000","171,337,000","168,383,000","164,565,000","158,760,000","157,983,000","166,555,000","175,146,000","169,153,000","165,640,000","175,792,000","175,284,000","169,850,000","163,474,000","157,741,000","152,130,000","145,092,000","138,970,000","134,408,000","129,760,000","124,350,000","118,732,000","111,452,000","110,910,000","105,633,000","99,507,000","97,458,000","92,779,000","88,076,000","84,184,000","80,835,000","77,028,000","73,632,000","71,170,000","70,354,000","67,547,000","64,300,000","61,300,000","58,600,000","56,100,000","53,100,000","50,500,000","48,000,000","45,800,000","43,300,000","40,900,000","38,500,000","36,700,000","34,400,000","32,300,000","30,400,000","28,700,000","26,700,000","24,800,000","22,700,000","20,900,000","19,200,000","17,600,000","15,700,000","14,000,000","12,400,000","11,000,000","10,000,000","9,300,000","8,900,000","8,500,000","8,300,000","9,200,000","18,500,000"
		TreasuryStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,078,000","2,996,000","2,980,000","2,884,000","2,857,000","2,752,000","2,738,000","2,632,000","2,611,000","2,496,000","2,482,000","2,417,000","2,396,000","2,329,000","2,267,000","2,173,000","2,153,000","2,066,000","2,012,000","1,930,000","1,866,000","1,836,000","1,786,000",,,,,"846,000","1,088,000","1,363,000","1,946,000","2,507,000","2,595,000","3,082,000","3,685,000","5,229,000","6,446,000","6,505,000","7,481,000","6,491,000","6,583,000","7,914,000","8,369,000","8,627,000","9,179,000","9,302,000","9,495,000","9,547,000","9,601,000","9,886,000","10,678,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
