name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"6,814,908,000","6,889,689,000","6,775,631,000","6,725,404,000","6,696,591,000","6,790,692,000","6,774,572,000","6,644,496,000","6,824,179,000","6,638,749,000","6,322,998,000","6,240,475,000","6,242,554,000","6,188,476,000","6,328,684,000","6,302,130,000","6,359,835,000","6,449,582,000","6,413,522,000","6,366,758,000","3,753,017,000","3,747,844,000","3,715,890,000","3,532,289,000","3,310,519,000","3,172,300,000","3,179,586,000","3,218,112,000","3,049,086,000","3,041,650,000","2,986,801,000","3,014,571,000","2,735,246,000","2,752,334,000","2,681,520,000","2,574,753,000","2,590,204,000","2,414,090,000","2,403,913,000","2,436,867,000","2,457,596,000","2,291,629,000","2,334,074,000","2,380,328,000","2,464,070,000","2,271,795,000","1,996,907,000","1,881,514,000","1,728,997,000","1,673,535,000"
	CurrentAssets,"287,646,000","350,733,000","302,592,000","325,324,000","264,520,000","316,909,000","421,204,000","265,093,000","410,967,000","227,309,000","207,119,000","215,738,000","252,650,000","319,054,000","416,788,000","225,029,000","236,922,000","291,635,000","199,973,000","272,096,000","176,989,000","172,956,000","168,245,000","146,486,000","149,932,000","146,791,000","144,988,000","146,704,000","144,244,000","139,394,000","190,431,000","249,943,000","157,901,000","146,052,000","209,500,000","229,269,000","229,328,000","116,109,000","60,193,000","71,923,000","65,435,000","98,867,000","155,083,000","182,583,000","247,996,000","72,334,000","258,182,000","221,280,000","170,265,000","243,886,000"
		CashCashEquivalentsAndShortTermInvestments,"10,944,000","52,353,000","12,836,000","19,796,000","29,990,000","115,407,000","227,138,000","75,202,000","216,515,000","32,713,000","12,748,000","23,194,000","61,073,000","126,221,000","225,518,000","26,191,000","56,243,000","100,356,000","9,410,000","91,444,000","16,034,000","11,231,000","17,938,000","8,148,000","13,827,000","13,070,000","11,146,000","16,577,000","13,517,000","10,413,000","18,415,000","132,719,000","27,359,000","18,081,000","82,181,000","120,871,000","120,958,000","15,956,000","8,340,000","23,977,000","35,120,000","69,491,000","122,303,000","154,287,000","207,405,000","29,270,000","221,186,000","176,886,000","128,404,000","219,001,000"
			CashAndCashEquivalents,"10,944,000","52,353,000","12,836,000","19,796,000","29,990,000","115,407,000","227,138,000","75,202,000","216,515,000","32,713,000","12,748,000","23,194,000","61,073,000","126,221,000","225,518,000","26,191,000","56,243,000","100,356,000","9,410,000","91,444,000","16,034,000","11,231,000","17,938,000","8,148,000","13,827,000","13,070,000","11,146,000","16,577,000","13,517,000","10,413,000","18,415,000","132,719,000","27,359,000","18,081,000","82,181,000","120,871,000","120,958,000","15,956,000","8,340,000","23,977,000","35,120,000","69,491,000","122,303,000","154,287,000","207,405,000","29,270,000","221,186,000","176,886,000","128,404,000","219,001,000"
		Receivables,"229,490,000","228,293,000","204,839,000","196,231,000","148,164,000","152,030,000","144,830,000","141,093,000","137,948,000","137,204,000","138,608,000","141,413,000","133,680,000","123,639,000","117,660,000","124,941,000","110,693,000","114,717,000","107,711,000","93,850,000","93,986,000","92,007,000","92,605,000","88,037,000","85,878,000","83,245,000","79,156,000","90,675,000","83,526,000","83,540,000","90,213,000","91,038,000","102,876,000","102,256,000","96,940,000","84,061,000","82,859,000","75,699,000","34,220,000","31,297,000","12,388,000","12,658,000","14,838,000","13,190,000","15,221,000","16,385,000","12,590,000","11,259,000","10,802,000","10,820,000"
			AccountsReceivable,"149,387,000","153,081,000","145,622,000","144,772,000","142,272,000","145,787,000","132,513,000","125,790,000","115,402,000","119,601,000","121,390,000","124,946,000","113,400,000","107,561,000","102,593,000","109,782,000","102,145,000","105,412,000","97,550,000","89,745,000","85,037,000","82,774,000","81,294,000","76,358,000","75,809,000","71,363,000","72,066,000","82,362,000","75,537,000","72,901,000","77,806,000","73,549,000","70,505,000","69,804,000","64,456,000","60,079,000","17,861,000","13,317,000","14,220,000","11,297,000","12,388,000","12,658,000","14,838,000","13,190,000","15,221,000","16,385,000","12,590,000","11,259,000","10,802,000","10,820,000"
			NotesReceivable,"72,701,000","69,114,000","53,111,000","46,341,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0","11,600,000","16,632,000","31,663,000","31,693,000","31,722,000","23,231,000","23,260,000","23,287,000","20,000,000","20,000,000",,,,,,,,,,
			OtherReceivables,"7,402,000","6,098,000","6,106,000","5,118,000","5,892,000","6,243,000","12,317,000","15,303,000","22,546,000","17,603,000","17,218,000","16,467,000","20,280,000","16,078,000","15,067,000","15,159,000","8,548,000","9,305,000","10,161,000","4,105,000","8,949,000","9,233,000","11,311,000","11,679,000","10,069,000","11,882,000","7,090,000","8,313,000","7,989,000","10,639,000","807,000","857,000","708,000","759,000","762,000","751,000","41,738,000","39,095,000",,,,,,,,,,,,
		PrepaidAssets,"42,734,000","38,301,000","51,240,000","38,755,000","47,172,000","46,114,000","45,128,000","44,000,000","51,547,000","48,505,000","50,695,000","45,181,000","50,495,000","61,885,000","58,971,000","53,567,000","57,291,000","58,358,000","65,383,000","53,626,000","58,926,000","55,904,000","44,013,000","34,033,000","33,540,000","34,584,000","36,972,000","23,203,000","26,081,000","24,642,000","27,544,000","6,836,000","9,156,000","6,653,000","9,302,000","5,010,000","7,107,000","6,831,000",,,,,,,,,,,,
		RestrictedCash,"4,478,000","4,716,000","6,628,000","70,542,000","3,096,000","3,358,000","4,108,000","4,798,000","4,957,000","4,903,000","5,068,000","5,950,000","7,402,000","7,309,000","14,639,000","13,414,000","12,695,000","18,204,000","17,469,000","33,176,000","8,043,000","13,814,000","13,689,000","16,268,000","16,687,000","15,892,000","17,714,000","16,249,000","21,120,000","20,799,000","31,329,000","19,350,000","18,510,000","18,114,000","20,068,000","18,268,000","17,479,000","17,623,000","17,633,000","16,649,000","17,927,000","16,718,000","17,942,000","15,106,000","25,370,000","26,679,000","24,406,000","33,135,000","31,059,000","14,065,000"
		AssetsHeldForSaleCurrent,"0","27,070,000","27,049,000",,"36,098,000","0","0","0","0","3,984,000",,,,,,"6,916,000",,,,,,,,,,,,,,,"22,930,000",,,"948,000","1,009,000","1,059,000","925,000",,,,,,,,,,,,,
	TotalNonCurrentAssets,"6,527,262,000","6,538,956,000","6,473,039,000","6,400,080,000","6,432,071,000","6,473,783,000","6,353,368,000","6,379,403,000","6,413,212,000","6,411,440,000","6,115,879,000","6,024,737,000","5,989,904,000","5,869,422,000","5,911,896,000","6,077,101,000","6,122,913,000","6,157,947,000","6,213,549,000","6,094,662,000","3,576,028,000","3,574,888,000","3,547,645,000","3,385,803,000","3,160,587,000","3,025,509,000","3,034,598,000","3,071,408,000","2,904,842,000","2,902,256,000","2,796,370,000","2,764,628,000","2,577,345,000","2,606,282,000","2,472,020,000","2,345,484,000","2,360,876,000","2,297,981,000","2,343,720,000","2,364,944,000","2,392,161,000","2,192,762,000","2,178,991,000","2,197,745,000","2,216,074,000","2,199,461,000","1,738,725,000","1,660,234,000","1,558,732,000","1,429,649,000"
		NetPPE,"244,205,000","245,510,000","242,491,000","244,205,000","242,424,000","242,987,000","238,951,000","239,847,000","241,925,000","243,276,000","244,024,000","245,495,000","243,446,000",,,,,,,,,,,,,,,,,,,,,,,,,,"1,985,675,000","2,001,932,000","1,973,458,000","1,806,471,000","1,785,287,000","1,774,259,000","1,811,307,000","1,797,463,000","1,410,137,000","1,342,915,000","1,258,896,000","1,149,789,000"
			GrossPPE,"244,205,000","245,510,000","242,491,000","244,205,000","242,424,000","242,987,000","238,951,000","239,847,000","241,925,000","243,276,000","244,024,000","245,495,000","243,446,000",,,,,,,,,,,,,,,,,,,,,,,,,,"2,203,072,000","2,201,533,000","2,155,177,000","1,971,254,000","1,933,760,000","1,909,271,000","1,930,158,000","1,900,425,000","1,501,778,000","1,422,042,000","1,326,319,000","1,206,478,000"
				Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","24,540,000","24,540,000","0","0","0","0"
