name,ttm,03/31/2022,03/31/2021
OperatingCashFlow,,"9,058,000","-49,208,000"
	CashFlowFromContinuingOperatingActivities,,"9,058,000","-49,208,000"
		NetIncomeFromContinuingOperations,,"-34,354,000","-361,681,000"
		OperatingGainsLosses,,"-4,044,000","-5,401,000"
		DepreciationAmortizationDepletion,,"26,952,000","74,626,000"
			DepreciationAndAmortization,,"26,952,000","74,626,000"
				Depreciation,,"26,952,000","74,626,000"
		DeferredTax,,"-5,217,000","-5,565,000"
			DeferredIncomeTax,,"-5,217,000","-5,565,000"
		AssetImpairmentCharge,,"0","197,027,000"
		StockBasedCompensation,,"4,531,000","0"
		OtherNonCashItems,,"-10,269,000","-1,077,000"
		ChangeInWorkingCapital,,"31,459,000","52,863,000"
			ChangeInReceivables,,"26,909,000","-14,993,000"
				ChangesInAccountReceivables,,"26,909,000","-14,993,000"
			ChangeInPrepaidAssets,,"1,378,000","-1,340,000"
			ChangeInPayablesAndAccruedExpense,,"3,172,000","69,196,000"
				ChangeInPayable,,"3,172,000","69,196,000"
					ChangeInTaxPayable,,"-7,957,000","922,000"
						ChangeInIncomeTaxPayable,,"-7,957,000","922,000"
					ChangeInAccountPayable,,"11,129,000","68,274,000"
InvestingCashFlow,,"-15,001,000","-33,217,000"
	CashFlowFromContinuingInvestingActivities,,"-15,001,000","-33,217,000"
		CapitalExpenditureReported,,"-20,046,000","-40,617,000"
		NetOtherInvestingChanges,,"5,045,000","7,400,000"
FinancingCashFlow,,"16,187,000","-2,290,000"
	CashFlowFromContinuingFinancingActivities,,"16,187,000","-2,290,000"
		NetIssuancePaymentsOfDebt,,"16,187,000","0"
			NetLongTermDebtIssuance,,"-3,813,000","0"
				LongTermDebtPayments,,"-3,813,000","0"
			NetShortTermDebtIssuance,,"20,000,000","0"
				ShortTermDebtIssuance,,"20,000,000","0"
		NetOtherFinancingCharges,,,"-2,290,000"
EndCashPosition,,"72,973,000","345,665,000"
	ChangesInCash,,"10,244,000","-84,715,000"
	BeginningCashPosition,,"62,729,000","430,380,000"
CapitalExpenditure,,"-20,046,000","-40,617,000"
IssuanceOfDebt,,"20,000,000","0"
RepaymentOfDebt,,"-3,813,000","0"
FreeCashFlow,,"-10,988,000","-89,825,000"
