name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
MarketCap,"80,993,530,706","85,978,200,000","80,668,100,000","75,046,710,000","75,915,680,000","74,231,570,000","70,409,640,000","65,180,160,000","58,719,150,000","59,446,800,000","66,856,930,000","69,881,940,000","64,242,862,868","65,488,099,230","62,740,100,000","57,002,625,014","55,435,654,674","54,275,894,062","58,874,948,893","58,739,836,141","58,508,852,514","57,397,448,131","53,475,629,294","55,142,867,414","59,103,605,651","55,580,180,592","49,116,320,000","49,494,720,000","48,586,560,000","54,360,240,000","59,062,780,000","52,862,390,000","52,452,330,000","50,352,540,000","48,721,060,000","47,146,680,000","47,637,400,117","51,210,333,487","44,915,200,000","45,620,271,708","30,856,712,094","28,110,567,605","29,320,133,056","26,626,679,999","25,081,559,999","24,157,649,999","23,669,489,999","23,448,039,999","21,087,999,999","21,411,839,999","22,527,889,999","20,509,219,999","18,879,459,999","18,431,527,599","19,230,088,115","22,048,949,999","21,983,882,293","22,573,373,155","25,471,996,123","23,568,464,884","23,062,170,537","25,554,436,510","41,744,969,999","37,900,999,999","36,771,239,999","27,022,049,999","25,473,599,999","27,011,419,999","27,541,396,242","25,993,279,999","24,240,809,999","21,470,819,999","19,032,019,999","20,656,399,999","18,629,949,999","16,153,669,999","17,855,249,999","13,085,999,999","17,488,299,999","16,343,799,999","25,933,439,999","31,336,199,999","30,505,019,999","29,371,599,999","30,232,749,999","32,952,539,999","31,627,775,063","31,641,749,999","20,749,704,602","19,267,499,999","18,380,678,237","20,120,989,999","19,869,869,999","19,952,295,999","23,285,495,639","23,940,199,580","21,383,324,875","21,460,909,128","19,943,632,601","17,792,736,096","17,250,585,073","8,895,360,277","9,323,537,434","9,399,335,274","10,392,577,437","10,345,379,492","9,705,399,977","8,885,963,977","8,501,648,494","7,835,856,744","7,810,454,228","7,989,500,994","7,323,709,244","7,400,531,369","8,680,900,119","8,885,759,118","8,168,752,619","8,040,715,744","7,400,531,369","7,374,923,994","7,016,420,745","6,553,887,961","7,164,499,989","6,616,705,371","5,596,465,835","5,824,376,209","6,204,134,956","5,633,831,480","5,659,151,980","5,570,454,987","5,684,416,368","5,203,331,619","5,000,473,368","4,506,692,967","4,683,829,989","4,607,830,466","4,620,327,106","4,468,073,594","4,341,499,845","4,632,095,988","4,517,676,735","4,707,473,987","4,580,928,988","4,567,933,722","4,566,399,474","4,224,849,487","3,579,757,977","3,174,479,983"
EnterpriseValue,"152,512,530,706","155,810,200,000","148,075,100,000","143,638,710,000","143,268,680,000","140,010,570,000","137,585,640,000","132,862,160,000","125,066,150,000","123,790,800,000","130,279,930,000","132,853,940,000","125,538,862,868","122,985,099,230","119,290,100,000","112,742,625,014","110,964,654,674","108,359,894,062","111,905,948,893","111,444,836,141","110,186,852,514","107,387,448,131","97,472,629,294","99,051,867,414","102,118,605,651","97,925,180,592","90,368,320,000","89,865,720,000","89,528,560,000","94,858,240,000","98,776,780,000","93,314,390,000","92,537,330,000","89,902,540,000","87,749,060,000","86,703,680,000","87,401,400,117","90,064,333,487","83,769,200,000","65,246,271,708","50,096,712,094","46,810,567,605","47,008,133,056","44,314,679,999","42,685,559,999","41,259,649,999","40,425,489,999","40,229,039,999","37,868,999,999","37,558,839,999","38,000,889,999","35,330,219,999","33,902,459,999","32,674,527,599","32,683,088,115","35,091,949,999","34,554,882,293","34,033,373,155","36,559,996,123","34,918,464,884","34,030,170,537","44,779,436,510","62,171,969,999","58,365,999,999","57,236,239,999","42,409,049,999","41,342,599,999","42,880,419,999","45,034,396,242","43,716,279,999","42,673,809,999","39,399,819,999","37,623,019,999","41,088,399,999","39,555,949,999","38,500,669,999","39,298,249,999","34,492,999,999","39,255,299,999","38,911,799,999","47,520,439,999","45,478,199,999","44,647,019,999","41,496,599,999","43,113,749,999","45,892,539,999","43,825,775,063","44,581,749,999","33,689,704,602","29,992,499,999","27,512,678,237","28,465,989,999","26,985,869,999","26,932,295,999","30,709,495,639","31,110,699,580","28,446,924,875","28,777,209,128","27,100,032,601","24,805,536,096","24,381,385,073","13,392,260,277","13,827,437,434","13,897,535,274","14,802,277,437","14,862,779,492","14,155,499,977","13,518,763,977","13,134,448,494","12,383,156,744","12,119,054,228","12,298,100,994","11,685,809,244","11,577,731,369","8,680,900,119","8,885,759,118","8,168,752,619","8,040,715,744","7,400,531,369","7,374,923,994","7,016,420,745","6,553,887,961","7,164,499,989","6,616,705,371","5,596,465,835","5,824,376,209","6,204,134,956","5,633,831,480","5,659,151,980","5,570,454,987","5,684,416,368","5,203,331,619","5,000,473,368","4,506,692,967","4,683,829,989","4,607,830,466","4,620,327,106","4,468,073,594","4,341,499,845","4,632,095,988","4,517,676,735","4,707,473,987","4,580,928,988","4,567,933,722","4,566,399,474","4,224,849,487","3,579,757,977","3,174,479,983"
PeRatio,"22.101","22.649","27.176","25.614","57.395","56.45","33.416","31.404","15.757","15.953","19.042","21.35","21.575","24.129","20.998","20.156","18.695","17.728","21.622","21.085","21.433","22.105","19.552","21.063","21.83","20.07","20.753","21.475","20.177","22.191","18.986","24.119","27.276","19.043","20.976","24.462","20.769","24.116","21.196","19.281","20.589","16.414","15.942","14.486","12.227","17.452","17.81","18.84","31.373","18.337","20.988","20.442","16.965","15.736","14.861","16.76","13.068","13.731","16.808","10.103","10.398","11.935","17.951","13.543","13.17","13.013","11.204","11.906","15.015","13.466","19.945",,,,,"26.985","22.67","14.687","16.016","12.296","13.435","15.492","16.09","14.872","15.922","17.958","16.146","33.108","21.766","21.084","12.316","16.309","16.202","16.217","18.732","20.366","20.502","23.358","22.15","15.896","14.841","12.94","13.724","17.079","16.479","15.538","14.533","14.175","13.562","12.75","16.434","16.81","15.409","15.844","19.988","15.273","15.576","16.354","16.273","17.308","15.568","13.115","13.462","12.95","11.322","11.979","12.76","11.037","10.829","10.659","13.363","12.35","11.869","11.469","10.143","9.978","10.561","10.12","9.744","10.398","10.525","11.397","11.2","11.281","12.262","11.223","9.509","8.257"
ForwardPeRatio,"19.342","20.492","19.231","17.889","18.939","18.519","17.422","16.835","15.552","15.552","17.699","18.484","17.921","18.282",,"16.026","16.779","16.393","17.391","17.331","18.182","17.699","16.835","16.667","18.553","16.639","14.993","14.663","14.286","15.361","17.391","15.576","14.205","13.514","13.624","13.106","13.263","13.986","12.97","12.87","41.667","12.642","15.361","14.164","13.459","13.055","13.298","13.21",,,"13.333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"3.494","3.418","3.512","3.881","3.814","4.704","4.237","4.097","2.73","2.773","4.025","3.626","3.506","3.575",,"3.214","3.354","1.828","1.939","1.899","1.993","1.917","5.23","3.989","4.435","3.979","3.694","1.47","1.434","1.45","3.463","3.101","2.836","2.696","2.314","2.514","2.591","5.202","1.792","1.777","5.476","1.663","3.2","3.83","2.992","3.199","3.26","3.001",,,"3.809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"3.103","3.421","3.251","3.019","3.061","2.985","2.779","2.657","2.349","2.351","2.636","2.789","2.568","2.599","2.512","2.332","2.31","2.301","2.52","2.494","2.511","2.492","2.302","2.405","2.569","2.387","2.105","2.144","2.106","2.269","2.286","2.082","2.069","2.044","2.016","1.946","1.973","2.127","1.869","1.984","2.123","1.928","2.005","1.822","1.715","1.676","1.646","1.669","1.563","1.632","1.749","1.587","1.449","1.382","1.441","1.686","1.656","1.735","2.007","1.409","1.389","1.587","2.553","2.352","2.287","1.921","1.262","1.341","1.26","1.204","1.083","0.953","0.833","0.924","0.82","0.732","0.865","0.672","1.043","0.283","0.443","0.491","0.509","0.452","0.495","0.64","0.792","1.013","0.666","0.775","0.842","1.022","1.083","1.122","1.317","1.318","1.216","1.29","1.225","2.158","2.416","2.243","2.411","2.35","2.292","2.213","2.121","1.988","1.902","1.748","1.816","1.857","1.667","1.74","2.023","2.081","2.003","1.998","1.855","1.866","1.772","1.671","1.865","1.767","1.51","1.58","1.683","1.551","1.558","1.52","1.578","1.437","1.381","1.261","1.274","1.254","1.255","1.204","1.172","1.269","1.271","1.353","1.347","1.394","1.479","1.417","1.236","1.11"
PbRatio,"1.706","1.816","1.704","1.625","1.642","1.614","1.599","1.498","1.306","1.325","1.503","1.579","1.458","1.495","1.459","1.342","1.347","1.301","1.414","1.423","1.421","1.399","1.342","1.382","1.482","1.399","1.233","1.25","1.184","1.33","1.426","1.296","1.288","1.218","1.184","1.175","1.164","1.254","1.099","2.035","1.354","1.234","1.284","1.163","1.105","1.057","1.045","1.059","0.992","0.971","1.029","0.943","0.889","0.869","0.916","1.034","1.032","1.054","1.202","1.154","1.118","0.979","1.576","1.476","1.432","1.633","1.601","1.697","1.692","1.577","1.474","1.404","1.308","1.478","1.355","1.014","1.137","0.856","1.17","1.157","1.744","2.47","2.404","2.429","2.962","3.277","3.182","3.386","2.22","2.085","2.043","2.162","2.24","2.225","2.857","2.976","2.821","2.8","2.645","2.342","2.298","1.799","1.907","1.922","2.138","2.162","2.018","1.913","1.83","1.696","1.716","1.755","1.656","1.681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnterprisesValueRevenueRatio,"5.848","21.847","23.738","20.664","24.882","22.766","23.816","19.768","23.071","20.809","21.347","19.143","21.376","19.955","19.508","17.01","19.664","17.663","19.297","17.193","19.836","18.745","20.239","14.522","18.621","17.418","16.98","13.862","16.019","15.64","17.769","14.592","15.555","13.572","14.357","12.923","14.867","15.27","14.709","9.706","14.005","12.895","13.957","11.179","12.079","11.264","11.735","10.195","11.521","10.45","12.219","10.403","11.638","9.865","10.432","10.003","10.701","10.199","13.194","9.146","11.179","14.506","16.208","13.983","14.406","13.249","13.268","14.161","7.965","7.604","7.069","7.154","7.019","7.03","7.302","6.951","7.46","5.454","8.768","9.589","2.909","3.827","4.167","2.482","2.767","2.783","2.771","2.917","3.083","4.145","4.44","4.252","5.753","6.474","7.341","5.872","7.087","6.994","5.905","5.146","7.833","11.817","11.681","10.753","13.22","12.79","12.491","9.796","12.48","11.145","10.219","10.115","11.323","10.972","8.708","6.888","8.275","7.978","7.861","6.472","7.802","6.679","7.619","6.035","6.263","6.569","7.292","5.098","6.503","6.512","6.405","5.145","5.7","5.221","5.51","4.476","5.567","4.87","4.831","4.468","5.267","5.158","5.435","4.856","5.824","5.069","4.986","4.226"
EnterprisesValueEBITDARatio,"13.108","54.233","54.741","42.459","53.578","47.542","84.877","40.371","179.693","42.998","50.088","38.722","46.913","44.415","53.589","38.296","48.541","45.019","45.995","39.021","44.682","42.229","49.986","32.583","46.651","41.653","44.363","33.81","39.932","39.101","50.345","35.226","44.023","83.786","38.52","32.706","52.242","43.031","48.76","32.125","35.082","40.078","40.841","31.496","32.264","28.087","28.814","24.075","64.955","27.079","33.451","34.671","30.792","27.879","35.448","33.294","31.243","28.72","37.847","24.35","35.897","43.14","65.102","37.999","47.147","35.311","41.76","33.087","35.404","17.975","35.151","27.437","30.268","32.95","-19.026","44.254","33.191","25.049","67.218","35.666","33.992","42.503","51.615","22.226","35.749","29.82","29.936","31.024","29.423","28.268","404.598","24.165","33.606","30.025","44.091","28.137","34.917","33.035","41.469","28.783","36.239","27.59","36.122","21.54","31.642","27.812","36.644","20.111","30.731","23.013","30.094","21.248","30.841","24.802","8.708","6.888","8.275","7.978","7.861","6.472","7.802","6.679","7.619","6.035","6.263","6.569","7.292","5.098","6.503","6.512","6.405","5.145","5.7","5.221","5.51","4.476","5.567","4.87","4.831","4.468","5.267","5.158","5.435","4.856","5.824","5.069","4.986","4.226"
