name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
TotalRevenue,"154,467,000","48,663,000","46,170,000","29,850,000","29,784,000","32,127,000","33,032,000","25,797,000","23,092,000","26,174,000","25,832,000","19,960,000","19,010,000","20,741,000","17,477,000","12,993,000"
	OperatingRevenue,"154,467,000","48,663,000","46,170,000","29,850,000","29,784,000","32,127,000","33,032,000","25,797,000","23,092,000","26,174,000","25,832,000","19,960,000","19,010,000","20,741,000","17,477,000","12,993,000"
CostOfRevenue,"77,028,000","20,680,000","19,809,000","18,735,000","17,804,000","15,963,000","14,040,000","10,525,000","9,509,000","10,549,000","10,305,000","9,249,000","9,159,000","7,737,000","7,165,000","5,948,000"
GrossProfit,"77,439,000","27,983,000","26,361,000","11,115,000","11,980,000","16,164,000","18,992,000","15,272,000","13,583,000","15,625,000","15,527,000","10,711,000","9,851,000","13,004,000","10,312,000","7,045,000"
OperatingExpense,"193,613,000","56,626,000","48,876,000","45,789,000","42,322,000","40,076,000","35,576,000","30,717,000","30,670,000","27,425,000","23,374,000","22,003,000","23,814,000","18,617,000","18,986,000","17,178,000"
	SellingGeneralAndAdministration,"96,335,000","28,804,000","23,731,000","22,570,000","21,230,000","18,628,000","18,257,000","13,698,000","14,013,000","13,725,000","12,292,000","11,650,000","14,283,000","10,179,000","10,112,000","8,358,000"
		GeneralAndAdministrativeExpense,"72,753,000","22,133,000","17,756,000","17,014,000","15,850,000","13,389,000","13,582,000","9,729,000","9,651,000","8,936,000","6,549,000","6,465,000","8,940,000","5,086,000","4,843,000","4,456,000"
			OtherGandA,"72,753,000","22,133,000","17,756,000","17,014,000","15,850,000","13,389,000","13,582,000","9,729,000","9,651,000","8,936,000","6,549,000","6,465,000","8,940,000","5,086,000","4,843,000","4,456,000"
		SellingAndMarketingExpense,"23,582,000","6,671,000","5,975,000","5,556,000","5,380,000","5,239,000","4,675,000","3,969,000","4,362,000","4,789,000","5,743,000","5,185,000","5,343,000","5,093,000","5,269,000","3,902,000"
	ResearchAndDevelopment,"97,278,000","27,822,000","25,145,000","23,219,000","21,092,000","21,448,000","17,319,000","17,019,000","16,657,000","13,700,000","11,082,000","10,353,000","9,531,000","8,438,000","8,874,000","8,820,000"
OperatingIncome,"-116,174,000","-28,643,000","-22,515,000","-34,674,000","-30,342,000","-23,912,000","-16,584,000","-15,445,000","-17,087,000","-11,800,000","-7,847,000","-11,292,000","-13,963,000","-5,613,000","-8,674,000","-10,133,000"
NetNonOperatingInterestIncomeExpense,"965,000","328,000","-6,000","286,000","357,000","420,000","521,000","463,000","570,000","699,000","415,000","501,000","524,000","438,000","218,000","35,000"
	InterestIncomeNonOperating,"965,000","328,000","-6,000","286,000","357,000","420,000","521,000","463,000","570,000","699,000","415,000","501,000","524,000","438,000","218,000","35,000"
