name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,12/31/2011
TotalAssets,"3,105,927,000","2,572,640,000","2,588,365,000","2,647,440,000","2,278,737,000","1,965,718,000","2,059,836,000","1,841,075,000","1,755,367,000","1,693,351,000","1,785,923,000","1,732,811,000","1,687,047,000","1,581,248,000","1,771,634,000","1,850,452,000","1,708,852,000","1,607,193,000","1,630,550,000","1,596,089,000","1,513,368,000","1,439,197,000","1,638,805,000","1,503,488,000","1,471,373,000","1,248,606,000","1,332,171,000","1,318,444,000","1,256,792,000","1,220,485,000","1,241,099,000","1,203,565,000","1,154,507,000","1,104,186,000","1,217,959,000","1,194,615,000","1,209,797,000","836,398,000","1,033,163,000","902,831,000"
	CurrentAssets,"2,422,905,000","1,885,878,000","1,937,991,000","2,007,430,000","1,632,860,000","1,308,855,000","1,413,519,000","1,193,143,000","1,105,390,000","1,022,764,000","1,125,130,000","1,073,267,000","1,032,974,000","985,778,000","1,104,641,000","1,171,186,000","1,033,060,000","932,572,000","967,303,000","929,259,000","839,754,000","760,459,000","987,263,000","855,310,000","818,895,000","785,570,000","882,244,000","881,853,000","813,970,000","773,624,000","819,078,000","793,266,000","741,717,000","687,705,000","769,568,000","845,385,000","857,862,000","527,457,000","730,836,000","595,230,000"
		CashCashEquivalentsAndShortTermInvestments,"922,721,000","748,907,000","786,886,000","653,767,000","456,982,000","405,382,000","503,935,000","361,436,000","214,992,000","285,237,000","306,443,000","202,407,000","136,204,000","191,671,000","181,342,000","210,011,000","134,684,000","177,140,000","172,185,000","104,713,000","43,569,000","103,978,000","131,184,000","96,089,000","81,187,000","184,496,000","212,784,000","194,927,000","134,516,000","163,549,000","169,974,000","129,919,000","85,985,000","118,249,000","157,019,000","232,667,000","233,547,000","54,507,000","224,418,000","182,455,000"
			CashAndCashEquivalents,"922,721,000","748,907,000","786,886,000","653,767,000","456,982,000","405,382,000","503,935,000","361,436,000","214,992,000","285,237,000","306,443,000","202,407,000","136,204,000","191,671,000","181,342,000","210,011,000","134,684,000","177,140,000","172,185,000","104,713,000","43,569,000","103,978,000","131,184,000","96,089,000","81,187,000","184,496,000","212,784,000","194,927,000","134,516,000","163,549,000","169,974,000","129,919,000","85,985,000","118,249,000","157,019,000","232,667,000","233,547,000","54,507,000","224,418,000","182,455,000"
		Receivables,"680,246,000","462,228,000","490,923,000","610,150,000","552,874,000","391,133,000","437,889,000","360,862,000","340,127,000","231,646,000","311,943,000","328,664,000","303,801,000","229,240,000","328,678,000","375,184,000","349,037,000","256,177,000","325,045,000","322,180,000","304,911,000","210,649,000","272,325,000","286,468,000","287,739,000","199,064,000","240,263,000","242,331,000","219,636,000","180,446,000","221,076,000","226,027,000","206,781,000","160,091,000","213,048,000","212,768,000","209,910,000","141,621,000","177,691,000","123,933,000"
			AccountsReceivable,"665,136,000","444,325,000","473,727,000","592,953,000","540,197,000","375,865,000","425,585,000","350,673,000","327,254,000","215,894,000","295,585,000","316,698,000","292,761,000","214,338,000","312,659,000","360,765,000","339,299,000","246,452,000","315,336,000","312,368,000","292,541,000","199,191,000","263,199,000","278,704,000","278,189,000","187,138,000","231,413,000","236,515,000","213,702,000","172,314,000","212,801,000","218,940,000","200,101,000","152,240,000","203,935,000","205,722,000","205,575,000","134,743,000","172,498,000","118,901,000"
				GrossAccountsReceivable,"668,246,000","446,379,000","477,120,000","595,466,000","542,037,000","376,976,000","427,214,000","351,563,000","328,234,000","216,485,000","296,672,000","317,442,000","294,232,000","215,400,000","313,916,000","361,669,000","340,574,000","247,397,000","316,563,000","313,283,000","293,976,000","200,650,000","264,587,000","279,825,000","280,139,000","188,872,000","233,348,000","238,209,000","215,995,000","174,376,000","215,223,000","221,189,000","202,909,000","154,749,000","207,085,000","208,268,000","208,351,000","137,439,000","175,392,000","121,043,000"
				AllowanceForDoubtfulAccountsReceivable,"-3,110,000","-2,054,000","-3,393,000","-2,513,000","-1,840,000","-1,111,000","-1,629,000","-890,000","-980,000","-591,000","-1,087,000","-744,000","-1,471,000","-1,062,000","-1,257,000","-904,000","-1,275,000","-945,000","-1,227,000","-915,000","-1,435,000","-1,459,000","-1,388,000","-1,121,000","-1,950,000","-1,734,000","-1,935,000","-1,694,000","-2,293,000","-2,062,000","-2,422,000","-2,249,000","-2,808,000","-2,509,000","-3,150,000","-2,546,000","-2,776,000","-2,696,000","-2,894,000","-2,142,000"
			DuefromRelatedPartiesCurrent,"184,000","211,000","180,000","412,000","416,000","201,000","375,000","417,000","585,000","568,000","630,000","490,000","612,000","436,000","435,000","506,000","428,000","345,000","285,000","464,000","434,000","506,000","439,000","376,000","515,000","1,065,000","959,000","487,000","573,000","821,000","1,111,000","714,000","660,000","583,000","470,000","434,000","430,000","674,000","506,000","1,236,000"
			OtherReceivables,"14,926,000","17,692,000","17,016,000","16,785,000","12,261,000","15,067,000","11,929,000","9,772,000","12,288,000","15,184,000","15,728,000","11,476,000","10,428,000","14,466,000","15,584,000","13,913,000","9,310,000","9,380,000","9,424,000","9,348,000","11,936,000","10,952,000","8,687,000","7,388,000","9,035,000","10,861,000","7,891,000","5,329,000","5,361,000","7,311,000","7,164,000","6,373,000","6,020,000","7,268,000","8,643,000","6,612,000","3,905,000","6,204,000","4,687,000","3,796,000"
