name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993
TotalAssets,"15,806,000,000","15,519,000,000","16,259,000,000","16,098,000,000","16,195,000,000","16,083,000,000","16,009,000,000","15,973,000,000","16,465,000,000","16,008,000,000","16,137,000,000","16,256,000,000","16,361,000,000","15,995,000,000","16,362,000,000","16,260,000,000","16,366,000,000","15,999,000,000","16,024,000,000","15,964,000,000","15,755,000,000","15,457,000,000","15,489,000,000","15,582,000,000","15,616,000,000","15,611,000,000","15,880,000,000","15,886,000,000","15,834,000,000","16,072,000,000","12,135,000,000","12,238,000,000","11,947,000,000","11,845,000,000","11,727,000,000","11,762,000,000","11,687,000,000","11,619,000,000","11,645,000,000","8,566,000,000","6,191,000,000","6,184,000,000","6,183,000,000","6,114,000,000","6,009,000,000","5,986,000,000","5,989,000,000","5,799,000,000","5,648,000,000","5,515,000,000","5,554,000,000","5,356,000,000","5,197,000,000","5,281,000,000","5,529,000,000","5,830,000,000","5,806,000,000","6,009,000,000","5,945,000,000","6,240,000,000","6,116,000,000","6,173,000,000","6,066,000,000","6,002,000,000","5,782,000,000","5,773,000,000","5,571,000,000","5,569,000,000","5,999,000,000","5,872,000,000","5,611,000,000","5,808,000,000","5,765,000,000","6,230,000,000","5,702,000,000","6,355,000,000","6,339,000,000","6,273,000,000","6,100,000,000","6,185,000,000","6,035,000,000","6,086,000,000","6,407,000,000","6,434,000,000","6,517,000,000","6,550,000,000","6,567,000,000","6,247,000,000","6,238,000,000","6,303,000,000","6,210,000,000","6,161,000,000","5,891,000,000","5,876,000,000","6,139,000,000","5,982,000,000","5,910,000,000","5,778,000,000","5,698,000,000","5,633,000,000","5,466,000,000","5,266,000,000","5,105,000,000","5,015,000,000","4,904,000,000","4,854,000,000","4,739,000,000","4,655,000,000","4,594,000,000","4,375,000,000","4,440,000,000","4,385,000,000","4,386,000,000","4,341,000,000"
	CurrentAssets,"4,929,000,000","4,646,000,000","4,875,000,000","4,738,000,000","3,797,000,000","3,541,000,000","3,534,000,000","3,526,000,000","3,851,000,000","3,321,000,000","3,440,000,000","3,516,000,000","3,551,000,000","3,365,000,000","3,647,000,000","3,498,000,000","3,483,000,000","3,143,000,000","3,245,000,000","3,262,000,000","3,165,000,000","2,866,000,000","2,900,000,000","2,930,000,000","2,863,000,000","2,878,000,000","3,182,000,000","3,167,000,000","3,166,000,000","3,173,000,000","2,890,000,000","2,986,000,000","2,949,000,000","2,840,000,000","2,767,000,000","2,838,000,000","2,737,000,000","2,594,000,000","2,673,000,000","4,630,000,000","2,264,000,000","2,302,000,000","2,354,000,000","2,508,000,000","2,434,000,000","2,047,000,000","2,101,000,000","1,909,000,000","1,877,000,000","1,735,000,000","1,580,000,000","1,405,000,000","1,303,000,000","1,423,000,000","1,765,000,000","2,132,000,000","2,231,000,000","2,293,000,000","2,297,000,000","2,501,000,000","2,382,000,000","2,422,000,000","2,159,000,000","2,118,000,000","1,929,000,000","1,924,000,000","1,844,000,000","1,837,000,000","1,944,000,000","1,768,000,000","1,553,000,000","1,717,000,000","1,584,000,000","2,010,000,000","1,514,000,000","1,664,000,000","1,633,000,000","1,529,000,000","1,568,000,000","1,614,000,000","1,498,000,000","1,458,000,000","1,647,000,000","1,656,000,000","1,579,000,000","1,523,000,000","1,522,000,000","1,525,000,000","1,380,000,000","1,489,000,000","1,391,000,000","1,408,000,000","1,471,000,000","1,415,000,000","1,679,000,000","1,600,000,000","1,559,000,000","1,490,000,000","1,464,000,000","1,458,000,000","1,431,000,000","1,345,000,000","1,401,000,000","1,490,000,000","1,464,000,000","1,469,000,000","1,442,000,000","1,418,000,000","1,413,000,000","1,273,000,000","1,230,000,000","1,147,000,000","1,120,000,000","1,103,000,000"
		CashCashEquivalentsAndShortTermInvestments,"487,000,000","459,000,000","717,000,000","609,000,000","540,000,000","564,000,000","650,000,000","704,000,000","680,000,000","204,000,000","207,000,000","186,000,000","195,000,000","226,000,000","193,000,000","193,000,000","194,000,000","191,000,000","195,000,000","222,000,000","197,000,000","181,000,000","207,000,000","240,000,000","202,000,000","293,000,000","309,000,000","268,000,000","196,000,000","214,000,000","212,000,000","175,000,000","185,000,000","237,000,000","222,000,000","234,000,000","178,000,000","249,000,000","237,000,000","3,000,000,000","649,000,000","777,000,000","649,000,000","834,000,000","840,000,000","516,000,000","642,000,000","435,000,000","483,000,000","793,000,000","668,000,000","450,000,000","340,000,000","387,000,000","337,000,000","562,000,000","793,000,000","888,000,000","781,000,000","891,000,000","833,000,000","939,000,000","430,000,000","497,000,000","485,000,000","524,000,000","286,000,000","241,000,000","393,000,000","325,000,000","179,000,000","145,000,000","42,000,000","558,000,000","53,000,000","69,000,000","76,000,000","77,000,000","88,000,000","74,000,000","81,000,000","66,000,000","75,000,000","70,000,000","45,000,000","101,000,000","74,000,000","169,000,000","52,000,000","186,000,000","75,000,000","90,000,000","55,000,000","29,000,000","86,000,000","33,000,000","43,000,000","29,000,000","36,000,000","40,000,000","51,000,000","24,000,000","61,000,000","59,000,000","40,000,000","100,000,000","66,000,000","106,000,000","105,000,000","90,000,000","47,000,000","57,000,000","85,000,000","141,000,000"
			CashAndCashEquivalents,"487,000,000","459,000,000","717,000,000","609,000,000","540,000,000","564,000,000","650,000,000","704,000,000","680,000,000","204,000,000","207,000,000","186,000,000","195,000,000","226,000,000","193,000,000","193,000,000","194,000,000","191,000,000","195,000,000","222,000,000","197,000,000","181,000,000","207,000,000","240,000,000","202,000,000","293,000,000","309,000,000","268,000,000","196,000,000","214,000,000","212,000,000","175,000,000","185,000,000","237,000,000","222,000,000","234,000,000","178,000,000","249,000,000","237,000,000","3,000,000,000","569,000,000","577,000,000","448,000,000","634,000,000","640,000,000","516,000,000","642,000,000","435,000,000","483,000,000","793,000,000","668,000,000","450,000,000","340,000,000","387,000,000","337,000,000","562,000,000","793,000,000","888,000,000","781,000,000","891,000,000","833,000,000","939,000,000","430,000,000","497,000,000","485,000,000","524,000,000","286,000,000","241,000,000","393,000,000","325,000,000","179,000,000","145,000,000","42,000,000","558,000,000","53,000,000","69,000,000","76,000,000","77,000,000","88,000,000","74,000,000","81,000,000","66,000,000","75,000,000","70,000,000","45,000,000","101,000,000","74,000,000","169,000,000","52,000,000","186,000,000","75,000,000","90,000,000","55,000,000","29,000,000","86,000,000","33,000,000","43,000,000","29,000,000","36,000,000","40,000,000","51,000,000","24,000,000","61,000,000","59,000,000","40,000,000","100,000,000","66,000,000","106,000,000","105,000,000","90,000,000","47,000,000","57,000,000","85,000,000","141,000,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234,000,000","178,000,000","249,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","80,000,000","200,000,000","201,000,000","200,000,000","200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,648,000,000","1,580,000,000","1,707,000,000","1,740,000,000","1,669,000,000","1,515,000,000","1,454,000,000","1,326,000,000","1,436,000,000","1,375,000,000","1,470,000,000","1,518,000,000","1,582,000,000","1,483,000,000","1,772,000,000","1,707,000,000","1,749,000,000","1,386,000,000","1,425,000,000","1,437,000,000","1,405,000,000","1,211,000,000","1,163,000,000","1,177,000,000","1,106,000,000","1,038,000,000","1,120,000,000","1,188,000,000","1,216,000,000","1,200,000,000","1,126,000,000","1,226,000,000","1,167,000,000","1,088,000,000","1,148,000,000","1,226,000,000","1,172,000,000","997,000,000","1,072,000,000","802,000,000","808,000,000","704,000,000","806,000,000","884,000,000","888,000,000","676,000,000","767,000,000","809,000,000","774,000,000","379,000,000","384,000,000","483,000,000","353,000,000","354,000,000","647,000,000","799,000,000","704,000,000","658,000,000","665,000,000","821,000,000","788,000,000","754,000,000","839,000,000","843,000,000","715,000,000","656,000,000","768,000,000","757,000,000","793,000,000","779,000,000","746,000,000","739,000,000","801,000,000","701,000,000","686,000,000","807,000,000","768,000,000","659,000,000","694,000,000","753,000,000","664,000,000","656,000,000","757,000,000","759,000,000","783,000,000","737,000,000","712,000,000","656,000,000","651,000,000","631,000,000","640,000,000","680,000,000","748,000,000","776,000,000","840,000,000","877,000,000","843,000,000","793,000,000","795,000,000","832,000,000","794,000,000","744,000,000","759,000,000","852,000,000","873,000,000","802,000,000","833,000,000","862,000,000","835,000,000","707,000,000","735,000,000","674,000,000","624,000,000","542,000,000"
			AccountsReceivable,"1,187,000,000","1,091,000,000","1,356,000,000","1,293,000,000","1,229,000,000","1,033,000,000","1,077,000,000","904,000,000","1,045,000,000","980,000,000","1,191,000,000","1,232,000,000","1,297,000,000","1,154,000,000","1,404,000,000","1,393,000,000","1,430,000,000","1,026,000,000","1,047,000,000","1,018,000,000","982,000,000","812,000,000","905,000,000","951,000,000","951,000,000","792,000,000","968,000,000","1,021,000,000","998,000,000","936,000,000","985,000,000","1,071,000,000","998,000,000","880,000,000","967,000,000","1,053,000,000","990,000,000","846,000,000","954,000,000","732,000,000","740,000,000","632,000,000","711,000,000","769,000,000","777,000,000","545,000,000","701,000,000","721,000,000","687,000,000","277,000,000","316,000,000","328,000,000","264,000,000","275,000,000","548,000,000","644,000,000","599,000,000","546,000,000","596,000,000","747,000,000","704,000,000","682,000,000","758,000,000","750,000,000","635,000,000","575,000,000","674,000,000","679,000,000","718,000,000","675,000,000","671,000,000","670,000,000","732,000,000","614,000,000","608,000,000","667,000,000","654,000,000","532,000,000","616,000,000","671,000,000","592,000,000","570,000,000","661,000,000","673,000,000","695,000,000","650,000,000","631,000,000","584,000,000","580,000,000","572,000,000","640,000,000","680,000,000","748,000,000","776,000,000","840,000,000","877,000,000","843,000,000","793,000,000","795,000,000","832,000,000","794,000,000","744,000,000","759,000,000","852,000,000",,,,,,,,,,
				GrossAccountsReceivable,,"1,108,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-17,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
