name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"404,918,000","122,189,000","102,729,000","92,416,000","87,584,000","99,405,000","85,416,000","78,551,000","72,263,000"
	OperatingRevenue,"404,918,000","122,189,000","102,729,000","92,416,000","87,584,000","99,405,000","85,416,000","78,551,000","72,263,000"
CostOfRevenue,"169,831,000","41,157,000","41,082,000","45,611,000","41,981,000","41,189,000","36,833,000","34,484,000","34,182,000"
GrossProfit,"235,087,000","81,032,000","61,647,000","46,805,000","45,603,000","58,216,000","48,583,000","44,067,000","38,081,000"
OperatingExpense,"378,378,000","104,901,000","95,749,000","99,390,000","78,338,000","73,318,000","69,923,000","66,044,000","69,083,000"
	SellingGeneralAndAdministration,"338,745,000","95,577,000","85,144,000","89,199,000","68,825,000","64,485,000","60,533,000","57,760,000","59,135,000"
		GeneralAndAdministrativeExpense,"180,529,000","54,090,000","44,462,000","43,411,000","38,566,000","38,441,000","35,056,000","33,417,000","34,107,000"
			OtherGandA,"180,529,000","54,090,000","44,462,000","43,411,000","38,566,000","38,441,000","35,056,000","33,417,000","34,107,000"
		SellingAndMarketingExpense,"158,216,000","41,487,000","40,682,000","45,788,000","30,259,000","26,044,000","25,477,000","24,343,000","25,028,000"
	ResearchAndDevelopment,"39,633,000","9,324,000","10,605,000","10,191,000","9,513,000","8,833,000","9,390,000","8,284,000","9,948,000"
OperatingIncome,"-143,291,000","-23,869,000","-34,102,000","-52,585,000","-32,735,000","-15,102,000","-21,340,000","-21,977,000","-31,002,000"
NetNonOperatingInterestIncomeExpense,"349,000","307,000","226,000","81,000","-265,000","-254,000","-225,000","24,000","720,000"
	InterestIncomeNonOperating,"1,491,000","408,000","338,000","316,000","429,000","434,000","448,000","510,000","1,097,000"
	InterestExpenseNonOperating,"1,142,000","101,000","112,000","235,000","694,000","688,000","673,000","486,000","377,000"
OtherIncomeExpense,"-200,000","-12,000","328,000","1,224,000","-1,740,000","80,000","44,000","196,000","2,566,000"
	OtherNonOperatingIncomeExpenses,"-200,000","-12,000","328,000","1,224,000","-1,740,000","80,000","44,000","196,000","2,566,000"
PretaxIncome,"-143,142,000","-23,574,000","-33,548,000","-51,280,000","-34,740,000","-15,276,000","-21,521,000","-21,757,000","-27,716,000"
TaxProvision,"-32,672,000","-6,876,000","-8,084,000","-9,244,000","-8,468,000","-3,215,000","-4,704,000","-4,425,000","-7,563,000"
NetIncomeCommonStockholders,"-128,629,000","-16,698,000","-25,464,000","-53,657,000","-32,810,000","-18,440,000","-23,288,000","-22,382,000","-25,262,000"
	NetIncome,"-128,629,000","-16,698,000","-25,464,000","-53,657,000","-32,810,000","-18,440,000","-23,288,000","-22,382,000","-25,262,000"
		NetIncomeIncludingNoncontrollingInterests,"-110,470,000","-16,698,000","-25,464,000","-42,036,000","-26,272,000","-12,061,000","-16,817,000","-17,332,000","-20,153,000"
			NetIncomeContinuousOperations,"-110,470,000","-16,698,000","-25,464,000","-42,036,000","-26,272,000","-12,061,000","-16,817,000","-17,332,000","-20,153,000"
		MinorityInterests,"-18,159,000","0","0","-11,621,000","-6,538,000","-6,379,000","-6,471,000","-5,050,000","-5,109,000"
	OtherunderPreferredStockDividend,,,,,"6,538,000",,,,"5,109,000"
DilutedNIAvailtoComStockholders,"-128,629,000","-16,698,000","-25,464,000","-53,657,000","-32,810,000","-18,440,000","-23,288,000","-22,382,000","-25,262,000"
BasicEPS,,"-0.1","-0.15","-0.32","-0.192","-0.124","-0.157","-0.151",
DilutedEPS,,"-0.1","-0.15","-0.32","-0.192","-0.124","-0.157","-0.151",
