name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
TotalAssets,"8,137,800,000","7,836,800,000","8,630,800,000","7,673,600,000","7,549,000,000","7,433,200,000","7,372,600,000","7,272,000,000","7,347,600,000","7,235,800,000","7,191,100,000","7,074,400,000","6,928,600,000","6,569,700,000","6,500,000,000","6,315,600,000","6,139,800,000","6,197,500,000","6,027,200,000","5,903,200,000","5,843,400,000","5,777,000,000","5,747,200,000","5,296,100,000","5,227,300,000","5,284,600,000","5,422,200,000","5,409,900,000","5,385,400,000","5,348,500,000","5,330,749,000","5,304,237,000","5,263,948,000","5,199,974,000","2,657,109,000","2,614,821,000","2,515,938,000","2,453,768,000","2,455,150,000","2,831,491,000","2,492,359,000","2,412,499,000","2,232,743,000","2,259,181,000","2,220,947,000","2,224,274,000","2,190,032,000","2,203,519,000","2,164,295,000","2,152,840,000","2,111,501,000","2,046,362,000","1,912,162,000","1,939,741,000","1,989,430,000","2,127,536,000","2,120,890,000","2,035,857,000","2,021,354,000","2,034,883,000","1,972,702,000","1,986,976,000","1,992,392,000","1,976,190,000","1,921,224,000","1,973,298,000","2,070,703,000","2,085,444,000","2,066,717,000","2,082,774,000","1,968,859,000","1,935,161,000","1,926,228,000","1,985,126,000","1,991,586,000","2,003,695,000","2,000,563,000","1,982,551,000","2,026,880,000","1,984,365,000","1,968,679,000","1,971,780,000","2,002,909,000","1,934,782,000","1,946,823,000","1,942,112,000","2,164,676,000","2,154,759,000","2,156,856,000","2,153,200,000"
	CurrentAssets,"2,869,400,000","2,732,700,000","3,804,800,000","2,961,100,000","2,856,900,000","2,750,300,000","2,743,700,000","2,659,000,000","2,613,600,000","2,478,400,000","2,531,300,000","2,402,700,000","2,262,400,000","2,115,100,000","2,114,700,000","1,956,600,000","1,832,600,000","1,915,100,000","2,001,800,000","1,863,400,000","1,779,100,000","1,696,300,000","1,747,000,000","1,609,900,000","1,528,900,000","1,554,500,000","1,679,300,000","1,657,400,000","1,614,800,000","1,578,600,000","1,597,707,000","1,574,249,000","1,561,343,000","1,487,204,000","1,135,928,000","1,102,333,000","1,011,636,000","937,033,000","924,833,000","1,285,686,000","865,196,000","812,063,000","669,911,000","742,288,000","772,104,000","798,041,000","813,017,000","860,796,000","873,748,000","885,214,000","847,503,000","766,355,000","615,469,000","633,173,000","700,538,000","833,733,000","819,765,000","733,037,000","726,916,000","728,067,000","648,856,000","646,718,000","631,147,000","588,575,000","521,608,000","553,489,000","641,375,000","644,853,000","660,834,000","677,061,000","557,994,000","504,668,000","482,909,000","567,077,000","570,437,000","554,697,000","542,829,000","509,554,000","548,030,000","487,152,000","459,364,000","448,217,000","473,497,000","404,781,000","423,182,000","403,709,000","436,091,000","414,699,000","422,393,000","402,900,000"
		CashCashEquivalentsAndShortTermInvestments,"709,900,000","704,800,000","1,791,200,000","1,073,900,000","1,085,900,000","1,080,200,000","1,050,300,000","940,200,000","856,300,000","767,400,000","738,300,000","569,400,000","442,400,000","361,500,000","293,800,000","199,600,000","102,400,000","216,900,000","370,500,000","321,000,000","254,000,000","239,300,000","279,800,000","213,600,000","162,300,000","184,200,000","186,900,000","163,700,000","126,400,000","124,900,000","154,323,000","161,991,000","185,706,000","190,960,000","396,595,000","370,057,000","268,037,000","207,393,000","140,906,000","515,121,000","84,017,000","156,313,000","40,117,000","119,181,000","173,014,000","196,556,000","172,820,000","181,511,000","197,601,000","260,727,000","224,287,000","192,944,000","140,023,000","149,397,000","147,967,000","297,604,000","310,368,000","228,143,000","194,146,000","208,075,000","147,294,000","161,837,000","118,231,000","94,078,000","67,855,000","112,669,000","184,429,000","165,454,000","180,199,000","213,321,000","119,367,000","91,181,000","87,589,000","172,022,000","116,651,000","131,451,000","140,015,000","131,305,000","129,692,000","89,432,000","77,418,000","82,465,000","65,297,000","15,689,000","46,271,000","7,892,000","36,673,000","4,377,000","24,284,000","10,300,000"
			CashAndCashEquivalents,"628,600,000","618,700,000","1,702,900,000","972,200,000","983,400,000","974,600,000","949,100,000","853,300,000","764,000,000","679,500,000","738,300,000","569,400,000","442,400,000","361,500,000","293,800,000","199,600,000","102,400,000","216,900,000","370,500,000","321,000,000","254,000,000","239,300,000","279,800,000","213,600,000","162,300,000","184,200,000","186,900,000","163,700,000","126,400,000","124,900,000","154,323,000","161,991,000","185,706,000","190,960,000","396,595,000","370,057,000","268,037,000","207,393,000","140,906,000","515,121,000","84,017,000","156,313,000","40,117,000","119,181,000","173,014,000","196,556,000","172,820,000","181,511,000","197,601,000","260,727,000","224,287,000","192,944,000","140,023,000","149,397,000","147,967,000","297,604,000","310,368,000","228,143,000","194,146,000","208,075,000","147,294,000","161,837,000","118,231,000","94,078,000","67,855,000","112,669,000","184,429,000","165,454,000","180,199,000","213,321,000","119,367,000","91,181,000","87,589,000","172,022,000","116,651,000","131,451,000","140,015,000","131,305,000","129,692,000","89,432,000","77,418,000","82,465,000","65,297,000","15,689,000","46,271,000","7,892,000","36,673,000","4,377,000","24,284,000","10,300,000"
			OtherShortTermInvestments,"81,300,000","86,100,000","88,300,000","101,700,000","102,500,000","105,600,000","101,200,000","86,900,000","92,300,000","87,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,140,700,000","1,078,400,000","1,078,100,000","981,400,000","908,600,000","837,500,000","864,600,000","823,400,000","879,500,000","872,100,000","941,800,000","958,400,000","930,300,000","918,600,000","991,300,000","936,700,000","908,800,000","900,200,000","851,300,000","755,200,000","733,300,000","703,100,000","731,500,000","664,700,000","631,400,000","664,700,000","683,500,000","708,000,000","676,700,000","651,200,000","717,947,000","707,088,000","696,344,000","666,041,000","419,149,000","408,074,000","427,815,000","417,630,000","462,251,000","439,296,000","442,349,000","319,988,000","338,516,000","334,836,000","308,816,000","293,159,000","335,000,000","427,514,000","422,351,000","375,921,000","380,407,000","335,197,000","255,321,000","254,898,000","305,894,000","295,343,000","278,779,000","275,921,000","300,371,000","289,120,000","275,292,000","263,159,000","277,659,000","263,702,000","233,168,000","213,181,000","227,936,000","235,832,000","227,404,000","216,594,000","226,068,000","206,892,000","188,866,000","191,405,000","202,465,000","193,753,000","190,081,000","175,716,000","201,536,000","205,462,000","188,396,000","170,175,000","222,652,000","208,605,000","203,979,000","215,994,000","227,777,000","229,994,000","219,384,000","209,100,000"
			AccountsReceivable,"1,140,700,000","1,071,000,000","1,066,700,000","981,400,000","908,600,000","832,400,000","864,600,000","817,300,000","879,500,000","845,600,000","932,300,000","947,000,000","930,300,000","901,900,000","986,200,000","920,000,000","860,200,000","830,700,000","831,300,000","755,200,000","733,300,000","689,200,000","713,200,000","663,400,000","631,400,000","636,500,000","683,500,000","708,000,000","676,700,000","646,100,000","717,947,000","704,218,000","696,344,000","643,083,000","409,725,000","403,367,000","391,683,000","352,142,000","379,675,000","353,527,000","348,272,000","319,988,000","338,516,000","331,249,000","308,816,000","293,159,000","335,000,000","308,665,000","275,727,000","243,403,000","274,026,000","263,448,000","255,321,000","254,898,000","305,894,000","295,343,000","278,779,000","275,921,000","300,371,000","289,120,000","275,292,000","263,159,000","277,659,000","263,702,000","233,168,000","213,181,000","227,936,000","235,832,000","227,404,000","216,594,000","226,068,000","206,892,000","188,866,000","191,405,000","202,465,000","193,753,000","190,081,000","175,716,000","201,536,000","205,462,000","188,396,000","170,175,000","222,652,000","208,605,000","203,979,000",,,,,
				GrossAccountsReceivable,"1,160,700,000","1,085,300,000","1,081,800,000","995,100,000","921,400,000","843,000,000","877,200,000","829,900,000","892,800,000","858,200,000","946,200,000","959,800,000","943,700,000","915,500,000","1,000,200,000","933,000,000","873,300,000","843,300,000","842,600,000","765,400,000","743,700,000","699,300,000","722,600,000","673,100,000","641,400,000","646,800,000","695,700,000","720,400,000","689,100,000","657,400,000","730,065,000","715,930,000","707,685,000","653,650,000","416,520,000","409,149,000","397,510,000","357,495,000","385,169,000","358,635,000","353,586,000","325,022,000","343,899,000","335,747,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-20,000,000","-14,300,000","-15,100,000","-13,700,000","-12,800,000","-10,600,000","-12,600,000","-12,600,000","-13,300,000","-12,600,000","-13,900,000","-12,800,000","-13,400,000","-13,600,000","-14,000,000","-13,000,000","-13,100,000","-12,600,000","-11,300,000","-10,200,000","-10,400,000","-10,100,000","-9,400,000","-9,700,000","-10,000,000","-10,300,000","-12,200,000","-12,400,000","-12,400,000","-11,300,000","-12,118,000","-11,712,000","-11,341,000","-10,567,000","-6,795,000","-5,782,000","-5,827,000","-5,353,000","-5,494,000","-5,108,000","-5,314,000","-5,034,000","-5,383,000","-4,498,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"0","7,400,000","11,400,000","0","0","5,100,000","0","6,100,000","0","26,500,000","9,500,000","11,400,000","0","16,700,000","5,100,000","16,700,000","48,600,000","69,500,000","20,000,000","0","0","13,900,000","18,300,000","1,300,000","0","28,200,000","0","0","0","5,100,000","0","2,870,000","0","22,958,000","9,424,000","4,707,000","36,132,000","65,488,000","82,576,000","85,769,000","94,077,000",,,"3,587,000",,"0","0","22,810,000","9,580,000","4,707,000",,"9,294,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
