name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
OperatingCashFlow,"-25,140,000","-11,014,000","-970,000","-8,171,000","-4,985,000","-4,429,000","12,452,000","-14,886,000","-22,782,000","-24,173,000","12,852,000","4,037,000","-3,549,000","-8,095,000","15,188,000","-1,175,000","-3,578,000","-4,732,000","4,535,000","-8,539,000","-9,116,000","-12,193,000","-7,186,000","2,213,000","-6,608,000","-2,764,000","8,728,000","4,827,000","3,411,000","-1,434,000","-1,353,000","12,193,000","-12,495,000","3,409,000","5,812,000","3,225,000","6,673,000","1,261,000","13,783,000","3,900,000","3,545,000","3,424,000","3,158,000","2,463,000","2,690,000","5,932,000","2,203,000","-7,532,000","438,000","-385,000","6,793,000","2,553,000","1,975,000","142,000","6,487,000","2,334,000","3,669,000","1,333,000","3,265,604","5,620,111","-1,271,787","2,409,609"
	CashFlowFromContinuingOperatingActivities,"-25,140,000","-11,014,000","-970,000","-8,171,000","-4,985,000","-4,429,000","12,452,000","-14,886,000","-22,782,000","-24,173,000","12,852,000","4,037,000","-3,549,000","-8,095,000","15,188,000","-1,175,000","-3,578,000","-4,732,000","4,535,000","-8,539,000","-9,116,000","-12,193,000","-7,186,000","2,213,000","-6,608,000","-2,764,000","8,728,000","4,827,000","3,411,000","-1,434,000","-1,353,000","12,193,000","-12,495,000","3,409,000","5,812,000","3,225,000","6,673,000","1,261,000","13,783,000","3,900,000","3,545,000","3,424,000","3,158,000","2,463,000","2,690,000","5,932,000","2,203,000","-7,532,000","438,000","-385,000","6,793,000","2,553,000","1,975,000","142,000","6,487,000","2,334,000","3,669,000","1,333,000","3,265,604","5,620,111","-1,271,787","2,409,609"
		NetIncomeFromContinuingOperations,"-87,820,000","-28,640,000","-23,609,000","-17,525,000","-18,046,000","-22,029,000","-18,184,000","-18,857,000","-17,208,000","-22,735,000","-17,300,000","-17,347,000","-17,517,000","-16,917,000","-12,760,000","-15,786,000","-16,844,000","-18,856,000","-16,980,000","-21,226,000","-19,513,000","-20,207,000","-18,513,000","-15,708,000","-20,527,000","-20,477,000","-17,731,000","-18,182,000","-15,668,000","-14,230,000","-17,508,000","-3,929,000","-7,202,000","-8,912,000","139,000","993,000","580,000","1,734,000",,,,,,,,"856,000","631,000","-2,405,000","-628,000","471,000","1,192,000","798,000","1,536,000","1,990,000","3,585,000","2,359,000","2,241,000","2,572,000","3,453,488","3,501,049","1,267,726","2,294,817"
		OperatingGainsLosses,,,,,,,,,,,"660,000","2,734,000",,,"0","0","2,000","35,000","59,000",,,,"19,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"13,639,000","4,647,000","3,232,000","2,736,000","3,024,000","3,068,000","3,750,000","3,651,000","3,513,000","3,420,000","3,606,000","3,435,000","3,504,000","3,325,000","3,270,000","3,165,000","3,256,000","3,364,000","3,484,000","3,042,000","1,972,000","2,033,000","2,111,000","2,423,000","2,508,000","2,465,000","2,472,000","3,152,000","2,376,000","2,395,000","2,476,000","2,551,000","2,825,000","2,591,000","1,227,000","1,081,000","1,032,000","967,000","740,000","608,000","511,000","427,000","420,000","407,000","415,000","367,000","341,000","347,000","306,000","367,000","534,000","328,000","305,000","319,000","396,000","325,000","323,000","319,000","295,626","291,820","300,334","294,802"
			DepreciationAndAmortization,"13,639,000","4,647,000","3,232,000","2,736,000","3,024,000","3,068,000","3,750,000","3,651,000","3,513,000","3,420,000","3,606,000","3,435,000","3,504,000","3,325,000","3,270,000","3,165,000","3,256,000","3,364,000","3,484,000","3,042,000","1,972,000","2,033,000","2,111,000","2,423,000","2,508,000","2,465,000","2,472,000","3,152,000","2,376,000","2,395,000","2,476,000","2,551,000","2,825,000","2,591,000","1,227,000","1,081,000","1,032,000","967,000","740,000","608,000","511,000","427,000","420,000","407,000","415,000","367,000","341,000","347,000","306,000","367,000","534,000","328,000","305,000","319,000","396,000","325,000","323,000","319,000","295,626","291,820","300,334","294,802"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"511,000","427,000","420,000","407,000","415,000","367,000","341,000","347,000","343,000","330,000",,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"37,000",,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"37,000",,,,,,,,,,,,
		DeferredTax,,,,,,,"0",,,,"-119,000","0",,,"-211,000","0","-252,000","0","-67,000","-486,000","0","33,000","-24,000","22,000","15,000","27,000","27,000","22,000",,,"12,766,000","-238,000","0","0","-490,000","655,000","0","-10,000","2,191,000",,,"0","837,000",,,"-201,000","-73,000",,,,"-1,652,000",,,,"-663,000",,,,"-687,773",,,
