name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
OperatingCashFlow,"481,738,000","130,735,000","106,245,000","125,582,000","119,176,000","98,182,000","83,202,000","79,316,000","107,566,000","80,949,000","71,916,000","82,588,000","101,806,000","75,458,000","69,773,000","78,880,000","89,550,000","66,132,000","69,158,000","76,771,000","79,566,000","67,943,000","62,105,000","77,444,000","62,044,000","61,933,000","53,214,000","61,803,000","57,263,000","43,425,000","47,100,000","47,353,000","40,998,000","30,581,000","38,971,000","38,580,000","38,850,000","26,461,000","21,263,000","38,570,000","37,842,000","20,753,000","19,952,000","26,208,000","22,920,000","15,247,000","20,570,000","23,509,000","16,554,000","10,884,000","15,232,000","19,820,000","15,873,000","11,289,000","13,807,000","24,315,000","17,155,000","11,735,000","17,337,000","20,981,000","11,612,000","12,944,000","16,335,000","17,793,000","20,349,000","10,090,000","11,940,000","15,442,000","12,249,000","9,219,000","11,498,000","6,446,000","7,759,000","9,235,000","5,439,000"
	CashFlowFromContinuingOperatingActivities,"481,738,000","130,735,000","106,245,000","125,582,000","119,176,000","98,182,000","83,202,000","79,316,000","107,566,000","80,949,000","71,916,000","82,588,000","101,806,000","75,458,000","69,773,000","78,880,000","89,550,000","66,132,000","69,158,000","76,771,000","79,566,000","67,943,000","62,105,000","77,444,000","62,044,000","61,933,000","53,214,000","61,803,000","57,263,000","43,425,000","47,100,000","47,353,000","40,998,000","30,581,000","38,971,000","38,580,000","38,850,000","26,461,000","21,263,000","38,570,000","37,842,000","20,753,000","19,952,000","26,208,000","22,920,000","15,247,000","20,570,000","23,509,000","16,554,000","10,884,000","15,232,000","19,820,000","15,873,000","11,289,000","13,807,000","24,315,000","17,155,000","11,735,000","17,337,000","20,981,000","11,612,000","12,944,000","16,335,000","17,793,000","20,349,000","10,090,000","11,940,000","15,442,000","12,249,000","9,219,000","11,498,000","6,446,000","7,759,000","9,235,000","5,439,000"
		NetIncomeFromContinuingOperations,"225,764,000","38,266,000","46,563,000","90,569,000","50,366,000","43,315,000","42,958,000","47,404,000","38,932,000","38,317,000","42,510,000","42,597,000","49,878,000","35,786,000","48,636,000","43,302,000","38,751,000","34,799,000","39,858,000","37,709,000","32,838,000","25,206,000","27,047,000","25,091,000","20,383,000","15,855,000","37,741,000","18,620,000","13,873,000","8,522,000","5,542,000","8,591,000","7,993,000","4,576,000","23,253,000","16,601,000","2,568,000","-428,000","1,480,000","2,051,000","3,355,000","-3,258,000","-7,545,000","7,928,000","1,588,000","476,000","2,677,000","-1,115,000","-4,389,000","-3,192,000","-3,070,000","-3,407,000","-5,208,000","-2,786,000","-17,230,000","4,021,000","836,000","-4,555,000","-6,066,000","-4,130,000","-1,834,000","-3,358,000","-5,818,000","-1,116,000","-30,000","-1,587,000","-4,997,000","3,953,000","2,204,000","1,617,000","-31,937,000","-2,271,000","-1,223,000","3,084,000","5,270,000"
		OperatingGainsLosses,"-37,919,000","-294,000","-7,678,000","-29,631,000","-316,000","-20,000","10,916,000","37,000","174,000","5,000","-1,690,000","-152,000","-10,527,000","-261,000","-10,496,000","292,000","309,000","184,000","81,000","280,000","253,000","772,000","845,000","581,000","724,000","512,000","-17,355,000","-139,000","100,000","238,000","1,297,000","1,860,000","1,254,000","1,369,000","-16,337,000","-9,310,000","0","-228,000","3,615,000","-6,936,000","-5,996,000","251,000","-352,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"-3,883,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-17,902,000","-9,310,000","0","-228,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-25,549,000","-294,000","-24,123,000","-816,000","-316,000","-20,000","-394,000","37,000","174,000","5,000","-182,000","-152,000","-10,527,000","-261,000","80,000","292,000","309,000","184,000","81,000","280,000","253,000","772,000","845,000","581,000","724,000","512,000","212,000","-139,000","100,000","238,000","1,297,000","1,860,000","1,729,000","1,369,000","1,151,000","0","0","0","0","284,000","210,000","251,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"268,886,000","83,514,000","73,338,000","56,883,000","55,151,000","54,845,000","38,172,000","38,837,000","40,646,000","41,592,000","41,800,000","44,066,000","41,434,000","39,066,000","38,677,000","35,817,000","35,624,000","35,545,000","35,434,000","36,548,000","37,512,000","38,825,000","39,940,000","42,482,000","42,059,000","39,961,000","37,646,000","39,281,000","38,745,000","38,441,000","37,129,000","32,188,000","31,030,000","28,656,000","27,261,000","29,710,000","29,738,000","30,365,000","32,661,000","30,615,000","27,811,000","27,486,000","22,311,000","16,960,000","17,223,000","17,208,000","17,814,000","17,156,000","17,963,000","17,917,000","18,219,000","19,186,000","19,284,000","19,219,000","18,735,000","20,270,000","20,661,000","20,466,000","20,590,000","17,316,000","17,100,000","17,212,000","18,411,000","17,068,000","16,181,000","15,067,000","12,941,000","11,438,000","9,129,000","8,394,000","7,833,000","8,257,000","7,304,000","4,901,000","5,118,000"
			DepreciationAndAmortization,"268,886,000","83,514,000","73,338,000","56,883,000","55,151,000","54,845,000","38,172,000","38,837,000","40,646,000","41,592,000","41,800,000","44,066,000","41,434,000","39,066,000","38,677,000","35,817,000","35,624,000","35,545,000","35,434,000","36,548,000","37,512,000","38,825,000","39,940,000","42,482,000","42,059,000","39,961,000","37,646,000","39,281,000","38,745,000","38,441,000","37,129,000","32,188,000","31,030,000","28,656,000","27,261,000","29,710,000","29,738,000","30,365,000","32,661,000","30,615,000","27,811,000","27,486,000","22,311,000","16,960,000","17,223,000","17,208,000","17,814,000","17,156,000","17,963,000","17,917,000","18,219,000","19,186,000","19,284,000","19,219,000","18,735,000","20,270,000","20,661,000","20,466,000","20,590,000","17,316,000","17,100,000","17,212,000","18,411,000","17,068,000","16,181,000","15,067,000","12,941,000","11,438,000","9,129,000","8,394,000","7,833,000","8,257,000","7,304,000","4,901,000","5,118,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-219,000",,,"6,062,000","-12,000","2,047,000","-19,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"8,239,000","2,193,000","2,021,000","2,024,000","2,001,000","2,042,000","1,766,000","1,771,000","1,732,000","1,871,000","1,704,000","1,676,000","1,695,000","1,619,000","1,376,000","1,382,000","1,222,000","1,592,000","1,407,000","1,406,000","1,418,000","1,355,000","1,229,000","1,189,000","1,202,000","-408,000","905,000","795,000","1,000,000","-545,000","1,320,000","1,037,000","-985,000","363,000","1,566,000","1,484,000","1,538,000","1,029,000","1,481,000","1,431,000","1,155,000","483,000","966,000","756,000","900,000","582,000","955,000","952,000","695,000","1,039,000","807,000","875,000","856,000","858,000",,,,,,,,,,,,,,,,,,,,,
