name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,11/30/2020
TotalAssets,"276,342,202","276,438,764","276,791,632","277,018,964","277,439,500","58,852"
	CurrentAssets,"318,553","421,922","781,649","1,014,654","1,439,500",
		CashCashEquivalentsAndShortTermInvestments,"272,672","336,228","577,871","692,979","999,748",
			CashAndCashEquivalents,"272,672","336,228","577,871","692,979","999,748",
				CashFinancial,"272,672","336,228","577,871","692,979","999,748",
		Receivables,"1,256","1,256","1,256","1,068",,
			DuefromRelatedPartiesCurrent,"1,256","1,256","1,256","1,068",,
		PrepaidAssets,"44,625","84,438","202,522","320,607","438,691",
		CurrentDeferredAssets,,"0","0","0","1,061",
	TotalNonCurrentAssets,"276,023,649","276,016,842","276,009,983","276,004,310","276,000,000","58,852"
		NonCurrentDeferredAssets,,,,,,"58,852"
		OtherNonCurrentAssets,"276,023,649","276,016,842","276,009,983","276,004,310","276,000,000",
TotalLiabilitiesNetMinorityInterest,"17,657,610","21,569,899","21,654,930","28,644,235","28,903,707","34,404"
	CurrentLiabilities,"1,861,650","1,380,389","294,620","232,103","261,716","34,404"
		PayablesAndAccruedExpenses,"1,861,650","1,380,389","294,620","232,103","261,716","21,904"
			Payables,"1,861,650","1,380,389","294,620","232,103","261,716",
				AccountsPayable,"1,491,650","1,090,389","84,620","63,851","173,464",
				TotalTaxPayable,"250,000","200,000","150,000","100,000","50,000",
				DuetoRelatedPartiesCurrent,"120,000","90,000","60,000","68,252","38,252",
			CurrentAccruedExpenses,,"0","0","0","0","21,904"
		CurrentDebtAndCapitalLeaseObligation,,"90,000","60,000","68,252","38,252","12,500"
			CurrentDebt,,"90,000","60,000","68,252","38,252","12,500"
				CurrentNotesPayable,,,,,,"12,500"
				OtherCurrentBorrowings,,"90,000","60,000","68,252","38,252",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"15,795,960","20,189,510","21,360,310","28,412,132","28,641,991","0"
		TradeandOtherPayablesNonCurrent,"9,660,000","9,660,000","9,660,000","9,660,000","9,660,000",
		DerivativeProductLiabilities,"6,135,960","10,529,510","11,700,310","18,752,132","18,981,991",
TotalEquityGrossMinorityInterest,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","24,448"
	StockholdersEquity,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","24,448"
		CapitalStock,"276,000,690","276,000,690","276,000,690","243,375,736","243,536,804","575"
			PreferredStock,"0","0","0","0","0","0"
			CommonStock,"276,000,690","276,000,690","276,000,690","243,375,736","243,536,804","575"
		AdditionalPaidInCapital,"0","0","0","7,124,772","6,963,704","24,425"
		RetainedEarnings,"-17,316,098","-21,131,825","-20,863,988","-2,125,779","-1,964,715","-552"
TotalCapitalization,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","24,448"
CommonStockEquity,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","24,448"
NetTangibleAssets,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","24,448"
WorkingCapital,"-1,543,097","-958,467","487,029","782,551","1,177,784",
InvestedCapital,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","36,948"
TangibleBookValue,"258,684,592","254,868,865","255,136,702","248,374,729","248,535,793","24,448"
TotalDebt,,"90,000","60,000","68,252","38,252","12,500"
NetDebt,,,,,,"12,500"
ShareIssued,"34,500,000","34,500,000","34,500,000","34,500,000","34,500,000","34,500,000"
OrdinarySharesNumber,"34,500,000","34,500,000","34,500,000","34,500,000","34,500,000","34,500,000"
