name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,12/31/2003
			OtherReceivables,,"13,247,000",,,,"11,153,000",,,,"11,789,000",,,,"8,477,000",,,,"11,389,000",,,,"13,857,000",,,,"15,247,000",,,,"13,869,000",,,,"10,007,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,"-106,000",,,,"-322,000","-201,000","-346,000","-270,000","-241,000","-170,000","-139,000","-111,000","-322,000","-371,000","-358,000","-392,000","-361,000","-236,000","-86,000","-730,000","-729,000","-733,000","-737,000","-736,000","-732,000","-756,000","-756,000","-755,000","-760,000","-927,000","-778,000","-779,000","-779,000","-765,000","-656,000","-693,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"7,890,000","8,554,000","7,541,000","7,360,000","7,188,000","6,930,000","7,278,000","7,754,000","8,450,000","9,623,000","8,873,000","8,545,000","8,476,000","9,296,000","7,989,000","8,105,000","8,368,000","8,688,000","7,247,000","7,554,000","7,569,000","7,396,000","7,138,000","7,254,000","7,511,000","7,479,000","7,065,000","7,112,000","7,123,000","7,206,000","7,506,000","7,676,000","7,721,000","7,913,000","7,038,000","7,202,000","7,410,000","7,921,000","6,886,000","7,285,000","7,526,000","7,358,000","6,857,000","6,892,000","7,077,000","7,521,000","6,701,000","6,841,000","6,897,000","7,368,000","6,808,000","6,951,000","7,240,000","8,630,000","8,830,000","9,055,000","8,787,000","8,626,000","6,712,000","6,437,000","6,196,000","6,453,000","4,941,000","4,794,000","4,608,000","4,592,000","3,400,000","3,455,000","3,557,000","3,665,000","3,172,000"
		PrepaidAssets,"3,108,000","3,919,000","3,253,000","4,337,000","2,860,000","3,653,000","3,159,000","4,155,000","2,913,000","3,052,000","2,568,000","3,099,000","3,068,000","2,528,000","2,393,000","2,971,000","2,476,000","2,680,000","2,232,000","2,669,000","2,201,000","2,446,000","3,272,000","2,513,000","1,987,000","1,259,000","1,813,000","2,251,000","1,829,000","1,291,000","1,891,000","2,236,000","2,095,000","2,484,000","1,926,000","2,248,000","2,225,000","1,863,000","2,414,000","1,583,000","1,558,000","1,448,000","1,395,000","1,393,000","1,338,000","1,314,000","1,416,000","4,032,000","3,631,000","1,346,000","3,172,000","3,503,000","3,712,000","3,426,000","3,527,000","3,284,000","3,723,000","2,803,000","2,491,000","1,787,000","2,790,000","3,184,000","3,737,000","1,463,000","1,800,000","2,156,000","2,308,000","1,689,000","1,816,000","2,179,000","1,709,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,458,000","3,640,000","3,685,000","3,775,000","5,628,000","7,039,000","6,935,000","4,598,000","2,034,000","2,267,000","2,093,000","1,855,000","1,620,000","2,014,000","1,584,000","1,623,000","1,671,000","1,671,000","1,671,000","1,672,000","1,629,000","1,649,000",,"1,561,000","1,428,000","1,343,000","1,696,000","1,809,000","1,308,000","1,247,000","992,000","874,000","887,000",,"894,000","906,000",,"495,000","308,000","262,000","817,000","761,000","765,000","771,000","444,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,458,000","3,640,000","3,685,000","3,775,000","5,628,000","7,039,000","6,935,000","4,598,000","2,034,000","2,267,000","2,093,000","1,855,000","1,620,000","2,014,000","1,584,000","1,623,000","1,671,000","1,671,000","1,671,000","1,672,000","1,629,000","1,649,000",,"1,561,000","1,428,000","1,343,000","1,696,000","1,809,000","1,308,000","1,247,000","992,000","874,000","887,000",,"894,000","906,000",,"495,000","308,000","262,000","817,000","761,000","765,000","771,000","444,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,"0",,"0","0","250,000","250,000","250,000","250,000","15,119,000",,,,"0","0","0","0","1,153,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,584,000",,,"10,600,000","10,688,000",,,,,,,"906,000",,,"11,878,000",,,,,,,,
	TotalNonCurrentAssets,"410,271,000","389,785,000","389,932,000","388,432,000","404,452,000","412,380,000","424,568,000","447,552,000","445,063,000","454,865,000","439,376,000","411,623,000","383,152,000","218,251,000","213,180,000","208,475,000","205,672,000","205,051,000","168,942,000","172,446,000","174,206,000","173,052,000","169,231,000","169,399,000","167,693,000","168,013,000","159,539,000","155,263,000","153,011,000","166,417,000","180,726,000","187,752,000","187,995,000","189,091,000","196,828,000","195,975,000","195,817,000","199,361,000","207,208,000","206,681,000","209,003,000","213,151,000","216,601,000","218,489,000","217,097,000","221,567,000","224,934,000","226,861,000","230,152,000","232,380,000","241,183,000","245,501,000","249,525,000","262,411,000","319,354,000","330,136,000","323,496,000","223,839,000","218,706,000","194,397,000","188,821,000","183,367,000","143,295,000","107,205,000","106,525,000","105,381,000","99,395,000","96,858,000","96,465,000","97,931,000","101,919,000"
		NetPPE,"316,383,000","295,460,000","288,379,000","286,959,000","301,534,000","308,273,000","315,332,000","337,040,000","341,456,000","349,320,000","333,400,000","320,857,000","291,826,000","125,991,000","120,813,000","114,748,000","112,474,000","112,212,000","103,518,000","103,431,000","104,745,000","103,041,000","95,874,000","94,671,000","90,717,000","87,984,000","84,909,000","82,252,000","80,779,000","80,354,000","87,173,000","92,395,000","91,088,000","91,470,000","91,957,000","90,936,000","88,657,000","89,979,000","96,740,000","96,398,000","97,047,000","99,154,000","100,050,000","101,368,000","102,511,000","105,151,000","107,315,000","108,870,000","110,934,000","114,204,000","118,193,000","121,692,000","125,918,000","140,880,000","176,558,000","188,048,000","180,997,000","135,615,000","128,643,000","115,881,000","110,187,000","105,092,000","73,876,000","66,355,000","65,475,000","63,850,000","58,131,000","54,001,000","52,438,000","52,739,000","63,404,000"
