name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016
OperatingCashFlow,"24,099,000","-6,695,000","17,115,000","14,843,000","-1,164,000","10,009,000","-6,813,000","11,647,000","7,291,000","-7,607,000","2,227,000","1,932,000","3,623,000","-9,035,000","632,000","6,884,000","5,874,000","11,243,000","4,777,000","4,766,000","6,049,000","-969,000","40,000","154,000"
	CashFlowFromContinuingOperatingActivities,"24,099,000","-6,695,000","17,115,000","14,843,000","-1,164,000","10,009,000","-6,813,000","11,647,000","7,291,000","-7,607,000","2,227,000","1,932,000","3,623,000","-9,035,000","632,000","6,884,000","5,874,000","11,243,000","4,777,000","4,766,000","6,049,000","-969,000","4,215,000","2,174,000"
		NetIncomeFromContinuingOperations,"-28,860,000","-6,814,000","-8,174,000","-6,944,000","-6,928,000","-5,316,000","-19,926,000","-2,352,000","-20,641,000","-1,058,000","-1,956,000","-1,014,000","3,472,000","1,992,000","-1,290,000","2,510,000","10,512,000","6,191,000","-599,000","1,634,000","1,947,000","2,989,000","13,841,000","4,017,000"
		OperatingGainsLosses,,,"475,000","21,000","135,000","201,000","71,000","3,000","27,000","233,000","102,000","-1,000","55,000","296,000","164,000","17,000","1,000","9,000","36,000","46,000","0","9,000","8,000","27,000"
			GainLossOnSaleOfPPE,,,"475,000","21,000","135,000","201,000","71,000","3,000","27,000","233,000","102,000","3,000","55,000","296,000","164,000","17,000","1,000","9,000","36,000","46,000","0","9,000","8,000","27,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,"0",,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"43,054,000","11,080,000","10,635,000","10,699,000","10,640,000","10,390,000","8,166,000","4,477,000","4,516,000","4,456,000","7,179,000","2,307,000","2,112,000","2,209,000","1,715,000","1,426,000","1,296,000","1,387,000","1,440,000","1,451,000","1,445,000","1,376,000","1,374,000","1,547,000"
			DepreciationAndAmortization,"43,054,000","11,080,000","10,635,000","10,699,000","10,640,000","10,390,000","8,166,000","4,477,000","4,516,000","4,456,000","7,179,000","2,307,000","2,112,000","2,209,000","1,715,000","1,426,000","1,296,000","1,387,000","1,440,000","1,451,000","1,445,000","1,376,000","1,374,000","1,547,000"
				Depreciation,"43,054,000","11,080,000","10,635,000","10,699,000","10,640,000","10,390,000","8,166,000","4,477,000","4,516,000","4,456,000",,,,,,,,,,,,,,
		DeferredTax,"-7,330,000","94,000","-8,647,000","116,000","1,308,000","-1,095,000","12,000","0","16,591,000","-2,337,000","-411,000","-2,828,000","-6,599,000","-7,664,000","-1,792,000","-2,364,000","-9,288,000","2,611,000","2,718,000","994,000","894,000","1,562,000","-11,339,000","84,000"
			DeferredIncomeTax,"-7,330,000","94,000","-8,647,000","116,000","1,308,000","-1,095,000","12,000","0","16,591,000","-2,337,000","-411,000","-2,828,000","-6,599,000","-7,664,000","-1,792,000","-2,364,000","-9,288,000","2,611,000","2,718,000","994,000","894,000","1,562,000","-11,339,000","84,000"
		StockBasedCompensation,"15,493,000","5,346,000","2,945,000","3,825,000","3,377,000","4,390,000","2,575,000","2,382,000","2,425,000","2,499,000","1,666,000","1,654,000","1,630,000","1,676,000","1,322,000","762,000","762,000","493,000","701,000","612,000","244,000","246,000","271,000","245,000"
		OtherNonCashItems,"22,328,000","760,000","7,279,000","7,167,000","7,122,000","5,186,000","4,731,000","4,602,000","4,561,000","1,753,000","18,000","-202,000","-342,000","3,000","-68,000","-38,000","-4,000","10,000","-409,000","168,000","585,000","32,000","25,000","3,000"
		ChangeInWorkingCapital,"-21,418,000","-17,161,000","12,602,000","-41,000","-16,818,000","-3,747,000","-2,442,000","2,535,000","-188,000","-13,153,000","-4,371,000","2,016,000","3,295,000","-7,547,000","581,000","4,571,000","2,595,000","542,000","890,000","-139,000","934,000","-7,183,000","-660,000","-3,749,000"
			ChangeInReceivables,"-17,657,000","-7,416,000","13,899,000","-12,451,000","-11,689,000","3,530,000","-2,614,000","-4,609,000","-4,710,000","-6,899,000","-874,000","-2,621,000","1,206,000","-3,889,000","-229,000","-779,000","1,403,000","-3,179,000","-2,523,000","-1,734,000","36,000","-166,000","-560,000","-962,000"
				ChangesInAccountReceivables,"-17,657,000","-7,416,000","13,899,000","-12,451,000","-11,689,000","3,530,000","-2,614,000","-4,609,000","-4,710,000","-6,899,000","-874,000","-2,621,000","1,206,000","-3,889,000","-229,000","-779,000","1,403,000","-3,179,000","-2,523,000","-1,734,000","36,000","-166,000","-560,000","-962,000"
			ChangeInPrepaidAssets,"-18,658,000","-11,334,000","-2,578,000","-444,000","-4,654,000","925,000","-1,234,000","1,017,000","-1,050,000","-991,000","-1,130,000","540,000","-2,034,000","-1,552,000","-804,000","-502,000","-149,000","-471,000","-152,000","-290,000","52,000","-1,232,000","573,000","-769,000"
			ChangeInPayablesAndAccruedExpense,"21,865,000","3,701,000","2,973,000","13,942,000","296,000","-5,526,000","2,093,000","7,312,000","7,145,000","-4,687,000","2,092,000","3,038,000","3,653,000","-2,164,000","-1,036,000","4,526,000","2,997,000","-1,830,000","-253,000","4,249,000","454,000","-5,606,000","187,000","-1,219,000"
				ChangeInPayable,"616,000","11,000","-5,130,000","6,004,000","-269,000","1,387,000","-2,590,000","2,864,000","-263,000","304,000","1,314,000","-74,000","340,000","-435,000","609,000","1,597,000","-1,719,000","-656,000","-259,000","753,000","-1,260,000","-1,663,000","-844,000","-650,000"
					ChangeInAccountPayable,"616,000","11,000","-5,130,000","6,004,000","-269,000","1,387,000","-2,590,000","2,864,000","-263,000","304,000","1,314,000","-74,000","340,000","-435,000","609,000","1,597,000","-1,719,000","-656,000","-259,000","753,000","-1,260,000","-1,663,000","-844,000","-650,000"
				ChangeInAccruedExpense,"21,249,000","3,690,000","8,103,000","7,938,000","565,000","-6,913,000","4,683,000","4,448,000","7,408,000","-4,991,000","778,000","3,112,000","3,313,000","-1,729,000","-1,645,000","2,929,000","4,716,000","-1,174,000","6,000","3,496,000","1,714,000","-3,943,000","1,031,000","-569,000"
			ChangeInOtherCurrentLiabilities,"-6,968,000","-2,112,000","-1,692,000","-1,685,000","-1,479,000","-1,371,000","-1,357,000","-1,332,000","-1,327,000","-1,285,000",,,,,,,,,,,,,,
