name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,02/28/2017
TotalAssets,"624,514,000","616,073,000","600,345,000","600,848,000","589,796,000","560,241,000","564,613,000","525,276,000","550,660,000","509,317,000","429,833,685","462,028,019","459,803,232","457,467,378","455,120,984","453,472,895","451,713,047","450,506,795","451,801,972","452,062,523","468,870"
	CurrentAssets,"254,604,000","247,995,000","198,221,000","195,811,000","187,783,000","151,984,000","209,742,000","179,821,000","194,974,000","151,495,000","100,825","752,797","349,426","547,827","585,572","256,651","298,062","506,795","1,801,972","2,062,523","468,870"
		CashCashEquivalentsAndShortTermInvestments,"194,898,000","198,786,000","179,883,000","178,508,000","172,678,000","134,451,000","179,108,000","148,834,000","166,538,000","125,403,000","79,575","692,097","331,926","512,827","512,827","146,162","146,162","372,073","1,636,543","1,935,523","325,000"
			CashAndCashEquivalents,"194,898,000","198,786,000","179,883,000","178,508,000","172,678,000","134,451,000","179,108,000","148,834,000","166,538,000","125,403,000","79,575","692,097","331,926","512,827","512,827","146,162","146,162","372,073","1,636,543","1,935,523","325,000"
				CashFinancial,,,,,,,,,"166,538,000","125,403,000","79,575","692,097","331,926","512,827","512,827","146,162","146,162","372,073","1,636,543","1,935,523","325,000"
		Receivables,"42,597,000","32,065,000","723,000","0","0","3,341,000","17,907,000","20,907,000","17,907,000","14,907,000","11,618,850",,,,,,,,,,
			NotesReceivable,"32,065,000","32,065,000",,,,"0","14,000,000","17,000,000","14,000,000","11,000,000","5,000,000",,,,,,,,,,
			TaxesReceivable,,"0","723,000","0","0","3,341,000","3,907,000","3,907,000","3,907,000","3,907,000","6,618,850",,,,,,,,,,
			OtherReceivables,"10,532,000",,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"6,279,000","6,998,000","5,655,000","6,087,000","4,932,000","5,549,000","3,780,000","3,443,000","4,243,000","4,151,000","21,250","60,700","17,500","35,000","72,745","110,489","151,900","134,722","165,429","127,000",
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,"143,870"
		OtherCurrentAssets,"10,830,000","10,146,000","11,960,000","11,216,000","10,173,000","8,643,000","8,947,000","6,637,000","6,286,000","7,034,000","6,981,930",,,,,,,,"0","0","143,870"
	TotalNonCurrentAssets,"369,910,000","368,078,000","402,124,000","405,037,000","402,013,000","408,256,000","354,871,000","345,455,000","355,686,000","357,822,000","429,732,860","461,275,222","459,453,806","456,919,551","454,535,412","453,216,244","451,414,985","450,000,000","450,000,000","450,000,000","0"
		NetPPE,"157,278,000","152,251,000","147,687,000","144,688,000","143,674,000","143,565,000","130,656,000","123,759,000","125,477,000","119,201,000","114,494,974",,,,,,,,,,
			GrossPPE,"302,180,000","291,740,000","281,970,000","272,986,000","265,750,000","259,680,000","243,056,000","231,017,000","227,750,000","216,624,000","204,533,547",,,,,,,,,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,
				LandAndImprovements,"911,000","911,000","911,000","911,000","911,000","911,000","911,000","911,000","911,000","911,000","910,797",,,,,,,,,,
				BuildingsAndImprovements,"10,997,000","10,997,000","10,980,000","10,948,000","10,845,000","10,845,000","10,845,000","10,757,000","12,196,000","12,075,000","9,926,654",,,,,,,,,,
				MachineryFurnitureEquipment,"28,262,000","27,568,000","26,221,000","25,623,000","24,631,000","23,749,000","23,761,000","21,249,000","21,064,000","19,559,000","18,282,415",,,,,,,,,,
				OtherProperties,"255,593,000","244,239,000","237,529,000","231,020,000","225,193,000","220,582,000","205,283,000","195,568,000","192,552,000","183,267,000","173,011,676",,,,,,,,,,
				ConstructionInProgress,"1,581,000","3,898,000","2,764,000","1,514,000","2,189,000","1,886,000","606,000","1,025,000","983,000","768,000","1,496,159",,,,,,,,,,
				Leases,"4,836,000","4,127,000","3,565,000","2,970,000","1,981,000","1,707,000","1,650,000","1,507,000","44,000","44,000","905,846",,,,,,,,,,
			AccumulatedDepreciation,"-144,902,000","-139,489,000","-134,283,000","-128,298,000","-122,076,000","-116,115,000","-112,400,000","-107,258,000","-102,273,000","-97,423,000","-90,038,573",,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"209,531,000","212,784,000","213,756,000","219,360,000","223,595,000","228,738,000","206,161,000","207,595,000","213,322,000","218,693,000","221,332,966",,,,,,,,,,
			Goodwill,"46,199,000","46,199,000","45,754,000","45,754,000","45,754,000","45,754,000","34,511,000","34,511,000","34,511,000","34,511,000","34,701,570",,,,,,,,,,
			OtherIntangibleAssets,"163,332,000","166,585,000","168,002,000","173,606,000","177,841,000","182,984,000","171,650,000","173,084,000","178,811,000","184,182,000","186,631,396",,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,"459,453,806","456,919,551","454,535,412","453,216,244","451,414,985",,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,,"459,453,806","456,919,551","454,535,412","453,216,244","451,414,985",,,,
				AvailableForSaleSecurities,,,,,,,,,,,,,"459,453,806","456,919,551","454,535,412","453,216,244","451,414,985",,,,
			OtherInvestments,,,,,,,,,,,,,,,"454,535,412",,,,,,
		NonCurrentNoteReceivables,,"0","37,622,000","38,063,000","30,786,000","30,129,000","16,000,000","13,000,000","16,000,000","19,000,000",,,,,,,,,,,
