name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
OperatingCashFlow,"-99,385,000","-24,722,000","-22,501,000","-24,730,000","-27,432,000","-28,081,000","-13,577,000","-35,065,000","-3,718,000","-3,488,000","29,851,000"
	CashFlowFromContinuingOperatingActivities,"-99,385,000","-24,722,000","-22,501,000","-24,730,000","-27,432,000","-28,081,000","-13,577,000","-35,065,000","-3,718,000","-3,488,000","29,851,000"
		NetIncomeFromContinuingOperations,"-97,406,000","-31,684,000","7,545,000","-30,696,000","-42,571,000","-37,215,000","-42,892,000","-25,838,000","-7,743,000","-5,149,000","16,438,000"
		OperatingGainsLosses,,"1,009,000","1,552,000","84,000",,,"488,000",,,,
			GainLossOnSaleOfPPE,"234,000","234,000",,,,,"486,000",,,,"4,000"
			EarningsLossesFromEquityInvestments,"-4,816,000","775,000","1,552,000","84,000",,,,,,,
		DepreciationAmortizationDepletion,"4,823,000","1,295,000","1,244,000","1,114,000","1,170,000","1,224,000","-1,649,000","2,901,000","77,000","107,000","-3,456,000"
			DepreciationAndAmortization,"4,823,000","1,295,000","1,244,000","1,114,000","1,170,000","1,224,000","-1,649,000","2,901,000","77,000","107,000","-3,456,000"
				Depreciation,"3,127,000","866,000","822,000","691,000","748,000","804,000","-1,653,000","2,483,000","77,000","107,000","-3,039,000"
				AmortizationCashFlow,"1,696,000","429,000","422,000","423,000","422,000","420,000","4,000","418,000","0","0","-417,000"
					AmortizationOfIntangibles,"1,696,000","429,000","422,000","423,000","422,000","420,000","4,000","418,000","0","0","-417,000"
		DeferredTax,,,"3,297,000","-463,000",,,"-2,003,000","0",,,"2,320,000"
			DeferredIncomeTax,,,"3,297,000","-463,000",,,"-2,003,000","0",,,"2,320,000"
		AmortizationOfSecurities,"617,000","406,000","148,000","69,000",,,"452,000",,,,"1,371,000"
		StockBasedCompensation,"14,576,000","4,269,000","3,425,000","3,287,000","3,595,000","2,478,000","-3,084,000","6,296,000","299,000","100,000","-10,019,000"
