name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,09/30/1994,06/30/1994
TotalAssets,"9,401,300,000","9,650,500,000","9,356,400,000","8,893,300,000","8,936,800,000","8,515,600,000","8,241,200,000","7,822,600,000","8,018,000,000","7,961,000,000","7,619,200,000","7,332,000,000","7,273,600,000","7,232,200,000","6,843,600,000","6,584,900,000","6,586,800,000","6,701,100,000","6,546,700,000","6,298,200,000","6,256,700,000","6,310,100,000","6,077,400,000","5,310,900,000","5,319,800,000","5,411,400,000","5,290,200,000","5,082,900,000","5,180,700,000","5,288,500,000","5,074,000,000","3,656,700,000","3,180,471,000","3,206,730,000","3,125,386,000","2,422,039,000","2,009,098,000","1,942,155,000","1,880,262,000","1,741,338,000","1,758,131,000","1,874,330,000","1,783,082,000","1,742,304,000","1,734,417,000","1,844,227,000","1,840,196,000","1,776,920,000","1,830,905,000","1,860,028,000","1,762,018,000","1,666,004,000","1,784,956,000","1,875,646,000","1,772,655,000","1,561,186,000","1,705,864,000","1,747,685,000","1,641,153,000","1,503,894,000","1,555,229,000","1,681,151,000","1,570,160,000","1,447,809,000","1,533,541,000","1,627,959,000","1,385,073,000","1,239,974,000","1,320,174,000","1,405,223,000","1,265,295,000","1,191,664,000","1,244,577,000","1,285,382,000","1,201,398,000","1,085,763,000","1,154,633,000","1,166,098,000","1,081,873,000","1,018,015,000","1,049,157,000","1,038,328,000","975,910,000","966,735,000","1,064,149,000","1,101,592,000","931,740,000","849,779,000","865,107,000","897,200,000","831,600,000","792,500,000","800,200,000","828,500,000","771,100,000","729,500,000","764,700,000","797,700,000","720,700,000","707,800,000","752,500,000","761,300,000","689,400,000","665,100,000","716,300,000","689,400,000","636,700,000","602,700,000","636,700,000","608,300,000","581,800,000"
	CurrentAssets,"1,089,300,000","1,435,300,000","1,316,500,000","898,300,000","1,040,000,000","770,000,000","590,600,000","559,300,000","718,800,000","776,400,000","614,500,000","649,800,000","793,600,000","905,300,000","659,600,000","584,900,000","718,300,000","852,500,000","725,500,000","629,100,000","684,300,000","815,600,000","569,600,000","453,400,000","503,800,000","636,000,000","530,100,000","483,000,000","637,200,000","816,100,000","604,900,000","995,200,000","541,631,000","570,724,000","475,880,000","841,389,000","459,913,000","400,063,000","343,016,000","261,691,000","277,810,000","415,513,000","369,134,000","344,650,000","351,135,000","437,687,000","414,195,000","387,075,000","438,175,000","476,699,000","368,783,000","372,702,000","501,978,000","639,901,000","561,908,000","428,918,000","578,990,000","562,413,000","467,335,000","399,301,000","468,258,000","574,234,000","459,846,000","351,048,000","462,153,000","635,171,000","424,126,000","280,597,000","384,038,000","465,003,000","337,636,000","263,317,000","324,100,000","377,793,000","287,890,000","212,368,000","283,592,000","299,999,000","222,355,000","166,958,000","209,443,000","242,088,000","190,536,000","190,144,000","302,373,000","348,897,000","192,596,000","127,992,000","160,026,000","196,100,000","145,400,000","112,700,000","151,300,000","185,700,000","136,000,000","121,300,000","169,400,000","209,900,000","139,300,000","122,400,000","176,600,000","216,100,000","133,400,000","111,700,000","170,700,000","133,400,000","107,800,000","81,900,000","107,800,000","115,300,000","98,300,000"
		CashCashEquivalentsAndShortTermInvestments,"8,300,000","8,200,000","4,300,000","23,900,000","104,000,000","3,500,000","4,100,000","7,400,000","108,400,000","21,500,000","5,800,000","5,800,000","11,100,000","8,400,000","4,400,000","6,900,000","17,800,000","6,700,000","7,400,000","8,300,000","19,600,000","10,600,000","5,200,000","4,900,000","8,700,000","4,600,000","13,800,000","5,700,000","46,900,000","13,400,000","16,100,000","571,800,000","10,931,000","34,518,000","52,981,000","556,489,000","146,880,000","46,563,000","27,457,000","21,523,000","9,302,000","44,579,000","43,277,000","60,922,000","22,982,000","25,087,000","86,919,000","109,287,000","83,765,000","80,029,000","91,769,000","89,075,000","93,602,000","30,080,000","14,899,000","32,971,000","145,510,000","66,930,000","52,746,000","36,365,000","35,494,000","51,918,000","50,778,000","31,906,000","47,468,000","23,811,000","6,013,000","4,778,000","17,812,000","23,641,000","13,854,000","11,877,000","25,173,000","22,245,000","7,291,000","7,274,000","34,527,000","8,842,000","12,870,000","14,601,000","15,588,000","6,390,000","3,223,000","2,518,000","7,988,000","7,101,000","4,215,000","4,198,000","4,434,000","3,400,000","9,400,000","11,500,000","9,600,000","5,700,000","3,700,000","4,300,000","5,900,000","5,400,000","4,500,000","4,800,000","6,300,000","7,600,000","4,400,000","5,200,000","6,700,000","4,400,000","1,600,000","2,000,000","1,600,000","1,600,000","2,300,000"
			CashAndCashEquivalents,"8,300,000","8,200,000","4,300,000","23,900,000","104,000,000","3,500,000","4,100,000","7,400,000","108,400,000","21,500,000","5,800,000","5,800,000","11,100,000","8,400,000","4,400,000","6,900,000","17,800,000","6,700,000","7,400,000","8,300,000","19,600,000","10,600,000","5,200,000","4,900,000","8,700,000","4,600,000","13,800,000","5,700,000","46,900,000","13,400,000","16,100,000","571,800,000","10,931,000","34,518,000","52,981,000","556,489,000","146,880,000","46,563,000","27,457,000","21,523,000","9,302,000","44,579,000","43,277,000","60,922,000","22,982,000","25,087,000","86,919,000","109,287,000","83,765,000","80,029,000","74,591,000","89,075,000","93,602,000","30,080,000","14,899,000","32,971,000","145,510,000","66,930,000","52,746,000","36,365,000","35,494,000","51,918,000","50,778,000","31,906,000","47,468,000","23,811,000","6,013,000","4,778,000","17,812,000","23,641,000","13,854,000","11,877,000","25,173,000","22,245,000","7,291,000","7,274,000","34,527,000","8,842,000","12,870,000","14,601,000","15,588,000","6,390,000","3,223,000","2,518,000","7,988,000","7,101,000","4,215,000","4,198,000","4,434,000","3,400,000","9,400,000","11,500,000","9,600,000","5,700,000","3,700,000","4,300,000","5,900,000","5,400,000","4,500,000","4,800,000","6,300,000","7,600,000","4,400,000","5,200,000","6,700,000","4,400,000","1,600,000","2,000,000","1,600,000","1,600,000","2,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0",,,,"17,178,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"654,200,000","760,400,000","605,500,000","515,200,000","616,300,000","436,600,000","263,300,000","258,600,000","369,900,000","457,900,000","293,900,000","356,800,000","531,100,000","569,800,000","305,500,000","282,200,000","436,600,000","458,600,000","276,700,000","261,700,000","365,000,000","436,400,000","232,000,000","216,600,000","294,600,000","326,300,000","230,500,000","252,400,000","422,900,000","445,700,000","234,900,000","236,700,000","415,890,000","336,626,000","190,057,000","167,780,000","238,139,000","209,530,000","156,219,000","146,892,000","174,653,000","212,552,000","155,172,000","181,268,000","236,891,000","243,765,000","150,552,000","173,621,000","267,628,000","267,250,000","148,339,000","151,594,000","258,996,000","326,184,000","198,959,000","234,755,000","348,403,000","300,560,000","177,669,000","209,948,000","306,316,000","293,359,000","163,142,000","179,337,000","304,112,000","374,950,000","156,644,000","141,849,000","271,978,000","243,221,000","117,683,000","135,556,000","194,854,000","194,206,000","104,334,000","109,845,000","156,505,000","168,898,000","89,478,000","89,981,000","128,855,000","126,038,000","78,491,000","93,672,000","182,478,000","237,845,000","55,207,000","55,475,000","91,022,000","102,800,000","42,000,000","46,000,000","83,600,000","99,200,000","46,100,000","51,900,000","87,700,000","118,200,000","47,900,000","56,700,000","95,800,000","121,400,000","45,600,000","47,700,000","103,900,000","45,600,000","34,400,000","34,800,000","34,400,000","39,100,000","41,700,000"
			AccountsReceivable,"389,200,000","476,200,000","338,400,000","342,600,000","447,700,000","281,500,000","131,800,000","153,200,000","248,200,000","282,000,000","139,800,000","167,200,000","318,600,000","339,200,000","151,900,000","159,800,000","302,400,000","333,600,000","140,500,000","141,900,000","238,500,000","310,400,000","127,800,000","133,100,000","217,100,000","224,700,000","138,100,000","139,700,000","303,800,000","355,400,000","148,200,000","127,800,000","378,960,000","317,886,000","164,870,000","124,058,000","204,549,000","185,017,000","115,069,000","127,182,000","144,838,000","197,225,000","124,483,000","139,984,000","186,310,000","231,445,000","127,589,000","139,639,000","215,783,000","242,224,000","119,995,000","141,064,000","236,449,000","326,184,000","198,959,000","234,755,000","348,403,000","300,560,000","177,669,000","198,327,000","269,939,000","293,359,000","163,142,000","167,731,000","304,112,000","374,950,000","156,644,000","141,849,000","245,111,000","243,221,000","117,683,000","135,556,000","194,854,000","194,206,000","104,334,000","109,845,000","156,505,000","168,898,000","89,478,000","89,981,000","128,855,000","126,038,000","78,491,000","93,672,000","182,478,000","237,845,000","55,207,000","52,545,000","91,022,000","102,800,000","42,000,000","46,000,000","83,600,000","99,200,000","46,100,000","51,900,000","87,700,000","118,200,000","47,900,000","56,700,000","95,800,000","121,400,000","45,600,000","47,700,000","103,900,000","45,600,000","34,400,000","34,800,000","34,400,000","39,100,000","41,700,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,024,000","153,596,000","203,214,000","134,556,000","151,899,000","197,405,000","238,177,000","137,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-8,842,000","-8,758,000","-5,989,000","-10,073,000","-11,915,000","-11,095,000","-6,732,000","-10,295,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"245,400,000","304,200,000","288,200,000","193,900,000","182,300,000","170,400,000","146,400,000","122,400,000","132,800,000","195,600,000","172,800,000","193,900,000","196,800,000","244,300,000","169,100,000","114,300,000","114,300,000","138,800,000","151,100,000","130,500,000","135,700,000","141,800,000","123,100,000","100,200,000","86,300,000","105,600,000","104,000,000","106,500,000","76,000,000","87,700,000","91,800,000","91,700,000","17,812,000","29,587,000","33,233,000","41,427,000","22,760,000","31,568,000","48,855,000","19,710,000","16,351,000","15,327,000","30,689,000","29,767,000","18,183,000","12,320,000","22,963,000","34,484,000","25,672,000","33,323,000","28,344,000","13,409,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
