name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
OperatingCashFlow,"22,453,000","14,152,000","-4,261,000","68,189,000","5,263,000","19,877,000","16,135,000","34,748,000","32,172,000","1,269,000","-17,005,000"
	CashFlowFromContinuingOperatingActivities,"22,453,000","14,152,000","-4,261,000","68,189,000","5,263,000","19,877,000","16,135,000","34,748,000","32,172,000","1,269,000","-17,005,000"
		NetIncomeFromContinuingOperations,"-38,210,000","-14,022,000","-13,605,000","20,906,000","-3,005,000","-74,522,000","-4,061,000","10,773,000","21,120,000","-10,987,000","-14,746,000"
		OperatingGainsLosses,,,"0","500,000","-1,000","4,437,000","1,820,000","128,000","276,000","99,000","148,000"
			GainLossOnSaleOfPPE,,,,,,"1,000","47,000",,,"2,000","2,000"
			GainLossOnInvestmentSecurities,,,"0","500,000","0","2,816,000","1,773,000","125,000","278,000","97,000","146,000"
		DepreciationAmortizationDepletion,"3,699,000","1,020,000","1,006,000","2,130,000","846,000","790,000","764,000","752,000","667,000","711,000","644,000"
			DepreciationAndAmortization,"3,699,000","1,020,000","1,006,000","2,130,000","846,000","790,000","764,000","752,000","667,000","711,000","644,000"
		AmortizationOfSecurities,"149,000","0","0","-125,000","81,000","88,000","59,000","4,000","18,000","-147,000","-197,000"
		StockBasedCompensation,"32,833,000","8,735,000","9,327,000","6,083,000","8,103,000","24,141,000","1,876,000","2,621,000","1,663,000","1,799,000","1,823,000"
		OtherNonCashItems,"-300,000","-423,000","120,000","519,000","3,000","49,481,000","3,285,000","514,000",,,"146,000"
		ChangeInWorkingCapital,"24,658,000","18,842,000","-733,000","38,176,000","-764,000","15,462,000","12,392,000","19,956,000","8,426,000","9,794,000","-4,677,000"
			ChangeInPrepaidAssets,"-1,033,000","-2,621,000","-231,000","-4,551,000","4,725,000","-3,320,000","297,000","-504,000","660,000","-5,552,000","3,965,000"
			ChangeInPayablesAndAccruedExpense,"20,880,000","16,652,000","-502,000","42,727,000","-1,880,000","15,173,000","14,309,000","19,435,000","8,554,000","14,558,000","-3,856,000"
				ChangeInPayable,"18,207,000","14,755,000","-478,000","42,487,000","-794,000","13,604,000","10,938,000","16,688,000","8,185,000","17,614,000","-7,757,000"
					ChangeInAccountPayable,"-2,438,000","11,422,000","-9,025,000","10,827,000","-331,000","3,138,000","-666,000","7,499,000","-15,360,000","18,688,000","-13,678,000"
