name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999
OperatingCashFlow,"3,086,000,000","1,676,000,000","-1,362,000,000","1,478,000,000","1,294,000,000","-917,000,000","451,000,000","694,000,000","484,000,000","208,000,000","552,000,000","472,000,000","516,000,000","-127,000,000","295,000,000","558,000,000","167,000,000","357,000,000","581,000,000","732,000,000","142,000,000","-68,000,000","339,000,000","860,000,000","319,000,000","554,000,000","-83,000,000","934,000,000","198,000,000","260,000,000","396,000,000","744,000,000","-21,000,000","391,000,000","447,000,000","901,000,000","46,000,000","-124,000,000","91,000,000","473,000,000","661,000,000","-76,000,000","498,000,000","359,000,000","93,000,000","216,000,000","482,000,000","536,000,000","491,000,000","114,000,000","826,000,000","558,000,000","583,000,000","139,000,000","350,000,000","605,000,000","425,000,000","54,000,000","541,000,000","517,000,000","353,000,000","106,000,000","-641,000,000","457,000,000","239,000,000","366,000,000","181,751,000","-198,955,000","29,363,000","63,841,000","81,970,000","244,715,000","-25,168,000","353,347,000","-471,682,000","97,283,000","112,502,000","-88,470,000","18,207,000","417,711,000","21,546,000","-27,421,000","-26,680,000","389,567,000","-10,399,000","-76,474,000","119,873,000","23,607,000","61,694,000","156,810,000","57,000","-30,254,000"
	CashFlowFromContinuingOperatingActivities,"3,086,000,000","1,676,000,000","-1,362,000,000","1,478,000,000","1,294,000,000","-917,000,000","451,000,000","694,000,000","484,000,000","208,000,000","552,000,000","472,000,000","516,000,000","-135,000,000","245,000,000","234,000,000","167,000,000","357,000,000","581,000,000","732,000,000","180,000,000","-68,000,000","339,000,000","860,000,000","319,000,000","554,000,000","-83,000,000","934,000,000","198,000,000","260,000,000","396,000,000","744,000,000","-21,000,000","391,000,000","447,000,000","901,000,000","46,000,000","-124,000,000","91,000,000","473,000,000","661,000,000","-76,000,000","498,000,000","359,000,000","93,000,000","216,000,000","482,000,000","536,000,000","491,000,000","114,000,000","826,000,000","558,000,000","583,000,000","139,000,000","120,000,000","608,000,000","646,000,000","60,000,000","541,000,000","517,000,000","353,000,000","106,000,000","-635,000,000","515,000,000","238,000,000","366,000,000","181,802,000","-205,321,000","27,626,000","63,893,000","48,572,000","278,064,000","-32,798,000","350,155,000","-471,682,000","97,283,000","112,502,000","-88,470,000","18,207,000","417,711,000","21,546,000","-27,421,000","-26,680,000","389,567,000","-10,399,000","-76,474,000","119,873,000","23,607,000","61,694,000","156,810,000","57,000","-30,254,000"
		NetIncomeFromContinuingOperations,"4,005,000,000","1,736,000,000","-427,000,000","1,618,000,000","1,078,000,000","-82,000,000","-173,000,000","249,000,000","313,000,000","121,000,000","3,463,000,000","374,000,000","189,000,000","94,000,000","179,000,000","-48,000,000","96,000,000","233,000,000","-1,668,000,000","190,000,000","133,000,000","-203,000,000","-1,055,000,000","393,000,000","-276,000,000","47,000,000","-6,358,000,000","67,000,000","-9,000,000","-136,000,000","97,000,000","182,000,000","-80,000,000","-67,000,000","-305,000,000","143,000,000","137,000,000","-327,000,000","518,000,000","8,000,000","259,000,000","-206,000,000","-109,000,000","-55,000,000","621,000,000","-260,000,000","-15,000,000","223,000,000","210,000,000","58,000,000","33,000,000","277,000,000","433,000,000","198,000,000","223,000,000","784,000,000","129,000,000","52,000,000","104,000,000","268,000,000","149,000,000","65,000,000","-30,000,000","422,000,000","203,000,000","26,000,000","64,397,000","-26,881,000","23,866,000","22,618,000","18,137,000","54,221,000","83,024,000","30,235,000","3,143,095,000","-60,300,000","-258,422,000","-233,234,000","-491,066,000","-2,908,215,000","-41,352,000","-26,463,000","39,332,000","141,580,000","49,114,000","35,178,000","42,004,000","88,604,000","43,581,000","8,746,000","28,187,000","27,607,000"
		OperatingGainsLosses,"-861,000,000","-6,000,000","-901,000,000","53,000,000","-7,000,000","-18,000,000","1,000,000","-1,000,000","-1,000,000","-13,000,000","6,000,000","-26,000,000","24,000,000","24,000,000","23,000,000","-13,000,000","6,000,000","-8,000,000","42,000,000","13,000,000","-9,000,000","-2,000,000","0","-260,000,000","100,000,000","4,000,000","-71,000,000","2,000,000","1,000,000","-14,000,000","-288,000,000","-291,000,000","14,000,000","525,000,000","5,000,000","-7,000,000","-18,000,000","2,000,000","4,000,000",,,,"15,000,000","40,000,000","17,000,000","9,000,000","122,000,000","-90,000,000","151,000,000","-198,000,000","138,000,000","-2,000,000","-166,000,000","-30,000,000","162,000,000","-853,000,000","400,000,000","-8,000,000","22,000,000","-22,000,000","-16,000,000","-32,000,000","330,000,000","-174,000,000","-131,000,000","138,000,000","129,593,000","-450,728,000","20,034,000","45,101,000","32,664,000","11,335,000","-42,903,000","17,482,000",,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,"0","-9,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,"10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,"793,000,000","-1,989,000,000","-1,528,000,000","-902,000,000","138,000,000","130,000,000","-85,000,000","-46,000,000","-18,000,000","53,000,000","-7,000,000","-15,000,000","54,000,000","194,000,000","36,000,000","-247,000,000","-196,000,000","18,000,000","-18,000,000","25,000,000","-59,000,000","107,000,000","25,000,000","-50,000,000","53,000,000","-6,000,000","-75,000,000","261,000,000","-309,000,000","-287,000,000","10,000,000","525,000,000","-25,000,000","15,000,000","-143,000,000","317,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,"21,000,000",,,,,,"-2,000,000",,,,,,,,,,,,,,,"61,000,000",,,,,"9,000,000","-1,000,000","0","1,000,000","8,000,000","-9,000,000","9,000,000","0","-10,000,000","-4,000,000","-5,000,000","120,000,000","-134,000,000","-5,000,000","-22,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"949,000,000","344,000,000","223,000,000","216,000,000","166,000,000","337,000,000","141,000,000","141,000,000","148,000,000","129,000,000","106,000,000","132,000,000","114,000,000","111,000,000","90,000,000","-95,000,000","287,000,000","270,000,000","310,000,000","313,000,000","270,000,000","322,000,000","416,000,000","402,000,000","337,000,000","352,000,000","415,000,000","431,000,000","419,000,000","427,000,000","452,000,000","418,000,000","404,000,000","359,000,000","318,000,000","280,000,000","408,000,000","335,000,000","295,000,000","279,000,000","283,000,000","278,000,000","280,000,000","244,000,000","275,000,000","264,000,000","249,000,000","203,000,000","218,000,000","212,000,000","306,000,000","285,000,000","271,000,000","145,000,000","92,000,000","93,000,000","108,000,000","125,000,000","72,000,000","151,000,000","179,000,000","161,000,000","123,000,000","12,000,000","-25,000,000","147,000,000","68,751,000","56,260,000","57,005,000","63,984,000","61,704,000","65,948,000","73,455,000","106,416,000","58,540,000","65,980,000","74,321,000","70,900,000","78,872,000","63,390,000","77,750,000","66,611,000","70,092,000","58,709,000","45,600,000","38,092,000","35,677,000","36,424,000","30,865,000","19,987,000","13,338,000","12,663,000"
			DepreciationAndAmortization,"949,000,000","344,000,000","223,000,000","216,000,000","166,000,000","337,000,000","141,000,000","141,000,000","148,000,000","129,000,000","106,000,000","132,000,000","114,000,000","111,000,000","90,000,000","-95,000,000","287,000,000","270,000,000","310,000,000","313,000,000","270,000,000","322,000,000","416,000,000","402,000,000","337,000,000","352,000,000","415,000,000","431,000,000","419,000,000","427,000,000","452,000,000","418,000,000","404,000,000","359,000,000","318,000,000","280,000,000","408,000,000","335,000,000","295,000,000","279,000,000","283,000,000","278,000,000","280,000,000","244,000,000","275,000,000","264,000,000","249,000,000","203,000,000","218,000,000","212,000,000","306,000,000","285,000,000","271,000,000","145,000,000",,,,,,,,,,,,,,,,,,,,,"58,540,000","65,980,000","74,321,000","70,900,000","78,872,000","63,390,000","77,750,000","66,611,000","70,092,000","58,709,000","45,600,000","38,092,000","35,677,000","36,424,000","30,865,000","19,987,000","13,338,000","12,663,000"
