name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,11/30/1995,08/31/1995
		DividendsReceivedCFI,"2,436,000","470,000","1,352,000","452,000","162,000","978,000","2,237,000","163,000","294,000","445,000","1,293,000","1,141,000","0","155,000","66,000","571,000","544,000","2,465,000","26,000",,,,"0",,,,"72,000","57,000","0","0","391,000","97,000","191,000","146,000","286,000","95,000","0","116,000","6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,"55,735,000","11,353,000","14,141,000","16,804,000","13,437,000","16,337,000","-33,200,000","12,724,000","39,097,000","31,518,000","13,773,000","12,238,000","3,837,478,000","13,903,000","14,937,000","19,027,000","97,706,000","18,535,000","-193,000","22,293,000","23,624,000","46,612,000","45,734,000","1,598,000","12,736,000","4,657,000","12,850,000","3,450,000","850,000","2,565,000","5,171,000","3,405,000","159,000","56,000","-24,000","-2,081,000","2,006,000","62,357,000","1,441,000","93,000",,,"23,560,000","48,669,000",,,,,,,,"0",,,"7,567,000","3,766,000",,,"100,245,000","-75,520,000",,,,,,,"304,891,000","10,267,000","966,000","2,282,000","9,482,000","239,000","2,157,000","1,831,000","690,000","-441,000","2,504,000","913,000","1,376,000","1,519,000","1,328,000","499,000","684,000","3,886,000","1,043,000","19,593,000","2,132,000","1,678,000","-17,113,000","13,449,000","24,033,000","2,600,000","-20,100,000","-17,700,000","-11,500,000","-8,100,000","48,800,000","-83,100,000","-92,500,000","-49,100,000","-89,500,000","-8,200,000","-15,600,000","-43,400,000","-18,200,000","-61,500,000","-10,900,000","-11,400,000"
FinancingCashFlow,"-1,961,815,000","-341,571,000","-774,363,000","-464,151,000","-381,730,000","537,278,000","-465,079,000","-2,621,271,000","1,142,581,000","96,992,000","-692,686,000","-2,693,211,000","-1,635,504,000","324,951,000","-202,015,000","-117,430,000","-83,362,000","-222,547,000","-236,425,000","-164,654,000","-306,241,000","-58,937,000","-544,005,000","-404,422,000","-70,457,000","-333,097,000","-252,849,000","-361,214,000","585,961,000","-110,868,000","-45,970,000","-355,657,000","298,773,000","-62,125,000","-78,768,000","-150,474,000","-186,357,000","-67,392,000","3,997,841,000","-58,490,000","-24,310,000","-42,657,000","-31,892,000","140,638,000","-317,427,000","-38,502,000","356,321,000","-86,007,000","-330,872,000","-21,834,000","-97,500,000","-41,544,000","-12,244,000","-40,784,000","-65,807,000","21,303,000","-154,591,000","959,000","16,039,000","32,096,000","-35,685,000","17,830,000","-54,922,000","-108,668,000","-91,908,000","-73,619,000","2,742,507,000","7,306,000","9,490,000","-19,662,000","-13,572,000","157,835,000","454,000","5,321,000","-179,029,000","-100,860,000","-3,266,000","148,665,000","-37,763,000","-125,511,000","70,548,000","-73,004,000","-13,653,000","-128,974,000","2,130,000","-33,766,000","-99,958,000","-231,056,000","-130,899,000","-15,864,000","-4,601,000","24,900,000","85,600,000","93,800,000","89,700,000","95,200,000","117,000,000","190,900,000","90,700,000","62,800,000","102,400,000","0","28,300,000","5,000,000","59,300,000","50,200,000","80,400,000","9,700,000"
	CashFlowFromContinuingFinancingActivities,"-1,961,815,000","-341,571,000","-774,363,000","-464,151,000","-381,730,000","537,278,000","-465,079,000","-2,621,271,000","1,142,581,000","96,992,000","-692,686,000","-2,693,211,000","-1,635,504,000","324,951,000","-202,015,000","-117,430,000","-83,362,000","-222,547,000","-236,425,000","-164,654,000","-306,241,000","-58,937,000","-544,005,000","-404,422,000","-70,457,000","-333,097,000","-252,849,000","-361,214,000","585,961,000","-110,868,000","-45,970,000","-355,657,000","298,773,000","-62,125,000","-78,768,000","-150,474,000","-186,357,000","-67,392,000","3,997,841,000","-58,490,000","-24,310,000","-42,657,000","-31,892,000","140,638,000","-317,427,000","-38,502,000","356,321,000","-86,007,000","-330,872,000","-21,834,000","-97,500,000","-41,544,000","-12,244,000","-40,784,000","-65,807,000","21,303,000","-154,591,000","959,000","16,039,000","32,096,000","-35,685,000","17,830,000","-54,922,000","-108,668,000","-91,908,000","-73,619,000","2,742,507,000","7,306,000","9,490,000","-19,662,000","-13,572,000","157,835,000","454,000","5,321,000","-179,029,000","-100,860,000","-3,266,000","148,665,000","-37,763,000","-125,511,000","70,548,000","-73,004,000","-13,653,000","-128,974,000","2,130,000","-33,766,000","-99,958,000","-231,056,000","-130,899,000","-15,864,000","-4,601,000","24,900,000","85,600,000","93,800,000","89,700,000","95,200,000","117,000,000","190,900,000","90,700,000","62,800,000","102,400,000","0","28,300,000","5,000,000","59,300,000","50,200,000","80,400,000","9,700,000"
		NetIssuancePaymentsOfDebt,"-199,121,000","-44,705,000","-46,122,000","-56,302,000","-51,992,000","908,671,000","37,398,000","-1,789,532,000","1,222,768,000","465,837,000","-30,179,000","-885,903,000","-1,521,306,000","357,197,000","-151,059,000","274,053,000","467,110,000","104,673,000","263,311,000","-44,431,000","-27,891,000","-36,141,000","-25,728,000","-37,481,000","-36,662,000","-24,571,000","-19,619,000","-28,675,000","696,428,000","-28,436,000","-39,287,000","-317,128,000","413,586,000","-65,150,000","-53,716,000","-133,642,000","-187,210,000","-63,439,000","2,769,850,000","1,229,397,000","-13,701,000","-23,398,000","-10,017,000","187,320,000","-14,272,000","-17,510,000","944,991,000","-21,581,000","-223,613,000","-25,041,000","-24,207,000","-14,393,000","-11,433,000","-11,199,000","-12,301,000","-1,596,000","2,049,000","-1,703,000","-967,000","-2,654,000","-47,996,000","4,315,000","-74,135,000","-119,304,000","-100,308,000","-113,212,000","2,784,524,000","-953,000","-2,485,000","-7,480,000","-12,224,000","242,967,000","-11,187,000","-12,257,000","-156,165,000","-13,174,000","-7,542,000","145,163,000","-43,793,000","38,471,000","483,238,000","-19,920,000","-185,000","-130,258,000","11,061,000","-36,854,000","-107,092,000","-226,827,000","-127,894,000","-15,223,000","2,605,000","24,400,000","90,200,000","84,500,000","94,700,000","94,600,000","114,100,000","168,900,000","88,000,000","62,000,000",,,"50,900,000",,,"51,000,000","-20,700,000","10,400,000"
			NetLongTermDebtIssuance,"-199,121,000","-44,705,000","-46,122,000","-56,302,000","-51,992,000","908,671,000","37,398,000","-1,789,532,000","1,222,768,000","465,837,000","-30,179,000","-885,903,000","-1,521,306,000","357,197,000","-151,059,000","274,053,000","467,110,000","104,673,000","263,311,000","-44,431,000","-27,891,000","-36,141,000","-25,728,000","-37,481,000","-36,662,000","-24,571,000","-19,619,000","-28,675,000","696,428,000","-28,436,000","-39,287,000","-317,128,000","413,586,000","-65,150,000","-53,716,000","-133,642,000","-187,210,000","-63,439,000","2,769,850,000","1,229,397,000","-13,701,000","-23,398,000","-10,017,000","187,320,000","-14,272,000","-17,510,000","944,991,000","-21,581,000","-223,613,000","-25,041,000","-24,207,000","-14,393,000","-11,433,000","-11,199,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,"362,686,000","354,285,000","2,334,000","1,950,000","4,117,000","1,606,969,000","220,291,000","1,502,184,000","1,753,521,000","570,779,000","5,859,000","6,152,691,000","15,233,836,000","17,133,464,000","18,260,471,000","13,546,148,000","14,821,233,000","13,306,898,000","12,831,139,000","12,631,266,000","12,726,540,000","12,803,015,000","12,889,188,000","12,967,350,000","13,036,399,000","13,098,553,000","13,170,596,000","13,226,406,000","14,791,219,000","13,353,767,000","13,419,216,000","13,482,549,000","16,957,280,000","16,179,463,000","16,344,214,000","16,496,316,000","16,648,057,000","16,797,510,000","16,256,070,000","9,774,701,000","8,582,801,000","8,634,603,000","8,889,054,000","8,336,471,000","8,186,455,000","10,983,125,000","10,072,739,000","5,046,861,000","4,812,658,000","4,877,000,000","4,842,950,000","4,810,323,000","6,494,779,000","2,619,540,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-561,807,000","-398,990,000","-48,456,000","-58,252,000","-56,109,000","-698,298,000","-182,893,000","-3,291,716,000","-530,753,000","-104,942,000","-36,038,000","-7,038,594,000","-16,755,142,000","-16,776,267,000","-18,411,530,000","-13,272,095,000","-14,354,123,000","-13,202,225,000","-12,567,828,000","-12,675,697,000","-12,754,431,000","-12,839,156,000","-12,914,916,000","-13,004,831,000","-13,073,061,000","-13,123,124,000","-13,190,215,000","-13,255,081,000","-14,094,791,000","-13,382,203,000","-13,458,503,000","-13,799,677,000","-16,543,694,000","-16,244,613,000","-16,397,930,000","-16,629,958,000","-16,835,267,000","-16,860,949,000","-13,486,220,000","-8,545,304,000","-8,596,502,000","-8,658,001,000","-8,899,071,000","-8,149,151,000","-8,200,727,000","-11,000,635,000","-9,127,748,000","-5,068,442,000","-5,036,271,000","-4,902,041,000","-4,867,157,000","-4,824,716,000","-6,506,212,000","-2,630,739,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-1,516,586,000","-236,733,000","-656,367,000","-338,148,000","-285,338,000","-318,774,000","-433,539,000","-704,080,000","0","-321,798,000","-546,794,000","-1,763,944,000","-73,078,000","0","0","-356,332,000","-514,802,000","-290,377,000","-481,538,000","-89,737,000","-231,674,000","0","-476,924,000","-345,972,000","0","-274,926,000","-165,825,000","-299,997,000","-14,050,000","-70,063,000",,,,,,,,,,,,,"0","-32,755,000","-289,837,000","-756,000","-469,827,000","-48,621,000","-99,462,000","-586,000","-84,418,000","-28,749,000","1,158,000","-25,899,000","-56,465,000","20,900,000","-158,284,000","1,381,000","15,146,000","21,868,000","7,401,000","12,137,000","9,406,000","5,246,000","4,878,000","21,063,000","5,306,000","8,841,000","12,741,000","17,031,000","-1,129,000","-81,198,000","11,641,000","17,578,000","-16,048,000","-75,836,000","4,276,000","3,502,000","-41,434,000","-120,625,000","-467,206,000","16,351,000","-11,445,000","2,844,000","3,171,000","4,630,000","1,802,000","593,000","-604,000","867,000","46,000","0","0","2,000,000","1,200,000","700,000","2,200,000","17,400,000","600,000","300,000",,,"18,500,000","700,000",,,,
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,317,000","4,532,000","1,721,000","14,713,000","-4,246,000","4,438,000","7,541,000","6,577,000","20,900,000","4,245,000","8,525,000","15,146,000","28,218,000","7,401,000","12,137,000","9,406,000","5,246,000","4,878,000","21,063,000","5,306,000","8,841,000","12,741,000","17,031,000","8,852,000","5,361,000","11,641,000","17,578,000","8,077,000","7,201,000","4,276,000","3,502,000","3,566,000","2,108,000","7,232,000","16,351,000","6,421,000","2,844,000","5,665,000","4,630,000","1,802,000","593,000","-604,000","867,000","46,000","0","0","2,000,000","1,200,000","700,000","2,200,000","17,400,000","600,000","300,000",,,"18,500,000","700,000",,,,
			CommonStockPayments,"-1,516,586,000","-236,733,000","-656,367,000","-338,148,000","-285,338,000","-318,774,000","-433,539,000","-704,080,000","0","-321,798,000","-546,794,000","-1,763,944,000","-73,078,000","0","0","-356,332,000","-514,802,000","-290,377,000","-481,538,000","-89,737,000","-231,674,000","0","-476,924,000","-345,972,000","0","-274,926,000","-165,825,000","-299,997,000","-14,050,000","-70,063,000",,,,,,,,,"0","0",,,"0","-32,755,000","-289,837,000","-756,000","-469,827,000","-48,621,000","-97,741,000","-2,307,000","-99,131,000","-24,503,000","-3,280,000","-33,440,000","-63,042,000","0","-162,529,000","-7,144,000","0",,,,,,,,,,,,"-9,981,000",,,,"-24,125,000",,,,"-45,000,000","-122,733,000",,,"-17,866,000","0",,,,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-26,405,000",,,"-24,236,000","-22,187,000","-22,479,000","-23,811,000","-18,643,000","-18,658,000","-20,860,000","-16,993,000","-16,328,000","-13,567,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-2,434,000","63,739,000","-67,877,000","-2,756,000","-1,514,000","-2,180,000","-1,492,000",,,,"-1,508,000",,,,,,,,,,,,,,,,,,
