name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalRevenue,"3,645,600,000","1,097,900,000","865,800,000","874,900,000","807,000,000","600,300,000","553,900,000","568,000,000","453,700,000","692,600,000","774,800,000","929,600,000","896,900,000","851,300,000","848,000,000","953,500,000","945,500,000","750,500,000","698,100,000","1,097,400,000","1,030,900,000","937,400,000","946,900,000","966,600,000","972,900,000","713,000,000","898,000,000","1,140,000,000","1,156,200,000","1,018,600,000","1,339,400,000","1,675,800,000","1,434,900,000","1,341,000,000","1,243,100,000","1,505,500,000","1,354,200,000","1,318,600,000","1,220,882,000","1,179,818,000","1,086,996,000","1,169,586,000","1,018,133,000","777,780,000","733,770,000","605,240,000","596,210,000","595,273,000","514,652,000","484,616,000","495,865,000","492,431,000","444,039,000","414,264,000","498,679,000","724,371,000","671,220,000","594,723,000","436,925,000","428,084,000","421,726,000","351,113,000","368,682,000","444,747,000","429,925,000","397,694,000","394,091,000","363,870,000"
	OperatingRevenue,"3,645,600,000","1,097,900,000","865,800,000","874,900,000","807,000,000","600,300,000","553,900,000","568,000,000","453,700,000","692,600,000","774,800,000","929,600,000","896,900,000","851,300,000","848,000,000","953,500,000","945,500,000","750,500,000","698,100,000","1,097,400,000","1,030,900,000","937,400,000","946,900,000","966,600,000","972,900,000","713,000,000","898,000,000","1,140,000,000","1,156,200,000","1,018,600,000","1,339,400,000","1,675,800,000","1,434,900,000","1,341,000,000","1,243,100,000","1,505,500,000","1,354,200,000","1,318,600,000","1,220,882,000","1,179,818,000","1,086,996,000","1,169,586,000","1,018,133,000","777,780,000","733,770,000","605,240,000","596,210,000","595,273,000","514,652,000","484,616,000","495,865,000","492,431,000","444,039,000","414,264,000","498,679,000","724,371,000","671,220,000","594,723,000","436,925,000","428,084,000","421,726,000","351,113,000","368,682,000","444,747,000","429,925,000","397,694,000","394,091,000","363,870,000"
CostOfRevenue,"3,428,000,000","1,065,200,000","833,300,000","741,600,000","787,900,000","642,300,000","532,000,000","523,400,000","364,400,000","638,300,000","684,000,000","811,800,000","789,800,000","715,300,000","752,200,000","849,200,000","822,100,000","637,300,000","651,300,000","945,900,000","870,500,000","797,900,000","866,400,000","856,300,000","841,600,000","626,800,000","866,100,000","975,200,000","953,500,000","823,400,000","1,216,100,000","1,493,200,000","1,335,900,000","1,216,200,000","1,130,600,000","1,443,400,000","1,253,200,000","1,184,200,000","1,079,163,000","1,021,412,000","958,188,000","1,085,342,000","938,033,000","681,179,000","683,205,000","558,376,000","540,862,000","533,167,000","465,033,000","452,941,000","461,257,000","451,275,000","425,671,000","335,293,000","417,486,000","647,397,000","610,338,000","559,889,000","408,950,000","390,209,000","361,255,000","296,079,000","325,609,000","393,601,000","371,850,000","346,744,000","349,141,000","325,116,000"
GrossProfit,"217,600,000","32,700,000","32,500,000","133,300,000","19,100,000","-42,000,000","21,900,000","44,600,000","89,300,000","54,300,000","90,800,000","117,800,000","107,100,000","136,000,000","95,800,000","104,300,000","123,400,000","113,200,000","46,800,000","151,500,000","160,400,000","139,500,000","80,500,000","110,300,000","131,300,000","86,200,000","31,900,000","164,800,000","202,700,000","195,200,000","123,300,000","182,600,000","99,000,000","124,800,000","112,500,000","62,100,000","101,000,000","134,400,000","141,719,000","158,406,000","128,808,000","84,244,000","80,100,000","96,601,000","50,565,000","46,864,000","55,348,000","62,106,000","49,619,000","31,675,000","34,608,000","41,156,000","18,368,000","78,971,000","81,193,000","76,974,000","60,882,000","34,834,000","27,975,000","37,875,000","60,471,000","55,034,000","43,073,000","51,146,000","58,075,000","50,950,000","44,950,000","38,754,000"
OperatingExpense,"209,900,000","50,000,000","67,300,000","40,000,000","52,600,000","64,700,000","62,800,000","75,400,000","65,700,000","72,300,000","71,800,000","81,200,000","86,200,000","90,500,000","84,200,000","82,700,000","79,800,000","71,900,000","36,200,000","116,500,000","108,900,000","107,300,000","106,400,000","100,400,000","100,500,000","105,000,000","118,900,000","121,400,000","119,000,000","126,500,000","126,900,000","121,200,000","109,300,000","89,500,000","83,600,000","81,100,000","73,700,000","80,000,000","68,118,000","59,552,000","48,921,000","49,230,000","48,685,000","39,527,000","26,451,000","34,963,000","36,101,000","32,534,000","29,855,000","28,768,000","28,240,000","27,314,000","24,169,000","26,020,000","24,449,000","35,368,000","31,936,000","33,390,000","-143,771,000","20,596,000","21,529,000","20,059,000","19,041,000","22,024,000","20,875,000","19,865,000","24,142,000","17,993,000"
	SellingGeneralAndAdministration,"199,300,000","45,200,000","66,600,000","43,300,000","44,200,000","49,800,000","52,400,000","69,000,000","64,200,000","64,300,000","71,100,000","73,800,000","83,700,000","84,100,000","78,000,000","78,800,000","75,500,000","85,600,000","33,000,000","105,700,000","102,900,000","99,900,000","100,600,000","96,600,000","96,000,000","97,300,000","113,200,000","112,400,000","111,800,000","119,600,000","118,800,000","112,300,000","102,900,000","85,300,000","76,700,000","64,600,000","69,700,000","76,400,000","61,456,000","56,216,000","47,003,000","45,684,000","49,116,000","37,844,000","25,248,000","33,603,000","34,341,000","30,661,000","28,277,000","27,416,000","27,079,000","25,956,000","23,026,000","24,477,000","51,935,000","33,651,000","30,588,000","32,112,000","20,398,000","17,453,000","20,483,000","18,967,000","18,820,000","20,754,000","19,804,000","18,836,000","24,304,000","17,150,000"
		GeneralAndAdministrativeExpense,"147,000,000","32,600,000","53,800,000","30,900,000","29,700,000","36,700,000","41,700,000","57,800,000","51,600,000","51,000,000","58,200,000","61,200,000","69,400,000","70,800,000","56,800,000","67,100,000","64,900,000","70,900,000","51,000,000","77,700,000","74,700,000","72,400,000","72,800,000","70,400,000","69,800,000","66,800,000","77,400,000","78,400,000","74,000,000","81,200,000","72,500,000","68,700,000","62,200,000","66,300,000","60,800,000","50,700,000","52,800,000","60,500,000","127,471,000","12,810,000","47,003,000","18,142,000","-45,071,000","37,844,000","25,248,000",,"12,330,000","7,403,000","8,321,000","7,170,000","8,873,000","7,437,000","6,939,000","9,322,000",,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","-7,910,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"147,000,000","32,600,000","53,800,000","30,900,000","29,700,000","36,700,000","41,700,000","57,800,000","51,600,000","51,000,000","58,200,000","61,200,000","69,400,000","70,800,000","56,800,000","67,100,000","64,900,000","70,900,000","51,000,000","77,700,000","74,700,000","72,400,000","72,800,000","70,400,000","69,800,000","66,800,000","77,400,000","78,400,000","74,000,000","81,200,000","72,500,000","68,700,000","62,200,000","66,300,000","60,800,000","50,700,000","52,800,000","60,500,000","127,471,000","12,810,000","47,003,000","18,142,000","-53,769,000","37,844,000","33,158,000",,"12,330,000","7,403,000","8,321,000","7,170,000","8,873,000","7,437,000","6,939,000","9,322,000",,,,,,,,,,,,,,
		SellingAndMarketingExpense,"52,300,000","12,600,000","12,800,000","12,400,000","14,500,000","13,100,000","10,700,000","11,200,000","12,600,000","13,300,000","12,900,000","12,600,000","14,300,000","13,300,000","21,200,000","11,700,000","10,600,000","14,700,000","-18,000,000","28,000,000","28,200,000","27,500,000","27,800,000","26,200,000","26,200,000","30,500,000","35,800,000","34,000,000","37,800,000","38,400,000","46,300,000","43,600,000","40,700,000","19,000,000","15,900,000","13,900,000","16,900,000","15,900,000","-66,015,000","43,406,000",,"27,542,000",,,,,"22,011,000","23,258,000","19,956,000","20,246,000","18,206,000","18,519,000","16,087,000","15,155,000",,,,,,,,,,,,,,
