name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011
TotalAssets,"503,357,000","527,023,000","523,074,000","523,224,000","520,111,000","580,489,000","591,352,000","637,494,000","662,381,000","754,886,000","802,094,000","852,969,000","438,258,000","509,167,000","556,953,000","604,914,000","393,818,000","484,347,000","560,426,000","615,745,000","668,020,000","739,253,000","812,267,000","524,174,000","593,375,000","655,758,000","716,747,000","753,856,000","421,642,714","254,148,933","286,020,791","310,768,767","141,894,107","150,318,580","158,891,289","163,868,957","106,196,105","112,178,597","38,569,619","41,945,091","19,470,329"
	CurrentAssets,"477,353,000","502,292,000","496,335,000","493,105,000","487,563,000","545,741,000","561,091,000","606,652,000","628,191,000","721,315,000","769,084,000","819,189,000","402,801,000","482,425,000","528,918,000","577,740,000","363,845,000","448,307,000","521,515,000","578,560,000","634,986,000","707,865,000","794,581,000","505,267,000","574,947,000","641,693,000","702,538,000","740,956,000","410,384,499","245,827,834","279,088,748","306,648,284","138,901,456","147,564,538","158,354,005","163,463,955","105,792,546","111,778,219","38,154,937","41,508,077","18,904,094"
		CashCashEquivalentsAndShortTermInvestments,"395,702,000","419,689,000","420,130,000","414,423,000","411,183,000","469,667,000","490,580,000","534,475,000","549,036,000","652,622,000","712,371,000","758,517,000","353,542,000","436,160,000","489,093,000","538,338,000","326,092,000","414,917,000","492,750,000","550,305,000","608,013,000","689,385,000","779,959,000","439,487,000","556,860,000","628,055,000","695,708,000","732,319,000","401,992,378","239,723,817","272,806,243","299,030,674","134,105,128","144,909,982","156,752,792","161,799,137","104,220,096","110,270,911","35,971,386","39,747,233","17,707,476"
			CashAndCashEquivalents,"48,320,000","84,709,000","68,329,000","145,620,000","92,946,000","58,151,000","45,311,000","50,778,000","41,408,000","70,055,000","63,377,000","93,501,000","54,724,000","43,248,000","59,382,000","77,720,000","48,871,000","70,013,000","120,244,000","62,031,000","66,950,000","43,675,000","105,216,000","51,701,000","49,205,000","32,742,000","72,354,000","88,257,000","104,366,238","20,022,927","18,059,045","44,961,233","11,210,833","13,363,185","33,492,017","52,140,970","31,711,264","45,511,641","35,971,386","39,747,233","17,707,476"
				CashFinancial,,"76,709,000","68,329,000","145,620,000","85,946,000",,"45,311,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"8,000,000",,,"7,000,000",,"45,311,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"347,382,000","334,980,000","351,801,000","268,803,000","318,237,000","411,516,000","445,269,000","483,697,000","507,628,000","582,567,000","648,994,000","665,016,000","298,818,000","392,912,000","429,711,000","460,618,000","277,221,000","344,904,000","372,506,000","488,274,000","541,063,000","645,710,000","674,743,000","387,786,000","507,655,000","595,313,000","623,354,000","644,062,000","297,626,140","219,700,890","254,747,198","254,069,441","122,894,295","131,546,797","123,260,775","109,658,167","72,508,832","64,759,270",,,
		Receivables,"46,144,000","47,617,000","46,164,000","45,250,000","42,594,000","41,549,000","39,049,000","39,776,000","43,857,000","38,044,000","32,822,000","36,360,000","29,440,000","25,694,000","22,080,000","19,509,000","16,944,000","18,572,000","14,487,000","13,230,000","10,625,000","12,335,000",,,,"3,691,000",,,,"2,557,000",,,,"1,378,000","1,218,000","1,069,000","509,450","537,308",,"550,000","637,000"
			AccountsReceivable,"46,144,000","47,617,000","46,164,000","45,250,000","42,594,000","41,549,000","39,049,000","39,776,000","43,857,000","38,044,000","32,822,000","36,360,000","29,440,000","25,694,000","22,080,000","19,509,000","16,944,000","16,501,000","14,487,000","13,230,000","10,625,000","9,126,000",,,,,,,,,,,,,,,,,,"472,000","486,000"
				GrossAccountsReceivable,"46,399,000","47,913,000","46,420,000","45,529,000","42,792,000","41,784,000","39,273,000","39,984,000","44,036,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-255,000","-296,000","-256,000","-279,000","-198,000","-235,000","-224,000","-208,000","-179,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
