name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"158,094,000","39,308,000","42,676,000","40,654,000","35,456,000","33,159,000","30,200,000","34,736,000","32,634,000","28,058,000","27,322,000","25,315,000","20,687,000","26,446,000","23,430,000","25,249,000","24,846,000","25,715,000","19,161,000","19,207,000","15,183,000","11,691,000","12,338,000","10,932,000","10,033,000","1,958,000"
	OperatingRevenue,"158,094,000","39,308,000","42,676,000","40,654,000","35,456,000","33,159,000","30,200,000","34,736,000","32,634,000","28,058,000","27,322,000","25,315,000","20,687,000","26,446,000","23,430,000","25,249,000","24,846,000","25,715,000","19,161,000","19,207,000","15,183,000","11,691,000","12,338,000","10,932,000","10,033,000","1,958,000"
PretaxIncome,"143,139,000","35,412,000","40,770,000","35,777,000","31,180,000","30,140,000","29,015,000","31,282,000","29,002,000","-34,490,000","24,726,000","23,932,000","17,629,000","24,257,000","21,131,000","21,057,000","23,949,000","23,600,000","17,893,000","17,983,000","14,550,000","10,755,000","11,816,000","10,384,000","9,229,000","1,197,000"
TaxProvision,"636,000","0","427,000","106,000","103,000","48,000","157,000","96,000","77,000","82,000","213,000","77,000","280,000","9,000","-297,000","85,000","-33,000","175,000","714,000","120,000","146,000","122,000","140,000","71,000","72,000","71,000"
NetIncomeCommonStockholders,"126,247,000","29,796,000","35,198,000","31,989,000","29,264,000","29,184,000","28,776,000","31,351,000","28,590,000","-35,164,000","24,789,000","23,617,000","17,381,000","24,705,000","19,372,000","20,821,000","23,483,000","23,280,000","17,034,000","17,339,000","14,081,000","10,364,000","11,406,000","10,012,000","8,866,000","857,000"
	NetIncome,"142,559,000","35,468,000","40,343,000","35,671,000","31,077,000","30,092,000","28,858,000","31,186,000","28,925,000","-34,572,000","24,513,000","23,855,000","17,349,000","24,248,000","21,428,000","20,972,000","23,953,000","23,391,000","17,097,000","17,432,000","14,156,000","10,377,000","11,410,000","10,016,000","8,870,000","861,000"
		NetIncomeIncludingNoncontrollingInterests,"142,503,000","35,412,000","40,343,000","35,671,000","31,077,000","30,092,000","28,858,000","31,186,000","28,925,000","-34,572,000","24,513,000","23,855,000","17,349,000","24,248,000","21,428,000","20,972,000","23,982,000","23,425,000","17,179,000","17,863,000","14,404,000","10,633,000","11,676,000","10,313,000","9,157,000","1,126,000"
			NetIncomeContinuousOperations,"142,503,000","35,412,000","40,343,000","35,671,000","31,077,000","30,092,000","28,858,000","31,186,000","28,925,000","-34,572,000","24,513,000","23,855,000","17,349,000","24,248,000","21,428,000","20,972,000","23,982,000","23,425,000","17,179,000","17,863,000","14,404,000","10,633,000","11,676,000","10,313,000","9,157,000","1,126,000"
		MinorityInterests,,"56,000",,,,,,,,,"0","0","0","0","0","0","-29,000","-34,000","-82,000","-431,000","-248,000","-256,000","-266,000","-297,000","-287,000","-265,000"
	PreferredStockDividends,"15,787,000","5,326,000","4,966,000","3,682,000","1,813,000","908,000","82,000","-165,000","335,000","592,000","-276,000","238,000","-32,000","-457,000","2,056,000","151,000","470,000","111,000","63,000","93,000","75,000","13,000","4,000","4,000","4,000","4,000"
