name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
TotalAssets,"20,938,000,000","21,746,000,000","22,257,300,000","21,812,400,000","21,162,900,000","22,547,100,000","21,112,900,000","22,867,400,000","24,234,900,000","26,494,800,000","27,157,800,000","30,739,700,000","29,433,100,000","30,387,700,000","29,763,000,000","28,950,900,000","29,392,900,000","30,684,800,000","27,894,100,000","25,728,300,000","24,642,700,000","25,514,100,000","23,639,800,000","22,771,200,000","22,399,100,000","22,421,830,000","20,300,674,000","19,547,442,000","19,052,486,000","20,263,977,000","15,193,275,000","14,214,898,000","13,757,270,000","13,244,257,000","11,964,663,000","11,867,312,000","11,926,511,000","12,000,139,000","10,412,304,000","9,826,914,000","8,902,316,000","8,980,249,000","8,769,920,000","8,548,447,000","8,029,450,000","8,272,152,000","8,130,496,000","8,046,634,000","7,919,836,000","5,225,667,000","4,898,555,000","4,369,435,000","4,500,117,000","4,357,039,000","4,193,940,000","4,128,843,000","3,931,410,000","4,103,594,000","4,018,603,000","3,776,115,000","3,638,494,000","3,404,015,000","3,019,432,000","2,909,858,000","2,907,902,000","2,926,082,000","2,469,053,000","2,187,959,000","2,187,480,000","2,239,080,000","1,778,076,000","1,773,889,000","1,837,064,000","1,868,442,000","1,667,812,000","1,664,311,000","1,554,405,000","1,453,418,000","1,494,717,000","1,522,198,000","1,523,241,000","1,477,218,000","1,489,914,000","1,344,700,000","1,304,832,000","1,420,606,000"
	CurrentAssets,,"19,857,000,000","19,387,400,000","18,908,200,000","18,295,400,000","19,634,400,000","18,661,300,000","20,644,200,000","21,704,300,000","24,112,700,000","24,783,600,000","28,273,900,000","27,035,900,000","24,711,700,000","23,955,800,000","23,081,500,000","23,470,500,000","24,705,600,000","21,969,300,000","19,839,100,000","18,783,000,000","19,589,300,000","17,601,800,000","16,689,100,000","16,230,200,000","16,250,417,000","14,097,713,000","13,357,108,000","12,777,584,000","13,814,776,000","11,401,425,000","10,344,932,000","9,938,025,000","10,400,842,000","9,110,360,000","9,057,972,000","9,087,826,000","9,132,143,000","8,019,605,000","7,477,468,000","6,529,566,000","6,606,967,000","5,901,318,000","5,877,484,000","5,779,964,000","6,129,535,000","6,023,563,000","5,931,872,000","5,900,444,000","2,359,505,000","2,395,983,000","1,869,077,000","2,048,369,000","1,939,060,000","1,243,065,000","1,189,009,000","1,461,825,000","1,453,041,000","1,420,510,000","1,221,183,000","1,146,541,000","1,309,975,000","1,027,306,000","915,766,000","1,068,514,000","1,042,453,000","750,463,000","608,894,000","618,587,000","617,346,000","620,606,000","587,346,000","593,467,000","582,852,000","509,658,000","555,836,000","458,412,000","388,940,000","483,566,000","507,860,000","517,633,000","463,503,000","509,658,000","365,925,000","366,990,000","523,775,000"
		CashCashEquivalentsAndShortTermInvestments,,"3,111,000,000","3,172,200,000","3,001,900,000","2,858,600,000","3,081,500,000","3,078,400,000","4,960,000,000","4,456,800,000","3,874,400,000","4,512,500,000","4,026,800,000","3,685,000,000","3,863,100,000","3,600,900,000","3,449,200,000","3,549,500,000","4,190,000,000","3,326,000,000","1,945,900,000","1,866,800,000","1,859,200,000","1,500,500,000","1,316,500,000","970,000,000","1,168,037,000","977,341,000","822,314,000","760,398,000","1,077,152,000","634,824,000","631,167,000","706,642,000","969,822,000","784,042,000","749,821,000","764,149,000","893,352,000","766,317,000","642,199,000","399,044,000","216,213,000","239,570,000","232,821,000","300,362,000","139,114,000","391,226,000","250,335,000","220,564,000","213,378,000","449,621,000","118,423,000","321,631,000","156,911,000","378,183,000","208,236,000","241,403,000","265,839,000","215,339,000","143,133,000","153,876,000","180,075,000","144,732,000","151,017,000","256,828,000","143,213,000","157,797,000","100,395,000","156,700,000","84,409,000","158,990,000","154,638,000","107,173,000","67,745,000","45,057,000","134,976,000","99,664,000","30,439,000","80,451,000","80,995,000","77,287,000","117,535,000","78,226,000","108,338,000","58,756,000","116,941,000"
			CashAndCashEquivalents,"2,930,000,000","3,046,000,000","3,172,200,000","3,001,900,000","2,858,600,000","3,081,500,000","3,078,400,000","4,960,000,000","4,456,800,000","3,874,400,000","4,512,500,000","4,026,800,000","3,685,000,000","3,863,100,000","3,600,900,000","3,449,200,000","3,549,500,000","4,190,000,000","3,326,000,000","1,945,900,000","1,866,800,000","1,859,200,000","1,500,500,000","1,316,500,000","970,000,000","1,168,037,000","977,341,000","822,314,000","760,398,000","1,077,152,000","634,824,000","631,167,000","706,642,000","969,822,000","784,042,000","749,821,000","764,149,000","893,352,000","766,317,000","642,199,000","399,044,000","216,213,000","239,570,000","232,821,000","300,362,000","139,114,000","391,226,000","250,335,000","220,564,000","213,378,000","449,621,000","118,423,000","321,631,000","156,911,000","378,183,000","208,236,000","241,403,000","265,839,000","215,339,000","143,133,000","153,876,000","180,075,000","144,732,000","151,017,000","256,828,000","143,213,000","157,797,000","100,395,000","156,700,000","84,409,000","158,990,000","154,638,000","107,173,000","67,745,000","45,057,000","134,976,000","99,664,000","30,439,000","80,451,000","80,995,000","77,287,000","117,535,000","78,226,000","108,338,000","58,756,000","116,941,000"
			OtherShortTermInvestments,"233,000,000","239,000,000",,,,"638,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,,"151,000,000","14,416,600,000","14,457,500,000","14,045,200,000","15,160,200,000","13,894,700,000","14,141,200,000","15,940,500,000","18,743,100,000","17,313,200,000","17,030,700,000","16,183,600,000","17,740,600,000","17,179,400,000","17,487,500,000","17,349,200,000","18,316,800,000","16,175,300,000","15,949,800,000","15,440,800,000","16,393,100,000","14,428,400,000","13,869,000,000","13,358,700,000","13,764,358,000","11,771,454,000","11,226,814,000","10,714,563,000","11,417,003,000","9,238,555,000","8,444,995,000","7,980,623,000","8,526,617,000","7,383,586,000","7,119,652,000","6,887,275,000","7,337,784,000","6,418,416,000","5,597,472,000","5,231,668,000","5,498,585,000","4,791,318,000","4,774,473,000","4,603,210,000","5,099,299,000","4,666,165,000","4,726,232,000","4,697,196,000","1,138,618,000","984,084,000","888,383,000","873,224,000","858,935,000","601,726,000","668,487,000","775,649,000","959,426,000","998,158,000","863,598,000","788,562,000","840,952,000","694,833,000","599,749,000","638,727,000","741,407,000","465,438,000","408,622,000","350,709,000","417,305,000","343,774,000","311,115,000","372,165,000","404,647,000","360,289,000","288,571,000","265,620,000","264,290,000","313,083,000","337,038,000","352,139,000","263,791,000","219,507,000","136,911,000","191,021,000","224,018,000"
			AccountsReceivable,,"151,000,000","371,500,000","369,000,000","351,900,000","383,800,000","376,900,000","428,500,000","359,400,000","451,100,000","450,800,000","427,100,000","354,200,000","923,900,000","866,800,000","691,600,000","699,400,000","822,300,000","769,300,000","697,200,000","699,000,000","797,200,000","687,000,000","666,400,000","595,800,000","706,506,000","642,681,000","563,533,000","571,560,000","743,294,000","455,064,000","394,681,000","374,483,000","394,822,000","337,332,000","337,458,000","331,608,000","370,110,000","287,643,000","319,292,000","245,011,000","300,895,000","265,156,000","296,271,000","228,270,000","260,945,000","234,570,000","209,609,000","189,635,000","225,212,000","207,725,000","197,103,000","194,304,000","219,362,000","228,067,000","668,487,000","775,649,000","306,992,000","322,453,000","313,174,000","269,850,000","271,563,000","235,700,000","227,047,000","195,814,000","203,883,000","197,033,000","181,293,000","149,627,000","158,236,000","127,835,000","118,931,000","112,067,000","125,396,000","105,579,000","108,135,000","86,034,000","89,097,000","90,094,000","86,816,000","84,568,000","88,444,000","93,075,000","68,369,000","66,008,000","86,153,000"
				GrossAccountsReceivable,,,"378,600,000","375,300,000","357,200,000","387,800,000","380,800,000","432,300,000","362,800,000","454,500,000","450,900,000","427,500,000","354,500,000","929,200,000","872,900,000","697,300,000","708,800,000","829,000,000","778,300,000","703,800,000","704,900,000","801,700,000","694,300,000","674,500,000","603,300,000","710,548,000","646,324,000","567,691,000","576,345,000","747,105,000","458,160,000","398,549,000","377,773,000","397,444,000","339,837,000","341,797,000",,"374,029,000","292,226,000","324,010,000","249,266,000","303,301,000","268,991,000",,"232,001,000","265,295,000",,,,"231,948,000",,,,"226,534,000",,,,"316,458,000",,,,"276,888,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-7,100,000","-6,300,000","-5,300,000","-4,000,000","-3,900,000","-3,800,000","-3,400,000","-3,400,000","-100,000","-400,000","-300,000","-5,300,000","-6,100,000","-5,700,000","-9,400,000","-6,700,000","-9,000,000","-6,600,000","-5,900,000","-4,500,000","-7,300,000","-8,100,000","-7,500,000","-4,042,000","-3,643,000","-4,158,000","-4,785,000","-3,811,000","-3,096,000","-3,868,000","-3,290,000","-2,622,000","-2,505,000","-4,339,000",,"-3,919,000","-4,583,000","-4,718,000","-4,255,000","-2,406,000","-3,835,000",,"-3,731,000","-4,350,000",,,,"-6,736,000",,,,"-7,172,000",,,,"-9,466,000",,,,"-5,325,000",,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,"15,567,000,000","14,045,100,000","24,250,300,000","23,651,000,000","25,694,900,000","23,262,100,000","23,593,800,000","26,608,000,000","18,292,000,000","28,390,600,000","28,156,200,000","14,917,600,000","29,249,900,000","15,361,900,000","15,883,400,000","15,770,800,000","30,879,700,000","14,547,800,000","14,428,000,000","13,960,100,000","26,243,100,000","13,089,900,000","12,607,300,000","12,154,200,000","12,520,031,000","10,648,458,000","10,222,735,000","9,741,424,000","10,250,871,000","8,783,491,000","8,050,314,000","7,606,140,000","7,788,274,000","7,046,254,000","6,782,194,000","6,555,667,000","6,615,993,000",,,,"4,940,541,000",,,,"4,598,042,000",,,,"943,463,000",,,,"656,424,000",,,,"668,916,000",,,,"592,034,000",,,,,,,,,,,,,,,,,,,,,,,,
