name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
MarketCap,"33,139,828,481","47,701,084,626","55,813,517,983","44,087,271,229","32,248,265,226","25,652,414,528","30,110,833,400","31,096,670,476","26,281,031,643","10,748,475,224","11,197,498,970","10,027,630,373"
EnterpriseValue,"32,277,274,481","46,954,383,626","55,153,648,983","43,469,991,229","31,496,583,226","24,778,578,528","29,248,465,400","30,257,897,476","25,545,775,643","10,034,930,224","10,498,459,970","10,023,707,373"
PeRatio,"2,298",,,,,,"1,968.8","1,459.429",,,,
ForwardPeRatio,"178.571","303.03","357.143","344.828","666.667","666.667","476.191","588.235","2,500",,,
PegRatio,"3.124"
PsRatio,"28.12","45.502","62.15","56.441","47.014","41.479","54.437","56.266","61.265","13.872","35.952","31.973"
PbRatio,"29.672","45.813","58.296","48.295","38.33","26.793","32.163","34.065","32.733","13.739","14.519","162.974"
EnterprisesValueRevenueRatio,"27.05","129.34","169.08","160.71","134.861","124.798","164.751","195.622","182.454","76.458","92.38","104.562"
EnterprisesValueEBITDARatio,"624.101","1,998.484","2,624.864","6,854.303","36,244.63","-9,332.798","15,186.119","16,444.509","2,894.05","1,344.084","7,905.467","-47,505.722"
