name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007
TotalAssets,"221,266,000","231,913,000","238,772,000","246,615,323","251,938,099","33,987,535","23,441,828","10,985,177","9,802,749","11,947,493","14,860,917","16,866,805","19,388,142","21,650,461","23,936,439","26,178,030","11,700,807","2,687,013","1,900,680","1,979,887","2,006,390","1,910,881","1,976,168","2,436,774","3,156,359","3,674,126","3,416,359","4,571,529","5,127,986","6,164,169","6,632,075","14,061,108","20,751,495","23,470,092","13,385,288","14,361,943","7,666,183","2,042,821","1,874,903","2,206,708","2,040,841","1,323,566","601,752","801,997","523,989","769,179","1,268,108","224,279","457,046","825,066","12,038","14,903","18,675","22,775","27,862","32,903","50,677","27,275"
	CurrentAssets,"180,083,000","192,530,000","199,968,000","208,548,715","237,757,637","25,725,023","19,166,678","7,937,113","7,319,393","10,160,924","13,636,505","15,733,522","18,499,957","20,829,131","23,239,484","24,689,094","11,215,469","768,887","533,893","570,312","578,706","613,669","778,971","1,068,567","1,632,206","1,914,393","1,384,592","1,942,413","2,359,053","3,150,237","2,744,543","4,704,560","7,926,153","9,786,809","3,304,985","1,169,902","2,131,530","671,478","684,149","1,084,082","1,222,564","742,811","213,923","412,986","150,759","451,872","1,183,959","153,859","400,137","771,618","12,038","14,903","18,675","22,775","27,862","32,903","50,677",
		CashCashEquivalentsAndShortTermInvestments,"161,984,000","174,795,000","186,730,000","195,617,494","232,152,528","22,341,433","14,863,434","3,982,471","3,296,488","7,125,826","11,019,418","13,155,572","15,587,775","18,417,513","21,304,407","23,996,609","9,946,654","185,151","9,062","584","2,988","5,898","9,132","183,767","191,924","189,231","120,369","279,581","322,871","1,627,062","152,924","2,280,006","4,904,327","7,837,339","57,066","165,165","1,020,189","13,416","19,963","728,959","670,667","406,859","48,111","194,299","39,498","373,868","1,045,822","35,032","289,661","603,156","12,038","14,903","18,675","22,775","27,862","32,903","49,428","27,275"
			CashAndCashEquivalents,"161,984,000","174,795,000","133,153,000","142,052,894","195,646,354","22,341,433","14,863,434","3,821,723","1,343,978","3,975,494","7,987,019","10,123,186","12,599,600","18,417,513","21,304,407","23,996,609","9,946,654","185,151","9,062","584","2,988","5,898","9,132","183,767","191,924","189,231","120,369","279,581","322,871","1,627,062","152,924","2,280,006","4,904,327","7,837,339","57,066","165,165","1,020,189","13,416","19,963","728,959","670,667","406,859","48,111","194,299","39,498","373,868","1,045,822","35,032","289,661","603,156","12,038","14,903","18,675","22,775","27,862","32,903","49,428","27,275"
				CashFinancial,"161,984,000","174,795,000","133,153,000","142,052,894","195,646,354","22,341,433","14,863,434","3,821,723","1,343,978","3,975,494","7,987,019","10,123,186","12,599,600","18,417,513","21,304,407","23,996,609","9,946,654","185,151","9,062","584","2,988","5,898","9,132","183,767","191,924","189,231","120,369","279,581","322,871","1,627,062","152,924","2,280,006","4,904,327","7,837,339","57,066","165,165","1,020,189","13,416","19,963","728,959","670,667","406,859","48,111","194,299","39,498","373,868","1,045,822","35,032","289,661","603,156","12,038","14,903","18,675","22,775",,,,"27,275"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,750",,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,"53,577,000","53,564,600","36,506,174","0","0","160,748","1,952,510","3,150,332","3,032,399","3,032,386","2,988,175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"7,472,000","6,346,000","5,054,000","4,423,094","1,003,620","347,967","957,825","968,814","293,625","206,770","312,889","252,648","197,511","168,169","207,122","275,931","207,082","227,918","159,394","212,158","170,186","128,315","157,765","146,909","588,034","551,214","318,262","542,856","883,032","284,708","301,925","379,852","464,059","216,003",,,,,,,,,"562",,,,,,,,,,,,,,"1,249",
			AccountsReceivable,"7,472,000","6,346,000","5,054,000","4,423,094","1,003,620","347,967","538,331","368,006","293,625","206,770","312,889","252,648","197,511","168,169","207,122","275,931","207,082","227,918","159,394","212,158","170,186","128,315","157,765","146,909","588,034","551,214","318,262","542,856","883,032","284,708","141,035","100,114","262,805","1,040,854",,,,,,,,,"562",,,,,,,,,,,,,,"1,249",
				GrossAccountsReceivable,,"7,608,000",,,,"704,259",,,,"278,705",,,,,,,,,"197,669","232,006","190,034","170,664","200,707","180,669","731,053","692,212","470,521","665,523","1,015,699","404,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-1,262,000",,,,"-356,292",,,,"-71,935",,,,,,,,,"-38,275","-19,848","-19,848","-42,349","-42,942","-33,760","-143,019","-140,998","-152,259","-122,667","-132,667","-119,936",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145,392","145,392",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,"419,494","600,808",,,,,,,,,,,,,,,,,,,,,,,"160,890","279,738","201,254","1,175,338",,,,,,,,,"0",,,,,,,,,,,,,,"0",
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000,189",,,,,,,,,,,,,,,,,,,,,,,,
