name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
OperatingCashFlow,"2,164,119,000","-393,507,000","1,164,057,000","973,003,000","420,566,000","-193,448,000","970,137,000","854,579,000","142,344,000","-136,281,000","1,084,079,000","456,133,000","85,057,000","-401,889,000","628,938,000","594,373,000","157,896,000","-249,958,000","463,237,000","438,005,000","151,293,000","-342,030,000","503,504,000","156,828,000","118,623,000","-328,640,000","509,487,000","184,601,000","137,659,000","-179,850,000","593,302,000","292,462,000","45,982,000","-269,966,000","510,468,000","149,969,000","164,557,000","-79,886,000","411,017,000","81,723,000","97,290,000","-298,949,000","257,095,000","260,514,000","-42,508,000","-113,882,000","291,663,000","223,917,000","93,916,000","7,091,000","160,194,000","136,170,000","-71,245,000","-11,474,000","100,972,000","148,722,000","-63,203,000","-316,864,000","238,232,000","204,087,000","90,662,000","115,229,000","284,070,000","163,881,000","107,288,000","-184,758,000","222,876,000","125,579,000","70,776,000","-59,575,000","143,570,000","77,700,000","48,272,000","-87,367,000","134,655,000","3,841,000","-3,794,000","-70,761,000","83,852,000","21,162,000","16,414,000","-56,546,000","70,303,000"
	CashFlowFromContinuingOperatingActivities,"2,164,119,000","-393,507,000","1,164,057,000","973,003,000","420,566,000","-193,448,000","970,137,000","854,579,000","142,344,000","-136,281,000","1,084,079,000","456,133,000","85,057,000","-401,889,000","628,938,000","594,373,000","157,896,000","-249,958,000","463,237,000","438,005,000","151,293,000","-342,030,000","503,504,000","156,828,000","118,623,000","-328,640,000","509,487,000","184,601,000","137,659,000","-179,850,000","593,302,000","292,462,000","45,982,000","-269,966,000","510,468,000","149,969,000","164,557,000","-79,886,000","411,017,000","81,723,000","97,290,000","-298,949,000","257,095,000","260,514,000","-42,508,000","-113,882,000","291,663,000","223,917,000","93,916,000","7,091,000","160,194,000","136,170,000","-71,245,000","-11,474,000","100,972,000","148,722,000","-63,203,000","-316,864,000","238,232,000","204,087,000","90,662,000","115,229,000","284,070,000","163,881,000","107,288,000","-184,758,000","222,876,000","125,579,000","70,776,000","-59,575,000","143,570,000","77,700,000","48,272,000","-87,367,000","134,655,000","3,841,000","-3,794,000","-70,761,000","83,852,000","21,162,000","16,414,000","-56,546,000","70,303,000"
		NetIncomeFromContinuingOperations,"1,969,209,000","396,271,000","692,874,000","436,622,000","443,442,000","268,977,000","315,386,000","184,840,000","82,112,000","173,530,000","639,133,000","258,053,000","223,438,000","170,826,000","394,503,000","291,689,000","229,631,000","150,125,000","170,686,000","197,361,000","198,396,000","131,503,000","265,126,000","110,853,000","123,445,000","84,640,000","182,595,000","149,991,000","133,153,000","93,138,000","205,670,000","109,692,000","130,199,000","67,942,000","118,540,000","94,166,000","74,234,000","61,855,000","156,537,000","42,705,000","75,599,000","29,946,000","110,939,000","60,033,000","74,867,000","44,486,000","71,795,000","55,715,000","44,686,000","-16,187,000","51,130,000","-10,643,000","-13,706,000","-54,419,000","-1,089,456,000","40,373,000","16,563,000","20,454,000","122,446,000","114,947,000","141,135,000","11,977,000","125,098,000","92,309,000","64,254,000","36,910,000","95,412,000","56,936,000","50,421,000","14,572,000","66,433,000","11,895,000","2,965,000","-16,568,000","-10,084,000","-28,445,000","5,172,000","-1,347,000","15,097,000","2,436,000","7,289,000","-6,095,000","16,178,000"
		OperatingGainsLosses,"-787,990,000","-26,181,000","-361,702,000","-175,930,000","-224,177,000","-86,326,000","-58,094,000","-40,323,000","-24,700,000","-20,438,000","-43,436,000","-26,737,000","-26,142,000","-93,517,000","-59,400,000","-222,355,000","-103,227,000","-35,899,000","-52,307,000","-69,602,000","-78,570,000","-19,133,000","-76,684,000","-35,929,000","-38,811,000","-60,516,000","-124,581,000","-14,382,000","-12,112,000","-16,538,000","-34,750,000","-47,749,000","-38,656,000","-19,801,000","-40,459,000","-19,162,000","-9,100,000","-27,922,000","-293,095,000","174,857,000","81,495,000","-35,762,000","-32,448,000","205,012,000","-20,049,000","-33,668,000","-17,775,000","-32,751,000","-30,149,000","5,493,000","-528,000","8,108,000","-7,769,000","11,182,000","-60,107,000","-11,398,000","29,336,000","4,650,000","-273,620,000","15,363,000","5,064,000","358,613,000","4,012,000","-23,349,000","14,505,000","598,000","16,531,000","8,482,000","-2,075,000","4,214,000","1,960,000","-1,632,000","1,033,000","2,748,000",,,,,,,,,
			GainLossOnSaleOfPPE,"0",,,,,,,,,,,"0",,,"0","0",,,"0",,,,"0",,,,"0","-2,085,000",,,"0","-4,977,000","-23,028,000","0","-1,506,000","-690,000","-1,023,000","-15,479,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-22,560,000","16,690,000","-15,084,000","-12,121,000","-12,045,000","-2,732,000","-4,420,000","-7,947,000","-5,220,000","193,000","-2,744,000","-941,000","-4,369,000","-20,853,000","10,020,000","-2,891,000","-4,009,000","4,280,000","-336,000","-1,768,000","-3,186,000","-4,115,000","3,765,000","-1,356,000","-3,882,000","-3,215,000","-1,118,000","4,945,000","1,069,000","-1,087,000","-600,000","528,000","-6,364,000","-4,801,000","-4,171,000","-5,125,000","-1,533,000","-2,694,000","-297,797,000","196,645,000","99,612,000","-9,553,000","81,099,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-577,974,000","-42,871,000","-159,162,000","-163,809,000","-212,132,000","-83,594,000","-53,674,000","-32,376,000","-19,480,000","-20,631,000","-40,692,000","-25,796,000","-21,773,000","-72,664,000","-69,420,000","-219,464,000","-96,021,000","-40,179,000","-51,971,000","-67,834,000","-75,384,000","-15,018,000","-80,449,000","-24,672,000","-34,929,000","-57,301,000","-123,463,000","-17,242,000","-6,693,000","-15,451,000","-34,150,000","-43,300,000","-9,264,000","-15,000,000","-34,782,000","-13,347,000","-6,544,000","-9,749,000","-51,983,000","232,000","2,144,000","-11,122,000","-60,462,000","-3,128,000","-11,046,000","-9,346,000","4,581,000","-1,410,000","-6,925,000","11,067,000","21,514,000","14,150,000","-274,000","12,214,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"552,825,000","149,032,000","162,144,000","122,564,000","119,085,000","122,078,000","143,825,000","127,725,000","116,384,000","113,794,000","115,362,000","111,560,000","106,479,000","105,823,000","116,940,000","113,484,000","113,399,000","108,165,000","109,100,000","102,591,000","100,386,000","94,037,000","96,940,000","92,725,000","90,268,000","86,994,000","98,598,000","75,047,000","70,605,000","69,846,000","69,444,000","67,159,000","63,295,000","65,203,000","52,994,000","47,524,000","44,215,000","46,537,000","46,010,000","40,102,000","38,336,000","46,457,000","36,534,000","31,308,000","25,619,000","23,469,000","29,245,000","25,638,000","27,784,000","26,295,000","25,470,000","24,445,000","24,166,000","25,392,000","31,165,000","27,729,000","27,225,000","28,452,000","32,579,000","30,450,000","29,461,000","29,162,000","29,614,000","15,392,000","26,488,000","16,196,000","13,928,000","13,082,000","12,499,000","12,610,000","16,175,000","21,476,000","13,400,000","18,493,000","39,051,000","41,071,000","6,329,000","6,171,000",,,,,
			DepreciationAndAmortization,"552,825,000","149,032,000","162,144,000","122,564,000","119,085,000","122,078,000","143,825,000","127,725,000","116,384,000","113,794,000","115,362,000","111,560,000","106,479,000","105,823,000","116,940,000","113,484,000","113,399,000","108,165,000","109,100,000","102,591,000","100,386,000","94,037,000","96,940,000","92,725,000","90,268,000","86,994,000","98,598,000","75,047,000","70,605,000","69,846,000","69,444,000","67,159,000","63,295,000","65,203,000","52,994,000","47,524,000","44,215,000","46,537,000","46,010,000","40,102,000","38,336,000","46,457,000","36,534,000","31,308,000","25,619,000","23,469,000","29,245,000","25,638,000","27,784,000","26,295,000","25,470,000","24,445,000","24,166,000","25,392,000","31,165,000","27,729,000","27,225,000","28,452,000","32,579,000","30,450,000","29,461,000","29,162,000","29,614,000","15,392,000","26,488,000","16,196,000","13,928,000","13,082,000","12,499,000","12,610,000","16,175,000","21,476,000","13,400,000","18,493,000","39,051,000","41,071,000","6,329,000","6,171,000",,,,,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,581,000","25,504,000","25,022,000","23,802,000","30,504,000","28,311,000","27,511,000","27,368,000","25,518,000","14,892,000","12,255,000","14,930,000","12,663,000","11,665,000","10,818,000","10,370,000","14,856,000","12,340,000","10,830,000","16,831,000",,,,,,,,,
