name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989
		CashDividendsPaid,"-85,606,000","-23,178,000","-21,077,000","-20,520,000","-20,831,000","-20,987,000","-14,285,000","-13,938,000","-13,867,000","-13,827,000","-14,956,000","-15,501,000","-15,706,000","-16,065,000","-16,369,000","-16,185,000","-16,429,000","-16,797,000","-12,293,000","-12,571,000","-12,965,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStockDividendPaid,,,,,,,"-14,285,000","-13,938,000","-13,867,000","-13,827,000","-14,956,000","-15,501,000","-15,706,000","-16,065,000","-16,369,000","-16,185,000","-16,429,000","-16,797,000","-12,293,000","-12,571,000","-12,965,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,"639,000","422,000","-2,701,000","1,508,000","1,410,000","11,966,000","-4,397,000","13,604,000","5,947,000","1,070,000","4,235,000","11,928,000","4,139,000","3,133,000","-1,831,000","3,661,000","598,000","1,553,000","7,580,000","8,042,000","17,330,000","14,797,000","25,831,000","1,650,000","333,000","234,000","4,769,000","4,268,000","1,189,000","16,284,000","17,773,000","1,809,000","3,222,000","4,804,000","18,529,000","5,433,000","1,935,000","2,322,000","6,108,000","9,232,000",,,"9,334,000","1,800,000","19,055,000","1,353,000","3,323,000","316,000","3,149,000","1,280,000","2,844,000","16,019,000","1,548,000","614,000","3,966,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-26,539,000","-25,705,000","-61,000","-781,000","8,000","10,000","-4,728,000","217,000","-999,000","-980,000","44,000","-4,232,000","36,000","123,000","-2,058,000","8,000","-99,000","0","-3,410,000","4,153,000","-1,152,000","-2,375,000","253,000","165,000","-3,462,000","385,000","527,000","-5,623,000","-1,046,000","2,421,000","1,916,000","7,366,000","-1,620,000","-1,953,000","-3,830,000","24,417,000","0",,,,,,,"0","0",,,"1,679,000","989,000","-88,000","2,694,000","19,247,000","239,000","693,000","2,638,000","4,193,000","13,209,000","1,525,000","6,856,000","1,185,000","14,808,000","-2,806,000","3,036,000","4,423,000","12,407,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"-200,000",,,,,,,,,,,,,,,,,,,"-100,000","-300,000","200,000",,,"600,000",,,,,"200,000","0","500,000","-800,000","700,000","-200,000","600,000","100,000",
EndCashPosition,"587,901,000","587,901,000","724,311,000","1,684,412,000","1,018,422,000","746,401,000","979,879,000","1,396,604,000","586,092,000","779,211,000","558,658,000","1,319,643,000","837,080,000","924,991,000","802,694,000","1,182,195,000","522,181,000","475,113,000","508,277,000","712,829,000","946,195,000","691,266,000","373,469,000","633,715,000","351,854,000","423,178,000","336,244,000","918,993,000","394,808,000","532,157,000","500,900,000","586,315,000","374,649,000","351,821,000","1,190,489,000","772,972,000","899,341,000","703,101,000","368,756,000","778,824,000","601,451,000","709,038,000","575,694,000","906,340,000","890,067,000","949,896,000","886,599,000","1,039,060,000","1,434,635,000","1,361,969,000","1,567,970,000","1,807,718,000","1,657,567,000","1,963,000,000","1,533,524,000","1,633,495,000","1,502,360,000","1,236,028,000","956,644,000","900,337,000","771,721,000","553,126,000","449,249,000","632,524,000","322,550,000","398,110,000","363,563,000","689,219,000","505,947,000","566,668,000","340,622,000","580,863,000","197,914,000","287,505,000","245,623,000","425,251,000","155,683,000","211,320,000","206,387,000","102,337,000","50,744,000","115,462,000","273,552,000","182,840,000","125,528,000","117,004,000","229,451,000","161,860,000","124,054,000","24,325,000","35,300,000","96,500,000","63,900,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	ChangesInCash,"-158,500,000","-136,410,000","-960,101,000","665,990,000","272,021,000","-233,478,000","-416,725,000","810,512,000","-193,119,000","220,553,000","-760,985,000","449,092,000","-87,911,000","122,297,000","-380,245,000","660,014,000","47,068,000","-33,164,000","-204,552,000","-233,366,000","254,929,000","317,797,000","-260,246,000","281,861,000","-71,324,000","86,934,000","-582,749,000","524,185,000","-137,349,000","31,257,000","-85,415,000","211,666,000","22,828,000","-838,668,000","417,517,000","-126,369,000","196,240,000","334,345,000","-410,068,000","177,373,000","-107,587,000","133,344,000","-330,646,000","16,273,000","-59,829,000","63,297,000","-152,461,000","-395,575,000","72,666,000","-206,001,000","-239,748,000","150,151,000","-305,433,000","429,476,000","-99,971,000","131,135,000","266,332,000","279,384,000","56,307,000","128,616,000","218,595,000","103,877,000","-183,275,000","309,974,000","-75,560,000","34,547,000","-325,656,000","183,272,000","-60,721,000","226,046,000","-125,212,000","382,949,000","-89,591,000","41,882,000","-179,628,000","269,568,000","-55,637,000","4,933,000","104,050,000","51,593,000","-64,718,000","-158,090,000","90,712,000","57,312,000","8,524,000","-112,447,000","67,591,000","37,806,000","99,729,000","-10,959,000","-61,200,000","32,600,000","-38,100,000","-95,000,000","116,800,000","4,400,000","20,700,000","-39,300,000","-53,200,000","120,400,000","-15,500,000","-43,000,000","62,700,000","-32,600,000","38,600,000","1,000,000","-11,900,000","8,000,000","8,200,000","600,000","-27,000,000","2,000,000","-4,100,000","-15,300,000","23,100,000","5,400,000","-20,000,000","27,200,000","-13,700,000","-14,600,000","-33,000,000","49,100,000","500,000","9,900,000","6,100,000","4,900,000","300,000","-7,300,000","5,300,000","3,600,000","-400,000","-4,100,000","-300,000"
	BeginningCashPosition,"746,401,000","724,311,000","1,684,412,000","1,018,422,000","746,401,000","979,879,000","1,396,604,000","586,092,000","779,211,000","558,658,000","1,319,643,000","837,080,000","924,991,000","802,694,000","1,182,939,000","522,181,000","475,113,000","508,277,000","712,829,000","946,195,000","691,266,000","373,469,000","633,715,000","351,854,000","423,178,000","336,244,000","918,993,000","394,808,000","532,157,000","500,900,000","586,315,000","374,649,000","351,821,000","1,190,489,000","772,972,000","899,341,000","703,101,000","368,756,000","778,824,000","601,451,000","709,038,000","575,694,000","906,340,000","890,067,000","949,896,000","886,599,000","1,039,060,000","1,434,635,000","1,361,969,000","1,567,970,000","1,807,718,000","1,657,567,000","1,963,000,000","1,533,524,000","1,633,495,000","1,502,360,000","1,236,028,000","956,644,000","900,337,000","771,721,000","553,126,000","449,249,000","632,524,000","322,550,000","398,110,000","363,563,000","689,219,000","505,947,000","566,668,000","340,622,000","465,834,000","197,914,000","287,505,000","245,623,000","425,251,000","155,683,000","211,320,000","206,387,000","102,337,000","50,744,000","115,462,000","273,552,000","182,840,000","125,528,000","117,004,000","229,451,000","161,860,000","124,054,000","24,325,000","35,300,000","96,500,000","63,900,000","0","0","80,100,000","0","0","0","147,600,000","0","0","0","22,900,000","0","0","0","27,800,000","0","0","0","38,000,000","0","0","0","32,300,000","0","0","0","33,400,000","0","0","0","31,500,000","0","0","0","10,400,000","0","0","0","9,200,000","0","0"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","102,000,000","95,000,000","-196,900,000","-4,400,000","-20,700,000","39,300,000","-94,400,000","-120,400,000","15,500,000","43,000,000","-85,600,000","32,600,000","-38,600,000","-1,000,000","-15,900,000","-8,000,000","-8,200,000","-600,000","-11,000,000","-2,000,000","4,100,000","15,300,000","-55,400,000","-5,400,000","20,000,000","-27,200,000","-19,700,000","14,600,000","33,000,000","-49,100,000","-32,000,000","-9,900,000","-6,100,000","-4,900,000","-10,700,000","7,300,000","-5,300,000","-3,600,000","-8,800,000","3,600,000","300,000"
CapitalExpenditure,"-76,412,000","-20,665,000","-18,475,000","-21,106,000","-16,166,000","-15,110,000","-14,496,000","-34,563,000","-24,244,000","-23,918,000","-26,839,000","-25,693,000","-16,337,000","-25,365,000","-19,576,000","-6,531,000","-15,200,000","-4,807,000","-1,694,000","-6,471,000","-10,692,000","-5,395,000","-6,314,000","-5,146,000","-15,956,000","-5,731,000","-1,593,000","-2,202,000","-1,361,000","-3,000,000","-2,884,000","-5,574,000","-3,733,000","-2,914,000","-2,853,000","-2,383,000","-3,920,000","-14,873,000","-5,391,000","-7,177,000","-2,571,000","-1,207,000","-3,540,000","-2,626,000","-1,815,000","-831,000","-4,281,000","-3,378,000","-704,000","-472,000","-276,000","-216,000","-294,000",,"-2,483,000","-4,604,000",,"-217,000","-3,791,000","-1,258,000","-1,845,000","-4,847,000","-7,025,000","-8,687,000","-6,832,000","-11,957,000","-14,264,000","-11,374,000","-13,205,000","-9,313,000","-9,137,000","-6,865,000","-5,476,000","-4,238,000","-3,829,000","-6,529,000","-1,885,000","-2,917,000","-4,144,000","-3,528,000","-3,082,000","-4,488,000","-3,072,000","-2,758,000","-5,411,000","-3,455,000","-3,396,000","-2,003,000","-2,653,000","-2,259,000","-2,500,000","-2,200,000","-2,700,000","-13,900,000","-600,000","-900,000","-500,000","-700,000","-700,000","-1,000,000","-700,000","-1,400,000","-2,200,000","-1,400,000","-500,000","-700,000","-1,000,000","-900,000","-700,000","-600,000","-300,000","-600,000","-1,000,000","-400,000","-1,000,000","-500,000","-500,000","-500,000","-300,000","-400,000","-500,000","-300,000","-200,000","-200,000","-200,000",,"-100,000","-100,000","-200,000","-100,000","-200,000","-100,000","-600,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","8,000","0","220,357,000",,,,,,,,,,,,,,,,,,,,,,,"1,676,000","10,413,000","2,481,000","13,895,000","782,000","5,117,000",,,"3,622,000","5,972,000","4,089,000","13,465,000","11,399,000","15,776,000","2,660,000","1,245,000","4,725,000","6,095,000","90,063,000","5,147,000","1,132,000","377,000","465,000","1,172,000","4,923,000","6,437,000","2,023,000","1,578,000","1,651,000","9,680,000","11,321,000","-255,000","770,000","100,000","100,000","0","1,800,000","300,000","1,300,000","300,000","1,100,000","2,200,000","-1,200,000","200,000","3,000,000","1,200,000","100,000","100,000","200,000","3,900,000","1,100,000","1,300,000","0","200,000","100,000","0","0","800,000","200,000","100,000","400,000","600,000","200,000","0","-100,000","1,200,000","300,000","17,600,000",,,,,,,,
