name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
TotalRevenue,"946,966,000","263,927,000","247,889,000","229,774,000","205,376,000","209,359,000","194,716,000","156,633,000","65,220,000","62,027,000","70,018,000","80,020,000","82,507,000","84,635,000","87,627,000","85,010,000","101,533,000","110,827,000","113,721,000","113,581,000","104,175,000","88,841,000","87,136,000","96,324,000","101,687,000","102,685,000","98,949,000","95,191,000","70,824,000","35,396,000","32,478,000","32,541,000","35,592,000","32,501,000","31,574,000","31,765,000","29,773,000","26,534,000","24,830,000","27,795,000","24,420,000","20,683,000","19,296,000","17,639,000","18,094,000","16,908,000","15,865,000","18,523,000","18,176,000","16,137,000","15,203,000","16,200,000","11,176,000","8,771,000","7,755,000"
	OperatingRevenue,"946,966,000","263,927,000","247,889,000","229,774,000","205,376,000","209,359,000","194,716,000","156,633,000","65,220,000","62,027,000","70,018,000","80,020,000","82,507,000","84,635,000","87,627,000","85,010,000","101,533,000","110,827,000","113,721,000","113,581,000","104,175,000","88,841,000","87,136,000","96,324,000","101,687,000","102,685,000","98,949,000","95,191,000","70,824,000","35,396,000","32,478,000","32,541,000","35,592,000","32,501,000","31,574,000","31,765,000","29,773,000","26,534,000","24,830,000","27,795,000","24,420,000","20,683,000","19,296,000","17,639,000","18,094,000","16,908,000","15,865,000","18,523,000","18,176,000","16,137,000","15,203,000","16,200,000","11,176,000","8,771,000","7,755,000"
CostOfRevenue,"408,263,000","109,337,000","106,112,000","99,981,000","92,833,000","97,640,000","111,629,000","90,427,000","32,477,000","31,265,000","33,394,000","38,116,000","38,427,000","39,558,000","41,727,000","41,134,000","45,203,000","48,159,000","61,628,000","61,739,000","53,071,000","35,917,000","36,733,000","40,820,000","38,774,000","41,515,000","43,189,000","44,141,000","43,882,000","13,725,000","12,728,000","12,632,000","13,346,000","12,448,000","12,450,000","11,934,000","12,477,000","9,822,000","9,126,000","10,328,000","9,298,000","8,267,000","7,573,000","6,307,000","6,659,000","6,077,000","5,444,000","5,487,000","5,471,000","5,158,000","4,523,000","5,564,000","3,898,000","3,062,000","2,755,000"
GrossProfit,"538,703,000","154,590,000","141,777,000","129,793,000","112,543,000","111,719,000","83,087,000","66,206,000","32,743,000","30,762,000","36,624,000","41,904,000","44,080,000","45,077,000","45,900,000","43,876,000","56,330,000","62,668,000","52,093,000","51,842,000","51,104,000","52,924,000","50,403,000","55,504,000","62,913,000","61,170,000","55,760,000","51,050,000","26,942,000","21,671,000","19,750,000","19,909,000","22,246,000","20,053,000","19,124,000","19,831,000","17,296,000","16,712,000","15,704,000","17,467,000","15,122,000","12,416,000","11,723,000","11,332,000","11,435,000","10,831,000","10,421,000","13,036,000","12,705,000","10,979,000","10,680,000","10,636,000","7,278,000","5,709,000","5,000,000"
OperatingExpense,"435,211,000","106,463,000","112,440,000","106,007,000","110,301,000","99,635,000","106,742,000","97,501,000","55,454,000","50,321,000","44,391,000","45,094,000","46,631,000","50,990,000","54,875,000","54,010,000","54,712,000","58,238,000","56,959,000","58,307,000","60,353,000","42,491,000","40,755,000","43,540,000","40,542,000","37,362,000","40,600,000","48,948,000","47,613,000","26,225,000","24,282,000","23,098,000","22,580,000","20,856,000","21,793,000","24,529,000","20,077,000","18,914,000","20,109,000","17,022,000","17,619,000","18,867,000","16,028,000","14,489,000","17,119,000","12,698,000","11,497,000","11,418,000","11,116,000","9,606,000","8,773,000","8,265,000","7,074,000","5,599,000","5,803,000"
	SellingGeneralAndAdministration,"154,051,000","40,577,000","39,120,000","38,469,000","35,885,000","36,469,000","36,238,000","41,685,000","27,470,000","24,632,000","20,924,000","21,920,000","22,327,000","23,591,000","25,208,000","24,963,000","24,501,000","27,117,000","26,843,000","29,037,000","31,338,000","18,613,000","16,720,000","17,619,000","16,505,000","13,610,000","17,960,000","25,457,000","23,620,000","10,944,000","9,601,000","8,141,000","8,688,000","7,761,000","7,050,000","9,960,000","7,768,000","7,403,000","7,475,000","6,167,000","6,624,000","6,959,000","5,849,000","5,033,000","4,464,000","4,832,000","4,071,000","4,120,000","4,194,000","3,527,000","3,125,000","2,941,000","2,119,000","1,736,000","1,913,000"
	ResearchAndDevelopment,"281,160,000","65,886,000","73,320,000","67,538,000","74,416,000","63,166,000","70,504,000","55,816,000","27,984,000","25,689,000","23,467,000","23,174,000","24,304,000","27,399,000","29,667,000","29,047,000","30,211,000","31,121,000","30,116,000","29,270,000","29,015,000","23,878,000","24,035,000","25,921,000","24,037,000","23,752,000","22,640,000","23,491,000","23,993,000","15,281,000","14,681,000","14,957,000","13,892,000","13,095,000","14,743,000","14,569,000","12,309,000","11,511,000","12,634,000","10,855,000","10,995,000","11,908,000","10,179,000","9,456,000","12,655,000","7,866,000","7,426,000","7,298,000","6,922,000","6,079,000","5,648,000","5,324,000","4,955,000","3,863,000","3,890,000"
OperatingIncome,"103,492,000","48,127,000","29,337,000","23,786,000","2,242,000","12,084,000","-23,655,000","-31,295,000","-22,711,000","-19,559,000","-7,767,000","-3,190,000","-2,551,000","-5,913,000","-8,975,000","-10,134,000","1,618,000","4,430,000","-4,866,000","-6,465,000","-9,249,000","10,433,000","9,648,000","11,964,000","22,371,000","23,808,000","15,160,000","2,102,000","-20,671,000","-4,554,000","-4,532,000","-3,189,000","-334,000","-803,000","-2,669,000","-4,698,000","-2,781,000","-2,202,000","-4,405,000","445,000","-2,497,000","-6,451,000","-4,305,000","-3,157,000","-5,684,000","-1,867,000","-1,076,000","1,618,000","1,589,000","1,373,000","1,907,000","2,371,000","204,000","110,000","-803,000"
NetNonOperatingInterestIncomeExpense,"-11,030,000","-2,318,000","-2,368,000","-2,621,000","-3,723,000","-4,206,000","-4,598,000","-3,542,000","-2,152,000","-2,251,000","-2,365,000","-2,504,000","-2,661,000","-2,828,000","-3,170,000","-3,456,000","-3,675,000","-3,876,000","-4,030,000","-4,132,000","-2,137,000","195,000","146,000","89,000","167,000","170,000","107,000","47,000","51,000","70,000","39,000","61,000","60,000","61,000","52,000","53,000","58,000","55,000","53,000","63,000","67,000","46,000","-59,000","27,000","76,000","89,000","98,000","100,000","92,000","7,000","12,000","4,000","-9,000","-8,000","8,000"
	InterestIncomeNonOperating,"109,000","31,000","32,000","28,000","18,000","0","126,000","27,000","31,000","225,000","222,000","214,000","192,000","147,000","24,000","17,000","19,000","18,000","14,000","1,000","64,000","195,000","146,000","89,000","167,000","170,000","107,000","47,000","51,000","70,000","54,000","61,000","60,000","61,000","52,000","53,000","58,000","59,000","61,000","74,000","82,000","65,000","-176,000","126,000","78,000","93,000","105,000","106,000","99,000","16,000","24,000","18,000","0","9,000","29,000"
