name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,08/31/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
TotalRevenue,"286,636,000","92,229,000","98,665,000","47,472,000","48,270,000","25,717,000","11,566,000","4,834,000","2,656,000","944,000","4,623,000","3,858,000","1,443,000"
	OperatingRevenue,"286,636,000","92,229,000","98,665,000","47,472,000","48,270,000","25,717,000","11,566,000","4,834,000","2,656,000","944,000","4,623,000","3,858,000","1,443,000"
CostOfRevenue,"115,622,000","31,476,000","37,644,000","22,410,000","24,092,000","16,854,000","10,161,000","3,255,000","2,125,000","3,643,000","6,053,000","3,378,000","1,438,000"
GrossProfit,"171,014,000","60,753,000","61,021,000","25,062,000","24,178,000","8,863,000","1,405,000","1,579,000","531,000","-2,699,000","-1,430,000","480,000","5,000"
OperatingExpense,"20,505,000","6,179,000","8,083,000","3,103,000","3,140,000","2,951,000","8,229,000","15,405,000","587,000","1,448,000","2,898,000","6,226,000","1,014,000"
	SellingGeneralAndAdministration,"18,752,000","5,916,000","7,625,000","2,571,000","2,640,000","2,725,000","3,227,000","15,324,000","567,000","1,412,000","2,861,000","6,159,000","841,000"
		GeneralAndAdministrativeExpense,"18,752,000","5,916,000","7,625,000","2,571,000","2,640,000","2,725,000","3,227,000","15,324,000","567,000","1,412,000","2,861,000","6,159,000","841,000"
			SalariesAndWages,"9,686,000","3,976,000","3,782,000","905,000","1,023,000","966,000","1,268,000","14,508,000","0","0","0","0","0"
			OtherGandA,"9,066,000","1,940,000","3,843,000","1,666,000","1,617,000","1,759,000","1,959,000","816,000","567,000","1,412,000","2,861,000","6,159,000","841,000"
	OtherOperatingExpenses,"1,753,000","263,000","458,000","532,000","500,000","226,000","5,002,000","81,000","20,000","36,000","37,000","67,000","173,000"
OperatingIncome,"150,509,000","54,574,000","52,938,000","21,959,000","21,038,000","5,912,000","-6,824,000","-13,826,000","-56,000","-4,147,000","-4,328,000","-5,746,000","-1,009,000"
NetNonOperatingInterestIncomeExpense,"-7,432,000","-5,002,000","-1,331,000","-947,000","-152,000","-53,000","5,000","1,000","0","0","0","0","0"
	InterestIncomeNonOperating,"250,000","250,000","0","0","0","1,000","5,000","1,000","0","0","0","0","0"
	InterestExpenseNonOperating,"7,038,000","4,608,000","1,331,000","947,000","152,000","54,000",,"0","0","0","0",,
	TotalOtherFinanceCost,,"644,000",,,,,,,,,,,
OtherIncomeExpense,,"-66,394,000","-2,358,000","-10,820,000","-13,723,000",,"-8,000",,,,"-76,503,000",,
	GainOnSaleOfSecurity,,"-66,394,000","-2,318,000","-10,820,000","-13,596,000",,,,,,,,
	OtherNonOperatingIncomeExpenses,,,"-40,000",,"-127,000",,"-8,000",,,,"-76,503,000",,
PretaxIncome,"49,782,000","-16,822,000","49,249,000","10,192,000","7,163,000","5,859,000","-6,827,000","-13,825,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
TaxProvision,"15,477,000","-312,000","12,224,000","2,145,000","1,420,000","1,115,000","-1,914,000","-2,309,000","0","0","0","0","0"
NetIncomeCommonStockholders,"29,753,000","-16,724,000","32,351,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
	NetIncome,"34,305,000","-16,510,000","37,025,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
		NetIncomeIncludingNoncontrollingInterests,"34,305,000","-16,510,000","37,025,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
			NetIncomeContinuousOperations,"34,305,000","-16,510,000","37,025,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
	OtherunderPreferredStockDividend,"4,552,000","214,000",,,,,,,,,,,
AverageDilutionEarnings,"56,000","0",,,,,,,,,,,
DilutedNIAvailtoComStockholders,"29,809,000","-16,724,000","32,409,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
BasicEPS,,"-0.17","0.36","0.07","0.06","0.05","-0.05","-0.13","-0.001","-0","-0.883",,"-0.011"
DilutedEPS,,"-0.17","0.35","0.07","0.06","0.05","-0.05","-0.13","-0.001","-0","-0.883",,"-0.011"
BasicAverageShares,,"95,841,000","94,546,000","92,676,000","92,676,000","92,592,000","91,646,000","91,592,000","91,592,354","91,592,354","91,592,000",,"91,592,000"
DilutedAverageShares,,"95,841,000","97,804,000","92,678,000","92,676,000","95,482,000","91,646,000","91,592,000","91,592,354","91,592,354","91,592,000",,"91,592,000"
TotalOperatingIncomeAsReported,"150,509,000","54,574,000","52,938,000","21,959,000","21,038,000","5,912,000","-6,824,000","-13,826,000","-56,000","-4,147,000","-4,328,000","-5,746,000","-1,009,000"
TotalExpenses,"136,127,000","37,655,000","45,727,000","25,513,000","27,232,000","19,805,000","18,390,000","18,660,000","2,712,000","5,091,000","8,951,000","9,604,000","2,452,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"34,305,000","-16,510,000","37,025,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
NormalizedIncome,"98,479,923.466","48,622,514","38,767,653.658","16,594,800","16,646,992","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
InterestIncome,"250,000","250,000","0","0","0","1,000","5,000","1,000","0","0","0","0","0"
InterestExpense,"7,038,000","4,608,000","1,331,000","947,000","152,000","54,000",,"0","0","0","0",,
NetInterestIncome,"-7,432,000","-5,002,000","-1,331,000","-947,000","-152,000","-53,000","5,000","1,000","0","0","0","0","0"
EBIT,"56,820,000","-12,214,000","50,580,000","11,139,000","7,315,000","5,913,000","-6,824,000","-13,825,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
EBITDA,"126,082,000"
ReconciledCostOfRevenue,"115,622,000","31,476,000","37,644,000","22,410,000","24,092,000","16,854,000","10,161,000","3,255,000","2,125,000","3,643,000","6,053,000","3,378,000","1,438,000"
ReconciledDepreciation,"69,262,000","17,024,000","21,464,000","13,917,000","16,857,000","12,963,000",,"-2,764,000",,"1,735,000","3,356,000","1,612,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"34,305,000","-16,510,000","37,025,000","8,047,000","5,743,000","4,744,000","-4,913,000","-11,516,000","-56,000","-4,147,000","-80,831,000","-5,746,000","-1,009,000"
TotalUnusualItemsExcludingGoodwill,"-93,128,000","-66,394,000","-2,318,000","-10,820,000","-13,596,000",,,,,,,,
TotalUnusualItems,"-93,128,000","-66,394,000","-2,318,000","-10,820,000","-13,596,000",,,,,,,,
NormalizedEBITDA,"219,210,000","71,204,000","74,362,000","35,876,000","37,768,000","18,876,000","-6,824,000","-13,825,000","-56,000","-2,412,000","-77,475,000","-4,134,000","-1,009,000"
