name,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997
TotalAssets,"185,044,000","180,994,000","179,978,000","179,083,000","175,769,000","170,470,000","168,421,517","61,579,127","49,199,903","47,763,068","45,196,697","45,501,674","43,361,098","41,948,226","43,279,016","42,880,139","41,065,699","39,750,135","38,512,468","29,547,914","28,760,687","28,503,494","28,043,030","28,797,899","27,902,581","27,958,081","27,344,226","27,912,458","27,062,615","27,107,597","20,980,844","21,899,136","16,725,538","16,404,985","16,063,181","16,402,643","15,641,700","16,529,816","17,346,869","18,412,213","18,737,702","16,959,682","15,867,338","16,337,433","14,784,644","14,062,965","14,660,445","14,565,780","13,612,760","12,828,432","12,303,006","12,775,004","12,629,985","12,108,321","11,553,303","11,353,876","9,994,294","9,213,859","8,895,423","8,617,985","7,653,169","6,533,746","6,513,461","6,033,907","5,541,606","5,313,389","5,560,860","5,267,287","5,044,214","5,009,622","4,963,929","4,344,931","4,112,724","3,907,865","3,967,563","1,634,727","1,506,466","1,591,465","1,585,991","1,345,424","1,445,720","1,317,427","1,257,259","1,367,989","1,465,921","1,458,911","1,465,840","1,437,692","1,517,821","1,561,835","1,611,254","1,800,000","1,700,000","1,900,000","2,010,858","2,600,000","2,700,000","3,300,000","3,777,725","2,000,000","2,000,000"
	CurrentAssets,"143,626,000","139,906,000","139,313,000","138,698,000","135,553,000","131,232,000","129,091,357","22,183,587","24,675,918","23,093,003","21,165,142","21,258,008","18,904,538","17,401,037","17,823,857","17,326,848","15,334,759","13,986,530","12,667,870","14,934,888","13,989,349","13,611,928","12,928,942","13,588,842","12,514,457","12,364,381","11,532,797","11,823,337","10,731,877","10,686,408","11,533,366","12,385,338","13,293,655","13,136,191","12,971,830","13,441,988","12,759,129","13,784,172","14,670,296","15,777,366","16,158,773","14,586,199","13,274,827","13,771,189","12,403,151","11,774,591","12,389,997","12,335,532","11,447,744","10,749,983","10,265,134","10,782,466","10,634,930","9,341,402","8,850,456","9,395,001","8,128,572","7,471,087","7,190,569","6,492,318","5,327,066","3,983,871","3,895,179","3,040,123","2,385,769","2,205,650","3,273,977","3,294,685","2,870,855","3,047,325","3,099,933","2,431,043","1,721,409","1,890,828","1,940,228","1,192,429","1,103,862","1,217,095","1,209,520","947,136","1,039,033","903,424","793,410","903,472","974,072","807,832","738,421","748,871","794,320","826,173","815,843","800,000","800,000","900,000","951,540","1,100,000","1,500,000","2,100,000","2,812,036","600,000","800,000"
		CashCashEquivalentsAndShortTermInvestments,"124,565,000","124,340,000","123,604,000","119,759,000","117,752,000","118,766,000","116,010,909","7,354,496","12,248,652","12,610,446","11,435,499","10,308,125","9,893,953","9,352,238","9,400,701","7,223,115","6,920,792","7,045,756","6,215,718","8,248,197","7,426,811","8,844,664","8,030,284","7,279,683","7,062,993","7,154,513","8,551,275","6,428,596","6,103,042","5,791,177","8,614,929","7,757,972","9,701,417","10,554,707","10,179,298","10,005,490","9,754,861","11,379,378","12,701,075","12,889,180","13,240,930","12,662,240","10,181,049","9,893,600","8,758,887","8,873,080","9,631,762","8,583,193","8,641,289","7,973,340","7,473,485","7,372,614","7,522,211","6,063,754","5,889,601","5,986,029","5,507,079","4,584,313","4,537,714","3,038,178","3,219,116","2,102,782","1,685,036","1,099,182","1,067,672","931,796","1,754,042","1,348,491","1,009,331","1,048,378","734,266","402,058","57,396","351,067","260,733","103,600","60,094","51,673","36,072","83,046","126,724","51,905","166,652","63,873","18,087","50,530","37,535","113,462","132,741","64,321","52,323",,,"100,000","198,154",,"100,000","700,000","2,156,761",,"200,000"
			CashAndCashEquivalents,"60,373,000","41,680,000","36,984,000","58,811,000","42,385,000","27,651,000","49,207,314","7,354,496","12,248,652","12,610,446","11,435,499","10,308,125","9,893,953","9,352,238","9,400,701","7,223,115","6,920,792","7,045,756","6,215,718","8,248,197","7,426,811","8,844,664","8,030,284","7,279,683","7,062,993","7,154,513","8,551,275","6,428,596","6,103,042","5,791,177","8,614,929","7,757,972","9,701,417","10,554,707","10,179,298","10,005,490","9,754,861","11,379,378","12,701,075","12,889,180","13,240,930","12,662,240","10,181,049","9,893,600","8,758,887","8,873,080","9,631,762","8,583,193","8,641,289","7,973,340","7,473,485","7,372,614","7,522,211","6,063,754","5,889,601","5,986,029","5,507,079","4,584,313","4,537,714","3,038,178","3,219,116","2,102,782","1,685,036","1,099,182","1,067,672","931,796","1,754,042","1,348,491","1,009,331","1,048,378","734,266","402,058","57,396","351,067","260,733","103,600","60,094","51,673","36,072","83,046","126,724","51,905","166,652","63,873","18,087","50,530","37,535","113,462","132,741","64,321","52,323",,,"100,000","198,154",,"100,000","700,000","2,156,761",,"200,000"
			OtherShortTermInvestments,"64,192,000","82,660,000","86,620,000","60,948,000","75,367,000","91,115,000","66,803,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"15,039,000","13,306,000","13,001,000","16,845,000","15,143,000","10,168,000","10,515,313","13,691,524","11,357,529","9,834,350","8,260,217","10,416,111","8,492,073","7,546,736","7,500,124","9,720,078","7,841,003","6,592,066","5,529,807","6,140,743","5,891,739","4,452,557","3,703,648","5,622,470","4,664,639","4,785,375","2,388,832","4,915,260","3,828,221","3,730,462","1,867,072","3,344,013","3,166,317","2,155,485","2,114,528","3,082,595","2,625,461","2,015,087","1,624,653","2,557,106","2,566,017","1,682,980","2,219,288","2,938,100","2,659,454","1,963,816","1,700,941","2,857,774","2,029,962","2,008,566","1,968,469","2,649,333","2,181,850","2,474,455","2,105,074","2,860,769","1,964,747","2,379,574","2,107,672","2,956,456","1,577,349","1,400,252","1,782,766","1,571,312","992,469","814,557","1,097,531","1,392,912","1,507,605","1,390,432","1,705,033","1,516,355","1,379,011","1,281,720","1,422,508","845,164","755,355","878,069","928,237","638,547","670,150","621,182","444,400","587,089","687,265","550,490","542,569","442,763","485,433","553,159","570,346","600,000","500,000","400,000","404,711","400,000","300,000","200,000","432,477","400,000","400,000"
			AccountsReceivable,"15,039,000","11,823,000","9,851,000","12,962,000","11,306,000","7,331,000","7,421,970","10,853,452","7,244,344","6,353,416","5,026,558","7,735,323","6,227,555","5,287,126","5,514,528","7,701,659","6,003,051","5,230,824","4,048,725","5,010,589","4,668,219","3,417,479","3,009,517","4,582,573","3,808,081","4,042,436","1,593,707","3,990,467","3,179,288","2,995,959","1,708,158","3,219,743","2,690,572","1,866,445","1,910,615","2,941,428","2,535,816","1,720,669","1,451,864","2,210,710","2,175,756","1,203,863","1,774,038","2,448,228","2,253,714","1,537,713","1,291,350","2,164,277","1,646,851","1,831,307","1,888,904","2,649,333","2,181,850","2,474,455","2,105,074","2,860,769","1,964,747","2,379,574","2,107,672","2,956,456","1,577,349","1,400,252","1,782,766","1,571,312","992,469","814,557","1,097,531","1,392,912","1,507,605","1,390,432","1,705,033","1,516,355","1,379,011","1,281,720","1,422,508","845,164","755,355","878,069","928,237","638,547","670,150","621,182","444,400","587,089","687,265",,,,,,"570,346",,,,"375,770",,,,"375,051",,
				GrossAccountsReceivable,"15,051,000","11,835,000","9,929,000","13,062,000","11,406,000","7,381,000","7,471,970","10,878,452","7,244,344","6,353,416","5,026,558","7,735,323","6,227,555","5,287,126","5,514,528","7,701,659","6,003,051","5,230,824","4,048,725","5,010,589","4,668,219","3,417,479","3,009,517","4,582,573","3,808,081","4,042,436","1,593,707","3,990,467","3,179,288","2,995,959","1,708,158","3,219,743","2,690,572","1,866,445","1,910,615","2,941,428","2,535,816",,,,,,"2,007,423","2,720,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-12,000","-12,000","-78,000","-100,000","-100,000","-50,000","-50,000","-25,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,"-233,385","-271,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"946,518","340,312",,,"0","2,650","153,896","153,896","259,434","259,434","259,434","259,434","259,434","259,434","259,434","225,510","524,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
