name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
TotalAssets,"9,924,958,000","9,139,688,000","8,487,850,000","7,208,409,000","6,717,960,000","6,932,300,000","7,483,259,000","7,567,408,000","11,130,337,000","13,567,364,000","13,104,821,000","13,208,092,000","12,801,613,000","12,420,327,000","11,781,993,000","10,644,763,000","10,615,212,000","10,954,734,000","11,103,459,000","11,536,816,000","11,900,106,000","12,484,022,000","12,751,389,000","12,827,548,000","12,844,441,000","13,167,323,000","13,384,403,000","13,654,883,000","13,901,755,000","12,354,744,000","12,242,777,000","12,650,861,000","12,792,989,000","12,471,908,000","12,598,554,000","13,196,711,000","13,652,752,000","13,517,550,000","13,735,169,000","12,891,623,000","12,451,724,000","11,750,634,000","11,994,763,000","11,927,054,000","11,436,361,000","8,687,407,000","8,478,004,000","8,684,334,000","8,434,713,000","9,627,209,000","9,999,002,000","9,806,194,000","10,517,718,000","10,641,419,000","10,779,054,000","10,809,469,000","8,551,765,000","8,605,859,000","7,140,092,000","7,122,826,000","6,495,894,000","6,443,967,000","4,714,086,000","3,535,931,000","4,670,848,000","5,846,917,000","6,508,558,000","7,127,508,000","7,084,961,000","6,913,684,000","6,219,075,000","5,476,350,000","5,841,374,000","4,564,930,000","4,272,470,000","4,300,700,000","3,627,560,000","3,603,859,000","3,598,919,000","3,488,408,000","2,764,373,000","2,068,933,000","1,443,315,432","897,882,812","562,672,342","522,490,312","548,196,975","540,664,848","552,184,399","524,400,000","468,300,000","442,500,000","371,400,000","264,700,000","223,600,000"
TotalLiabilitiesNetMinorityInterest,"7,576,003,000","6,596,840,000","5,886,763,000","4,681,872,000","4,175,694,000","4,407,498,000","4,917,603,000","5,046,357,000","8,689,662,000","10,183,412,000","9,701,395,000","9,804,719,000","9,397,082,000","9,004,226,000","8,229,753,000","7,438,150,000","7,379,781,000","7,693,098,000","7,845,808,000","8,262,172,000","8,844,159,000","9,450,120,000","9,717,951,000","9,879,880,000","9,982,795,000","10,200,062,000","10,332,621,000","10,509,214,000","10,693,583,000","9,151,472,000","8,989,033,000","9,375,567,000","9,588,402,000","9,329,657,000","9,525,029,000","10,032,209,000","10,387,204,000","10,206,544,000","10,496,015,000","10,135,822,000","9,686,230,000","9,252,874,000","9,353,539,000","9,171,296,000","8,547,957,000","6,436,960,000","6,187,046,000","6,456,177,000","6,189,654,000","7,458,947,000","7,783,729,000","8,155,612,000","9,058,149,000","9,384,342,000","9,474,952,000","9,410,602,000","7,500,070,000","7,678,596,000","6,374,253,000","6,418,523,000","5,801,239,000","5,765,409,000","4,034,074,000","2,878,950,000","4,007,719,000","5,185,815,000","5,835,080,000","6,405,765,000","6,381,824,000","6,184,850,000","5,530,404,000","4,825,961,000","5,193,561,000","4,079,972,000","3,809,976,000","3,866,356,000","3,255,488,000","3,232,659,000","3,229,039,000","3,137,013,000","2,510,382,000","1,865,309,000","1,292,811,740","756,093,414","486,882,042","452,578,816","478,204,346","475,541,797","487,261,895","456,800,000","399,300,000","373,900,000","300,800,000","193,700,000","151,500,000"
TotalEquityGrossMinorityInterest,"2,348,955,000","2,542,848,000","2,601,087,000","2,526,537,000","2,542,266,000","2,524,802,000","2,565,656,000","2,521,051,000","2,440,675,000","3,383,952,000","3,403,426,000","3,403,373,000","3,404,531,000","3,416,101,000","3,552,240,000","3,206,613,000","3,235,431,000","3,261,636,000","3,257,651,000","3,274,644,000","3,055,947,000","3,033,902,000","3,033,438,000","2,947,668,000","2,861,646,000","2,967,261,000","3,051,782,000","3,145,669,000","3,208,172,000","3,203,272,000","3,253,744,000","3,275,294,000","3,204,587,000","3,142,251,000","3,073,525,000","3,164,502,000","3,265,548,000","3,311,006,000","3,239,154,000","2,755,801,000","2,765,494,000","2,497,760,000","2,641,224,000","2,755,758,000","2,888,404,000","2,250,447,000","2,290,958,000","2,228,157,000","2,245,059,000","2,168,262,000","2,215,273,000","1,650,582,000","1,459,569,000","1,257,077,000","1,304,102,000","1,398,867,000","1,051,695,000","927,263,000","765,839,000","704,303,000","694,655,000","678,558,000","680,012,000","656,981,000","663,129,000","661,102,000","673,478,000","721,743,000","703,137,000","728,834,000","688,671,000","650,389,000","647,813,000","484,958,000","462,494,000","434,344,000","372,072,000","371,200,000","369,880,000","351,395,000","253,991,000","203,624,000","150,503,692","141,789,398","75,790,300","69,911,496","69,992,629","65,123,051","64,922,504","67,600,000","69,000,000","68,600,000","70,600,000","71,000,000","72,100,000"
	StockholdersEquity,"2,348,955,000","2,542,848,000","2,601,087,000","2,526,537,000","2,542,266,000","2,524,802,000","2,565,656,000","2,521,051,000","2,440,675,000","3,383,952,000","3,403,426,000","3,403,373,000","3,404,531,000","3,416,101,000","3,552,240,000","3,206,613,000","3,235,431,000","3,261,636,000","3,257,651,000","3,274,644,000","3,055,947,000","3,033,902,000","3,033,438,000","2,947,668,000","2,861,646,000","2,967,261,000","3,051,782,000","3,145,669,000","3,208,172,000","3,203,272,000","3,253,744,000","3,275,294,000","3,204,587,000","3,142,251,000","3,073,525,000","3,164,502,000","3,265,548,000","3,311,006,000","3,239,154,000","2,755,801,000","2,765,494,000","2,497,760,000","2,641,224,000","2,755,758,000","2,888,404,000","2,250,447,000","2,290,958,000","2,228,157,000","2,245,059,000","2,168,262,000","2,215,273,000","1,650,582,000","1,459,569,000","1,257,077,000","1,304,102,000","1,398,867,000","1,051,695,000","927,263,000","765,839,000","704,303,000","694,655,000","678,558,000","680,012,000","656,981,000","663,129,000","661,102,000","673,478,000","721,743,000","703,137,000","728,834,000","688,671,000","650,389,000","647,813,000","484,958,000","462,494,000","434,344,000","372,072,000","371,200,000","369,880,000","351,395,000","253,991,000","203,624,000","150,503,692","141,789,398","75,790,300","69,911,496","69,992,629","65,123,051","64,922,504","67,600,000","69,000,000","68,600,000","70,600,000","70,900,000","71,900,000"
		CapitalStock,"1,240,000","4,516,000","4,599,000","4,598,000","4,651,000","4,707,000","4,723,000","4,722,000","4,721,000","4,604,000","4,597,000","4,586,000","4,585,000","4,578,000","4,575,000","4,065,000","4,064,000","4,058,000","4,049,000","4,043,000","3,808,000","3,799,000","3,791,000","3,790,000","3,790,000","3,786,000","3,782,000","3,782,000","3,781,000","3,781,000","3,767,000","3,755,000","3,742,000","3,731,000","3,738,000","3,701,000","3,622,000","3,613,000","3,608,000","3,607,000","3,601,000","3,599,000","3,594,000","3,592,000","3,591,000","2,843,000","2,841,000","2,841,000","2,840,000","2,839,000","2,838,000","2,263,000","2,262,000","2,233,000","2,105,000","2,016,000","1,555,000","1,267,000","1,004,000","867,000","846,000","845,000","830,000","830,000","834,000","839,000","859,000","862,000","862,000","858,000","818,000","802,000","750,000","632,000","599,000","541,000","464,000","463,000","462,000","462,000","358,000","283,000","190,348","190,348","86,941","86,928","88,663","88,739","88,992","100,000","100,000",,,,
			PreferredStock,"190,000","190,000","190,000","190,000","190,000","190,000","190,000","190,000","190,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","80,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","20,000","20,000",,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"1,050,000","4,326,000","4,409,000","4,408,000","4,461,000","4,517,000","4,533,000","4,532,000","4,531,000","4,524,000","4,517,000","4,506,000","4,505,000","4,498,000","4,495,000","3,985,000","3,984,000","3,978,000","3,969,000","3,963,000","3,728,000","3,719,000","3,711,000","3,710,000","3,710,000","3,706,000","3,702,000","3,702,000","3,701,000","3,701,000","3,687,000","3,675,000","3,662,000","3,651,000","3,658,000","3,621,000","3,584,000","3,575,000","3,570,000","3,569,000","3,563,000","3,561,000","3,556,000","3,554,000","3,553,000","2,805,000","2,803,000","2,803,000","2,802,000","2,801,000","2,800,000","2,225,000","2,224,000","2,195,000","2,067,000","1,978,000","1,517,000","1,229,000","966,000","829,000","808,000","807,000","792,000","792,000","796,000","801,000","821,000","824,000","824,000","820,000","798,000","782,000","750,000","632,000","599,000","541,000","464,000","463,000","462,000","462,000","358,000","283,000","190,348","190,348","86,941","86,928","88,663","88,739","88,992","100,000","100,000",,,,
		AdditionalPaidInCapital,"3,722,974,000","3,772,238,000","3,807,237,000","3,804,830,000","3,825,606,000","3,848,129,000","3,924,584,000","3,922,399,000","3,906,613,000","3,640,341,000","3,634,140,000","3,625,399,000","3,622,636,000","3,623,275,000","3,620,268,000","3,230,055,000","3,227,550,000","3,227,304,000","3,219,398,000","3,214,701,000","3,030,603,000","3,029,062,000","3,023,033,000","3,021,861,000","3,019,891,000","3,019,956,000","3,017,355,000","3,016,362,000","3,014,594,000","3,013,634,000","3,002,549,000","2,991,927,000","2,981,287,000","2,972,369,000","2,977,190,000","2,949,483,000","2,813,878,000","2,805,724,000","2,804,688,000","2,802,293,000","2,797,475,000","2,795,925,000","2,792,491,000","2,791,092,000","2,789,872,000","2,184,493,000","2,183,163,000","2,182,444,000","2,181,451,000","2,180,605,000","2,179,942,000","1,793,315,000","1,792,751,000","1,775,933,000","1,702,242,000","1,643,614,000","1,338,842,000","1,085,760,000","887,593,000","793,308,000","777,280,000","776,743,000","765,561,000","765,441,000","768,020,000","770,789,000","781,755,000","783,652,000","783,526,000","780,406,000","717,039,000","703,197,000","626,348,000","512,199,000","480,458,000","426,881,000","359,767,000","359,359,000","359,887,000","359,778,000","270,697,000","212,536,000","141,426,031","141,459,589","74,381,228","74,362,801","75,273,042","75,314,151","75,440,184","75,800,000","76,200,000",,,,
		RetainedEarnings,"-1,417,115,000","-1,279,484,000","-1,267,504,000","-1,347,466,000","-1,361,664,000","-1,405,327,000","-1,408,910,000","-1,451,783,000","-1,548,361,000","-631,040,000","-637,161,000","-638,396,000","-637,286,000","-632,040,000","-598,971,000","-592,218,000","-578,913,000","-578,950,000","-596,022,000","-576,482,000","-573,127,000","-572,641,000","-566,917,000","-571,709,000","-572,445,000","-572,332,000","-567,649,000","-569,055,000","-569,031,000","-568,596,000","-570,106,000","-571,421,000","-572,627,000","-571,544,000","-573,065,000","-457,586,000","-444,324,000","-260,308,000","-255,591,000","-256,283,000","-246,433,000","-243,061,000","-214,785,000","-206,898,000","-194,773,000","-191,569,000","-121,261,000","-142,906,000","-121,552,000","-202,189,000","-132,400,000","-141,296,000","-159,182,000","-210,815,000","-163,410,000","-171,698,000","-177,246,000","-89,263,000","-79,272,000","-59,249,000","-60,827,000","-68,637,000","-64,142,000","-65,177,000","-39,392,000","-52,315,000","-11,481,000","-5,325,000","-489,000","-17,330,000","1,328,000","3,442,000","6,141,000","-15,764,000","-15,175,000","-10,050,000","-10,178,000","-12,417,000","-12,506,000","-14,895,000","-15,044,000","-13,704,000","1,607,378","915,393","2,111,176","-440,084","-687,521","-2,554,186","-2,662,322","-2,900,000","-3,200,000","-5,100,000","-5,500,000","-4,300,000","-2,700,000"
		GainsLossesNotAffectingRetainedEarnings,"41,856,000","45,578,000","56,755,000","64,575,000","73,673,000","77,293,000","45,259,000","45,713,000","77,702,000","370,047,000","401,850,000","411,784,000","414,596,000","420,288,000","526,368,000","564,711,000","582,730,000","609,224,000","630,226,000","632,382,000","594,663,000","573,682,000","573,531,000","493,726,000","410,410,000","515,851,000","598,294,000","694,580,000","758,828,000","754,453,000","817,534,000","851,033,000","792,185,000","737,695,000","665,662,000","668,904,000","892,372,000","761,977,000","686,449,000","206,184,000","210,851,000","-58,703,000","59,924,000","167,972,000","289,714,000","254,680,000","226,215,000","185,778,000","182,320,000","187,007,000","164,893,000","-3,700,000","-176,262,000","-310,274,000","-236,835,000","-75,065,000","-111,456,000","-70,501,000","-43,486,000","-30,623,000","-22,644,000","-30,393,000","-22,237,000","-44,113,000","-66,333,000","-58,211,000","-97,655,000","-57,446,000","-80,762,000","-35,100,000","-30,514,000","-57,052,000","14,574,000","-12,109,000","-3,388,000","16,972,000","22,019,000","23,795,000","22,037,000","6,050,000","-2,020,000","4,509,000","7,279,935","-775,932","-789,045","-4,098,149","-4,681,555","-7,725,653","-7,944,350","-5,400,000","-4,100,000",,,,"-1,500,000"
