name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989
OperatingCashFlow,"761,353,000","332,825,000","95,680,000","204,023,000","128,825,000","219,765,000","49,145,000","268,138,000","-41,968,000","248,928,000","48,894,000","293,281,000","145,783,000","146,132,000","102,220,000","206,167,000","43,293,000","210,708,000","182,635,000","166,982,000","58,807,000","129,655,000","102,868,000","155,260,000","49,624,000","130,090,000","35,592,000","241,576,000","61,525,000","54,778,000","111,832,000","74,626,000","27,629,000","72,583,000","73,306,000","133,557,000","11,915,000","-45,172,000","30,776,000","101,768,000","65,545,000","101,910,000","15,029,000","93,669,000","94,434,000","71,237,000","141,827,000","124,919,000","72,601,000","85,186,000","60,372,000","90,334,000","51,414,000","71,809,000","13,327,000","129,267,000","73,063,000","18,717,000","20,686,000","104,171,000","177,197,000","-100,771,000","107,998,000","17,553,000","74,252,000","-252,938,000","28,117,000","53,746,000","58,181,000","-7,608,000","102,462,000","11,647,000","29,495,000","-14,823,000","88,660,000","25,040,000","44,827,000","43,835,000","-3,222,000","11,819,000","151,306,000","112,293,000","-14,725,000","5,091,000","49,990,000","57,280,000","-2,437,000","46,002,000","26,547,000","59,547,000","69,600,000","27,300,000","-45,300,000","85,000,000","9,600,000","27,500,000","41,200,000","37,000,000","5,200,000","31,100,000","-3,400,000","10,900,000","9,600,000","-7,400,000","27,200,000","35,300,000","26,700,000","500,000","39,200,000","19,500,000","5,100,000","19,000,000","13,300,000","9,700,000","6,200,000","-35,400,000","63,900,000","8,300,000","19,300,000","20,200,000","20,100,000","-4,700,000","24,600,000","47,300,000","-14,000,000","-25,400,000","23,700,000","13,000,000","6,800,000","1,900,000","-11,200,000","-7,200,000","22,600,000","-6,900,000"
	CashFlowFromContinuingOperatingActivities,"761,353,000","332,825,000","95,680,000","204,023,000","128,825,000","219,765,000","49,145,000","268,138,000","-41,968,000","248,928,000","48,894,000","293,281,000","145,783,000","146,132,000","102,220,000","206,167,000","43,293,000","210,708,000","182,635,000","166,982,000","58,807,000","129,655,000","102,868,000","155,260,000","49,624,000","130,090,000","35,592,000","241,576,000","61,525,000","54,778,000","111,832,000","74,626,000","27,629,000","72,583,000","73,306,000","133,557,000","11,915,000","-45,172,000","30,776,000","101,768,000","65,545,000","101,910,000","15,029,000","93,669,000","94,434,000","71,237,000","141,827,000","124,919,000","72,601,000","85,186,000","60,372,000","90,334,000","51,414,000","71,809,000","13,327,000","129,267,000","73,063,000","18,717,000","20,686,000","104,171,000","177,197,000","-100,771,000","107,998,000","17,553,000","74,252,000","-252,938,000","28,117,000","53,746,000","58,181,000","-7,608,000","102,462,000","11,647,000","29,495,000","-14,823,000","88,660,000","25,040,000","44,827,000","43,835,000","-3,222,000","11,819,000","151,306,000","112,293,000","-14,725,000","5,091,000","49,990,000","57,280,000","-2,437,000","46,002,000","26,547,000","59,547,000","69,600,000","27,300,000","-45,300,000","85,000,000","9,600,000","27,500,000","41,200,000","37,000,000","5,200,000","31,100,000","-3,400,000","10,900,000","9,600,000","-7,400,000","27,200,000","35,300,000","26,700,000","500,000","39,200,000","19,500,000","5,100,000","19,000,000","13,300,000","9,700,000","6,200,000","-35,400,000","63,900,000","8,300,000","19,300,000","20,200,000","20,100,000","-4,700,000","24,600,000","47,300,000","-14,000,000","-25,400,000","23,700,000","13,000,000","6,800,000","1,900,000","-11,200,000","-7,200,000","22,600,000","-6,900,000"
		NetIncomeFromContinuingOperations,"426,166,000","99,102,000","101,021,000","107,975,000","118,068,000","116,015,000","88,270,000","95,056,000","93,072,000","54,753,000","103,681,000","111,836,000","111,586,000","116,496,000","119,253,000","117,844,000","111,341,000","106,480,000","100,524,000","93,131,000","85,553,000","84,941,000","83,719,000","80,284,000","71,479,000","68,779,000","58,238,000","75,850,000","73,077,000","72,163,000","72,704,000","77,615,000","66,470,000","61,188,000","62,571,000","60,444,000","59,663,000","55,188,000","60,188,000","58,669,000","58,062,000","61,033,000","55,414,000","54,507,000","55,686,000","51,928,000","53,051,000","54,995,000","52,900,000","47,818,000","51,494,000","44,699,000","37,859,000","44,982,000","52,963,000","48,965,000","52,547,000","52,780,000","54,700,000","56,463,000","53,629,000","47,279,000","48,362,000","50,002,000","48,550,000","46,677,000","44,917,000","42,455,000","40,684,000","37,367,000","38,331,000","35,971,000","34,118,000","32,905,000","32,635,000","32,763,000","34,233,000","30,870,000","30,154,000","26,462,000","32,653,000","27,717,000","13,065,000","16,650,000","31,671,000","19,530,000","28,273,000","27,758,000","27,630,000","25,156,000","24,800,000","24,400,000","24,100,000","24,300,000","22,700,000","22,000,000","14,200,000","16,700,000","16,700,000","16,100,000","15,600,000","15,100,000","14,400,000","14,000,000","13,500,000","13,100,000","12,500,000","11,900,000","11,300,000","10,600,000","9,600,000","9,500,000","9,200,000","9,100,000","8,200,000","12,000,000","10,700,000","7,800,000","6,300,000","5,200,000","2,800,000","3,300,000","2,100,000","500,000","-3,000,000","600,000","600,000","-9,900,000","600,000","500,000","500,000","700,000","800,000","700,000"
		OperatingGainsLosses,"-11,383,000","130,000","-9,762,000","-9,000","-1,742,000","-134,000","530,000","133,000","-536,000","-108,592,000","276,000","-977,000","-867,000","-4,437,000","893,000","-635,000","-1,411,000","-3,963,000","-2,628,000","4,205,000","-800,000","-533,000","-3,354,000","260,000","36,000","-15,535,000","-872,000","111,000","-66,000","-1,007,000","-105,000","-109,000","790,000","147,000","-902,000","-51,000","-325,000","3,337,000","-972,000","616,000","745,000","-100,000","437,000","-4,472,000","706,000","1,592,000","1,434,000","1,274,000","1,356,000","1,859,000","2,198,000","1,661,000","-271,000","256,000","410,000","-729,000","-735,000","-850,000","-797,000","-189,000","-473,000","-397,000","-516,000","-23,000","-887,000","-722,000","-1,043,000","-623,000","-1,038,000","-714,000","-4,007,000","1,276,000","1,204,000","-747,000","-2,418,000","1,484,000","-2,375,000","-196,000","845,000","-3,065,000","-48,000","78,000","-310,000","-2,516,000","818,000","-10,000","-392,000","-168,000","-2,113,000","8,000","-900,000","-500,000",,,"-500,000",,,,"-200,000",,,,"0","0","900,000","100,000",,"0","0","-100,000","3,500,000","2,100,000",,,,,"50,600,000","-100,000","200,000","-200,000","0","400,000","0","0",,,"0","0","0","-100,000","0","-200,000","-200,000","-100,000"
			GainLossOnInvestmentSecurities,"-69,000","0","-69,000","0","0","0","0","0","0","-108,989,000","-28,000","-96,000","-169,000","0","43,000","34,000","60,000","19,000","24,000","4,867,000","50,000","0","-109,000","37,000","0","-14,903,000","107,000","52,000","0","-228,000","-3,000","-33,000","-2,000","0","-1,179,000","14,000","-6,000","-5,000","-4,435,000","0","-370,000","491,000","0","-6,409,000","0","-5,000","0","0","-1,000","-5,000","1,309,000","0",,,"133,000","-78,000","56,000","48,000",,,,,"0","0","0","1,000",,,,,,"1,638,000",,,"-1,932,000","1,540,000",,,"0","-118,000",,,,"-886,000","818,000","-10,000","-10,000","-2,000","0","8,000","300,000","-300,000",,,"-700,000",,,,,,,,"0","0","900,000","100,000",,"0","0","-100,000","3,500,000","2,100,000",,,,,"50,600,000","-100,000","0","-200,000","0","400,000","0","0",,,"0","0","0","-100,000","0","-200,000","-200,000","-100,000"
		DepreciationAmortizationDepletion,"69,899,000","17,551,000","17,739,000","17,490,000","17,119,000","16,941,000","16,618,000","16,263,000","15,971,000","15,518,000","14,909,000","13,477,000","12,953,000","12,752,000","12,720,000","12,871,000","12,451,000","12,130,000","11,993,000","11,764,000","11,934,000","12,121,000","12,465,000","11,889,000","11,911,000","11,912,000","11,163,000","10,622,000","10,186,000","9,989,000","10,101,000","10,136,000","9,755,000","9,702,000","9,636,000","9,754,000","9,617,000","9,464,000","9,402,000","9,432,000","9,445,000","9,497,000","9,546,000","9,582,000","9,309,000","9,191,000","9,659,000","9,674,000","9,285,000","8,970,000","9,360,000","9,235,000","9,047,000","8,817,000","8,917,000","8,172,000","8,356,000","8,122,000","8,326,000","9,604,000","6,103,000","7,324,000","8,212,000","5,458,000","5,465,000","6,034,000","6,549,000","6,610,000","6,636,000","6,548,000","6,750,000","5,465,000","6,725,000","6,919,000","6,973,000","7,556,000","6,682,000","6,540,000","6,527,000","9,200,000","7,679,000","8,088,000","9,838,000","9,528,000","11,557,000","7,407,000","9,247,000","8,611,000","9,584,000","8,065,000","9,500,000","9,500,000","9,200,000","9,200,000","5,000,000","6,500,000","9,600,000","8,000,000","-5,800,000","6,900,000","6,700,000","6,100,000","6,300,000","15,600,000","1,700,000","1,700,000","19,900,000","300,000","300,000","500,000","800,000","800,000","2,500,000","1,500,000","17,300,000","-12,700,000","3,800,000","2,800,000","2,300,000","2,200,000","2,200,000","2,100,000","1,900,000","1,900,000","1,800,000","1,900,000","2,200,000","2,200,000","2,000,000","1,800,000","2,100,000","1,600,000","1,600,000","1,700,000"
			DepreciationAndAmortization,"69,899,000","17,551,000","17,739,000","17,490,000","17,119,000","16,941,000","16,618,000","16,263,000","15,971,000","15,518,000","14,909,000","13,477,000","12,953,000","12,752,000","12,720,000","12,871,000","12,451,000","12,130,000","11,993,000","11,764,000","11,934,000","12,121,000","12,465,000","11,889,000","11,911,000","11,912,000","11,163,000","10,622,000","10,186,000","9,989,000","10,101,000","10,136,000","9,755,000","9,702,000","9,636,000","9,754,000","9,617,000","9,464,000","9,402,000","9,432,000","9,445,000","9,497,000","9,546,000","9,582,000","9,309,000","9,191,000","9,659,000","9,674,000","9,285,000","8,970,000","9,360,000","9,235,000","9,047,000","8,817,000","8,917,000","8,172,000","8,356,000","8,122,000","8,326,000","9,604,000","6,103,000","7,324,000","8,212,000","5,458,000","5,465,000","6,034,000","6,549,000","6,610,000","6,636,000","6,548,000","6,750,000","5,465,000","6,725,000","6,919,000","6,973,000","7,556,000","6,682,000","6,540,000","6,527,000","9,200,000","7,679,000","8,088,000","9,838,000","9,528,000","11,557,000","7,407,000","9,247,000","8,611,000","9,584,000","8,065,000","9,500,000","9,500,000","9,200,000","9,200,000","5,000,000","6,500,000","9,600,000","8,000,000","-5,800,000","6,900,000","6,700,000","6,100,000","6,300,000","15,600,000","1,700,000","1,700,000","19,900,000","300,000","300,000","500,000","800,000","800,000","2,500,000","1,500,000","17,300,000","-12,700,000","3,800,000","2,800,000","2,300,000","2,200,000","2,200,000","2,100,000","1,900,000","1,900,000","1,800,000","1,900,000","2,200,000","2,200,000","2,000,000","1,800,000","2,100,000","1,600,000","1,600,000","1,700,000"
		DeferredTax,"3,180,000","-432,000","3,112,000","-516,000","1,016,000","4,172,000","-7,029,000","43,130,000","-25,844,000","-26,089,000","9,239,000","-950,000","369,000","-1,044,000","13,725,000","16,312,000","12,475,000","10,411,000","-4,988,000","-5,332,000","128,000","-4,301,000","31,000","-1,996,000","-5,238,000","-4,395,000","-6,825,000","-4,830,000","-3,656,000","-3,748,000","3,194,000","-2,784,000","-2,607,000","-1,933,000","3,008,000","2,010,000","379,000","-2,118,000","-1,385,000","-1,043,000","-1,438,000","-2,539,000","8,287,000","-382,000","360,000","-204,000","5,522,000","528,000","-1,013,000","-393,000","-3,362,000","-1,290,000","-3,021,000","-2,181,000","16,780,000","-6,307,000","773,000","175,000","626,000","252,000","719,000","-740,000","513,000","-47,000","-195,000","-1,537,000","-672,000","2,715,000","-1,044,000","-444,000","4,595,000","1,116,000","-315,000","-77,000","-723,000","-740,000","-2,990,000","675,000","-1,943,000","-2,379,000","-3,028,000","-467,000","-2,767,000","-3,773,000","-303,000","-662,000","581,000","322,000","-1,396,000","-1,292,000","-800,000","-1,800,000","-2,200,000","-1,300,000","-1,800,000","-1,700,000","-900,000","-1,200,000","-2,900,000","-1,600,000","-900,000","-1,000,000","-200,000","-1,600,000","-1,900,000","-300,000","-400,000",,,"200,000","0","1,000,000",,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"3,180,000","-432,000","3,112,000","-516,000","1,016,000","4,172,000","-7,029,000","43,130,000","-25,844,000","-26,089,000","9,239,000","-950,000","369,000","-1,044,000","13,725,000","16,312,000","12,475,000","10,411,000","-4,988,000","-5,332,000","128,000","-4,301,000","31,000","-1,996,000","-5,238,000","-4,395,000","-6,825,000","-4,830,000","-3,656,000","-3,748,000","3,194,000","-2,784,000","-2,607,000","-1,933,000","3,008,000","2,010,000","379,000","-2,118,000","-1,385,000","-1,043,000","-1,438,000","-2,539,000","8,287,000","-382,000","360,000","-204,000","5,522,000","528,000","-1,013,000","-393,000","-3,362,000","-1,290,000","-3,021,000","-2,181,000","16,780,000","-6,307,000","773,000","175,000","626,000","252,000","719,000","-740,000","513,000","-47,000","-195,000","-1,537,000","-672,000","2,715,000","-1,044,000","-444,000","4,595,000","1,116,000","-315,000","-77,000","-723,000","-740,000","-2,990,000","675,000","-1,943,000","-2,379,000","-3,028,000","-467,000","-2,767,000","-3,773,000","-303,000","-662,000","581,000","322,000","-1,396,000","-1,292,000","-800,000","-1,800,000","-2,200,000","-1,300,000","-1,800,000","-1,700,000","-900,000","-1,200,000","-2,900,000","-1,600,000","-900,000","-1,000,000","-200,000","-1,600,000","-1,900,000","-300,000","-400,000",,,"200,000","0","1,000,000",,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,"28,237,000","28,030,000","28,696,000","26,780,000","24,812,000","24,676,000","24,260,000","23,478,000","22,803,000","22,014,000","21,638,000","20,634,000","20,265,000","19,081,000","19,725,000","19,439,000","18,835,000","18,203,000","17,308,000","17,303,000","15,606,000","14,549,000","13,810,000","11,867,000","11,930,000","9,414,000","8,710,000","6,749,000","5,730,000","4,683,000","4,539,000","3,851,000","2,685,000","2,537,000","2,368,000","2,091,000","1,800,000","1,677,000","2,497,000","1,279,000","821,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
