name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
OperatingCashFlow,"-442,426,000","-152,442,000","-142,170,000","-69,368,000","-78,446,000","108,651,000","-9,940,000","-55,481,000","-63,957,000","-46,375,000","-43,466,000","-55,210,000","-21,277,000","-36,980,000","-21,413,000","-34,959,000","-27,443,000","-25,551,000","2,035,000","-42,473,000","-34,786,000","-25,393,000","-36,984,000","-6,408,000","-15,232,000","-23,743,000","-32,915,000","-19,426,000","-29,515,000","-3,276,000","-20,601,000","-28,280,000","-25,874,000","-9,953,000","-36,435,000","-24,156,000","-20,978,000","-24,290,000","-31,179,000","-28,083,000","-29,754,000","-61,856,000","-26,728,000","-17,924,000","-28,273,000","-19,571,000","-21,763,000","-14,229,000","-13,408,000","-15,177,000","-7,439,000","-9,896,000","-15,621,000","-12,762,000"
	CashFlowFromContinuingOperatingActivities,"-442,426,000","-152,442,000","-142,170,000","-69,368,000","-78,446,000","108,651,000","-9,940,000","-55,481,000","-63,957,000","-46,375,000","-43,466,000","-55,210,000","-21,277,000","-36,980,000","-21,413,000","-34,959,000","-27,443,000","-25,551,000","2,035,000","-42,473,000","-34,786,000","-25,393,000","-36,984,000","-6,408,000","-15,232,000","-23,743,000","-32,915,000","-19,426,000","-29,515,000","-3,276,000","-20,601,000","-28,280,000","-25,874,000","-9,953,000","-36,435,000","-24,156,000","-20,978,000","-24,290,000","-31,179,000","-28,083,000","-29,754,000","-61,856,000","-26,728,000","-17,924,000","-28,273,000","-19,571,000","-21,763,000","-14,229,000","-13,408,000","-15,177,000","-7,439,000","-9,896,000","-15,621,000","-12,762,000"
		NetIncomeFromContinuingOperations,"-91,974,000","-110,233,000","36,773,000","-33,961,000","15,447,000","-290,051,000","-109,261,000","-21,454,000","-108,315,000","-87,844,000","-78,874,000","-59,562,000","-38,088,000","-66,243,000","-71,951,000","-68,321,000","1,533,000","-91,496,000","-1,717,000","-33,861,000","620,000","-37,371,000","-48,755,000","-19,705,000","-13,566,000","-15,308,000","-41,940,000","-76,688,000","-47,162,000","-52,262,000","57,993,000","-36,672,000","-35,510,000","16,356,000","-139,450,000","-24,228,000","-38,914,000","-32,315,000","-43,614,000","-20,388,000","-47,135,000","-94,896,000","-59,632,000","-43,914,000","-42,818,000","-33,147,000","-25,656,000","-20,608,000","-20,191,000","-16,335,000","-20,236,000","-19,786,000","-12,385,000","-12,393,000"
		OperatingGainsLosses,"-20,713,000","493,000","-11,689,000","-4,071,000","-5,446,000","50,074,000","7,020,000","717,000","33,871,000","24,381,000","31,124,000","3,850,000","10,370,000","1,932,000","-2,111,000","24,851,000","-27,663,000","64,876,000","28,598,000","2,530,000","-31,900,000","-2,785,000","2,064,000","1,568,000","-20,620,000","-20,382,000","-29,270,000","28,354,000","-28,138,000","18,246,000","-93,728,000","6,854,000","4,358,000","-47,937,000","110,030,000","-4,457,000","179,000","-936,000","-1,602,000","27,000","179,000","2,000",,,,,"205,000","-3,000","0","-1,000",,,,
			GainLossOnSaleOfPPE,,,,,,,"19,000","0","4,000","38,000","90,000","126,000","-5,000","1,000","-2,000","1,000","-93,000","1,035,000","105,000","198,000","-106,000","-55,000","-25,000","-14,000","-85,000","-37,000","33,000","20,000","75,000","26,000","-648,000","854,000","24,000","33,000","95,000","119,000","-108,000","70,000","162,000","27,000","179,000","2,000",,,,,,,"0","0",,,"0","0"
			NetForeignCurrencyExchangeGainLoss,"1,794,000","1,519,000","577,000","208,000","-510,000","408,000","464,000","-256,000","-218,000","-109,000","339,000","-325,000","72,000","-108,000","-2,257,000","-237,000","28,000","243,000","-1,025,000","-268,000","358,000","-295,000",,"579,000","-34,000","1,117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-26,013,000","-1,815,000","-14,279,000","-4,778,000","-5,141,000","22,745,000","4,864,000","-1,999,000","11,779,000","-3,282,000","-5,214,000","1,328,000","4,428,000","2,039,000","-22,488,000","26,830,000","-26,222,000","63,913,000","36,796,000","3,061,000","-35,776,000","-2,339,000","471,000","786,000","-20,934,000","-21,678,000","-26,555,000","21,690,000","-28,834,000","17,412,000","-95,990,000","6,000,000","3,252,000","-57,400,000","90,021,000","-4,576,000","287,000","-1,006,000",,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"1,473,000","789,000","-275,000","-181,000","1,140,000","-392,000","1,673,000","366,000","277,000","415,000",,,,,,"-1,743,000","-1,402,000","-315,000",,,,,,,"0","0","2,095,000","660,000","621,000","808,000",,,,,,,,,,,,,,,"0","0","0","-3,000","0","-1,000","0","0","0","0"
		DepreciationAmortizationDepletion,"13,876,000","4,046,000","3,233,000","3,471,000","3,126,000","2,864,000","3,283,000","3,392,000","3,064,000","2,387,000","4,250,000","5,360,000","3,894,000","3,674,000","964,000","1,013,000","1,383,000","1,561,000","3,234,000","2,574,000","2,835,000","2,715,000","2,813,000","2,841,000","2,851,000","2,869,000","2,989,000","3,091,000","3,350,000","3,490,000","3,635,000","3,795,000","3,739,000","3,800,000","4,380,000","3,768,000","4,101,000","4,390,000","3,884,000","3,179,000","3,820,000","3,687,000","3,349,000","2,897,000","2,726,000","2,105,000","1,980,000","1,879,000","1,796,000","1,625,000","1,490,000","1,438,000","1,448,000","1,399,000"
			DepreciationAndAmortization,"13,876,000","4,046,000","3,233,000","3,471,000","3,126,000","2,864,000","3,283,000","3,392,000","3,064,000","2,387,000","4,250,000","5,360,000","3,894,000","3,674,000","964,000","1,013,000","1,383,000","1,561,000","3,234,000","2,574,000","2,835,000","2,715,000","2,813,000","2,841,000","2,851,000","2,869,000","2,989,000","3,091,000","3,350,000","3,490,000","3,635,000","3,795,000","3,739,000","3,800,000","4,380,000","3,768,000","4,101,000","4,390,000","3,884,000","3,179,000","3,820,000","3,687,000","3,349,000","2,897,000","2,726,000","2,105,000","1,980,000","1,879,000","1,796,000","1,625,000","1,490,000","1,438,000","1,448,000","1,399,000"
