name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
TotalAssets,"4,567,328,000","4,262,153,000","3,985,493,000","3,834,549,000","3,738,881,000","3,687,280,000","3,786,230,000","4,001,133,000","4,333,671,000","4,069,676,000","3,936,639,000","3,751,451,000","3,583,298,000","3,455,518,000","3,154,202,000","2,555,847,000","2,275,705,000","2,145,690,000","1,848,537,000","1,777,076,000","1,686,393,000","1,464,665,000","1,177,693,000","1,086,088,000","1,164,152,000","1,140,861,000","1,280,522,000","1,560,297,000","1,687,426,000","1,436,291,000","1,277,403,000","1,133,441,000","1,021,731,000","890,330,000","795,820,000","734,711,000","650,322,000","632,029,000","588,836,000","537,689,000","497,433,232","439,468,516","383,243,569","364,718,463","336,196,609","346,381,757"
	CurrentAssets,"536,263,000","371,305,000","396,628,000","333,628,000","256,864,000","261,629,000","237,224,000","227,283,000","356,635,000","278,492,000","269,316,000","273,384,000","229,954,000","305,685,000","225,432,000","320,937,000","206,978,000","257,170,000","150,345,000","246,787,000","309,976,000","279,182,000","81,020,000","94,629,000","173,086,000","127,007,000","126,540,000","145,004,000","105,193,000","113,323,000","59,055,000","67,344,000","58,978,000","42,172,000","43,691,000","38,810,000","37,268,000","38,197,000","35,180,000","44,582,000","38,676,948","36,276,082","32,177,204","33,282,753","35,098,865","42,501,291"
		CashCashEquivalentsAndShortTermInvestments,"63,001,000","48,135,000","73,128,000","44,632,000","17,924,000","57,916,000","41,813,000","20,573,000","27,063,000","40,024,000","15,709,000","59,950,000","20,758,000","64,545,000","45,942,000","122,450,000","27,030,000","96,505,000","20,178,000","131,466,000","209,705,000","212,884,000","20,566,000","40,873,000","118,329,000","16,732,000","13,887,000","53,623,000","6,061,000","8,407,000","7,723,000","14,635,000","14,340,000","6,287,000","6,370,000","5,166,000","4,793,000","2,325,000","4,444,000","9,698,000","3,100,853","11,619,180","9,853,289","12,007,394","16,540,180","23,408,832"
			CashAndCashEquivalents,"63,001,000","48,135,000","73,128,000","44,632,000","17,924,000","57,916,000","41,813,000","20,573,000","27,063,000","40,024,000","15,709,000","59,950,000","20,758,000","64,545,000","45,942,000","122,450,000","27,030,000","96,505,000","20,178,000","131,466,000","209,705,000","212,884,000","20,566,000","40,873,000","118,329,000","16,732,000","13,887,000","53,623,000","6,061,000","8,407,000","7,723,000","14,635,000","14,340,000","6,287,000","6,330,000","5,105,000","4,652,000","2,095,000","4,178,000","9,432,000","2,373,853","10,284,180","9,853,289","9,923,081","14,460,867","21,059,519"
				CashFinancial,"63,001,000","48,135,000","73,128,000","44,632,000","17,924,000","57,916,000","41,813,000","20,573,000","27,063,000","40,024,000","15,709,000","59,950,000","20,758,000","64,545,000","45,942,000","122,450,000","27,030,000","96,505,000","20,178,000","131,466,000","209,705,000","212,884,000","20,566,000","40,873,000","118,329,000","16,732,000","13,887,000","53,623,000","6,061,000","8,407,000","7,723,000","14,635,000","14,340,000","6,287,000","6,330,000","5,105,000","4,652,000","2,095,000",,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,853,289",,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","40,000","61,000","141,000","230,000","266,000","266,000","727,000","1,335,000","0","2,084,313","2,079,313","2,349,313"
		Receivables,"367,644,000","241,416,000","248,354,000","216,033,000","176,814,000","137,133,000","138,079,000","143,514,000","153,789,000","189,413,000","185,194,000","147,179,000","150,675,000","146,151,000","146,872,000","150,538,000","137,951,000","141,218,000","109,012,000","84,311,000","75,445,000","58,668,000","52,192,000","47,160,000","37,103,000","44,409,000","46,530,000","60,689,000","46,387,000","44,992,000","44,279,000","45,012,000","38,615,000","31,674,000","30,399,000","27,751,000","27,762,000","29,514,000","21,889,000","15,932,000","20,527,122","13,171,505","14,059,493","15,219,967","12,979,457","11,648,493"
			AccountsReceivable,"269,499,000","164,242,000","175,265,000","154,077,000","121,825,000","85,098,000","67,609,000","57,854,000","52,879,000","95,228,000","86,333,000","66,921,000","74,699,000","68,161,000","81,422,000","74,771,000","68,655,000","65,962,000","49,885,000","39,621,000","40,423,000","34,154,000","27,739,000","25,382,000","14,748,000","16,616,000","23,743,000","34,250,000","26,349,000","28,976,000","33,440,000","33,493,000","31,793,000","25,823,000","26,722,000","25,193,000","22,232,000","24,422,000","21,889,000","15,932,000","20,527,122","13,171,505","10,851,391","15,219,967","12,979,457","11,648,493"
			DuefromRelatedPartiesCurrent,,,,,,"34,823,000","52,314,000","64,037,000","70,318,000","67,546,000","74,880,000","61,872,000","56,632,000","61,831,000","55,390,000","71,041,000","62,294,000","67,225,000","53,721,000","37,387,000","27,945,000","19,347,000","18,796,000","16,641,000","16,807,000","16,999,000","13,361,000","19,830,000","12,924,000","6,925,000","9,322,000","9,925,000","5,554,000","4,785,000","2,600,000","1,792,000","4,862,000","4,118,000",,,,,,,,
			OtherReceivables,"98,145,000","77,174,000","73,089,000","61,956,000","54,989,000","52,035,000","70,470,000","85,660,000","100,910,000","94,185,000","98,861,000","80,258,000","75,976,000","77,990,000","65,450,000","75,767,000","69,296,000","75,256,000","59,127,000","44,690,000","35,022,000","24,514,000","24,453,000","21,778,000","22,355,000","27,793,000","22,787,000","26,439,000","20,038,000","16,016,000","10,839,000","11,519,000","6,822,000","5,851,000","3,677,000","2,558,000","5,530,000","5,092,000",,,,,"3,208,102",,,
		Inventory,"12,456,000","12,188,000","12,137,000","11,657,000","11,045,000","10,584,000","11,813,000","11,940,000","11,638,000","10,744,000","14,678,000","20,281,000","18,779,000","17,564,000","18,758,000","12,557,000","8,803,000","5,993,000","4,801,000","2,957,000","2,929,000","3,045,000","3,182,000","3,002,000","1,928,000","2,022,000","2,106,000","2,021,000","1,718,000","1,212,000","1,278,000","954,000","923,000","785,000","687,000","597,000","966,000","877,000","1,478,000","1,381,000","1,343,416","1,343,416","1,737,393","1,737,393","1,736,609","1,423,197"
		PrepaidAssets,"35,816,000","28,810,000","25,189,000","20,559,000","16,677,000","15,802,000","13,820,000","15,017,000","13,234,000","13,207,000","13,157,000","12,891,000","8,993,000","8,057,000","6,790,000","8,454,000","6,961,000","6,287,000","5,550,000","5,946,000","5,578,000","3,327,000","3,277,000","3,017,000","3,250,000","3,203,000","2,989,000","3,803,000","3,025,000","2,554,000","1,846,000","2,427,000","2,195,000","1,771,000","3,250,000","1,318,000","1,597,000","1,103,000","974,000","1,538,000","1,697,292","1,153,214","1,636,401","1,509,973","1,366,323","1,876,358"
		RestrictedCash,"57,156,000","38,785,000","34,663,000","34,576,000","30,333,000","33,467,000","26,090,000","22,935,000","29,732,000","25,104,000","25,097,000","24,812,000","25,954,000","19,439,000","7,066,000","21,063,000","25,753,000","5,977,000","10,744,000","15,040,000","14,604,000","1,258,000","1,803,000","460,000","510,000","44,357,000","450,000","1,022,000","991,000","609,000",,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","4,294,000","2,806,000","1,636,000","1,948,000",,"1,008,000",,,,,,,,,
