name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalAssets,"9,703,000,000","9,743,000,000","9,794,000,000","10,266,000,000","10,434,000,000","10,587,000,000","10,853,000,000","11,059,000,000","11,277,000,000","11,290,000,000","11,620,000,000","9,431,000,000","9,394,000,000","9,363,000,000","9,355,000,000","9,451,000,000","9,336,000,000","9,714,000,000","9,803,000,000","9,817,000,000","9,840,000,000","9,834,000,000","9,969,000,000","9,879,000,000","9,838,000,000","9,787,000,000"
	CurrentAssets,"881,000,000","894,000,000","938,000,000","1,119,000,000","973,000,000","1,046,000,000","1,248,000,000","1,383,000,000","1,528,000,000","720,000,000","633,000,000","754,000,000","538,000,000","660,000,000","653,000,000","664,000,000","472,000,000","589,000,000","583,000,000","565,000,000","567,000,000","538,000,000","624,000,000","486,000,000","392,000,000","319,000,000"
		CashCashEquivalentsAndShortTermInvestments,"639,000,000","688,000,000","772,000,000","909,000,000","868,000,000","951,000,000","1,134,000,000","1,274,000,000","1,304,000,000","346,000,000","321,000,000","310,000,000","276,000,000","410,000,000","399,000,000","421,000,000","172,000,000","364,000,000","357,000,000","306,000,000","318,000,000","293,000,000","346,000,000","198,000,000","116,000,000","72,000,000"
			CashAndCashEquivalents,"639,000,000","688,000,000","772,000,000","909,000,000","868,000,000","951,000,000","1,134,000,000","1,274,000,000","1,304,000,000","346,000,000","321,000,000","310,000,000","276,000,000","410,000,000","399,000,000","421,000,000","172,000,000","364,000,000","357,000,000","306,000,000","318,000,000","293,000,000","346,000,000","198,000,000","116,000,000","72,000,000"
		Receivables,"106,000,000","96,000,000","62,000,000","63,000,000","38,000,000","26,000,000","36,000,000","31,000,000","113,000,000","180,000,000","193,000,000","186,000,000","172,000,000","153,000,000","176,000,000","180,000,000","138,000,000","125,000,000","158,000,000","188,000,000","180,000,000","130,000,000","156,000,000","155,000,000","133,000,000","122,000,000"
			AccountsReceivable,"106,000,000","96,000,000","62,000,000","63,000,000","38,000,000","26,000,000","36,000,000","31,000,000","113,000,000","180,000,000","193,000,000","186,000,000","172,000,000","153,000,000","176,000,000","180,000,000","138,000,000","125,000,000","158,000,000","188,000,000","180,000,000","130,000,000","156,000,000","155,000,000","133,000,000","122,000,000"
				GrossAccountsReceivable,"108,000,000","98,000,000","64,000,000","65,000,000","40,000,000","29,000,000","40,000,000","38,000,000","115,000,000","182,000,000","194,000,000","187,000,000",,,"177,000,000","181,000,000","139,000,000","126,000,000",,"190,000,000","183,000,000","132,000,000","157,000,000","156,000,000","134,000,000","124,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,000,000","-2,000,000","-2,000,000","-2,000,000","-2,000,000","-3,000,000","-4,000,000","-7,000,000","-2,000,000","-2,000,000","-1,000,000","-1,000,000",,,"-1,000,000","-1,000,000","-1,000,000","-1,000,000",,"-2,000,000","-3,000,000","-2,000,000","-1,000,000","-1,000,000","-1,000,000","-2,000,000"
		PrepaidAssets,"58,000,000","35,000,000","34,000,000","35,000,000","35,000,000","39,000,000","43,000,000","43,000,000","73,000,000","83,000,000","76,000,000","88,000,000","76,000,000","82,000,000","62,000,000","46,000,000","54,000,000","48,000,000","48,000,000","53,000,000","51,000,000","58,000,000","43,000,000","43,000,000","51,000,000","53,000,000"
		RestrictedCash,"78,000,000","75,000,000","70,000,000","35,000,000","32,000,000","30,000,000","35,000,000","35,000,000","38,000,000","40,000,000","43,000,000","170,000,000","14,000,000","15,000,000","16,000,000","17,000,000","108,000,000","15,000,000","20,000,000","18,000,000","18,000,000","57,000,000","79,000,000","90,000,000","92,000,000","72,000,000"
		AssetsHeldForSaleCurrent,,,,"77,000,000",,"0","0","0","0","71,000,000",,,,"0","0",,,"37,000,000",,,,,,,,"0"
	TotalNonCurrentAssets,"8,822,000,000","8,849,000,000","8,856,000,000","9,147,000,000","9,461,000,000","9,541,000,000","9,605,000,000","9,676,000,000","9,749,000,000","10,570,000,000","10,987,000,000","8,677,000,000","8,856,000,000","8,703,000,000","8,702,000,000","8,787,000,000","8,864,000,000","9,125,000,000","9,220,000,000","9,252,000,000","9,273,000,000","9,296,000,000","9,345,000,000","9,393,000,000","9,446,000,000","9,468,000,000"
		NetPPE,"8,697,000,000","8,721,000,000","8,764,000,000","9,040,000,000","9,350,000,000","9,422,000,000","9,490,000,000","9,562,000,000","9,627,000,000","9,842,000,000","10,253,000,000","7,971,000,000","8,156,000,000","7,975,000,000","7,974,000,000","7,999,000,000","8,051,000,000","8,311,000,000","8,464,000,000","8,495,000,000","8,516,000,000","8,541,000,000","8,573,000,000","8,612,000,000","8,662,000,000","8,676,000,000"
			GrossPPE,"11,279,000,000","11,236,000,000","11,211,000,000","11,449,000,000","11,704,000,000","11,703,000,000","11,700,000,000","11,752,000,000","11,742,000,000","11,931,000,000","12,400,000,000","10,062,000,000","10,255,000,000","10,033,000,000","10,134,000,000","10,094,000,000","10,082,000,000","10,358,000,000","10,555,000,000","10,512,000,000","10,459,000,000","10,413,000,000","10,449,000,000","10,438,000,000","10,424,000,000","10,353,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"3,336,000,000","3,333,000,000","3,333,000,000","3,381,000,000","3,429,000,000","3,429,000,000","3,429,000,000","3,429,000,000","3,426,000,000","3,512,000,000","3,594,000,000","3,314,000,000","3,340,000,000","3,344,000,000","3,333,000,000","3,335,000,000","3,337,000,000","3,364,000,000","3,398,000,000","3,398,000,000","3,398,000,000","3,397,000,000","3,398,000,000","3,398,000,000","3,421,000,000","3,419,000,000"
				BuildingsAndImprovements,"6,616,000,000","6,606,000,000","6,600,000,000","6,775,000,000","6,960,000,000","6,951,000,000","6,949,000,000","6,944,000,000","6,911,000,000","6,978,000,000","7,300,000,000","5,520,000,000","5,615,000,000","5,616,000,000","5,705,000,000","5,672,000,000","5,668,000,000","5,911,000,000","6,093,000,000","6,044,000,000","6,022,000,000","6,015,000,000","5,999,000,000","6,002,000,000","6,011,000,000","6,000,000,000"
				MachineryFurnitureEquipment,"1,013,000,000","1,005,000,000","1,000,000,000","1,025,000,000","1,046,000,000","1,042,000,000","1,041,000,000","1,092,000,000","1,062,000,000","1,059,000,000","1,133,000,000","955,000,000","941,000,000","949,000,000","971,000,000","937,000,000","918,000,000","966,000,000","992,000,000","949,000,000","924,000,000","922,000,000","959,000,000","919,000,000","885,000,000","876,000,000"
