name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalRevenue,"300,937,000","81,551,000","75,346,000","73,944,000","70,096,000","66,718,000","64,641,000","60,317,000","61,123,000","57,449,000","53,857,000"
	OperatingRevenue,"300,937,000","81,551,000","75,346,000","73,944,000","70,096,000","66,718,000","64,641,000","60,317,000","61,123,000","57,449,000","53,857,000"
CostOfRevenue,"118,389,000","32,789,000","29,289,000","28,769,000","27,542,000","26,016,000","34,905,000","23,030,000","20,647,000","22,183,000","21,953,000"
GrossProfit,"182,548,000","48,762,000","46,057,000","45,175,000","42,554,000","40,702,000","29,736,000","37,287,000","40,476,000","35,266,000","31,904,000"
OperatingExpense,"168,460,000","42,629,000","42,615,000","45,936,000","37,280,000","35,078,000","83,256,000","29,792,000","26,871,000","27,266,000","27,853,000"
	SellingGeneralAndAdministration,"103,816,000","24,450,000","25,462,000","31,281,000","22,623,000","20,314,000","62,786,000","16,509,000","13,910,000","14,479,000","15,082,000"
		GeneralAndAdministrativeExpense,"81,316,000","18,339,000","18,744,000","26,199,000","18,034,000","16,562,000","52,357,000","13,403,000","11,181,000","11,541,000","12,296,000"
			OtherGandA,"81,316,000","18,339,000","18,744,000","26,199,000","18,034,000","16,562,000","52,357,000","13,403,000","11,181,000","11,541,000","12,296,000"
		SellingAndMarketingExpense,"22,500,000","6,111,000","6,718,000","5,082,000","4,589,000","3,752,000","10,429,000","3,106,000","2,729,000","2,938,000","2,786,000"
	ResearchAndDevelopment,"23,221,000","7,548,000","6,517,000","4,530,000","4,626,000","4,706,000","10,505,000","3,295,000","2,969,000","2,875,000","2,982,000"
	DepreciationAmortizationDepletionIncomeStatement,"41,423,000","10,631,000","10,636,000","10,125,000","10,031,000","10,058,000","9,965,000","9,988,000","9,992,000","9,912,000","9,789,000"
		DepreciationAndAmortizationInIncomeStatement,"41,423,000","10,631,000","10,636,000","10,125,000","10,031,000","10,058,000","9,965,000","9,988,000","9,992,000","9,912,000","9,789,000"
			DepreciationIncomeStatement,"2,015,000","482,000","448,000","533,000","552,000","602,000","607,000","614,000","669,000","553,000","456,000"
			Amortization,"39,408,000","10,149,000","10,188,000","9,592,000","9,479,000","9,456,000","9,358,000","9,374,000","9,323,000","9,359,000","9,333,000"
				AmortizationOfIntangiblesIncomeStatement,"39,408,000","10,149,000","10,188,000","9,592,000","9,479,000","9,456,000","9,358,000","9,374,000","9,323,000","9,359,000","9,333,000"
OperatingIncome,"14,088,000","6,133,000","3,442,000","-761,000","5,274,000","5,624,000","-53,520,000","7,495,000","13,605,000","8,000,000","4,051,000"
NetNonOperatingInterestIncomeExpense,"-16,137,000","-3,228,000","-3,288,000","-3,289,000","-6,332,000","-3,928,000","-5,486,000","-5,929,000","-7,023,000","-6,858,000","-6,993,000"
	InterestExpenseNonOperating,"16,137,000","3,228,000","3,288,000","3,289,000","6,332,000","3,928,000","5,486,000","5,929,000","7,023,000","6,858,000","6,993,000"
OtherIncomeExpense,"841,000","841,000","-311,000","657,000","-346,000","-117,000","-921,000","11,000","-80,000","525,000","-597,000"
	OtherNonOperatingIncomeExpenses,"841,000","841,000","-311,000","657,000","-346,000","-117,000","-921,000","11,000","-80,000","525,000","-597,000"
PretaxIncome,"-1,208,000","3,746,000","-157,000","-3,393,000","-1,404,000","1,579,000","-59,927,000","1,577,000","6,502,000","1,667,000","-3,539,000"
TaxProvision,"10,900,000","1,536,000","9,542,000","-1,631,000","1,453,000","527,000","-5,480,000","350,000","3,725,000","621,000","2,476,000"
NetIncomeCommonStockholders,"-12,108,000","2,210,000","-9,699,000","-1,762,000","-2,857,000","1,052,000","-54,447,000","1,227,000","2,777,000","1,046,000","-6,015,000"
	NetIncome,"-12,108,000","2,210,000","-9,699,000","-1,762,000","-2,857,000","1,052,000","-54,447,000","1,227,000","2,777,000","1,046,000","-6,015,000"
