name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalRevenue,"336,181,000","90,899,000","83,646,000","79,650,000","81,757,000","80,956,000","69,317,000","68,782,000","66,870,000","57,108,000","54,736,000"
	OperatingRevenue,"336,181,000","90,899,000","83,646,000","79,650,000","81,757,000","80,956,000","69,317,000","68,782,000","66,870,000","57,108,000","54,736,000"
CostOfRevenue,"53,919,000","15,031,000","14,060,000","12,082,000","12,746,000","12,970,000","11,583,000","11,359,000","10,668,000","9,897,000","9,797,000"
GrossProfit,"282,262,000","75,868,000","69,586,000","67,568,000","69,011,000","67,986,000","57,734,000","57,423,000","56,202,000","47,211,000","44,939,000"
OperatingExpense,"321,003,000","90,312,000","83,193,000","74,806,000","71,872,000","88,705,000","56,173,000","45,763,000","34,857,000","58,377,000","60,004,000"
	SellingGeneralAndAdministration,"204,165,000","57,883,000","51,399,000","48,455,000","45,608,000","54,221,000","35,722,000","26,793,000","17,923,000","42,054,000","44,468,000"
		GeneralAndAdministrativeExpense,"53,878,000","15,036,000","13,288,000","12,070,000","12,893,000","18,743,000","8,256,000","7,620,000","6,243,000","7,458,000","7,926,000"
			OtherGandA,"53,878,000","15,036,000","13,288,000","12,070,000","12,893,000","18,743,000","8,256,000","7,620,000","6,243,000","7,458,000","7,926,000"
		SellingAndMarketingExpense,"150,287,000","42,847,000","38,111,000","36,385,000","32,715,000","35,478,000","27,466,000","19,173,000","11,680,000","34,596,000","36,542,000"
	ResearchAndDevelopment,"55,961,000","16,056,000","15,131,000","12,325,000","12,449,000","18,800,000","7,799,000","8,083,000","7,067,000","7,076,000","6,308,000"
	DepreciationAmortizationDepletionIncomeStatement,"3,699,000","1,020,000","1,006,000","827,000","846,000","790,000","764,000","752,000","667,000","711,000","644,000"
		DepreciationAndAmortizationInIncomeStatement,"3,699,000","1,020,000","1,006,000","827,000","846,000","790,000","764,000","752,000","667,000","711,000","644,000"
	OtherOperatingExpenses,"57,178,000","15,353,000","15,657,000","13,199,000","12,969,000","14,894,000","11,888,000","10,135,000","9,200,000","8,536,000","8,584,000"
OperatingIncome,"-38,741,000","-14,444,000","-13,607,000","-7,238,000","-2,861,000","-20,719,000","1,561,000","11,660,000","21,345,000","-11,166,000","-15,065,000"
NetNonOperatingInterestIncomeExpense,"189,000","51,000","23,000","77,000","38,000","86,000","29,000","63,000","149,000","328,000","372,000"
	InterestIncomeNonOperating,"189,000","51,000","23,000","77,000","38,000","86,000","29,000","63,000","149,000","328,000","372,000"
OtherIncomeExpense,"200,000","503,000","-125,000","-36,000","-142,000","-53,959,000","-5,219,000","-845,000","-312,000","-91,000","-9,000"
	GainOnSaleOfSecurity,,,"0",,,"-2,816,000","-1,773,000","-125,000","-278,000","-97,000",
	SpecialIncomeCharges,"0","0","0","0","0","-1,620,000",,"0","0","0",
		OtherSpecialCharges,,,"0",,,"1,620,000",,,,,
	OtherNonOperatingIncomeExpenses,"200,000","503,000","-125,000","-36,000","-142,000","-49,523,000","-2,946,000","-720,000","-34,000","6,000","-9,000"
PretaxIncome,"-38,352,000","-13,890,000","-13,709,000","-7,197,000","-2,965,000","-74,592,000","-3,629,000","10,878,000","21,182,000","-10,929,000","-14,702,000"
TaxProvision,"-142,000","132,000","-104,000","0","40,000","-70,000","432,000","105,000","62,000","58,000","44,000"
NetIncomeCommonStockholders,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-74,522,000","-17,853,000","8,130,000","10,987,000","-10,987,000","-14,271,000"
	NetIncome,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-74,522,000","-4,061,000","10,773,000","21,120,000","-10,987,000","-14,746,000"
		NetIncomeIncludingNoncontrollingInterests,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-74,522,000","-4,061,000","10,773,000","21,120,000","-10,987,000","-14,746,000"
			NetIncomeContinuousOperations,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-74,522,000","-4,061,000","10,773,000","21,120,000","-10,987,000","-14,746,000"
	OtherunderPreferredStockDividend,,,"0","0","0",,"13,792,000","2,643,000","10,133,000",,"-475,000"
DilutedNIAvailtoComStockholders,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-74,522,000","-17,853,000","8,130,000","10,987,000","-10,987,000","-14,271,000"
BasicEPS,,"-0.18","-0.19","-0.09","-0.04","-1.19","-0.055","0.111","0.17","-0.17",
DilutedEPS,,"-0.18","-0.19","-0.09","-0.04","-1.19","-0.055","0.111","0.156","-0.17",
BasicAverageShares,,"77,577,000","77,119,000","76,479,000","75,709,000","62,729,000","73,337,202","73,337,202","64,801,000","64,801,000",
DilutedAverageShares,,"77,577,000","77,119,000","76,479,000","75,709,000","62,729,000","73,337,202","73,337,202","70,384,000","70,384,000",
TotalOperatingIncomeAsReported,"-38,741,000","-14,444,000","-13,607,000","-7,238,000","-2,861,000","-20,719,000","1,561,000","11,660,000","21,345,000","-11,166,000","-15,065,000"
TotalExpenses,"374,922,000","105,343,000","97,253,000","86,888,000","84,618,000","101,675,000","67,756,000","57,122,000","45,525,000","68,274,000","69,801,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-74,522,000","-4,061,000","10,773,000","21,120,000","-10,987,000","-14,746,000"
NormalizedIncome,"-38,210,000","-14,022,000","-13,605,000","-7,197,000","-3,005,000","-70,089,992.4","-4,061,000","10,896,787.5","21,397,193.8","-10,916,190","-14,746,000"
InterestIncome,"189,000","51,000","23,000","77,000","38,000","86,000","29,000","63,000","149,000","328,000","372,000"
NetInterestIncome,"189,000","51,000","23,000","77,000","38,000","86,000","29,000","63,000","149,000","328,000","372,000"
EBIT,"-38,741,000","-14,444,000","-13,607,000","-7,238,000","-2,861,000","-20,719,000","1,561,000","11,660,000","21,345,000","-11,166,000","-15,065,000"
EBITDA,"-35,042,000"
