name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
TotalAssets,"3,044,148,000","3,025,547,000","3,047,631,000","3,025,736,000","2,965,828,000","2,895,944,000","3,148,414,000","3,594,671,000","3,524,118,000","3,560,933,000","3,498,358,000","3,440,113,000","3,414,285,000","3,457,503,000","3,489,226,000","3,478,932,000","2,786,349,000","2,781,882,000","2,673,944,000","2,571,950,000","2,530,245,000","2,500,076,000","2,607,226,000","2,521,787,000","2,495,832,000","2,671,304,000","2,670,967,000","2,679,836,000","1,521,874,000","1,601,289,000","1,561,403,000","1,539,740,000","1,562,134,000","1,673,575,000","1,593,464,000","1,579,474,000","1,670,475,000","1,676,962,000","1,668,731,000","1,821,290,000","1,771,400,000","1,749,069,000","1,778,253,000","1,786,987,000","1,788,934,000","1,761,952,000","1,695,953,000","1,666,445,000","553,335,000","543,058,000","542,885,000","546,010,000","538,782,000","556,250,000","627,080,000","621,114,000","517,399,000","498,798,000","504,237,000","500,607,000","537,431,000","573,698,000","308,995,000","296,876,000","281,991,000","273,143,000","254,340,000","243,879,000","239,680,000","235,770,000","226,953,000","222,573,000","216,339,000","205,857,000","204,243,000","197,401,000","198,593,000","197,506,000","198,278,000","201,858,000","205,929,000","193,076,000","195,790,000","198,899,000","203,058,000","202,133,000","190,445,000"
	CurrentAssets,"1,434,183,000","1,407,413,000","1,423,348,000","1,404,515,000","1,332,639,000","1,248,758,000","1,486,177,000","1,871,912,000","1,751,787,000","1,342,684,000","1,277,835,000","1,189,686,000","1,169,549,000","1,206,914,000","1,233,008,000","1,202,639,000","1,247,594,000","1,221,307,000","1,110,961,000","1,025,261,000","1,027,291,000","1,012,841,000","1,055,988,000","941,975,000","908,210,000","1,022,520,000","980,733,000","982,609,000","730,453,000","798,123,000","718,081,000","707,223,000","719,366,000","804,991,000","718,955,000","729,573,000","760,412,000","765,612,000","780,483,000","723,975,000","681,300,000","671,534,000","696,681,000","715,866,000","679,505,000","676,499,000","633,540,000","628,613,000","396,616,000","382,559,000","382,092,000","378,041,000","356,221,000","353,130,000","342,439,000","331,263,000","239,590,000","219,936,000","222,809,000","209,601,000","239,497,000","271,748,000","177,180,000","165,100,000","151,376,000","140,415,000","127,130,000","115,684,000","111,082,000","106,334,000","101,283,000","96,580,000","88,264,000","74,887,000","69,286,000","62,141,000","62,100,000","60,254,000","53,757,000","57,390,000","59,603,000","43,971,000","45,536,000","47,723,000","51,216,000","50,296,000","45,987,000"
		CashCashEquivalentsAndShortTermInvestments,"519,079,000","537,678,000","529,816,000","558,291,000","539,648,000","451,565,000","413,310,000","694,668,000","361,992,000","400,154,000","316,589,000","284,466,000","235,219,000","256,360,000","207,952,000","204,100,000","352,576,000","409,326,000","301,934,000","246,947,000","282,871,000","256,277,000","291,783,000","216,151,000","183,678,000","259,100,000","144,651,000","148,948,000","282,968,000","279,042,000","248,708,000","282,043,000","317,993,000","330,554,000","270,534,000","230,503,000","284,091,000","285,823,000","281,300,000","248,940,000","224,380,000","199,618,000","211,710,000","240,252,000","202,340,000","216,078,000","164,230,000","213,186,000","102,886,000","95,698,000","200,737,000","189,358,000","164,161,000","152,122,000","134,992,000","118,687,000","32,569,000","18,681,000","27,315,000","26,131,000","45,381,000","70,656,000","110,291,000","101,244,000","90,453,000","82,358,000","71,139,000","63,588,000","61,882,000","58,538,000","52,579,000","47,069,000","37,235,000","31,745,000","31,314,000","32,000,000","26,114,000","18,879,000","35,255,000","39,419,000","41,284,000","24,490,000","24,083,000","26,447,000","23,724,000","9,294,000","4,821,000"
			CashAndCashEquivalents,"519,079,000","537,678,000","529,816,000","558,291,000","539,648,000","451,565,000","413,310,000","694,668,000","361,992,000","400,154,000","316,589,000","284,466,000","235,219,000","256,360,000","207,952,000","204,100,000","352,576,000","409,326,000","301,934,000","246,947,000","282,871,000","256,277,000","291,783,000","216,151,000","183,678,000","259,100,000","144,651,000","148,948,000","282,968,000","279,042,000","248,708,000","282,043,000","317,993,000","330,554,000","270,534,000","230,503,000","284,091,000","285,433,000","280,796,000","248,486,000","223,764,000","196,052,000","207,666,000","235,898,000","202,340,000","216,078,000","164,230,000","213,186,000","102,886,000","94,347,000","199,318,000","187,939,000","161,839,000","148,465,000","115,470,000","118,687,000","32,569,000","18,681,000","27,315,000","26,131,000","45,381,000","59,660,000","94,675,000","80,972,000","57,256,000","61,258,000","41,805,000","44,691,000","57,308,000","43,188,000","42,643,000","34,035,000","32,620,000","24,237,000","31,314,000","32,000,000","26,114,000","18,879,000","35,255,000","39,419,000","41,284,000","24,490,000","24,083,000","26,447,000","23,724,000","9,294,000","4,821,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"390,000","504,000","454,000","616,000","3,566,000","4,044,000","4,354,000",,"0","0","0","0","1,351,000","1,419,000","1,419,000","2,322,000","3,657,000","19,522,000",,,,,,,"10,996,000","15,616,000","20,272,000","33,197,000","21,100,000","29,334,000","18,897,000","4,574,000","15,350,000","9,936,000","13,034,000","4,615,000","7,508,000",,,,,,,,,,,,,
		Receivables,"731,145,000","711,209,000","714,007,000","679,459,000","638,470,000","654,361,000","656,634,000","1,016,195,000","715,121,000","791,899,000","798,484,000","743,811,000","779,901,000","810,906,000","866,051,000","842,304,000","779,936,000","483,903,000","475,056,000","452,827,000","419,340,000","432,788,000","449,924,000","424,514,000","432,252,000","456,000,000","488,021,000","464,335,000","243,667,000","312,867,000","279,219,000","244,434,000","219,067,000","290,382,000","267,313,000","334,552,000","295,042,000","301,557,000","313,607,000","309,982,000","293,739,000","316,568,000","301,194,000","294,615,000","292,033,000","287,703,000","299,786,000","258,684,000","98,355,000","89,519,000","100,848,000","105,738,000","111,732,000","118,664,000","115,265,000","118,729,000","118,240,000","120,818,000","116,684,000","110,475,000","120,540,000","126,152,000","45,196,000","44,837,000","42,422,000","38,631,000","39,317,000","37,783,000","36,161,000","35,935,000","37,859,000","36,643,000","34,956,000","29,349,000","24,904,000","16,546,000","19,633,000","17,913,000","14,708,000","14,122,000","14,584,000","11,208,000","16,977,000","13,253,000","20,932,000","33,690,000","34,000,000"
			AccountsReceivable,"412,432,000","386,347,000","388,233,000","378,762,000","366,768,000","381,105,000","374,971,000","414,329,000","458,639,000","503,664,000","529,942,000","482,740,000","516,828,000","523,165,000","569,215,000","541,587,000","504,914,000","483,903,000","475,056,000","452,827,000","419,340,000","432,788,000","449,924,000","424,514,000","432,252,000","456,000,000","485,996,000","461,483,000","239,645,000","307,933,000","270,295,000","230,165,000","202,092,000","277,070,000","249,712,000","213,682,000","295,042,000","301,557,000","315,407,000","311,043,000","294,929,000",,"302,882,000","296,358,000","293,298,000",,"299,786,000","258,684,000","98,355,000","89,519,000","95,897,000","102,320,000","108,157,000","115,232,000","115,265,000","118,197,000","118,240,000","118,581,000","115,304,000","110,366,000","119,823,000","125,435,000","45,196,000","44,837,000","42,422,000","38,631,000","39,317,000","37,626,000","36,004,000","35,778,000","37,133,000","35,918,000","34,956,000","28,519,000","24,904,000","16,546,000","19,633,000","17,913,000","9,113,000","10,198,000","12,138,000","11,208,000","13,111,000","13,253,000","20,932,000",,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250,408,000","214,478,000","296,778,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-696,000","-796,000","-1,736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","4,951,000","3,418,000","3,575,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
