name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
OperatingCashFlow,"252,325,000","64,124,000","64,568,000","75,065,000","48,568,000","73,694,000","51,513,000","53,632,000","20,088,000","43,603,000","27,580,000","34,767,000","-9,237,000","-42,385,000","9,273,000","-26,578,000","-22,691,000","-30,886,000","-9,214,000","-31,242,000","-31,261,000","-27,846,000","-18,686,000","-645,000","-6,263,000","161,000","-19,359,000","-26,230,000","-25,554,000","-35,784,000","-22,784,000","-38,680,000","-36,210,000","-57,894,000","-42,078,000","-57,954,000","-80,140,000","-93,183,000","-22,459,000","38,995,000","-43,107,000","-43,062,000","-7,701,000","-25,415,000","-18,208,000","-23,913,000","-646,000","-21,964,000","-18,862,000","-26,427,000","10,251,000","-6,404,000","11,604,000","-19,449,000","-11,729,000"
	CashFlowFromContinuingOperatingActivities,"252,325,000","64,124,000","64,568,000","75,065,000","48,568,000","73,694,000","51,513,000","53,632,000","20,088,000","43,603,000","27,580,000","34,767,000","-20,601,000","-42,385,000","9,273,000","-26,578,000","-22,691,000","-30,886,000","-9,214,000","-31,242,000","-31,261,000","-27,846,000","-18,686,000","-645,000","-6,263,000","161,000","-19,359,000","-26,230,000","-25,554,000","-35,784,000","-22,784,000","-38,680,000","-36,210,000","-57,894,000","-42,078,000","-57,954,000","-80,140,000","-93,183,000","-22,459,000","38,995,000","-43,107,000","-43,062,000","-7,701,000","-25,415,000","-18,208,000","-23,913,000","2,298,000","-18,939,000","-18,862,000","-26,427,000","10,251,000","-6,404,000","11,604,000","-19,449,000","-11,729,000"
		NetIncomeFromContinuingOperations,"527,323,000","38,801,000","41,374,000","55,845,000","391,303,000","39,926,000","43,204,000","34,423,000","25,204,000","3,345,000","47,858,000","20,648,000","12,283,000","-59,284,000","-15,493,000","-174,351,000","-49,380,000","-43,144,000","12,085,000","-32,297,000","-44,224,000","-52,501,000","-13,505,000","-33,204,000","-21,702,000","-13,297,000","-14,037,000","-47,390,000","-48,020,000","-33,222,000","-37,647,000","-41,988,000","-60,357,000","-49,626,000","-51,986,000","-61,775,000","-65,149,000","-93,902,000",,,,"-35,601,000","-6,974,000","-20,633,000","-18,844,000","-18,401,000","-8,707,000","-14,242,000","-17,209,000","-16,253,000","-24,574,000","-11,421,000","-18,917,000","-18,400,000","-11,658,000"
		OperatingGainsLosses,"2,914,000","-730,000","2,566,000","-2,088,000","3,166,000","-2,373,000","-418,000","2,661,000","874,000","3,482,000","-4,480,000","35,743,000","195,000","-3,358,000","12,463,000","-4,805,000","568,000","-1,350,000","2,084,000","4,897,000","-5,202,000","4,208,000","-2,307,000","-4,541,000","-3,145,000","1,643,000","-1,816,000","11,340,000",,,,,,"53,000",,,,,"0",,,"1,000","-1,000",,,,"225,000","22,000","222,000","5,000","10,000","1,000","-2,000","71,000",
			GainLossOnSaleOfPPE,"76,000","0","0","76,000","0","17,000","2,000","45,000","407,000","16,000","37,000","0","-477,000","586,000","-276,000","-1,316,000","-241,000","-34,000","-9,000","568,000",,,,,,,,,,,,,,"53,000","610,000",,,"0","0",,,"1,000","-1,000","8,000","0","0","225,000","22,000","222,000","5,000","10,000","1,000","-2,000","71,000","-1,000"
			GainLossOnInvestmentSecurities,"2,838,000","-730,000","2,566,000","-2,164,000","3,166,000","-2,390,000","-420,000","2,616,000","467,000","3,466,000","-4,517,000","4,766,000","672,000","-3,944,000","12,739,000","-3,489,000","809,000","-1,316,000","2,093,000","4,329,000","-5,337,000","2,199,000","-2,103,000","-4,541,000","-3,145,000","1,643,000","-1,620,000","11,340,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,468,000","355,000","359,000","358,000","396,000","410,000","421,000","1,821,000","640,000","682,000","867,000","3,174,000","297,000","1,242,000","1,265,000","2,545,000","5,147,000","5,266,000","5,277,000","3,661,000","2,349,000","3,330,000","-536,000","5,411,000","3,552,000","2,833,000","2,799,000","2,788,000","3,152,000","2,891,000","2,952,000","3,168,000","3,085,000","3,126,000","3,082,000","3,070,000","2,789,000","2,788,000","2,803,000","3,032,000","2,810,000","2,680,000","2,676,000","2,286,000","2,904,000","2,133,000","1,916,000","1,440,000","1,502,000","1,303,000","1,372,000","1,304,000","1,339,000","1,235,000","1,200,000"
			DepreciationAndAmortization,"1,468,000","355,000","359,000","358,000","396,000","410,000","421,000","1,821,000","640,000","682,000","867,000","3,174,000","297,000","1,242,000","1,265,000","2,545,000","5,147,000","5,266,000","5,277,000","3,661,000","2,349,000","3,330,000","-536,000","5,411,000","3,552,000","2,833,000","2,799,000","2,788,000","3,152,000","2,891,000","2,952,000","3,168,000","3,085,000","3,126,000","3,082,000","3,070,000","2,789,000","2,788,000","2,803,000","3,032,000","2,810,000","2,680,000","2,676,000","2,286,000","2,904,000","2,133,000","1,916,000","1,440,000","1,502,000","1,303,000","1,372,000","1,304,000","1,339,000","1,235,000","1,200,000"
				Depreciation,,,,,,,,,,"682,000","867,000","3,174,000","297,000","1,242,000","1,265,000","1,386,000","1,671,000","1,790,000","1,801,000","1,764,000","1,928,000","2,910,000","2,761,000","2,198,000","2,487,000","2,833,000","2,799,000","2,788,000","3,152,000","2,891,000","2,952,000","3,168,000","3,085,000","3,126,000","3,082,000","3,070,000","2,789,000","2,788,000",,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,"0","0","0","0","0","1,159,000","3,476,000","3,476,000","3,476,000","1,897,000","421,000","420,000","-3,297,000","3,213,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
