name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013
TotalAssets,"7,764,000,000","7,728,000,000","7,781,000,000","7,804,000,000","7,686,000,000","7,494,000,000","7,218,000,000","7,161,000,000","6,757,000,000","6,841,000,000","6,623,000,000","6,348,000,000","6,190,000,000","5,978,000,000","5,824,000,000","5,846,000,000","5,923,000,000","6,050,000,000","5,933,000,000","5,840,000,000","6,014,000,000","3,869,000,000","3,803,000,000","3,675,000,000","3,655,000,000","3,481,000,000","3,508,000,000","3,097,000,000","3,061,000,000","3,029,000,000","3,050,000,000","1,999,000,000","2,010,000,000","1,932,000,000","2,028,000,000"
	CurrentAssets,"3,886,000,000","3,808,000,000","3,834,000,000","3,829,000,000","3,718,000,000","3,566,000,000","3,374,000,000","3,278,000,000","3,293,000,000","3,326,000,000","3,215,000,000","2,935,000,000","2,824,000,000","2,544,000,000","2,378,000,000","2,182,000,000","2,189,000,000","2,275,000,000","2,177,000,000","2,158,000,000","2,314,000,000","1,932,000,000","1,854,000,000","1,711,000,000","1,737,000,000","1,626,000,000","1,579,000,000","1,983,000,000","1,927,000,000","1,892,000,000","1,850,000,000","989,000,000","997,000,000","925,000,000","972,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,886,000,000","1,977,000,000","2,052,000,000","2,153,000,000","1,993,000,000","1,887,000,000","1,756,000,000","1,697,000,000","1,841,000,000","1,691,000,000","1,598,000,000","1,394,000,000","1,277,000,000","1,098,000,000","913,000,000","742,000,000","784,000,000","980,000,000","818,000,000","876,000,000","1,023,000,000","896,000,000","783,000,000","664,000,000","620,000,000","572,000,000","483,000,000","1,000,000,000","894,000,000","887,000,000","810,000,000","0","0","0","0"
			CashAndCashEquivalents,"1,886,000,000","1,977,000,000","2,052,000,000","2,153,000,000","1,993,000,000","1,887,000,000","1,756,000,000","1,697,000,000","1,841,000,000","1,691,000,000","1,598,000,000","1,394,000,000","1,277,000,000","1,098,000,000","913,000,000","742,000,000","784,000,000","980,000,000","818,000,000","873,000,000","983,000,000","896,000,000","783,000,000","664,000,000","620,000,000","572,000,000","483,000,000","1,000,000,000","894,000,000","887,000,000","810,000,000","0","0","0","0"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,"3,000,000","40,000,000",,,,,,,,,,,,,,
		Receivables,"803,000,000","708,000,000","735,000,000","677,000,000","676,000,000","654,000,000","606,000,000","569,000,000","485,000,000","670,000,000","668,000,000","618,000,000","660,000,000","580,000,000","624,000,000","597,000,000","579,000,000","454,000,000","547,000,000","521,000,000","518,000,000","395,000,000","437,000,000","415,000,000","408,000,000","361,000,000","398,000,000","313,000,000","353,000,000","310,000,000","380,000,000","319,000,000","335,000,000","289,000,000","340,000,000"
			AccountsReceivable,"803,000,000","708,000,000","735,000,000","677,000,000","676,000,000","654,000,000","606,000,000","569,000,000","485,000,000","670,000,000","668,000,000","618,000,000","660,000,000","580,000,000","624,000,000","597,000,000","579,000,000","454,000,000","547,000,000","521,000,000","518,000,000","395,000,000","437,000,000","415,000,000","408,000,000","361,000,000","398,000,000","313,000,000","353,000,000","309,000,000","357,000,000","319,000,000","335,000,000","289,000,000","340,000,000"
				GrossAccountsReceivable,,,"739,000,000",,,,"609,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-4,000,000",,,,"-3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","1,000,000","23,000,000",,,,
		Inventory,"810,000,000","804,000,000","777,000,000","770,000,000","774,000,000","760,000,000","757,000,000","778,000,000","756,000,000","737,000,000","705,000,000","696,000,000","660,000,000","641,000,000","619,000,000","609,000,000","597,000,000","609,000,000","588,000,000","561,000,000","585,000,000","479,000,000","474,000,000","479,000,000","475,000,000","481,000,000","487,000,000","478,000,000","476,000,000","477,000,000","498,000,000","516,000,000","518,000,000","514,000,000","502,000,000"
			RawMaterials,"504,000,000","473,000,000","448,000,000","440,000,000","433,000,000","425,000,000","415,000,000","427,000,000","406,000,000","395,000,000","388,000,000","392,000,000","370,000,000","355,000,000","336,000,000","333,000,000","320,000,000","313,000,000","302,000,000","285,000,000","292,000,000","261,000,000","256,000,000","247,000,000","249,000,000","244,000,000","252,000,000","254,000,000","252,000,000","252,000,000","279,000,000","287,000,000","299,000,000","297,000,000","293,000,000"
			FinishedGoods,"306,000,000","331,000,000","329,000,000","330,000,000","341,000,000","335,000,000","342,000,000","351,000,000","350,000,000","342,000,000","317,000,000","304,000,000","290,000,000","286,000,000","283,000,000","276,000,000","277,000,000","296,000,000","286,000,000","276,000,000","293,000,000","218,000,000","218,000,000","232,000,000","226,000,000","237,000,000","235,000,000","224,000,000","224,000,000","225,000,000","219,000,000","229,000,000","219,000,000","217,000,000","209,000,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,"0","0","75,000,000","74,000,000","74,000,000","73,000,000","73,000,000","82,000,000","83,000,000","61,000,000","62,000,000","64,000,000","65,000,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,"0","0","75,000,000","74,000,000","74,000,000","73,000,000","73,000,000","82,000,000","83,000,000","61,000,000","62,000,000","64,000,000","65,000,000"
		OtherCurrentAssets,"387,000,000","319,000,000","270,000,000","229,000,000","275,000,000","265,000,000","255,000,000","234,000,000","211,000,000","228,000,000","244,000,000","227,000,000","227,000,000","225,000,000","222,000,000","234,000,000","229,000,000","232,000,000","224,000,000","200,000,000","188,000,000","162,000,000","160,000,000","153,000,000","159,000,000","138,000,000","137,000,000","119,000,000","131,000,000","136,000,000","79,000,000","93,000,000","82,000,000","58,000,000","65,000,000"
	TotalNonCurrentAssets,"3,878,000,000","3,920,000,000","3,947,000,000","3,975,000,000","3,968,000,000","3,928,000,000","3,844,000,000","3,883,000,000","3,464,000,000","3,515,000,000","3,408,000,000","3,413,000,000","3,366,000,000","3,434,000,000","3,446,000,000","3,664,000,000","3,734,000,000","3,774,000,000","3,755,000,000","3,682,000,000","3,700,000,000","1,937,000,000","1,949,000,000","1,964,000,000","1,918,000,000","1,855,000,000","1,929,000,000","1,114,000,000","1,134,000,000","1,137,000,000","1,200,000,000","1,011,000,000","1,013,000,000","1,007,000,000","1,056,000,000"
