name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
OperatingCashFlow,"3,046,000,000","1,405,000,000","-269,000,000","-786,000,000","2,675,000,000","447,000,000","-2,177,000,000","-1,889,000,000","-112,000,000","45,000,000","1,211,000,000","1,073,000,000","2,710,000,000","1,915,000,000","1,101,000,000","905,000,000","2,442,000,000","1,733,000,000","728,000,000","577,000,000","1,561,000,000","547,000,000","658,000,000","1,138,000,000","2,547,000,000","1,199,000,000","1,115,000,000","1,300,000,000","1,752,000,000","1,825,000,000","-98,000,000","574,000,000","1,464,000,000","694,000,000","-334,000,000","237,000,000","1,148,000,000","393,000,000","90,000,000","-238,000,000","959,000,000","124,000,000","265,000,000","385,000,000","753,000,000","1,005,000,000","106,000,000","445,000,000","874,000,000","482,000,000","88,000,000","56,000,000","396,000,000","426,000,000","-989,000,000","-387,000,000","217,000,000","-80,000,000","132,000,000","342,000,000","1,034,000,000","626,000,000","316,000,000","108,000,000","685,000,000","453,000,000","277,000,000","-16,000,000","558,000,000","260,000,000","-247,000,000","-92,000,000","62,000,000","376,000,000","65,000,000","286,000,000","838,000,000","-188,000,000","-447,000,000","-697,000,000","90,000,000","-85,000,000","-734,000,000","183,000,000","179,000,000","212,000,000","-52,000,000","422,000,000","1,220,000,000","882,000,000","260,000,000","569,000,000","880,000,000","712,000,000","340,000,000","1,067,000,000","961,000,000","826,000,000","170,000,000","918,000,000","799,000,000","680,000,000","489,000,000","924,000,000","666,000,000","374,000,000","252,000,000","222,000,000","696,000,000","454,000,000","155,000,000","191,000,000","-16,000,000","188,000,000","432,000,000","254,000,000","-92,600,000","80,000,000","249,200,000","338,700,000"
	CashFlowFromContinuingOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,000,000","-238,000,000","959,000,000","124,000,000","265,000,000","385,000,000","753,000,000","1,005,000,000","106,000,000","445,000,000","874,000,000","482,000,000","88,000,000","56,000,000","396,000,000","426,000,000","-989,000,000","-387,000,000","217,000,000","-80,000,000","132,000,000","342,000,000","1,034,000,000","626,000,000","316,000,000","108,000,000","685,000,000","453,000,000","277,000,000","-16,000,000","558,000,000","260,000,000","-247,000,000","-92,000,000","62,000,000","376,000,000","65,000,000","286,000,000","838,000,000","-188,000,000","-447,000,000","-697,000,000","90,000,000","-85,000,000","-734,000,000","183,000,000","179,000,000","212,000,000","-52,000,000","422,000,000","1,220,000,000","882,000,000","260,000,000","569,000,000","880,000,000","712,000,000","340,000,000","1,067,000,000","961,000,000","826,000,000","170,000,000","918,000,000","799,000,000","680,000,000","489,000,000","924,000,000","666,000,000","374,000,000","252,000,000","222,000,000","696,000,000","454,000,000","155,000,000","191,000,000","-16,000,000","188,000,000","432,000,000","254,000,000","-92,600,000","80,000,000","249,200,000","338,700,000"
		NetIncomeFromContinuingOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-620,000,000","6,000,000",,,,,"538,000,000","-213,000,000","-325,000,000","387,000,000","273,000,000","-82,000,000","-240,000,000","-57,000,000","28,000,000","-382,000,000","-1,303,000,000","-779,000,000","-2,729,000,000","-537,000,000","-53,000,000","334,000,000","274,000,000","-152,000,000","22,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,000,000","359,000,000","672,000,000","78,000,000","53,000,000","425,000,000","282,000,000","61,000,000","32,000,000","579,000,000","242,000,000","105,000,000","20,000,000","347,000,000","227,000,000","6,000,000","-19,000,000","243,000,000","151,000,000","3,000,000","-15,000,000","82,000,000","-65,000,000","149,000,000","23,000,000","-138,000,000","-251,100,000","21,500,000","-95,100,000","-92,300,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-37,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"385,000,000","379,000,000","378,000,000","380,000,000","390,000,000","384,000,000","385,000,000","388,000,000","427,000,000","224,000,000","215,000,000","213,000,000","227,000,000","220,000,000","222,000,000","233,000,000","262,000,000","234,000,000","216,000,000","220,000,000","-1,619,000,000","245,000,000","229,000,000","220,000,000",,"226,000,000","218,000,000","216,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"1,504,000,000","-213,000,000","-213,000,000","-211,000,000","1,375,000,000","-199,000,000","-192,000,000","-191,000,000","1,257,000,000","-183,000,000","-174,000,000","-176,000,000","1,347,000,000","-216,000,000","-183,000,000","-189,000,000","1,243,000,000","-182,000,000","-174,000,000","-163,000,000","1,179,000,000","-184,000,000","-107,000,000","-190,000,000","-191,000,000","-193,000,000","-195,400,000","-179,000,000","-178,100,000","-173,100,000"
			DepreciationAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"385,000,000","379,000,000","378,000,000","380,000,000","390,000,000","384,000,000","385,000,000","388,000,000","427,000,000","224,000,000","215,000,000","213,000,000","227,000,000","220,000,000","222,000,000","233,000,000","262,000,000","234,000,000","216,000,000","220,000,000","-1,619,000,000","245,000,000","229,000,000","220,000,000",,"226,000,000","218,000,000","216,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"1,504,000,000","-213,000,000","-213,000,000","-211,000,000","1,375,000,000","-199,000,000","-192,000,000","-191,000,000","1,257,000,000","-183,000,000","-174,000,000","-176,000,000","1,347,000,000","-216,000,000","-183,000,000","-189,000,000","1,243,000,000","-182,000,000","-174,000,000","-163,000,000","1,179,000,000","-184,000,000","-107,000,000","-190,000,000","-191,000,000","-193,000,000","-195,400,000","-179,000,000","-178,100,000","-173,100,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,619,000,000","245,000,000","229,000,000","220,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-213,000,000","-213,000,000","-211,000,000",,"-199,000,000","-192,000,000","-191,000,000",,"-183,000,000","-174,000,000","-176,000,000",,"-216,000,000","-183,000,000","-189,000,000",,"-182,000,000","-174,000,000","-163,000,000","1,264,000,000","-184,000,000","-107,000,000","-190,000,000","-191,000,000","-193,000,000","-195,400,000","-179,000,000","-178,100,000","-173,100,000"
		DeferredTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","3,000,000","-28,000,000","-4,000,000","-54,000,000",,,,"-39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000","3,000,000","-28,000,000","-4,000,000","-54,000,000",,,,"-39,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-45,000,000","-81,000,000","-70,000,000","-15,000,000","-52,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
